<video_id>fl8SorD-swg</video_id>	JJ	<video_id>fl8SorD-swg</video_id>
<video_title>Hundreds	NNS	<video_title>Hundreds
of	IN	of
patients	NNS	patient
at	IN	at
al-Shifa	NP	al-Shifa
need	VVP	need
to	TO	to
be	VB	be
evacuated:	JJ	evacuated:
Gaza	NP	Gaza
official</video_title>	NN	official</video_title>
<thumbnail_path>data/en_AJ\Hundreds	NNS	<thumbnail_path>data/en_AJ\Hundreds
of	IN	of
patients	NNS	patient
at	IN	at
al-Shifa	NP	al-Shifa
need	VVP	need
to	TO	to
be	VB	be
evacuated	VVN	evacuate
Gaza	NP	Gaza
official.jpg</thumbnail_path>	NN	official.jpg</thumbnail_path>
<publish_date>20231115</publish_date>	NN	<publish_date>20231115</publish_date>
<doc>	NN	<doc>
apologies	NNS	apology
uh	UH	uh
we	PP	we
are	VBP	be
just	RB	just
going	VVG	go
to	TO	to
interrupt	VV	interrupt
nor	CC	nor
OD	NN	od
there	RB	there
because	IN	because
uh	UH	uh
we	PP	we
want	VVP	want
to	TO	to
take	VV	take
you	PP	you
to	TO	to
kanun	NN	kanun
outside	IN	outside
the	DT	the
hospital	NN	hospital
there	RB	there
that's	JJ	that's
uh	UH	uh
we	PP	we
are	VBP	be
listening	VVG	listen
to	TO	to
the	DT	the
director	NN	director
general	NN	general
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
hospitals	NNS	hospital
let's	NNS	let's
have	VHP	have
a	DT	a
listen	NN	listen
to	TO	to
what	WP	what
he	PP	he
has	VHZ	have
to	TO	to
say	VV	say
department	NN	department
and	CC	and
the	DT	the
Gynecology	NN	gynecology
Department	NP	Department
the	DT	the
occupation	NN	occupation
has	VHZ	have
stormed	VVN	storm
the	DT	the
uh	UH	uh
hospital	NN	hospital
and	CC	and
targeted	VVD	target
the	DT	the
hospital	NN	hospital
following	VVG	follow
the	DT	the
international	JJ	international
silence	NN	silence
and	CC	and
following	VVG	follow
the	DT	the
massacres	NNS	massacre
committed	VVN	commit
by	IN	by
the	DT	the
occupation	NN	occupation
against	IN	against
the	DT	the
hospitals	NNS	hospital
particularly	RB	particularly
the	DT	the
Massac	NP	Massac
of	IN	of
the	DT	the
Baptist	JJ	Baptist
hospital	NN	hospital
and	CC	and
the	DT	the
world	NN	world
stayed	VVD	stay
silent	JJ	silent
even	RB	even
after	IN	after
that	IN/that	that
the	DT	the
international	JJ	international
organizations	NNS	organization
and	CC	and
on	IN	on
top	NN	top
of	IN	of
which	WDT	which
the	DT	the
Red	NP	Red
Cross	NP	Cross
and	CC	and
the	DT	the
World	NP	World
Health	NP	Health
Organization	NP	Organization
and	CC	and
the	DT	the
United	NP	United
Nations	NPS	Nations
during	IN	during
these	DT	these
periods	NNS	period
of	IN	of
sied	JJ	sied
didn't	NN	didn't
manage	VVP	manage
to	TO	to
do	VV	do
anything	NN	anything
they	PP	they
didn't	VVD	didn't
manage	VV	manage
to	TO	to
have	VH	have
a	DT	a
coordination	NN	coordination
we	PP	we
