<video_id>I0kYCxRpp0Q</video_id>	JJ	<video_id>I0kYCxRpp0Q</video_id>
<video_title>Hundreds	NNS	<video_title>Hundreds
of	IN	of
students	NNS	student
arrested	VVN	arrest
in	IN	in
pro-Palestine	NP	pro-Palestine
campus	NN	campus
protests</video_title>	NN	protests</video_title>
<thumbnail_path>data/en_AJ\Hundreds	NNS	<thumbnail_path>data/en_AJ\Hundreds
of	IN	of
students	NNS	student
arrested	VVN	arrest
in	IN	in
pro-Palestine	NP	pro-Palestine
campus	NN	campus
protests.jpg</thumbnail_path>	NN	protests.jpg</thumbnail_path>
<publish_date>20240429</publish_date>	NN	<publish_date>20240429</publish_date>
<doc>	NN	<doc>
now	RB	now
hundreds	NNS	hundred
of	IN	of
students	NNS	student
have	VHP	have
been	VBN	be
arrested	VVN	arrest
at	IN	at
universities	NNS	university
across	IN	across
the	DT	the
United	NP	United
States	NPS	States
as	IN	as
protests	NNS	protest
grow	VVP	grow
over	IN	over
Israel's	NP	Israel's
war	NN	war
on	IN	on
Gaza	NP	Gaza
they're	NN	they're
demanding	VVG	demand
educational	JJ	educational
institutions	NNS	institution
divest	VVP	divest
in	IN	in
companies	NNS	company
they	PP	they
say	VVP	say
are	VBP	be
complicit	JJ	complicit
in	IN	in
genocide	NN	genocide
Let's	NNS	Let's
cross	VVP	cross
over	RP	over
to	TO	to
Teresa	NP	Teresa
B	NP	B
joining	VVG	join
us	PP	us
from	IN	from
Columbia	NP	Columbia
University	NP	University
in	IN	in
New	NP	New
York	NP	York
and	CC	and
Theresa	NP	Theresa
it	PP	it
does	VVZ	do
seem	VV	seem
that	IN/that	that
there	EX	there
is	VBZ	be
a	DT	a
message	NN	message
now	RB	now
from	IN	from
the	DT	the
University	NP	University
president	NN	president
to	TO	to
the	DT	the
students	NNS	student
well	RB	well
that's	JJ	that's
correct	JJ	correct
we're	NN	we're
right	NN	right
Columbia	NP	Columbia
University	NP	University
we're	NN	we're
not	RB	not
allowed	VVD	allow
to	TO	to
go	VV	go
inside	RB	inside
mostly	RB	mostly
because	IN	because
only	JJ	only
ID	NN	id
holders	NNS	holder
are	VBP	be
allowed	VVN	allow
to	TO	to
do	VV	do
so	RB	so
there's	RB	there's
lots	NNS	lot
of	IN	of
security	NN	security
out	RP	out
here	RB	here
there's	RB	there's
hundreds	NNS	hundred
of	IN	of
students	NNS	student
that	WDT	that
remain	VVP	remain
inside	RB	inside
in	IN	in
this	DT	this
sitting	VVG	sit
an	DT	an
encampment	NN	encampment
saying	VVG	say
that	IN/that	that
they	PP	they
want	VVP	want
to	TO	to
shed	VV	shed
light	NN	light
on	IN	on
the	DT	the
war	NN	war
on	IN	on
Gaza	NP	Gaza
to	TO	to
what	WP	what
is	VBZ	be
happening	VVG	happen
on	IN	on
Gaza	NP	Gaza
they	PP	they
want	VVP	want
universities	NNS	university
to	TO	to
stop	VV	stop
investments	NNS	investment
in	IN	in
companies	NNS	company
that	IN/that	that
profit	NN	profit
from	IN	from
the	DT	the
war	NN	war
