nearly	RB	nearly
4	CD	@card@
months	NNS	month
since	IN	since
the	DT	the
highest	JJS	high
un	NN	un
court	NN	court
ordered	VVN	order
Israel	NP	Israel
to	TO	to
prevent	VV	prevent
genocidal	JJ	genocidal
acts	NNS	act
in	IN	in
Gaza	NP	Gaza
it	PP	it
was	VBD	be
back	RB	back
in	IN	in
the	DT	the
H	NN	H
after	IN	after
it	PP	it
was	VBD	be
accused	VVN	accuse
of	IN	of
not	RB	not
listening	VVG	listen
sadly	RB	sadly
South	JJ	South
Africa	NP	Africa
is	VBZ	be
yet	RB	yet
again	RB	again
compelled	VVN	compel
to	TO	to
return	VV	return
to	TO	to
this	DT	this
court	NN	court
in	IN	in
recognition	NN	recognition
of	IN	of
its	PP$	its
obligation	NN	obligation
under	IN	under
the	DT	the
genocide	NN	genocide
convention	NN	convention
due	JJ	due
to	TO	to
the	DT	the
continuing	VVG	continue
annihilation	NN	annihilation
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
with	IN	with
over	IN	over
35	CD	@card@
,	,	,
000	CD	@card@
now	RB	now
killed	VVN	kill
and	CC	and
most	JJS	most
of	IN	of
Gaza	NP	Gaza
reduced	VVD	reduce
to	TO	to
Rubble	NN	rubble
South	NP	South
Africa	NP	Africa
says	VVZ	say
instead	RB	instead
of	IN	of
following	VVG	follow
binding	JJ	binding
court	NN	court
orders	NNS	order
Israel	NP	Israel
has	VHZ	have
escalated	VVN	escalate
the	DT	the
situation	NN	situation
with	IN	with
its	PP$	its
assault	NN	assault
on	IN	on
Rafa	NP	Rafa
calling	VVG	call
it	PP	it
gaza	NN	gaza
'	POS	'
s	NN	S
last	JJ	last
Refuge	NP	Refuge
where	WRB	where
1	CD	@card@
and	CC	and
a	DT	a
half	JJ	half
million	CD	million
people	NNS	people
have	VHP	have
been	VBN	be
cramped	VVN	cramp
together	RB	together
facing	VVG	face
a	DT	a
humanitarian	JJ	humanitarian
catastrophe	NN	catastrophe
this	DT	this
is	VBZ	be
the	DT	the
last	JJ	last
step	NN	step
in	IN	in
the	DT	the
destruction	NN	destruction
of	IN	of
Gaza	NP	Gaza
and	CC	and
its	PP$	its
Palestinian	JJ	Palestinian
people	NNS	people
it	PP	it
was	VBD	be
Rafa	NP	Rafa
that	WDT	that
brought	VVD	bring
South	NP	South
Africa	NP	Africa
to	TO	to
the	DT	the
court	NN	court
but	CC	but
it	PP	it
is	VBZ	be
all	DT	all
Palestinians	NNS	Palestinian
as	IN	as
a	DT	a
national	JJ	national
ethnical	JJ	ethnical
and	CC	and
racial	JJ	racial
group	NN	group
who	WP	who
need	VVP	need
the	DT	the
protection	NN	protection
from	IN	from
genocide	NN	genocide
that	IN/that	that
the	DT	the
court	NN	court
can	MD	can
order	VV	order
when	WRB	when
South	NP	South
Africa	NP	Africa
presented	VVD	present
its	PP$	its
genocide	NN	genocide
case	NN	case
in	IN	in
January	NP	January
the	DT	the
death	NN	death
th	NN	th
in	IN	in
Gaza	NP	Gaza
stood	VVD	stand
at	IN	at
more	JJR	more
than	IN	than
23	CD	@card@
,	,	,
000	CD	@card@
the	DT	the
court	NN	court
then	RB	then
ordered	VVD	order
Israel	NP	Israel
to	TO	to
stop	VV	stop
genocidal	JJ	genocidal
acts	NNS	act
but	CC	but
refrained	VVN	refrain
from	IN	from
ordering	VVG	order
a	DT	a
ceasefire	NN	ceasefire
4	CD	@card@
months	NNS	month
later	RBR	later
South	JJ	South
Africa	NP	Africa
says	VVZ	say
the	DT	the
court	NN	court
has	VHZ	have
a	DT	a
last	JJ	last
chance	NN	chance
to	TO	to
stop	VV	stop
what	WP	what
it	PP	it
calls	VVZ	call
Israel	NP	Israel
'	POS	'
s	JJ	s
end	NN	end
game	NN	game
by	IN	by
ordering	VVG	order
its	PP$	its
immediate	JJ	immediate
withdrawal	NN	withdrawal
from	IN	from
Gaza	NP	Gaza
this	DT	this
is	VBZ	be
the	DT	the
fourth	JJ	fourth
time	NN	time
