<video_id>VZIPUNm_ngA</video_id>	JJ	<video_id>VZIPUNm_ngA</video_id>
<video_title>ICJ	NN	<video_title>ICJ
holding	VVG	hold
first	JJ	first
hearing	NN	hearing
in	IN	in
South	JJ	South
Africa’s	NNS	Africa’s
genocide	NN	genocide
case	NN	case
against	IN	against
Israel</video_title>	NP	Israel</video_title>
<thumbnail_path>data/en_AJ\ICJ	NP	<thumbnail_path>data/en_AJ\ICJ
holding	VVG	hold
first	JJ	first
hearing	NN	hearing
in	IN	in
South	JJ	South
Africa’s	NNS	Africa’s
genocide	NN	genocide
case	NN	case
against	IN	against
Israel.jpg</thumbnail_path>	NP	Israel.jpg</thumbnail_path>
<publish_date>20240111</publish_date>	JJ	<publish_date>20240111</publish_date>
<doc>	NN	<doc>
we	PP	we
begin	VVP	begin
in	IN	in
the	DT	the
ha	NP	ha
where	WRB	where
the	DT	the
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
is	VBZ	be
preparing	VVG	prepare
to	TO	to
hear	VV	hear
arguments	NNS	argument
that	IN/that	that
Israel	NP	Israel
is	VBZ	be
committing	VVG	commit
genocide	NN	genocide
in	IN	in
its	PP$	its
war	NN	war
on	IN	on
Gaza	NP	Gaza
the	DT	the
case	NN	case
is	VBZ	be
being	VBG	be
brought	VVN	bring
by	IN	by
South	NP	South
Africa	NP	Africa
and	CC	and
accuses	VVZ	accuse
Israel	NP	Israel
of	IN	of
violating	VVG	violate
the	DT	the
1948	CD	@card@
un	NN	un
genocide	NN	genocide
convention	NN	convention
by	IN	by
carrying	VVG	carry
out	RP	out
mass	JJ	mass
killings	NNS	killing
expulsions	NNS	expulsion
and	CC	and
making	VVG	make
statements	NNS	statement
describing	VVG	describe
Palestinians	NNS	Palestinian
as	IN	as
subhuman	JJ	subhuman
more	JJR	more
than	IN	than
23,000	CD	@card@
Palestinians	NPS	Palestinians
have	VHP	have
been	VBN	be
killed	VVN	kill
so	RB	so
far	RB	far
nearly	RB	nearly
half	JJ	half
of	IN	of
them	PP	them
children	NNS	child
the	DT	the
UN	NP	UN
says	VVZ	say
Gaza	NP	Gaza
has	VHZ	have
become	VVN	become
uninhabitable	JJ	uninhabitable
in	IN	in
a	DT	a
moment	NN	moment
we'll	NN	we'll
speak	VVP	speak
to	TO	to
Farmer	NP	Farmer
the	DT	the
Miller	NP	Miller
in	IN	in
Petoria	NP	Petoria
hanni	NP	Hanni
Mahmud	NP	Mahmud
is	VBZ	be
in	IN	in
Gaza	NP	Gaza
and	CC	and
Stephanie	NP	Stephanie
deer	NN	deer
in	IN	in
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
but	CC	but
first	JJ	first
to	TO	to
Osama	NP	Osama
bin	NN	bin
Javid	NN	Javid
at	IN	at
the	DT	the
Hagen	NP	Hagen
Osama	NP	Osama
talk	VV	talk
us	PP	us
through	IN	through
what	WP	what
we're	NN	we're
expecting	VVG	expect
in	IN	in
court	NN	court
today	NN	today
as	IN	as
you	PP	you
can	MD	can
see	VV	see
behind	IN	behind
me	PP	me
the	DT	the
sun	NN	sun
is	VBZ	be
beginning	VVG	begin
to	TO	to
rise	VV	rise
over	IN	over
the	DT	the
peace	NN	peace
palace	NN	palace
here	RB	here
in	IN	in
the	DT	the
he	PP	he
where	WRB	where
this	DT	this
Landmark	JJ	landmark
case	NN	case
is	VBZ	be
shortly	RB	shortly
going	VVG	go
to	TO	to
commence	VV	commence
where	WRB	where
South	NP	South
Africa	NP	Africa
is	VBZ	be
going	VVG	go
to	TO	to
convince	VV	convince
the	DT	the
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
that	IN/that	that
what	WP	what
it	PP	it
deems	VVZ	deem
Israel	NP	Israel
is	VBZ	be
doing	VVG	do
in	IN	in
Gaza	NP	Gaza
amounts	NNS	amount
to	TO	to
genocide	NN	genocide
and	CC	and
it	PP	it
is	VBZ	be
not	RB	not
at	IN	at
this	DT	this
moment	NN	moment
wanting	VVG	want
or	CC	or
looking	VVG	look
to	TO	to
for	IN	for
the	DT	the
international	JJ	international
Court	NP	Court
to	TO	to
declare	VV	declare
it	PP	it
as	IN	as
genocide	NN	genocide
but	CC	but
immediately	RB	immediately
act	VV	act
to	TO	to
stop	VV	stop
what	WP	what
it	PP	it
deems	VVZ	deem
as	IN	as
acts	NNS	act
of	IN	of
genocide	NN	genocide
so	IN	so
there	EX	there
is	VBZ	be
a	DT	a
long	RB	long
laid	VVN	lay
out	IN	out
84	CD	@card@
page	NN	page
document	NN	document
with	IN	with
hundreds	NNS	hundred
of	IN	of
footnotes	VVZ	footnote
uh	UH	uh
where	WRB	where
it	PP	it
has	VHZ	have
collected	VVN	collect
uh	UH	uh
evidence	NN	evidence
from	IN	from
uh	UH	uh
international	JJ	international
news	NN	news
organizations	NNS	organization
NOS	NNS	no
un	NN	un
reput	NN	reput
