<video_id>mt4yG_cNPB4</video_id>	JJ	<video_id>mt4yG_cNPB4</video_id>
<video_title>ICJ	NP	<video_title>ICJ
orders	NNS	order
Israel	NP	Israel
to	TO	to
halt	VV	halt
its	PP$	its
offensive	NN	offensive
on	IN	on
Rafah,	NP	Rafah,
Gaza	NP	Gaza
in	IN	in
new	JJ	new
ruling</video_title>	NN	ruling</video_title>
<thumbnail_path>data/en_AJ\ICJ	NN	<thumbnail_path>data/en_AJ\ICJ
orders	NNS	order
Israel	NP	Israel
to	TO	to
halt	VV	halt
its	PP$	its
offensive	NN	offensive
on	IN	on
Rafah,	NP	Rafah,
Gaza	NP	Gaza
in	IN	in
new	JJ	new
ruling.jpg</thumbnail_path>	NN	ruling.jpg</thumbnail_path>
<publish_date>20240524</publish_date>	NN	<publish_date>20240524</publish_date>
<doc>	NN	<doc>
respondent	NN	respondent
step	NN	step
Farson	NP	Farson
she's	NNS	she's
joining	VVG	join
us	PP	us
live	VVP	live
from	IN	from
the	DT	the
ha	NP	ha
and	CC	and
and	CC	and
and	CC	and
and	CC	and
step	VV	step
the	DT	the
judge	VV	judge
uh	UH	uh
went	VVD	go
to	TO	to
Great	JJ	great
length	NN	length
to	TO	to
explain	VV	explain
how	WRB	how
and	CC	and
why	WRB	why
the	DT	the
court	NN	court
will	MD	will
make	VV	make
this	DT	this
decision	NN	decision
he	PP	he
talked	VVD	talk
about	RB	about
how	WRB	how
much	JJ	much
the	DT	the
circumstances	NNS	circumstance
have	VHP	have
changed	VVN	change
since	IN	since
the	DT	the
provisional	JJ	provisional
measures	NNS	measure
that	WDT	that
were	VBD	be
ordered	VVN	order
in	IN	in
January	NP	January
and	CC	and
March	NP	March
you	PP	you
know	VVP	know
noting	VVG	note
that	IN/that	that
this	DT	this
is	VBZ	be
of	IN	of
course	NN	course
not	RB	not
the	DT	the
first	JJ	first
time	NN	time
that	IN/that	that
South	NP	South
Africa	NP	Africa
has	VHZ	have
gone	VVN	go
to	TO	to
the	DT	the
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
why	WRB	why
they	PP	they
have	VHP	have
changed	VVN	change
the	DT	the
risk	NN	risk
the	DT	the
very	RB	very
real	JJ	real
risk	NN	risk
that	IN/that	that
they	PP	they
posed	VVD	pose
to	TO	to
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
in	IN	in
Gaza	NP	Gaza
before	IN	before
issuing	VVG	issue
those	DT	those
orders	NNS	order
talk	VVP	talk
us	PP	us
through	IN	through
them	PP	them
yes	RB	yes
it	PP	it
was	VBD	be
very	RB	very
clear	JJ	clear
that	IN/that	that
the	DT	the
13	CD	@card@
judges	NNS	judge
of	IN	of
the	DT	the
15	CD	@card@
were	VBD	be
all	RB	all
agreeing	VVG	agree
on	IN	on
the	DT	the
fact	NN	fact
that	IN/that	that
the	DT	the
situation	NN	situation
in	IN	in
Rafa	NP	Rafa
is	VBZ	be
a	DT	a
red	NN	red
line	VV	line
uh	UH	uh
the	DT	the
situation	NN	situation
had	VHD	have
changed	VVN	change
uh	UH	uh
desperately	RB	desperately
he	PP	he
said	VVD	say
he	PP	he
was	VBD	be
uh	UH	uh
using	VVG	use
words	NNS	word
as	IN	as
a	DT	a
serious	JJ	serious
exceptional	JJ	exceptional
dire	JJ	dire
uh	UH	uh
situation	NN	situation
he	PP	he
said	VVD	say
especially	RB	especially
the	DT	the
fact	NN	fact
that	IN/that	that
so	RB	so
many	JJ	many
people	NNS	people
are	VBP	be
now	RB	now
displaced	VVN	displace
800,000	CD	@card@
and	CC	and
he	PP	he
also	RB	also
said	VVD	say
he	PP	he
doesn't	VVD	doesn't
believe	VV	believe
the	DT	the
words	NNS	word
that	WDT	that
Israel	NP	Israel
said	VVD	say
that	IN/that	that
they	PP	they
were	VBD	be
all	RB	all
giving	VVG	give
enough	JJ	enough
safety	NN	safety
and	CC	and
humanitarian	JJ	humanitarian
uh	UH	uh
access	NN	access
to	TO	to
these	DT	these
people	NNS	people
that	WDT	that
are	VBP	be
being	VBG	be
brought	VVN	bring
to	TO	to
these	DT	these
so-called	JJ	so-called
evacuation	NN	evacuation
zones	VVZ	zone
uh	UH	uh
he	PP	he
said	VVD	say
he	PP	he
just	RB	just
simply	RB	simply
didn't	JJ	didn't
see	VVP	see
that	IN/that	that
there	EX	there
was	VBD	be
no	DT	no
evidence	NN	evidence
of	IN	of
that	DT	that
so	RB	so
that's	JJ	that's
why	WRB	why
he	PP	he
has	VHZ	have
now	RB	now
made	VVN	make
this	DT	this
very	RB	very
strong	JJ	strong
order	NN	order
that	IN/that	that
Israel	NP	Israel
should	MD	should
stop	VV	stop
immediately	RB	immediately
its	PP$	its
offensive	NN	offensive
and	CC	and
its	PP$	its
military	JJ	military
operation	NN	operation
in	IN	in
Rafa	NP	Rafa
and	CC	and
withdraw	VV	withdraw
its	PP$	its
troops	NNS	troop
from	IN	from
there	RB	there
it	PP	it
also	RB	also
uh	UH	uh
he	PP	he
also	RB	also
ruled	VVD	rule
on	IN	on
the	DT	the
border	NN	border
crossings	NNS	crossing
that	WDT	that
they	PP	they
