Al	NP	Al
jaaz	NP	jaaz
senior	JJ	senior
political	JJ	political
analyst	NN	analyst
M	NP	M
Bashar	NP	Bashar
who	WP	who
'	POS	'
s	NN	S
with	IN	with
us	PP	us
here	RB	here
in	IN	in
Doha	NP	Doha
so	IN	so
we	PP	we
had	VHD	have
Daniel	NP	Daniel
Levy	NP	Levy
the	DT	the
president	NN	president
of	IN	of
the	DT	the
US	NP	US
Middle	NP	Middle
East	NP	East
project	VV	project
he	PP	he
'	POS	'
s	NN	S
also	RB	also
a	DT	a
former	JJ	former
Israeli	JJ	Israeli
negotiator	NN	negotiator
he	PP	he
was	VBD	be
saying	VVG	say
that	IN/that	that
this	DT	this
ruling	NN	ruling
is	VBZ	be
a	DT	a
landmark	JJ	landmark
legal	JJ	legal
case	NN	case
it	PP	it
it	PP	it
it	PP	it
is	VBZ	be
a	DT	a
uh	UH	uh
marks	VVZ	mark
a	DT	a
specific	JJ	specific
moment	NN	moment
in	IN	in
the	DT	the
way	NN	way
that	IN/that	that
Israel	NP	Israel
is	VBZ	be
regarded	VVN	regard
in	IN	in
legal	JJ	legal
terms	VVZ	term
uh	UH	uh
by	IN	by
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
world	NN	world
in	IN	in
Practical	JJ	practical
terms	NNS	term
what	WP	what
does	VVZ	do
this	DT	this
ruling	NN	ruling
actually	RB	actually
achieve	VV	achieve
if	IN	if
it	PP	it
'	POS	'
s	NN	S
not	RB	not
enforcable	JJ	enforcable
although	IN	although
it	PP	it
is	VBZ	be
binding	VVG	bind
um	NNS	um
you	PP	you
know	VVP	know
the	DT	the
court	NN	court
the	DT	the
icj	NN	icj
is	VBZ	be
the	DT	the
world	NN	world
court	VV	court
it	PP	it
'	POS	'
s	NN	S
not	RB	not
the	DT	the
world	NN	world
government	NN	government
no	DT	no
matter	NN	matter
what	WP	what
the	DT	the
ruling	NN	ruling
is	VBZ	be
it	PP	it
wasn	NP	wasn
'	POS	'
t	NN	t
going	VVG	go
to	TO	to
enforce	VV	enforce
it	PP	it
even	RB	even
if	IN	if
the	DT	the
ruling	NN	ruling
is	VBZ	be
biding	VVG	bide
this	DT	this
court	NN	court
the	DT	the
15	CD	@card@
judges	NNS	judge
don	NN	don
'	POS	'
t	NN	t
have	VHP	have
a	DT	a
police	NN	police
force	NN	force
don	NN	don
'	''	'
t	NN	t
have	VHP	have
an	DT	an
army	NN	army
don	NN	don
'	''	'
t	NN	t
have	VHP	have
military	JJ	military
they	PP	they
don	VVP	don
'	''	'
t	NN	t
have	VHP	have
money	NN	money
they	PP	they
don	VVP	don
'	''	'
t	NN	t
have	VHP	have
anything	NN	anything
with	IN	with
which	WDT	which
to	TO	to
enforce	VV	enforce
any	DT	any
decision	NN	decision
right	NN	right
it	PP	it
is	VBZ	be
the	DT	the
United	NP	United
Nations	NP	Nations
me	FW	me
members	NNS	member
notably	RB	notably
security	NN	security
members	NNS	member
National	NP	National
United	NP	United
Nations	NPS	Nations
security	NN	security
Council	NP	Council
Members	NP	Members
that	WDT	that
can	MD	can
enforce	VV	enforce
any	DT	any
such	JJ	such
so	IN	so
it	PP	it
doesn	NN	doesn
'	POS	'
t	NN	t
matter	NN	matter
what	WP	what
this	DT	this
court	NN	court
comes	VVZ	come
out	RP	out
with	IN	with
in	IN	in
the	DT	the
end	NN	end
of	IN	of
the	DT	the
day	NN	day
they	PP	they
will	MD	will
not	RB	not
reinforce	VV	reinforce
it	PP	it
right	JJ	right
I	PP	I
mean	VVP	mean
that	IN/that	that
'	POS	'
s	NN	S
very	RB	very
simple	JJ	simple
in	IN	in
fact	NN	fact
this	DT	this
court	NN	court
in	IN	in
2004	CD	@card@
also	RB	also
made	VVN	make
an	DT	an
opinion	NN	opinion
about	IN	about
the	DT	the
aparted	JJ	aparted
wall	NN	wall
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
and	CC	and
it	PP	it
judged	VVD	judge
it	PP	it
to	TO	to
be	VB	be
illegal	JJ	illegal
and	CC	and
should	MD	should
be	VB	be
dismantled	VVN	dismantle
20	CD	@card@
years	NNS	year
ago	RB	ago
the	DT	the
wall	NN	wall
is	VBZ	be
still	RB	still
there	RB	there
it	PP	it
has	VHZ	have
not	RB	not
been	VBN	be
dismantled	VVN	dismantle
because	IN	because
Israel	NP	Israel
and	CC	and
the	DT	the
United	NP	United
States	NPS	States
would	MD	would
not	RB	not
dismantle	VV	dismantle
it	PP	it
right	RB	right
so	RB	so
the	DT	the
court	NN	court
did	VVD	do
Issue	NN	issue
an	DT	an
opinion	NN	opinion
on	IN	on
the	DT	the
wall	NN	wall
20	CD	@card@
years	NNS	year
ago	RB	ago
and	CC	and
the	DT	the
wall	NN	wall
is	VBZ	be
still	RB	still
standing	VVG	stand
and	CC	and
Israel	NP	Israel
is	VBZ	be
still	RB	still
an	DT	an
occupying	JJ	occupying
power	NN	power
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
right	NN	right
as	IN	as
it	PP	it
is	VBZ	be
in	IN	in
Gaza	NP	Gaza
so	IN	so
I	PP	I
think	VVP	think
what	WP	what
'	POS	'
s	NNS	s
important	JJ	important
in	IN	in
this	DT	this
ruling	NN	ruling
is	VBZ	be
that	IN/that	that
it	PP	it
is	VBZ	be
a	DT	a
huge	JJ	huge
success	NN	success
a	DT	a
victory	NN	victory
for	IN	for
South	NP	South
Africa	NP	Africa
even	RB	even
though	IN	though
it	PP	it
does	VVZ	do
not	RB	not
have	VH	have
immediate	JJ	immediate
wins	NNS	win
for	IN	for
the	DT	the
people	NNS	people
in	IN	in
Gaza	NP	Gaza
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
moving	VVG	move
or	CC	or
you	PP	you
mentioned	VVD	mention
the	DT	the
UN	NP	UN
Security	NP	Security
Council	NP	Council
there	RB	there
is	VBZ	be
there	RB	there
a	DT	a
an	DT	an
argument	NN	argument
that	WDT	that
suggests	VVZ	suggest
that	IN/that	that
given	VVN	give
the	DT	the
circumstance	NN	circumstance
that	IN/that	that
you	PP	you
talked	VVD	talk
about	RB	about
does	VVZ	do
this	DT	this
give	VV	give
some	DT	some
more	JJR	more
weight	NN	weight
to	TO	to
cases	NNS	case
or	CC	or
or	CC	or
um	JJ	um
applications	NNS	application
that	WDT	that
are	VBP	be
made	VVN	make
to	TO	to
the	DT	the
UN	NP	UN
Security	NP	Security
Council	NP	Council
that	WDT	that
might	MD	might
actually	RB	actually
sway	VV	sway
the	DT	the
decisions	NNS	decision
of	IN	of
those	DT	those
that	WDT	that
might	MD	might
actually	RB	actually
as	IN	as
Patty	NP	Patty
was	VBD	be
just	RB	just
explaining	VVG	explain
put	VV	put
the	DT	the
US	NP	US
