<video_id>GFrmwl3ELjo</video_id>	NN	<video_id>GFrmwl3ELjo</video_id>
<video_title>Important	JJ	<video_title>Important
that	IN/that	that
both	DT	both
Hamas,	NP	Hamas,
Islamic	NP	Islamic
Jihad	NP	Jihad
on	IN	on
board	NN	board
for	IN	for
ceasefire:	JJ	ceasefire:
Marwan	NP	Marwan
Bishara</video_title>	NP	Bishara</video_title>
<thumbnail_path>data/en_AJ\Important	JJ	<thumbnail_path>data/en_AJ\Important
that	IN/that	that
both	DT	both
Hamas,	NP	Hamas,
Islamic	NP	Islamic
Jihad	NP	Jihad
on	IN	on
board	NN	board
for	IN	for
ceasefire	NN	ceasefire
Marwan	NP	Marwan
Bishara.jpg</thumbnail_path>	NP	Bishara.jpg</thumbnail_path>
<publish_date>20240611</publish_date>	NN	<publish_date>20240611</publish_date>
<doc>	NN	<doc>
your	PP$	your
reaction	NN	reaction
let's	NNS	let's
get	VV	get
uh	UH	uh
the	DT	the
take	NN	take
from	IN	from
Maran	NP	Maran
bashara	NP	Bashara
Al	NP	Al
jaz's	NNS	jaz's
senior	JJ	senior
political	JJ	political
analyst	NN	analyst
he	PP	he
comes	VVZ	come
to	TO	to
us	PP	us
from	IN	from
Paris	NP	Paris
um	NNS	um
you	PP	you
know	VVP	know
let's	NNS	let's
get	VV	get
your	PP$	your
reaction	NN	reaction
to	TO	to
this	DT	this
uh	UH	uh
breaking	NN	breaking
news	NN	news
uh	UH	uh
of	IN	of
uh	UH	uh
Hamas	NNS	Hamas
submitting	VVG	submit
its	PP$	its
response	NN	response
to	TO	to
this	DT	this
outlined	VVD	outline
this	DT	this
us	PP	us
ceasefire	NN	ceasefire
proposal	NN	proposal
that's	NNS	that's
certainly	RB	certainly
a	DT	a
positive	JJ	positive
good	JJ	good
news	NN	news
that	IN/that	that
the	DT	the
Hamas	NN	Hamas
decided	VVD	decide
to	TO	to
engage	VV	engage
uh	UH	uh
with	IN	with
the	DT	the
Proposal	NN	proposal
with	IN	with
the	DT	the
American	JJ	American
initiative	NN	initiative
based	VVN	base
on	IN	on
apparently	RB	apparently
an	DT	an
Israeli	JJ	Israeli
proposal	NN	proposal
it's	JJ	it's
uh	UH	uh
after	IN	after
it	PP	it
comes	VVZ	come
after	IN	after
Hamas	NP	Hamas
has	VHZ	have
welcomed	VVN	welcome
uh	UH	uh
the	DT	the
UN	NP	UN
Security	NP	Security
Council	NP	Council
resolution	NN	resolution
uh	UH	uh
adopting	VVG	adopt
that	DT	that
American	JJ	American
proposal	NN	proposal
which	WDT	which
as	IN	as
you	PP	you
just	RB	just
outlined	VVD	outline
uh	UH	uh
does	VVZ	do
have	VH	have
three	CD	three
phases	NNS	phase
but	CC	but
eventually	RB	eventually
needs	VVZ	need
to	TO	to
lead	VV	lead
to	TO	to
a	DT	a
permanent	JJ	permanent
ceasefire	NN	ceasefire
and	CC	and
the	DT	the
withdrawal	NN	withdrawal
of	IN	of
all	DT	all
Israeli	JJ	Israeli
forces	NNS	force
from	IN	from
Gaza	NP	Gaza
now	RB	now
the	DT	the
past	JJ	past
48	CD	@card@
hours	NNS	hour
we've	NN	we've
heard	VVD	hear
different	JJ	different
um	JJ	um
declarations	NNS	declaration
from	IN	from
various	JJ	various
Israeli	JJ	Israeli
sources	NNS	source
including	VVG	include
to	TO	to
reers	NNS	reers
saying	VVG	say
that	DT	that
uh	UH	uh
this	DT	this
proposal	NN	proposal
is	VBZ	be
going	VVG	go
to	TO	to
allow	VV	allow
Israel	NP	Israel
to	TO	to
achieve	VV	achieve
its	PP$	its
War	NP	War
objectives	NNS	objective
which	WDT	which
usually	RB	usually
means	VVZ	mean
in	IN	in
an	DT	an
Israeli	NP	Israeli
News	NP	News
speak	VVP	speak
destroying	VVG	destroy
Hamas	NNS	Hamas
and	CC	and
I	PP	I
think	VVP	think
now	RB	now
we	PP	we
see	VV	see
uh	UH	uh
sort	NN	sort
of	IN	of
a	DT	a
response	NN	response
from	IN	from
the	DT	the
other	JJ	other
side	NN	side
from	IN	from
the	DT	the
Palestinian	NN	Palestinian
from	IN	from
Hamas	JJ	Hamas
side	NN	side
basically	RB	basically
dilating	VVG	dilate
uh	UH	uh
how	WRB	how
it	PP	it
sees	VVZ	see
uh	UH	uh
this	DT	this
proposal	NN	proposal
moving	VVG	move
forward	RB	forward
and	CC	and
how	WRB	how
it	PP	it
could	MD	could
be	VB	be
implemented	VVN	implement
in	IN	in
a	DT	a
way	NN	way
that	WDT	that
safeguards	VVZ	safeguard
Palestinian	JJ	Palestinian
rights	NNS	right
in	IN	in
Gaza	NP	Gaza
and	CC	and
I	PP	I
think	VV	think
uh	UH	uh
so	RB	so
far	RB	far
we	PP	we
haven't	VVD	haven't
seen	VVN	see
the	DT	the
full	JJ	full
response	NN	response
yet	RB	yet
but	CC	but
I	PP	I
think	VVP	think
what	WP	what
is	VBZ	be
important	JJ	important
is	VBZ	be
uh	UH	uh
for	IN	for
Hamas	NNS	Hamas
apparently	RB	apparently
are	VBP	be
two	CD	two
things	NNS	thing
uh	UH	uh
one	PP	one
that	IN/that	that
this	DT	this
proposal	NN	proposal
needs	VVZ	need
to	TO	to
move	VV	move
from	IN	from
one	CD	one
phase	NN	phase
to	TO	to
another	DT	another
phase	NN	phase
and	CC	and
in	IN	in
the	DT	the
process	NN	process
there	EX	there
would	MD	would
be	VB	be
a	DT	a
ceasefire	NN	ceasefire
and	CC	and
that	IN/that	that
this	DT	this
proposal	NN	proposal
does	VVZ	do
lead	VV	lead
to	TO	to
a	DT	a
permanent	JJ	permanent
ceasefire	NN	ceasefire
so	IN	so
this	DT	this
is	VBZ	be
a	DT	a
clear	JJ	clear
red	JJ	red
line	NN	line
for	IN	for
Hamas	NNS	Hamas
that	IN/that	that
it's	NNS	it's
not	RB	not
going	VVG	go
to	TO	to
negotiate	VV	negotiate
over	IN	over
release	NN	release
of	IN	of
captives	NNS	captive
in	IN	in
order	NN	order
for	IN	for
Israel	NP	Israel
to	TO	to
resume	VV	resume
the	DT	the
War	NN	war
I	PP	I
think	VVP	think
it's	NNS	it's
probably	RB	probably
going	VVG	go
to	TO	to
ask	VV	ask
for	IN	for
uh	UH	uh
Ironclad	JJ	ironclad
American	JJ	American
guarantees	NNS	guarantee
for	IN	for
that	DT	that
movement	NN	movement
from	IN	from
one	CD	one
phase	NN	phase
to	TO	to
another	DT	another
and	CC	and
second	JJ	second
uh	UH	uh
the	DT	the
way	NN	way
I	PP	I
see	VVP	see
it	PP	it
from	IN	from
uh	UH	uh
the	DT	the
initial	JJ	initial
response	NN	response
is	VBZ	be
that	IN/that	that
not	RB	not
only	RB	only
does	VVZ	do
Hamas	NN	Hamas
wants	VVZ	want
to	TO	to
see	VV	see
Israel	NP	Israel
withdraw	VV	withdraw
uh	UH	uh
from	IN	from
the	DT	the
occupied	JJ	occupied
Gaza	NP	Gaza
Strip	NP	Strip
but	CC	but
it	PP	it
wants	VVZ	want
to	TO	to
make	VV	make
sure	JJ	sure
that	IN/that	that
Israel	NP	Israel
is	VBZ	be
not	RB	not
at	IN	at
The	DT	the
Crossings	NNS	crossing
again	RB	again
as	IN	as
you	PP	you
know	VVP	know
the	DT	the
past	JJ	past
uh	UH	uh
couple	NN	couple
of	IN	of
weeks	NNS	week
Israel	NP	Israel
has	VHZ	have
occupied	VVN	occupy
uh	UH	uh
the	DT	the
Philadelphia	NP	Philadelphia
Corridor	NP	Corridor
to	TO	to
the	DT	the
uh	UH	uh
opposition	NN	opposition
of	IN	of
both	DT	both
Egypt	NP	Egypt
and	CC	and
the	DT	the
Palestinian	NP	Palestinian
Authority	NP	Authority
because	IN	because
Israel	NP	Israel
is	VBZ	be
not	RB	not
supposed	VVN	suppose
to	TO	to
be	VB	be
there	RB	there
there's	RB	there's
an	DT	an
agreement	NN	agreement
in	IN	in
fact	NN	fact
between	IN	between
Israel	NP	Israel
and	CC	and
Egypt	NP	Egypt
on	IN	on
that	DT	that
issue	NN	issue
that	IN/that	that
this	DT	this
would	MD	would
be	VB	be
a	DT	a
Palestinian	JJ	Palestinian
Egyptian	JJ	Egyptian
border	NN	border
even	RB	even
if	IN	if
there's	RB	there's
an	DT	an
