<video_id>rfT_owiBR8U</video_id>	JJ	<video_id>rfT_owiBR8U</video_id>
<video_title>Increasing	NN	<video_title>Increasing
aid	NN	aid
entering	VVG	enter
Gaza	NP	Gaza
but	CC	but
Palestinians	NPS	Palestinians
‘still	NN	‘still
suffering’:	NP	suffering’:
AJE	NP	AJE
correspondent</video_title>	JJ	correspondent</video_title>
<thumbnail_path>data/en_AJ\Increasing	NN	<thumbnail_path>data/en_AJ\Increasing
aid	NN	aid
entering	VVG	enter
Gaza	NP	Gaza
but	CC	but
Palestinians	NPS	Palestinians
‘still	NN	‘still
suffering’	NP	suffering’
AJE	NP	AJE
correspondent.jpg</thumbnail_path>	NN	correspondent.jpg</thumbnail_path>
<publish_date>20240502</publish_date>	NN	<publish_date>20240502</publish_date>
<doc>	JJ	<doc>
Supply	NP	Supply
trucks	NNS	truck
have	VHP	have
entered	VVN	enter
Gaza	NP	Gaza
from	IN	from
The	DT	the
arids	NNS	arids
Crossing	VVG	cross
in	IN	in
the	DT	the
north	NN	north
of	IN	of
the	DT	the
strip	NN	strip
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
since	IN	since
October	NP	October
many	JJ	many
Palestinians	NPS	Palestinians
there	RB	there
are	VBP	be
facing	VVG	face
starvation	NN	starvation
Israel	NP	Israel
is	VBZ	be
accused	VVN	accuse
of	IN	of
blocking	VVG	block
aid	NN	aid
from	IN	from
the	DT	the
region	NN	region
for	IN	for
months	NNS	month
anal	JJ	anal
Sharif	NP	Sharif
has	VHZ	have
more	JJR	more
from	IN	from
the	DT	the
scene	NN	scene
we're	NN	we're
now	RB	now
in	IN	in
front	NN	front
of	IN	of
the	DT	the
unra	NN	unra
headquarters	NN	headquarters
in	IN	in
jabalia	NN	jabalia
refugee	NN	refugee
camp	NN	camp
in	IN	in
Northern	NP	Northern
Gaza	NP	Gaza
where	WRB	where
30	CD	@card@
trucks	NNS	truck
carrying	VVG	carry
food	NN	food
and	CC	and
humanitarian	JJ	humanitarian
Aid	NN	aid
have	VHP	have
arrived	VVN	arrive
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
through	IN	through
AR	NP	Ar
crossing	VVG	cross
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
have	VHP	have
also	RB	also
announced	VVN	announce
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
since	IN	since
October	NP	October
the	DT	the
7th	JJ	7th
the	DT	the
introduction	NN	introduction
of	IN	of
the	DT	the
30	CD	@card@
trucks	NNS	truck
of	IN	of
humanitarian	JJ	humanitarian
Aid	NN	aid
to	TO	to
Northern	NP	Northern
Gaza	NP	Gaza
the	DT	the
trucks	NNS	truck
are	VBP	be
carrying	VVG	carry
humanitarian	JJ	humanitarian
Aid	NP	Aid
FL	NP	FL
canned	VVD	can
goods	NNS	good
Rice	NP	Rice
and	CC	and
sugar	NN	sugar
from	IN	from
Jordan	NP	Jordan
and	CC	and
the	DT	the
World	NP	World
Health	NP	Health
Organization	NP	Organization
and	CC	and
the	DT	the
world	NN	world
food	NN	food
program	NN	program
these	DT	these
trucks	NNS	truck
will	MD	will
be	VB	be
unloaded	VVN	unload
at	IN	at
the	DT	the
unrra	NN	unrra
warehouses	NNS	warehouse
and	CC	and
the	DT	the
Aid	NN	aid
will	MD	will
be	VB	be
distributed	VVN	distribute
later	RBR	later
also	RB	also
through	IN	through
unra	NN	unra
so	IN	so
what	WP	what
arrived	VVD	arrive
into	IN	into
the	DT	the
north	NN	north
of	IN	of
Gaza	NP	Gaza
is	VBZ	be
30	CD	@card@
trucks	NNS	truck
and	CC	and
it'll	NN	it'll
be	VB	be
distributed	VVN	distribute
through	IN	through
an	DT	an
in	IN	in
the	DT	the
next	JJ	next
few	JJ	few
days	NNS	day
let's	NNS	let's
get	VVP	get
the	DT	the
very	RB	very
latest	JJS	late
picture	NN	picture
live	JJ	live
from	IN	from
Rafer	NP	Rafer
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
T	NN	T
abum	NN	abum
is	VBZ	be
standing	VVG	stand
by	IN	by
for	IN	for
us	PP	us
there	RB	there
and	CC	and
T	NN	T
So	IN	so
Israel	NP	Israel
say	VVP	say
they're	NN	they're
taking	VVG	take
significant	JJ	significant
efforts	NNS	effort
358	CD	@card@
trucks	NNS	truck
