<video_id>iRrEwybay6o</video_id>	JJ	<video_id>iRrEwybay6o</video_id>
<video_title>Inside	NN	<video_title>Inside
Al-Aqsa	NP	Al-Aqsa
hospital:	NP	hospital:
Doctor	NP	Doctor
shares	NNS	share
experience	NN	experience
in	IN	in
Gaza	NP	Gaza
medical	JJ	medical
facility</video_title>	NN	facility</video_title>
<thumbnail_path>data/en_AJ\Inside	NN	<thumbnail_path>data/en_AJ\Inside
Al-Aqsa	NP	Al-Aqsa
hospital	NN	hospital
Doctor	NP	Doctor
shares	NNS	share
experience	NN	experience
in	IN	in
Gaza	NP	Gaza
medical	JJ	medical
facility.jpg</thumbnail_path>	NN	facility.jpg</thumbnail_path>
<publish_date>20240620</publish_date>	NN	<publish_date>20240620</publish_date>
<doc>	NN	<doc>
we're	NN	we're
inside	IN	inside
the	DT	the
lxa	NN	lxa
hospital	NN	hospital
at	IN	at
the	DT	the
emergency	NN	emergency
department	NN	department
here	IN	here
uh	UH	uh
and	CC	and
as	IN	as
you	PP	you
can	MD	can
see	VV	see
it's	NNS	it's
overcrowded	VVN	overcrowd
uh	UH	uh
I'm	NP	I'm
joined	VVD	join
by	IN	by
Dr	NP	Dr
Bushra	NP	Bushra
man	VV	man
uh	UH	uh
inside	IN	inside
the	DT	the
hospital	NN	hospital
she's	NNS	she's
from	IN	from
panima	NN	panima
medical	JJ	medical
Mission	NP	Mission
uh	UH	uh
volunteering	VVG	volunteer
to	TO	to
help	VV	help
uh	UH	uh
people	NNS	people
and	CC	and
medical	JJ	medical
staff	NN	staff
inside	IN	inside
the	DT	the
hospital	NN	hospital
drer	NN	drer
we	PP	we
need	VVP	need
to	TO	to
know	VV	know
more	JJR	more
about	IN	about
what's	NNS	what's
going	VVG	go
on	IN	on
inside	IN	inside
the	DT	the
emergency	NN	emergency
department	NN	department
thank	VV	thank
you	PP	you
Hy	NP	Hy
so	IN	so
um	NNS	um
as	IN	as
you	PP	you
can	MD	can
see	VV	see
here	RB	here
there's	RB	there's
extreme	JJ	extreme
overcrowd	VVP	overcrowd
in	IN	in
the	DT	the
emergency	NN	emergency
department	NN	department
um	NNS	um
this	DT	this
is	VBZ	be
actually	RB	actually
a	DT	a
time	NN	time
when	WRB	when
it's	NNS	it's
not	RB	not
really	RB	really
as	RB	as
busy	JJ	busy
as	IN	as
it	PP	it
could	MD	could
get	VV	get
especially	RB	especially
when	WRB	when
there	EX	there
are	VBP	be
attacks	NNS	attack
nearby	RB	nearby
um	RB	um
there's	RB	there's
limited	VVN	limit
resources	NNS	resource
in	IN	in
the	DT	the
department	NN	department
with	IN	with
only	RB	only
a	DT	a
few	JJ	few
doctors	NNS	doctor
servicing	VVG	service
hundreds	NNS	hundred
of	IN	of
patients	NNS	patient
family	NN	family
members	NNS	member
are	VBP	be
everywhere	RB	everywhere
there's	RB	there's
not	RB	not
enough	JJ	enough
beds	NNS	bed
for	IN	for
the	DT	the
patients	NNS	patient
you	PP	you
can	MD	can
see	VV	see
them	PP	them
either	RB	either
in	IN	in
wheelchairs	NNS	wheelchair
or	CC	or
uh	UH	uh
on	IN	on
the	DT	the
floor	NN	floor
on	IN	on
mats	NNS	mat
surrounded	VVN	surround
by	IN	by
their	PP$	their
family	NN	family
members	NNS	member
um	RB	um
there	EX	there
are	VBP	be
only	RB	only
three	CD	three
doctors	NNS	doctor
generally	RB	generally
in	IN	in
the	DT	the
emergency	NN	emergency
department	NN	department
so	IN	so
these	DT	these
doctors	NNS	doctor
are	VBP	be
overworked	VVN	overwork
and	CC	and
understaffed	JJ	understaffed
um	NNS	um
as	IN	as
you	PP	you
can	MD	can
see	VV	see
here	RB	here
some	DT	some
of	IN	of
the	DT	the
nurses	NNS	nurse
are	VBP	be
helping	VVG	help
distribute	VV	distribute
some	DT	some
of	IN	of
the	DT	the
medications	NNS	medication
to	TO	to
the	DT	the
patients	NNS	patient
there's	RB	there's
certainly	RB	certainly
not	RB	not
enough	JJ	enough
medications	NNS	medication
to	TO	to
go	VV	go
around	RP	around
um	VVG	um
some	DT	some
of	IN	of
the	DT	the
antibiotics	NNS	antibiotic
that	WDT	that
we	PP	we
want	VVP	want
to	TO	to
use	VV	use
that	WDT	that
are	VBP	be
crucial	JJ	crucial
aren't	NN	aren't
available	JJ	available
here	RB	here
and	CC	and
also	RB	also
aren't	NN	aren't
allowed	VVN	allow
to	TO	to
be	VB	be
l	NN	l
in	IN	in
in	IN	in
terms	NNS	term
of	IN	of
medical	JJ	medical
supplies	NNS	supply
so	IN	so
um	JJ	um
it's	NNS	it's
it's	NNS	it's
a	DT	a
hospital	NN	hospital
but	CC	but
it's	NNS	it's
barely	RB	barely
functioning	VVG	function
and	CC	and
it's	NNS	it's
working	VVG	work
on	IN	on
very	RB	very
limited	JJ	limited
resources	NNS	resource
which	WDT	which
is	VBZ	be
causing	VVG	cause
a	DT	a
lot	NN	lot
of	IN	of
strain	NN	strain
um	NNS	um
any	DT	any
minute	NN	minute
now	RB	now
the	DT	the
Health	NP	Health
Care	NP	Care
system	NN	system
is	VBZ	be
going	VVG	go
to	TO	to
imminently	RB	imminently
collapse	VV	collapse
and	CC	and
the	DT	the
millions	NNS	million
of	IN	of
people	NNS	people
getting	VVG	get
care	NN	care
here	RB	here
at	IN	at
Al	NP	Al
oxa	NN	oxa
Hospital	NN	hospital
won't	NN	won't
be	VB	be
able	JJ	able
to	TO	to
get	VV	get
it	PP	it
this	DT	this
is	VBZ	be
a	DT	a
hospital	NN	hospital
normally	RB	normally
that	IN/that	that
would	MD	would
have	VH	have
a	DT	a
couple	NN	couple
of	IN	of
hundred	CD	hundred
beds	NNS	bed
and	CC	and
doesn't	VVD	doesn't
necessarily	RB	necessarily
get	VV	get
to	TO	to
treat	VV	treat
a	DT	a
lot	NN	lot
of	IN	of
patients	NNS	patient
there	EX	there
are	VBP	be
now	RB	now
up	RB	up
to	TO	to
800	CD	@card@
patients	NNS	patient
and	CC	and
thousands	NNS	thousand
of	IN	of
displaced	VVN	displace
people	NNS	people
living	VVG	live
here	RB	here
as	IN	as
you	PP	you
can	MD	can
see	VV	see
all	DT	all
around	IN	around
us	PP	us
there	EX	there
are	VBP	be
patients	NNS	patient
and	CC	and
their	PP$	their
family	NN	family
members	NNS	member
in	IN	in
the	DT	the
corridors	NNS	corridor
in	IN	in
hallways	NNS	hallway
living	VVG	live
with	IN	with
their	PP$	their
blankets	NNS	blanket
family	NN	family
members	NNS	member
um	VVD	um
it	PP	it
makes	VVZ	make
it	PP	it
very	RB	very
difficult	JJ	difficult
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
move	VV	move
around	RP	around
even	RB	even
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
actually	RB	actually
even	RB	even
find	VV	find
your	PP$	your
patients	NNS	patient
but	CC	but
a	DT	a
lot	NN	lot
of	IN	of
times	NNS	time
unfortunately	RB	unfortunately
because	IN	because
there's	RB	there's
no	DT	no
structure	NN	structure
and	CC	and
there's	RB	there's
no	DT	no
system	NN	system
you	PP	you
actually	RB	actually
don't	VVD	don't
know	VV	know
always	RB	always
where	WRB	where
your	PP$	your
patients	NNS	patient
end	VV	end
up	RB	up
or	CC	or
where	WRB	where
you	PP	you
might	MD	might
be	VB	be
able	JJ	able
to	TO	to
find	VV	find
them	PP	them
in	IN	in
