<video_id>D4UujuDNmZc</video_id>	JJ	<video_id>D4UujuDNmZc</video_id>
<video_title>Investigation	NN	<video_title>Investigation
finds	VVZ	find
more	JJR	more
than	IN	than
20	CD	@card@
journalists	NNS	journalist
from	IN	from
one	CD	one
outlet	NN	outlet
killed	VVN	kill
in	IN	in
Gaza	NP	Gaza
war</video_title>	NN	war</video_title>
<thumbnail_path>data/en_AJ\Investigation	NN	<thumbnail_path>data/en_AJ\Investigation
finds	VVZ	find
more	JJR	more
than	IN	than
20	CD	@card@
journalists	NNS	journalist
from	IN	from
one	CD	one
outlet	NN	outlet
killed	VVN	kill
in	IN	in
Gaza	NP	Gaza
war.jpg</thumbnail_path>	JJ	war.jpg</thumbnail_path>
<publish_date>20240626</publish_date>	NN	<publish_date>20240626</publish_date>
<doc>	NN	<doc>
the	DT	the
Israeli	JJ	Israeli
military	NN	military
has	VHZ	have
denied	VVN	deny
targeting	VVG	target
journalists	NNS	journalist
working	VVG	work
for	IN	for
media	NN	media
organizations	NNS	organization
based	VVN	base
in	IN	in
Gaza	NP	Gaza
that	WDT	that
follows	VVZ	follow
an	DT	an
investigation	NN	investigation
by	IN	by
the	DT	the
UK's	NP	UK's
Guardian	NP	Guardian
newspaper	NN	newspaper
that	WDT	that
says	VVZ	say
some	DT	some
members	NNS	member
appear	VVP	appear
to	TO	to
have	VH	have
been	VBN	be
considered	VVN	consider
journalists	NNS	journalist
working	VVG	work
for	IN	for
media	NN	media
Outlets	NNS	outlet
controlled	VVN	control
or	CC	or
affiliated	VVN	affiliate
with	IN	with
Hamas	NNS	Hamas
as	IN	as
legitimate	JJ	legitimate
military	JJ	military
targets	NNS	target
It	PP	it
quotes	VVZ	quote
a	DT	a
senior	JJ	senior
Israeli	JJ	Israeli
spokesperson	NN	spokesperson
stating	VVG	state
the	DT	the
Army	NP	Army
does	VVZ	do
not	RB	not
distinguish	VV	distinguish
between	IN	between
working	VVG	work
for	IN	for
the	DT	the
media	NNS	medium
outlet	NN	outlet
and	CC	and
belonging	VVG	belong
to	TO	to
hamas's	NNS	hamas's
Armed	VVN	arm
Wing	NP	Wing
the	DT	the
Israeli	JJ	Israeli
military	NN	military
denies	VVZ	deny
the	DT	the
allegations	NNS	allegation
the	DT	the
committee	NN	committee
to	TO	to
protect	VV	protect
journalist	NN	journalist
says	VVZ	say
at	IN	at
least	JJS	least
103	CD	@card@
Palestinian	JJ	Palestinian
journalists	NNS	journalist
and	CC	and
media	NNS	medium
workers	NNS	worker
have	VHP	have
been	VBN	be
killed	VVN	kill
since	IN	since
Israel's	NP	Israel's
War	NP	War
Began	NP	Began
nearly	RB	nearly
30%	CD	@card@
worked	VVN	work
for	IN	for
Outlets	NNS	outlet
linked	VVN	link
to	TO	to
Hamas	JJ	Hamas
journalists	NNS	journalist
working	VVG	work
in	IN	in
Conflict	NN	conflict
areas	NNS	area
are	VBP	be
protected	VVN	protect
under	IN	under
International	NP	International
humanitarian	JJ	humanitarian
law	NN	law
well	NN	well
let's	NNS	let's
bring	VVP	bring
in	IN	in
hamda	NP	hamda
Salud	NP	Salud
for	IN	for
more	JJR	more
on	IN	on
this	DT	this
hamda	NN	hamda
is	VBZ	be
joining	VVG	join
us	PP	us
live	VVP	live
from	IN	from
Aman	NP	Aman
Jordan	NP	Jordan
because	IN	because
Israel	NP	Israel
government	NN	government
has	VHZ	have
banned	VVN	ban
Al	NP	Al
jazer	NN	jazer
from	IN	from
reporting	VVG	report
from	IN	from
there	RB	there
Walkers	NP	Walkers
through	IN	through
the	DT	the
investigation	NN	investigation
first	JJ	first
hamai	NN	hamai
the	DT	the
comments	NNS	comment
and	CC	and
backtrack	VV	backtrack
of	IN	of
the	DT	the
Israeli	JJ	Israeli
military	NN	military
well	RB	well
this	DT	this
all	RB	all
began	VVD	begin
when	WRB	when
the	DT	the
guardian	NN	guardian
began	VVD	begin
investigating	VVG	investigate
essentially	RB	essentially
a	DT	a
gray	JJ	gray
area	NN	area
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
military	NN	military
has	VHZ	have
when	WRB	when
targeting	VVG	target
Palestinian	JJ	Palestinian
journalists	NNS	journalist
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
working	VVG	work
for	IN	for
Outlets	NNS	outlet
that	WDT	that
are	VBP	be
based	VVN	base
there	RB	there
now	RB	now
it	PP	it
came	VVD	come
after	IN	after
a	DT	a
senior	JJ	senior
person	NN	person
who	WP	who
was	VBD	be
a	DT	a
spokesperson	NN	spokesperson
for	IN	for
the	DT	the
Israeli	JJ	Israeli
military	NN	military
said	VVD	say
essentially	RB	essentially
there	EX	there
is	VBZ	be
no	DT	no
difference	NN	difference
between	IN	between
working	VVG	work
for	IN	for
a	DT	a
media	NNS	medium
outlet	NN	outlet
that	WDT	that
is	VBZ	be
affiliated	VVN	affiliate
with	IN	with
Hamas	NNS	Hamas
and	CC	and
being	VBG	be
a	DT	a
fighter	NN	fighter
in	IN	in
the	DT	the
alasam	NN	alasam
brigades	NNS	brigade
meaning	VVG	mean
that	IN/that	that
he	PP	he
went	VVD	go
on	RP	on
to	TO	to
elaborate	VV	elaborate
that	IN/that	that
there	EX	there
is	VBZ	be
no	DT	no
differentiation	NN	differentiation
for	IN	for
the	DT	the
Israeli	JJ	Israeli
military	NN	military
between	IN	between
hamas's	NN	hamas's
polit	NN	polit
political	JJ	political
and	CC	and
Military	NP	Military
Wing	NP	Wing
now	RB	now
this	DT	this
then	RB	then
prompted	VVN	prompt
the	DT	the
Israeli	JJ	Israeli
military	NN	military
to	TO	to
release	VV	release
a	DT	a
correction	NN	correction
and	CC	and
a	DT	a
retraction	NN	retraction
saying	VVG	say
that	IN/that	that
