<	SYM	<
doc	NN	doc
>	SYM	>
DSA	NP	DSA
Jabari	NP	Jabari
joins	VVZ	join
us	PP	us
live	VV	live
from	IN	from
tan	JJ	tan
dorsa	NNS	dorsum
Iran	NP	Iran
is	VBZ	be
being	VBG	be
accused	VVN	accuse
of	IN	of
helping	VVG	help
plan	NN	plan
hamas	NN	hamas
'	POS	'
s	JJ	s
surprise	NN	surprise
attack	NN	attack
on	IN	on
Saturday	NP	Saturday
we	PP	we
'	POS	'
ve	NN	ve
since	IN	since
heard	VVN	hear
from	IN	from
the	DT	the
Iranian	JJ	Iranian
foreign	JJ	foreign
Ministry	NP	Ministry
and	CC	and
it	PP	it
had	VHD	have
some	DT	some
strong	JJ	strong
words	NNS	word
talk	VVP	talk
us	PP	us
through	IN	through
it	PP	it
yes	UH	yes
uh	UH	uh
during	IN	during
his	PP$	his
weekly	JJ	weekly
uh	UH	uh
press	NN	press
briefing	VVG	brief
the	DT	the
spokesperson	NN	spokesperson
uh	UH	uh
nasar	NN	nasar
Kanani	NP	Kanani
uh	UH	uh
dismissed	VVD	dismiss
the	DT	the
allegations	NNS	allegation
uh	UH	uh
and	CC	and
he	PP	he
said	VVD	say
that	IN/that	that
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
have	VHP	have
the	DT	the
will	MD	will
the	DT	the
capability	NN	capability
and	CC	and
the	DT	the
determination	NN	determination
to	TO	to
defend	VV	defend
themselves	PP	themselves
and	CC	and
any	DT	any
allegations	NNS	allegation
that	WDT	that
are	VBP	be
coming	VVG	come
towards	IN	towards
Iran	NP	Iran
are	VBP	be
politically	RB	politically
motivated	VVN	motivate
and	CC	and
they	PP	they
are	VBP	be
aimed	VVN	aim
at	IN	at
diverting	VVG	divert
public	JJ	public
opinion	NN	opinion
to	TO	to
justify	VV	justify
any	DT	any
possible	JJ	possible
actions	NNS	action
on	IN	on
Iran	NP	Iran
in	IN	in
the	DT	the
future	NN	future
he	PP	he
also	RB	also
said	VVD	say
if	IN	if
there	EX	there
were	VBD	be
to	TO	to
be	VB	be
any	DT	any
um	JJ	um
actions	NNS	action
taken	VVN	take
against	IN	against
Iran	NP	Iran
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
their	PP$	their
um	NN	um
the	DT	the
allegations	NNS	allegation
that	IN/that	that
they	PP	they
had	VHD	have
a	DT	a
possible	JJ	possible
role	NN	role
in	IN	in
planning	VVG	plan
and	CC	and
and	CC	and
um	NNS	um
assisting	VVG	assist
the	DT	the
attacks	NNS	attack
that	WDT	that
were	VBD	be
carried	VVN	carry
out	RP	out
on	IN	on
Saturday	NP	Saturday
and	CC	and
continue	VV	continue
to	TO	to
this	DT	this
day	NN	day
in	IN	in
Palestine	NP	Palestine
and	CC	and
Israel	NP	Israel
the	DT	the
that	IN/that	that
Iran	NP	Iran
will	MD	will
respond	VV	respond
harshly	RB	harshly
and	CC	and
that	IN/that	that
this	DT	this
is	VBZ	be
not	RB	not
something	NN	something
that	IN/that	that
um	NN	um
is	VBZ	be
even	VV	even
uh	UH	uh
remotely	RB	remotely
possible	JJ	possible
in	IN	in
the	DT	the
minds	NNS	mind
of	IN	of
the	DT	the
establishment	NN	establishment
here	RB	here
that	IN/that	that
what	WP	what
happened	VVD	happen
in	IN	in
Palestine	NP	Palestine
had	VHD	have
to	TO	to
do	VV	do
with	IN	with
years	NNS	year
of	IN	of
uh	UH	uh
occupation	NN	occupation
and	CC	and
oppression	NN	oppression
and	CC	and
that	DT	that
was	VBD	be
the	DT	the
result	NN	result
of	IN	of
um	NNS	um
not	RB	not
only	RB	only
Israeli	JJ	Israeli
policy	NN	policy
but	CC	but
also	RB	also
what	WDT	what
many	JJ	many
here	RB	here
believe	VVP	believe
to	TO	to
be	VB	be
Western	JJ	Western
policies	NNS	policy
towards	IN	towards
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
explain	VVP	explain
to	TO	to
our	PP$	our
International	NP	International
audience	NN	audience
the	DT	the
historical	JJ	historical
context	NN	context
of	IN	of
all	DT	all
of	IN	of
this	DT	this
why	NN	why
Iran	NP	Iran
is	VBZ	be
in	IN	in
some	DT	some
ways	NNS	way
a	DT	a
major	JJ	major
player	NN	player
uh	UH	uh
in	IN	in
this	DT	this
region	NN	region
well	RB	well
Iran	NP	Iran
since	IN	since
the	DT	the
revolution	NN	revolution
of	IN	of
1979	CD	@card@
has	VHZ	have
uh	UH	uh
really	RB	really
seen	VVN	see
itself	PP	itself
as	IN	as
a	DT	a
Shia	NP	Shia
minority	NN	minority
um	NNS	um
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
it	PP	it
is	VBZ	be
a	DT	a
Shia	NP	Shia
majority	NN	majority
country	NN	country
so	IN	so
there	EX	there
was	VBD	be
a	DT	a
number	NN	number
of	IN	of
steps	NNS	step
taken	VVN	take
by	IN	by
the	DT	the
founder	NN	founder
of	IN	of
the	DT	the
Revolution	NP	Revolution
aah	NN	aah
K	NP	K
to	TO	to
ensure	VV	ensure
that	IN/that	that
Iran	NP	Iran
'	POS	'
s	NN	S
position	NN	position
maintains	VVZ	maintain
uh	UH	uh
secure	VV	secure
one	PP	one
of	IN	of
them	PP	them
was	VBD	be
to	TO	to
align	VV	align
itself	PP	itself
with	IN	with
other	JJ	other
resistance	NN	resistance
groups	NNS	group
um	NNS	um
not	RB	not
just	RB	just
Shia	NP	Shia
resistance	NN	resistance
group	NN	group
like	IN	like
Hezbollah	NP	Hezbollah
but	CC	but
also	RB	also
like	IN	like
Hamas	NP	Hamas
and	CC	and
Islamic	NP	Islamic
Jihad	NP	Jihad
to	TO	to
ensure	VV	ensure
their	PP$	their
own	JJ	own
uh	UH	uh
existence	NN	existence
down	IN	down
the	DT	the
line	NN	line
and	CC	and
the	DT	the
existence	NN	existence
of	IN	of
Israel	NP	Israel
has	VHZ	have
always	RB	always
been	VBN	be
a	DT	a
point	NN	point
of	IN	of
contention	NN	contention
for	IN	for
Iran	NP	Iran
they	PP	they
believe	VVP	believe
that	IN/that	that
they	PP	they
don	VV	don
'	''	'
t	NN	t
believe	VVP	believe
Israel	NP	Israel
has	VHZ	have
a	DT	a
right	NN	right
to	TO	to
exist	VV	exist
as	IN	as
a	DT	a
nation	NN	nation
as	IN	as
a	DT	a
country	NN	country
and	CC	and
they	PP	they
'	POS	'
ve	NN	ve
never	RB	never
acknowledged	VVD	acknowledge
uh	UH	uh
that	WDT	that
uh	UH	uh
to	TO	to
be	VB	be
the	DT	the
case	NN	case
they	PP	they
say	VVP	say
Palestine	NP	Palestine
is	VBZ	be
um	VVG	um
a	DT	a
country	NN	country
that	WDT	that
has	VHZ	have
been	VBN	be
oppressed	VVN	oppress
so	RB	so
there	RB	there
'	''	'
s	VVG	s
a	DT	a
lot	NN	lot
of	IN	of
different	JJ	different
factors	NNS	factor
at	IN	at
play	NN	play
at	IN	at
the	DT	the
core	NN	core
of	IN	of
it	PP	it
of	IN	of
course	NN	course
it	PP	it
'	POS	'
s	NN	S
the	DT	the
their	PP$	their
own	JJ	own
existence	NN	existence
the	DT	the
Iran	NP	Iran
'	POS	'
s	JJ	s
own	JJ	own
security	NN	security
and	CC	and
existence	NN	existence
down	IN	down
the	DT	the
line	NN	line
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
and	CC	and
the	DT	the
role	NN	role
that	IN/that	that
they	PP	they
have	VHP	have
played	VVN	play
and	CC	and
they	PP	they
believe	VVP	believe
that	IN/that	that
that	WDT	that
the	DT	the
Palestinian	JJ	Palestinian
issue	NN	issue
has	VHZ	have
always	RB	always
been	VBN	be
an	DT	an
important	JJ	important
one	CD	one
for	IN	for
them	PP	them
because	IN	because
it	PP	it
also	RB	also
not	RB	not
only	JJ	only
um	NN	um
serves	VVZ	serve
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
and	CC	and
the	DT	the
nation	NN	nation
but	CC	but
also	RB	also
their	PP$	their
own	JJ	own
purpose	NN	purpose
as	RB	as
well	RB	well
in	IN	in
terms	NNS	term
of	IN	of
their	PP$	their
own	JJ	own
existence	NN	existence
down	IN	down
the	DT	the
line	NN	line
so	RB	so
there	RB	there
'	''	'
s	RB	s
been	VBN	be
a	DT	a
lot	NN	lot
of	IN	of
different	JJ	different
groups	NNS	group
and	CC	and
elements	NNS	element
that	IN/that	that
Iran	NP	Iran
has	VHZ	have
aligned	VVN	align
itself	PP	itself
with	IN	with
to	TO	to
serve	VV	serve
that	DT	that
purpose	NN	purpose
appreciate	VV	appreciate
you	PP	you
breaking	VVG	break
all	RB	all
down	RB	down
for	IN	for
us	PP	us
Dosa	NP	Dosa
Jabari	NP	Jabari
in	IN	in
tyan	NP	tyan
Muhammad	NP	Muhammad
Mandi	NP	Mandi
who	WP	who
is	VBZ	be
a	DT	a
political	JJ	political
analyst	NN	analyst
and	CC	and
a	DT	a
professor	NN	professor
