barari	VVG	barari
he	PP	he
'	POS	'
s	NNS	s
a	DT	a
professor	NN	professor
of	IN	of
international	JJ	international
Affairs	NPS	Affairs
at	IN	at
katar	NP	katar
University	NP	University
Hassan	NP	Hassan
thank	VVP	thank
you	PP	you
for	IN	for
joining	VVG	join
us	PP	us
again	RB	again
this	RB	this
us	PP	us
veto	VV	veto
for	IN	for
the	DT	the
Palestinian	JJ	Palestinian
bid	NN	bid
another	DT	another
Palestinian	JJ	Palestinian
bid	NN	bid
it	PP	it
feels	VVZ	feel
like	IN	like
it	PP	it
comes	VVZ	come
low	JJ	low
in	IN	in
a	DT	a
shifting	JJ	shifting
International	NP	International
landscape	NN	landscape
where	WRB	where
we	PP	we
are	VBP	be
actually	RB	actually
seeing	VVG	see
more	JJR	more
and	CC	and
more	JJR	more
countries	NNS	country
in	IN	in
favor	NN	favor
of	IN	of
of	IN	of
recognizing	VVG	recognize
Palestine	NP	Palestine
as	IN	as
a	DT	a
full	JJ	full
member	NN	member
yeah	RB	yeah
it	PP	it
is	VBZ	be
obvious	JJ	obvious
that	IN/that	that
the	DT	the
majority	NN	majority
of	IN	of
states	NNS	state
around	IN	around
the	DT	the
world	NN	world
came	VVD	come
to	TO	to
the	DT	the
realization	NN	realization
that	IN/that	that
probably	RB	probably
the	DT	the
only	JJ	only
way	NN	way
for	IN	for
solving	VVG	solve
or	CC	or
resolving	VVG	resolve
the	DT	the
Arab	JJ	Arab
Israeli	JJ	Israeli
conflict	NN	conflict
is	VBZ	be
by	IN	by
empowering	VVG	empower
the	DT	the
Palestinian	JJ	Palestinian
and	CC	and
giving	VVG	give
them	PP	them
a	DT	a
state	NN	state
and	CC	and
it	PP	it
seems	VVZ	seem
that	IN/that	that
only	RB	only
the	DT	the
United	NP	United
State	NP	State
who	WP	who
is	VBZ	be
not	RB	not
really	RB	really
on	IN	on
board	NN	board
and	CC	and
they	PP	they
actually	RB	actually
uh	UH	uh
making	VVG	make
the	DT	the
case	NN	case
that	IN/that	that
this	DT	this
would	MD	would
this	DT	this
should	MD	should
come	VV	come
after	IN	after
negotiation	NN	negotiation
problem	NN	problem
here	RB	here
that	IN/that	that
when	WRB	when
when	WRB	when
you	PP	you
say	VVP	say
this	DT	this
you	PP	you
give	VVP	give
the	DT	the
Israelis	NPS	Israelis
the	DT	the
the	DT	the
right	NN	right
to	TO	to
veto	VV	veto
any	DT	any
outcome	NN	outcome
because	IN	because
the	DT	the
Israelis	NPS	Israelis
have	VHP	have
not	RB	not
been	VBN	be
really	RB	really
forthcoming	JJ	forthcoming
when	WRB	when
it	PP	it
come	VVP	come
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
giving	VVG	give
the	DT	the
Palestinians	NPS	Palestinians
their	PP$	their
own	JJ	own
right	NN	right
to	TO	to
self	JJ	self
-	NN	-
determination	NN	determination
uh	UH	uh
so	RB	so
yes	RB	yes
as	IN	as
you	PP	you
said	VVD	say
from	IN	from
the	DT	the
G	NP	G
ago	RB	ago
there	RB	there
'	''	'
s	VVG	s
more	JJR	more
people	NNS	people
more	JJR	more
countries	NNS	country
around	IN	around
the	DT	the
World	NP	World
realize	VVP	realize
that	IN/that	that
the	DT	the
Palestinians	NPS	Palestinians
should	MD	should
be	VB	be
uh	UH	uh
see	VV	see
should	MD	should
be	VB	be
um	RB	um
given	VVN	give
their	PP$	their
independence	NN	independence
and	CC	and
should	MD	should
be	VB	be
admitted	VVN	admit
