yet	RB	yet
another	DT	another
round	NN	round
of	IN	of
talks	NNS	talk
to	TO	to
reach	VV	reach
a	DT	a
truce	NN	truce
in	IN	in
Gaza	NP	Gaza
repeated	VVD	repeat
attempts	NNS	attempt
have	VHP	have
so	RB	so
far	RB	far
failed	VVN	fail
to	TO	to
end	VV	end
Israel	NP	Israel
'	POS	'
s	NN	S
six	CD	six
-	NN	-
month	NN	month
war	NN	war
on	IN	on
the	DT	the
strip	NN	strip
with	IN	with
both	DT	both
Israel	NP	Israel
and	CC	and
Hamas	NP	Hamas
sticking	VVG	stick
to	TO	to
their	PP$	their
positions	NNS	position
will	MD	will
this	DT	this
round	NN	round
be	VB	be
any	DT	any
different	JJ	different
and	CC	and
is	VBZ	be
a	DT	a
deal	NN	deal
even	RB	even
possible	JJ	possible
this	DT	this
is	VBZ	be
Inside	NP	Inside
[	SYM	[
Music	NP	Music
]	SYM	]
Story	NN	story
hello	NN	hello
again	RB	again
I	NP	I
'	POS	'
m	NN	m
James	NP	James
Bay	NP	Bay
the	DT	the
latest	JJS	late
round	NN	round
of	IN	of
negotiations	NNS	negotiation
on	IN	on
a	DT	a
ceasefire	NN	ceasefire
in	IN	in
Gaza	NP	Gaza
is	VBZ	be
resuming	VVG	resume
in	IN	in
Karo	NP	Karo
an	DT	an
Israeli	JJ	Israeli
delegation	NN	delegation
is	VBZ	be
taking	VVG	take
part	NN	part
and	CC	and
Hamas	NN	Hamas
has	VHZ	have
also	RB	also
sent	VVN	send
Representatives	NNS	representative
after	IN	after
months	NNS	month
of	IN	of
talks	NNS	talk
the	DT	the
US	NP	US
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
is	VBZ	be
reported	VVN	report
to	TO	to
have	VH	have
written	VVN	write
to	TO	to
mediators	NNS	mediator
in	IN	in
Qatar	NP	Qatar
and	CC	and
Egypt	NP	Egypt
urging	VVG	urge
them	PP	them
to	TO	to
pressure	VV	pressure
Hamas	NNS	Hamas
to	TO	to
accept	VV	accept
a	DT	a
deal	NN	deal
but	CC	but
the	DT	the
armed	JJ	armed
group	NN	group
says	VVZ	say
it	PP	it
won	VVD	win
'	''	'
t	NN	t
deviate	NN	deviate
from	IN	from
its	PP$	its
demand	NN	demand
for	IN	for
a	DT	a
permanent	JJ	permanent
ceasefire	NN	ceasefire
something	NN	something
Israel	NP	Israel
has	VHZ	have
ruled	VVN	rule
out	RP	out
can	MD	can
the	DT	the
two	CD	two
sides	NNS	side
reach	VVP	reach
common	JJ	common
ground	NN	ground
this	DT	this
time	NN	time
and	CC	and
what	WP	what
leverage	NN	leverage
do	VVP	do
the	DT	the
mediators	NNS	mediator
have	VHP	have
to	TO	to
secure	VV	secure
a	DT	a
deal	NN	deal
we	PP	we
'	POS	'
ll	NNS	ll
discuss	VVP	discuss
all	DT	all
of	IN	of
these	DT	these
issues	NNS	issue
in	IN	in
a	DT	a
moment	NN	moment
with	IN	with
our	PP$	our
panel	NN	panel
but	CC	but
first	RB	first
this	DT	this
report	NN	report
from	IN	from
Victoria	NP	Victoria
gon	VVG	gon
B	NP	B
pressure	NN	pressure
is	VBZ	be
mounting	VVG	mount
on	IN	on
Israel	NP	Israel
'	POS	'
s	JJ	s
government	NN	government
to	TO	to
agree	VV	agree
to	TO	to
a	DT	a
ceasefire	NN	ceasefire
in	IN	in
Gaza	NP	Gaza
and	CC	and
secure	VV	secure
the	DT	the
release	NN	release
of	IN	of
Israeli	JJ	Israeli
captives	NNS	captive
that	WDT	that
'	POS	'
s	NN	S
as	IN	as
another	DT	another
round	NN	round
of	IN	of
negotiations	NNS	negotiation
