<video_id>YwR1T-MZ76E</video_id>	NP	<video_id>YwR1T-MZ76E</video_id>
<video_title>Israel	NP	<video_title>Israel
-	NN	-
Gaza	NP	Gaza
war:	NP	war:
Egypt	NP	Egypt
humanitarian	JJ	humanitarian
Aid	NN	aid
Convoy	NN	convoy
to	TO	to
Gaza</video_title>	NP	Gaza</video_title>
<thumbnail_path>data/en_AJ\Israel	NP	<thumbnail_path>data/en_AJ\Israel
-	NP	-
Gaza	NP	Gaza
war	NN	war
Egypt	NP	Egypt
humanitarian	JJ	humanitarian
Aid	NN	aid
Convoy	NN	convoy
to	TO	to
Gaza.jpg</thumbnail_path>	NP	Gaza.jpg</thumbnail_path>
<publish_date>20231015</publish_date>	NN	<publish_date>20231015</publish_date>
<doc>	NN	<doc>
sent	VVD	send
a	DT	a
humanitarian	JJ	humanitarian
Convoy	NN	convoy
to	TO	to
Gaza	NP	Gaza
it's	NNS	it's
on	IN	on
the	DT	the
way	NN	way
to	TO	to
the	DT	the
Rafa	NP	Rafa
border	NN	border
crossing	VVG	cross
carrying	VVG	carry
food	NN	food
water	NN	water
blankets	NNS	blanket
as	RB	as
well	RB	well
as	IN	as
coffins	NNS	coffin
countries	NNS	country
have	VHP	have
been	VBN	be
sending	VVG	send
humanitarian	JJ	humanitarian
aid	NN	aid
for	IN	for
Gaza	NP	Gaza
but	CC	but
Egypt	NP	Egypt
has	VHZ	have
been	VBN	be
waiting	VVG	wait
for	IN	for
the	DT	the
possibility	NN	possibility
to	TO	to
deliver	VV	deliver
it	PP	it
safely	RB	safely
inside	IN	inside
thousands	NNS	thousand
of	IN	of
Palestinians	NPS	Palestinians
are	VBP	be
also	RB	also
heading	VVG	head
for	IN	for
gaza's	NN	gaza's
border	NN	border
with	IN	with
Egypt	NP	Egypt
alzer's	NP	alzer's
Hisham	NP	Hisham
zot	NN	zot
has	VHZ	have
the	DT	the
latest	JJS	late
from	IN	from
the	DT	the
Rafa	NP	Rafa
Crossing	NN	crossing
where	WRB	where
people	NNS	people
are	VBP	be
waiting	VVG	wait
for	IN	for
that	DT	that
border	NN	border
to	TO	to
open	VV	open
we	PP	we
are	VBP	be
here	RB	here
at	IN	at
the	DT	the
Rafa	NP	Rafa
Crossing	NN	crossing
where	WRB	where
dozens	NNS	dozen
hundreds	NNS	hundred
of	IN	of
Palestinians	NPS	Palestinians
who	WP	who
have	VHP	have
different	JJ	different
citizenships	NNS	citizenship
are	VBP	be
gathering	VVG	gather
at	IN	at
the	DT	the
request	NN	request
of	IN	of
their	PP$	their
embassies	NNS	embassy
they've	NNS	they've
been	VBN	be
told	VVN	tell
the	DT	the
crossing	NN	crossing
will	MD	will
open	VV	open
from	IN	from
12:00	CD	@card@
noon	NN	noon
to	TO	to
5:00	CD	@card@
p.m.	NN	p.m.
but	CC	but
the	DT	the
crossing	NN	crossing
is	VBZ	be
still	RB	still
closed	VVN	close
and	CC	and
there's	RB	there's
no	DT	no
sign	NN	sign
it	PP	it
will	MD	will
open	VV	open
soon	RB	soon
people	NNS	people
here	RB	here
are	VBP	be
making	VVG	make
phone	NN	phone
calls	NNS	call
and	CC	and
sending	VVG	send
messages	NNS	message
but	CC	but
none	NN	none
have	VHP	have
received	VVN	receive
any	DT	any
positive	JJ	positive
responses	NNS	response
I'm	NN	I'm
a	DT	a
US	NP	US
citizen	NN	citizen
my	PP$	my
country	NN	country
told	VVD	tell
me	PP	me
to	TO	to
come	VV	come
here	RB	here
we	PP	we
went	VVD	go
through	IN	through
hell	NN	hell
coming	VVG	come
through	RP	through
here	RB	here
uh	UH	uh
it's	NNS	it's
like	IN	like
it's	NNS	it's
like	IN	like
a	DT	a
war	NN	war
zone	NN	zone
going	VVG	go
from	IN	from
the	DT	the
middle	NN	middle
of	IN	of
Gaza	NP	Gaza
all	RB	all
the	DT	the
way	NN	way
to	TO	to
the	DT	the
to	TO	to
the	DT	the
border	NN	border
of	IN	of
Gaza	NP	Gaza
and	CC	and
now	RB	now
we're	JJ	we're
going	VVG	go
home	NN	home
you	PP	you
know	VVP	know
empty-handed	JJ	empty-handed
we	PP	we
don't	VVD	don't
know	VV	know
what's	NNS	what's
going	VVG	go
on	IN	on
why	WRB	why
we	PP	we
were	VBD	be
told	VVN	tell
to	TO	to
come	VV	come
and	CC	and
when	WRB	when
are	VBP	be
we	PP	we
going	VVG	go
to	TO	to
get	VV	get
out	RP	out
of	IN	of
here	RB	here
it's	NNS	it's
hopeless	JJ	hopeless
my	PP$	my
message	NN	message
is	VBZ	be
to	TO	to
secretary	NN	secretary
blinkin	NN	blinkin
if	IN	if
if	IN	if
we	PP	we
were	VBD	be
Israelis	NPS	Israelis
would	MD	would
this	RB	this
happen	VV	happen
to	TO	to
us	PP	us
isra	NN	isra
American	JJ	American
Israelis	NPS	Israelis
already	RB	already
left	VVD	leave
and	CC	and
they	PP	they
leave	VVP	leave
every	DT	every
day	NN	day
Palestinian	JJ	Palestinian
Americans	NPS	Americans
cannot	MD	can
leave	VV	leave
and	CC	and
other	JJ	other
all	DT	all
other	JJ	other
citizenships	NNS	citizenship
like	IN	like
10	CD	@card@
different	JJ	different
citizenships	NNS	citizenship
around	IN	around
here	RB	here
they	PP	they
all	RB	all
have	VHP	have
women	NNS	woman
children	NNS	child
uh	UH	uh
old	JJ	old
people	NNS	people
they	PP	they
just	RB	just
can't	VVD	can't
keep	VV	keep
going	VVG	go
going	NN	going
through	IN	through
the	DT	the
danger	NN	danger
zone	NN	zone
all	PDT	all
the	DT	the
way	NN	way
from	IN	from
the	DT	the
the	DT	the
city	NN	city
all	RB	all
the	DT	the
way	NN	way
to	TO	to
the	DT	the
Border	NP	Border
we	PP	we
we	PP	we
actually	RB	actually
standing	VVG	stand
here	RB	here
don't	JJ	don't
know	VVP	know
what's	NNS	what's
going	VVG	go
to	TO	to
happen	VV	happen
one	CD	one
single	JJ	single
shell	NN	shell
could	MD	could
kill	VV	kill
everybody	NN	everybody
standing	VVG	stand
here	RB	here
my	PP$	my
other	JJ	other
message	NN	message
is	VBZ	be
to	TO	to
to	TO	to
President	NP	President
Biden	NP	Biden
we	PP	we
are	VBP	be
people	NNS	people
we	PP	we
are	VBP	be
people	NNS	people
we	PP	we
bleed	VVP	bleed
our	PP$	our
blood	NN	blood
is	VBZ	be
red	JJ	red
not	RB	not
black	JJ	black
not	RB	not
purple	JJ	purple
we	PP	we
bleed	VVP	bleed
just	RB	just
like	VV	like
they	PP	they
bleed	VV	bleed
and	CC	and
I	PP	I
ask	VVP	ask
him	PP	him
if	IN	if
one	CD	one
of	IN	of
your	PP$	your
kids	NNS	kid
in	IN	in
your	PP$	your
family	NN	family
did	VVD	do
something	RB	something
bad	JJ	bad
they	PP	they
think	VVP	think
it's	NNS	it's
right	RB	right
would	MD	would
you	PP	you
punish	VV	punish
the	DT	the
whole	JJ	whole
family	NN	family
or	CC	or
would	MD	would
you	PP	you
punish	VV	punish
that	IN/that	that
one	CD	one
single	JJ	single
kid	NN	kid
you're	NN	you're
doing	VVG	do
is	VBZ	be
is	VBZ	be
is	VBZ	be
like	IN	like
punishing	VVG	punish
Palestinians	NNS	Palestinian
for	IN	for
living	VVG	live
in	IN	in
Palestine	NP	Palestine
period	NN	period
and	CC	and
thank	VV	thank
you	PP	you
officials	NNS	official
here	RB	here
say	VVP	say
that	IN/that	that
the	DT	the
Crossing	NN	crossing
from	IN	from
this	DT	this
side	NN	side
is	VBZ	be
open	JJ	open
but	CC	but
they're	JJ	they're
waiting	VVG	wait
for	IN	for
a	DT	a
response	NN	response
from	IN	from
Egyptian	JJ	Egyptian
officials	NNS	official
on	IN	on
the	DT	the
other	JJ	other
side	NN	side
the	DT	the
Egyptian	JJ	Egyptian
authorities	NNS	authority
have	VHP	have
built	VVN	build
what	WP	what
looks	VVZ	look
like	IN	like
a	DT	a
concrete	JJ	concrete
wall	NN	wall
on	IN	on
their	PP$	their
side	NN	side
this	DT	this
will	MD	will
take	VV	take
some	DT	some
time	NN	time
probably	RB	probably
a	DT	a
few	JJ	few
days	NNS	day
to	TO	to
remove	VV	remove
before	IN	before
the	DT	the
problems	NNS	problem
here	RB	here
can	MD	can
be	VB	be
sorted	VVN	sort
out	IN	out
slad	NNS	slad
on	IN	on
aljazera	NN	aljazera
warnings	NNS	warning
of	IN	of
a	DT	a
widening	NN	widening
conflict	NN	conflict
cross	NN	cross
border	NN	border
violence	NN	violence
</doc>	NN	</doc>
