<video_id>sL5H6Q--4gY</video_id>	JJ	<video_id>sL5H6Q--4gY</video_id>
<video_title>Israel	NP	<video_title>Israel
attacks	NNS	attack
central	JJ	central
Gaza	NP	Gaza
as	IN	as
civilian	JJ	civilian
victims	NNS	victim
flood	NN	flood
overwhelmed	VVD	overwhelm
hospital</video_title>	JJ	hospital</video_title>
<thumbnail_path>data/en_AJ\Israel	NP	<thumbnail_path>data/en_AJ\Israel
attacks	NNS	attack
central	JJ	central
Gaza	NP	Gaza
as	IN	as
civilian	JJ	civilian
victims	NNS	victim
flood	NN	flood
overwhelmed	VVD	overwhelm
hospital.jpg</thumbnail_path>	JJ	hospital.jpg</thumbnail_path>
<publish_date>20240605</publish_date>	JJ	<publish_date>20240605</publish_date>
<doc>	NN	<doc>
for	IN	for
the	DT	the
past	JJ	past
30	CD	@card@
minutes	NNS	minute
we've	NN	we've
seen	VVN	see
nonstop	JJ	nonstop
ambulance	NN	ambulance
being	VBG	be
dispatched	VVN	dispatch
from	IN	from
alaka	NN	alaka
hospital	NN	hospital
all	PDT	all
the	DT	the
way	NN	way
to	TO	to
the	DT	the
side	NN	side
of	IN	of
the	DT	the
targeted	JJ	targeted
residential	JJ	residential
homes	NNS	home
and	CC	and
as	RB	as
you	PP	you
can	MD	can
see	VV	see
this	DT	this
is	VBZ	be
the	DT	the
probably	RB	probably
uh	UH	uh
if	IN	if
I'm	NP	I'm
not	RB	not
mistaken	VVN	mistake
this	DT	this
is	VBZ	be
the	DT	the
pr	NN	pr
of	IN	of
these	DT	these
ambulance	NN	ambulance
Vehicles	NNS	vehicle
bringing	VVG	bring
back	JJ	back
injuries	NNS	injury
back	RB	back
to	TO	to
the	DT	the
hospital	NN	hospital
side	NN	side
and	CC	and
as	RB	as
you	PP	you
can	MD	can
see	VV	see
these	DT	these
are	VBP	be
the	DT	the
casualties	NNS	casualty
uh	UH	uh
as	IN	as
a	DT	a
result	NN	result
of	IN	of
the	DT	the
attack	NN	attack
on	IN	on
Al	NP	Al
andazi	NN	andazi
refugee	NN	refugee
camp	NN	camp
another	DT	another
ambulance	NN	ambulance
just	RB	just
made	VVD	make
its	PP$	its
way	NN	way
all	RB	all
the	DT	the
way	NN	way
to	TO	to
the	DT	the
mor	NN	mor
because	IN	because
it's	NN	it's
carrying	VVG	carry
uh	UH	uh
what	WP	what
looks	VVZ	look
like	IN	like
body	NN	body
from	IN	from
uh	UH	uh
the	DT	the
uh	UH	uh
the	DT	the
attack	NN	attack
side	NN	side
this	DT	this
is	VBZ	be
the	DT	the
bomb	NN	bomb
HED	NP	HED
and	CC	and
the	DT	the
body	NN	body
was	VBD	be
carried	VVN	carry
all	PDT	all
the	DT	the
way	NN	way
to	TO	to
the	DT	the
morning	NN	morning
here	RB	here
what	WP	what
we	PP	we
look	VVP	look
at	IN	at
is	VBZ	be
a	DT	a
remaining	VVG	remain
family	NN	family
member	NN	member
who	WP	who
happened	VVD	happen
to	TO	to
be	VB	be
critically	RB	critically
injured	VVN	injure
but	CC	but
he	PP	he
was	VBD	be
in	IN	in
the	DT	the
ambulance	NN	ambulance
with	IN	with
another	DT	another
family	NN	family
member	NN	member
who	WP	who
was	VBD	be
pronounced	VVN	pronounce
dead	JJ	dead
right	NN	right
at	IN	at
the	DT	the
site	NN	site
of	IN	of
the	DT	the
attack	NN	attack
this	DT	this
has	VHZ	have
been	VBN	be
going	VVG	go
on	IN	on
for	IN	for
the	DT	the
past	JJ	past
30	CD	@card@
minutes	NNS	minute
or	CC	or
so	RB	so
and	CC	and
