<video_id>aki-FsEX4MA</video_id>	NP	<video_id>aki-FsEX4MA</video_id>
<video_title>Israel	NP	<video_title>Israel
bombs	VVZ	bomb
Jabalia	NP	Jabalia
Camp	NP	Camp
throughout	IN	throughout
the	DT	the
night</video_title>	JJ	night</video_title>
<thumbnail_path>data/en_AJ\Israel	NP	<thumbnail_path>data/en_AJ\Israel
bombs	NNS	bomb
Jabalia	NP	Jabalia
Camp	NP	Camp
throughout	IN	throughout
the	DT	the
night.jpg</thumbnail_path>	JJ	night.jpg</thumbnail_path>
<publish_date>20231117</publish_date>	NN	<publish_date>20231117</publish_date>
<doc>	NN	<doc>
let's	NNS	let's
bring	VVP	bring
in	IN	in
thk	NP	thk
Abu	NP	Abu
aoom	NN	aoom
he	PP	he
is	VBZ	be
in	IN	in
canun	NN	canun
in	IN	in
the	DT	the
southern	JJ	southern
part	NN	part
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
we	PP	we
have	VHP	have
seen	VVN	see
pictures	NNS	picture
thic	JJ	thic
of	IN	of
those	DT	those
Israeli	JJ	Israeli
strikes	NNS	strike
bringing	VVG	bring
down	RP	down
multi-story	JJ	multi-story
residential	JJ	residential
buildings	NNS	building
in	IN	in
jabalia	NN	jabalia
what's	NNS	what's
the	DT	the
latest	JJS	late
you're	NN	you're
hearing	NN	hearing
about	IN	about
the	DT	the
situation	NN	situation
there	RB	there
yes	RB	yes
Elizabeth	NP	Elizabeth
the	DT	the
attack	NN	attack
on	IN	on
jabalia	NN	jabalia
refugee	NN	refugee
camp	NN	camp
had	VHD	have
been	VBN	be
renewed	VVN	renew
during	IN	during
the	DT	the
last	JJ	last
couple	NN	couple
of	IN	of
hours	NNS	hour
targeting	VVG	target
multiple	JJ	multiple
residential	JJ	residential
houses	NNS	house
in	IN	in
one	CD	one
the	DT	the
same	JJ	same
uh	UH	uh
neighborhood	NN	neighborhood
in	IN	in
the	DT	the
north	JJ	north
uh	UH	uh
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
as	IN	as
11	CD	@card@
Palestinians	NPS	Palestinians
have	VHP	have
been	VBN	be
killed	VVN	kill
due	RB	due
to	TO	to
this	DT	this
air	NN	air
strike	NN	strike
While	IN	while
others	NNS	other
are	VBP	be
still	RB	still
under	IN	under
the	DT	the
Ruffles	NNS	ruffle
waiting	VVG	wait
for	IN	for
the	DT	the
civil	JJ	civil
defense	NN	defense
team	NN	team
to	TO	to
be	VB	be
evacuated	VVN	evacuate
from	IN	from
the	DT	the
uh	UH	uh
from	IN	from
the	DT	the
location	NN	location
of	IN	of
the	DT	the
targeting	VVG	target
as	IN	as
Israeli	JJ	Israeli
forces	NNS	force
had	VHD	have
intensified	VVN	intensify
the	DT	the
rates	NNS	rate
and	CC	and
the	DT	the
domains	NNS	domain
of	IN	of
its	PP$	its
attacks	NNS	attack
in	IN	in
the	DT	the
north	NN	north
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
including	VVG	include
jabalia	NN	jabalia
refugee	NN	refugee
camp	NN	camp
it's	NNS	it's
also	RB	also
uh	UH	uh
important	JJ	important
to	TO	to
mention	VV	mention
that	DT	that
jabalia	NN	jabalia
refugee	NN	refugee
camp	NN	camp
has	VHZ	have
been	VBN	be
multiply	RB	multiply
attacked	VVN	attack
by	IN	by
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
in	IN	in
multiple	JJ	multiple
occasions	NNS	occasion
as	IN	as
hundreds	NNS	hundred
of	IN	of
civilians	NNS	civilian
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
this	DT	this
uh	UH	uh
small	JJ	small
refugee	NN	refugee
Camp	NP	Camp
which	WDT	which
considered	VVD	consider
to	TO	to
be	VB	be
the	DT	the
most	RBS	most
densely	RB	densely
populated	VVD	populate
uh	UH	uh
refugee	NN	refugee
camp	NN	camp
inside	IN	inside
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
it's	NNS	it's
it's	NNS	it's
also	RB	also
essential	JJ	essential
to	TO	to
know	VV	know
that	IN/that	that
people	NNS	people
are	VBP	be
still	RB	still
inside	IN	inside
this	DT	this
refugee	NN	refugee
camp	NN	camp
Sheltering	VVG	shelter
in	IN	in
United	NP	United
Nations	NPS	Nations
shelters	NNS	shelter
and	CC	and
even	RB	even
in	IN	in
the	DT	the
vicinity	NN	vicinity
of	IN	of
the	DT	the
the	DT	the
Indonesian	JJ	Indonesian
hospital	NN	hospital
where	WRB	where
they	PP	they
are	VBP	be
running	VVG	run
extremely	RB	extremely
low	JJ	low
in	IN	in
food	NN	food
and	CC	and
water	NN	water
and	CC	and
they	PP	they
cannot	MD	can
really	RB	really
have	VH	have
any	DT	any
safe	JJ	safe
passage	NN	passage
out	RP	out
of	IN	of
the	DT	the
uh	UH	uh
north	NN	north
of	IN	of
their	PP$	their
territory	NN	territory
as	IN	as
Israel	NP	Israel
keeps	VVZ	keep
pounding	VVG	pound
everyone	NN	everyone
is	VBZ	be
moving	VVG	move
in	IN	in
inside	IN	inside
the	DT	the
uh	UH	uh
territory	NN	territory
as	IN	as
also	RB	also
the	DT	the
attacks	NNS	attack
continue	VVP	continue
even	RB	even
in	IN	in
the	DT	the
southern	JJ	southern
areas	NNS	area
of	IN	of
Gaza	NP	Gaza
Strip	NP	Strip
which	WDT	which
considered	VVD	consider
to	TO	to
be	VB	be
safe	JJ	safe
for	IN	for
evacuees	NNS	evacuee
yeah	RB	yeah
we	PP	we
have	VHP	have
a	DT	a
situation	NN	situation
where	WRB	where
residential	JJ	residential
areas	NNS	area
across	IN	across
Gaza	NP	Gaza
are	VBP	be
being	VBG	be
bombed	VVN	bomb
but	CC	but
people	NNS	people
are	VBP	be
not	RB	not
able	JJ	able
to	TO	to
get	VV	get
the	DT	the
care	NN	care
they	PP	they
need	VVP	need
after	IN	after
being	VBG	be
injured	VVN	injure
in	IN	in
those	DT	those
bombings	NNS	bombing
if	IN	if
they've	NN	they've
survived	VVD	survive
those	DT	those
bombings	NNS	bombing
at	IN	at
hospitals	NNS	hospital
what	WP	what
is	VBZ	be
the	DT	the
situation	NN	situation
in	IN	in
hospitals	NNS	hospital
now	RB	now
tar	VVP	tar
we	PP	we
heard	VVN	hear
from	IN	from
the	DT	the
head	NN	head
of	IN	of
the	DT	the
Indonesian	JJ	Indonesian
Hospital	NN	hospital
saying	VVG	say
they	PP	they
can't	VVD	can't
take	VV	take
in	IN	in
any	DT	any
more	JJR	more
patients	NNS	patient
they're	NN	they're
already	RB	already
unable	JJ	unable
to	TO	to
care	VV	care
for	IN	for
those	DT	those
who	WP	who
are	VBP	be
there	RB	there
that's	NNS	that's
true	JJ	true
simply	RB	simply
because	IN	because
the	DT	the
hospitals	NNS	hospital
have	VHP	have
been	VBN	be
absolutely	RB	absolutely
uh	UH	uh
running	VVG	run
out	RP	out
of	IN	of
service	NN	service
during	IN	during
due	JJ	due
to	TO	to
the	DT	the
Israeli	JJ	Israeli
Relentless	JJ	relentless
attacks	NNS	attack
and	CC	and
the	DT	the
massive	JJ	massive
shortage	NN	shortage
of	IN	of
medical	JJ	medical
supplies	NNS	supply
also	RB	also
the	DT	the
capacity	NN	capacity
of	IN	of
the	DT	the
beds	NNS	bed
inside	IN	inside
the	DT	the
hospitals	NNS	hospital
are	VBP	be
completely	RB	completely
reach	VV	reach
slits	NNS	slit
as	IN	as
they	PP	they
are	VBP	be
no	RB	no
longer	RBR	longer
able	JJ	able
to	TO	to
have	VH	have
more	JJR	more
patients	NNS	patient
and	CC	and
injured	JJ	injured
people	NNS	people
it's	NNS	it's
also	RB	also
worth	JJ	worth
mentioning	VVG	mention
that	IN/that	that
these	DT	these
hospitals	NNS	hospital
were	VBD	be
witnessing	VVG	witness
massive	JJ	massive
and	CC	and
even	RB	even
clear	JJ	clear
deterioration	NN	deterioration
in	IN	in
the	DT	the
medical	JJ	medical
conditions	NNS	condition
as	IN	as
they	PP	they
were	VBD	be
running	VVG	run
low	JJ	low
in	IN	in
terms	NNS	term
of	IN	of
a	DT	a
fuel	VV	fuel
uh	UH	uh
since	IN	since
the	DT	the
early	JJ	early
beginning	NN	beginning
of	IN	of
this	DT	this
war	NN	war
as	IN	as
the	DT	the
ongoing	JJ	ongoing
blackout	NN	blackout
of	IN	of
electricity	NN	electricity
started	VVN	start
after	IN	after
the	DT	the
attack	NN	attack
of	IN	of
Hamas	JJ	Hamas
movement	NN	movement
on	IN	on
the	DT	the
7th	JJ	7th
of	IN	of
uh	UH	uh
uh	UH	uh
generally	RB	generally
October	NP	October
what	WP	what
is	VBZ	be
also	RB	also
essential	JJ	essential
to	TO	to
know	VV	know
about	IN	about
the	DT	the
hospitals	NNS	hospital
is	VBZ	be
that	IN/that	that
patients	NNS	patient
are	VBP	be
on	IN	on
the	DT	the
ground	NN	ground
taking	VVG	take
uh	UH	uh
taking	VVG	take
even	VV	even
uh	UH	uh
receiving	VVG	receive
medical	JJ	medical
treatment	NN	treatment
by	IN	by
doctors	NNS	doctor
who	WP	who
are	VBP	be
trying	VVG	try
to	TO	to
provide	VV	provide
manual	JJ	manual
primitive	JJ	primitive
ways	NNS	way
of	IN	of
medical	JJ	medical
care	NN	care
for	IN	for
those	DT	those
patients	NNS	patient
and	CC	and
the	DT	the
ongoing	JJ	ongoing
lack	NN	lack
of	IN	of
medical	JJ	medical
supplies	NNS	supply
and	CC	and
needs	VVZ	need
and	CC	and
there	EX	there
are	VBP	be
also	RB	also
patients	NNS	patient
the	DT	the
don't	NN	don't
have	VHP	have
even	RB	even
enough	JJ	enough
food	NN	food
and	CC	and
water	NN	water
to	TO	to
survive	VV	survive
so	RB	so
despite	IN	despite
even	RB	even
the	DT	the
difficulty	NN	difficulty
and	CC	and
the	DT	the
the	DT	the
severe	JJ	severe
uh	UH	uh
