thank	VV	thank
you	PP	you
for	IN	for
joining	VVG	join
us	PP	us
Israel	NP	Israel
'	POS	'
s	NN	S
Army	NN	army
is	VBZ	be
continuing	VVG	continue
its	PP$	its
offensive	NN	offensive
in	IN	in
Central	NP	Central
and	CC	and
Southern	NP	Southern
Gaza	NP	Gaza
despite	IN	despite
claims	NNS	claim
its	PP$	its
shifting	VVG	shift
to	TO	to
a	DT	a
lower	JJR	low
intensity	NN	intensity
phase	NN	phase
of	IN	of
the	DT	the
war	NN	war
Israeli	JJ	Israeli
air	NN	air
strikes	NNS	strike
have	VHP	have
targeted	VVN	target
residential	JJ	residential
neighborhoods	NNS	neighborhood
in	IN	in
Rafa	NP	Rafa
and	CC	and
can	MD	can
Unis	NNS	uni
in	IN	in
the	DT	the
South	JJ	South
leaving	VVG	leave
Palestinians	NPS	Palestinians
searching	VVG	search
for	IN	for
survivors	NNS	survivor
under	IN	under
the	DT	the
rubble	NN	rubble
more	JJR	more
than	IN	than
23	CD	@card@
,	,	,
000	CD	@card@
people	NNS	people
have	VHP	have
been	VBN	be
killed	VVN	kill
since	IN	since
October	NP	October
the	DT	the
7th	JJ	7th
now	NN	now
casualties	NNS	casualty
are	VBP	be
also	RB	also
mounting	VVG	mount
for	IN	for
the	DT	the
Israeli	JJ	Israeli
military	NN	military
as	IN	as
Hamas	JJ	Hamas
Fighters	NNS	fighter
confront	VVP	confront
troops	NNS	troop
across	IN	across
moner	NN	moner
strip	NN	strip
the	DT	the
Israeli	JJ	Israeli
military	NN	military
says	VVZ	say
four	CD	four
more	JJR	more
soldiers	NNS	soldier
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
the	DT	the
Battlefront	NN	battlefront
while	IN	while
Hamas	NP	Hamas
says	VVZ	say
nine	CD	nine
were	VBD	be
killed	VVN	kill
that	WDT	that
brings	VVZ	bring
the	DT	the
number	NN	number
of	IN	of
soldiers	NNS	soldier
killed	VVN	kill
since	IN	since
the	DT	the
ground	NN	ground
Invasion	NN	invasion
began	VVD	begin
10	CD	@card@
weeks	NNS	week
ago	RB	ago
to	TO	to
more	JJR	more
than	IN	than
180	CD	@card@
let	NN	let
'	POS	'
s	NNS	s
get	VVP	get
the	DT	the
latest	JJS	late
from	IN	from
our	PP$	our
correspondent	NN	correspondent
in	IN	in
Gaza	NP	Gaza
Han	NP	Han
Mahmud	NP	Mahmud
who	WP	who
joins	VVZ	join
us	PP	us
live	VV	live
from	IN	from
Rafa	NP	Rafa
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
honey	NN	honey
so	IN	so
Israeli	JJ	Israeli
claims	NNS	claim
that	IN/that	that
it	PP	it
'	POS	'
s	NN	S
began	VVD	begin
a	DT	a
new	JJ	new
less	CC	less
intense	JJ	intense
phase	NN	phase
of	IN	of
its	PP$	its
war	NN	war
on	IN	on
the	DT	the
ground	NN	ground
but	CC	but
