<video_id>GTTM9H6CnS8</video_id>	NP	<video_id>GTTM9H6CnS8</video_id>
<video_title>Israel	NP	<video_title>Israel
has	VHZ	have
become	VVN	become
a	DT	a
‘liability’	NN	‘liability’
to	TO	to
the	DT	the
US	NP	US
and	CC	and
greater	JJR	great
Middle	NP	Middle
East:	NP	East:
Marwan	NP	Marwan
Bishara</video_title>	NP	Bishara</video_title>
<thumbnail_path>data/en_AJ\Israel	NP	<thumbnail_path>data/en_AJ\Israel
has	VHZ	have
become	VVN	become
a	DT	a
‘liability’	NN	‘liability’
to	TO	to
the	DT	the
US	NP	US
and	CC	and
greater	JJR	great
Middle	NP	Middle
East	NP	East
Marwan	NP	Marwan
Bishara.jpg</thumbnail_path>	NP	Bishara.jpg</thumbnail_path>
<publish_date>20231114</publish_date>	NN	<publish_date>20231114</publish_date>
<doc>	NN	<doc>
bring	VV	bring
in	IN	in
our	PP$	our
senior	JJ	senior
political	JJ	political
analyst	NN	analyst
now	RB	now
Maan	NP	Maan
bashara	NP	Bashara
and	CC	and
M	NP	M
we've	NN	we've
got	VVD	get
the	DT	the
UN	NP	UN
today	NN	today
remembering	VVG	remember
the	DT	the
terrible	JJ	terrible
loss	NN	loss
of	IN	of
life	NN	life
in	IN	in
Gaza	NP	Gaza
1001	CD	@card@
of	IN	of
their	PP$	their
employees	NNS	employee
even	RB	even
as	IN	as
it	PP	it
remains	VVZ	remain
polarized	VVN	polarize
and	CC	and
paralyzed	VVN	paralyze
at	IN	at
the	DT	the
top	NN	top
of	IN	of
the	DT	the
organization	NN	organization
and	CC	and
it	PP	it
can't	VVD	can't
stop	VV	stop
any	DT	any
of	IN	of
these	DT	these
deaths	NNS	death
no	RB	no
as	IN	as
Secretary	NP	Secretary
General	NP	General
gutterz	NP	gutterz
said	VVD	say
they	PP	they
don't	VVD	don't
have	VH	have
the	DT	the
power	NN	power
and	CC	and
don't	NN	don't
have	VHP	have
the	DT	the
money	NN	money
but	CC	but
the	DT	the
only	JJ	only
thing	NN	thing
they	PP	they
do	VVP	do
have	VH	have
is	VBZ	be
the	DT	the
voice	NN	voice
and	CC	and
they	PP	they
are	VBP	be
now	RB	now
more	RBR	more
more	JJR	more
than	IN	than
before	IN	before
voicing	VVG	voice
U	NP	U
their	PP$	their
uh	UH	uh
displeasure	NN	displeasure
if	IN	if
not	RB	not
their	PP$	their
condemnation	NN	condemnation
of	IN	of
what	WP	what
is	VBZ	be
going	VVG	go
on	RP	on
and	CC	and
clearly	RB	clearly
the	DT	the
this	DT	this
manifestation	NN	manifestation
as	IN	as
it	PP	it
were	VBD	be
of	IN	of
the	DT	the
flag	NN	flag
is	VBZ	be
a	DT	a
scream	NN	scream
it's	NNS	it's
more	RBR	more
than	IN	than
a	DT	a
voice	NN	voice
it's	NN	it's
it's	NNS	it's
really	RB	really
a	DT	a
scream	NN	scream
of	IN	of
help	NN	help
as	IN	as
well	NN	well
as	IN	as
uh	UH	uh
as	IN	as
a	DT	a
you	PP	you
know	VVP	know
a	DT	a
condemnation	NN	condemnation
of	IN	of
the	DT	the
killing	NN	killing
of	IN	of
the	DT	the
uh	UH	uh
of	IN	of
their	PP$	their
own	JJ	own
staff	NN	staff
you	PP	you
know	VVP	know
but	RB	but
but	CC	but
the	DT	the
question	NN	question
that	IN/that	that
that	DT	that
keeps	VVZ	keep
coming	VVG	come
to	TO	to
mind	VV	mind
uh	UH	uh
the	DT	the
last	JJ	last
five	CD	five
weeks	NNS	week
is	VBZ	be
why	WRB	why
is	VBZ	be
it	PP	it
that	IN/that	that
that	WDT	that
this	DT	this
little	JJ	little
naughty	JJ	naughty
State	NP	State
Israel	NP	Israel
can	MD	can
be	VB	be
in	IN	in
such	JJ	such
grave	JJ	grave
violation	NN	violation
of	IN	of
un	NN	un
resolutions	NNS	resolution
un	JJ	un
Security	NP	Security
Solutions	NNS	solution
can	MD	can
be	VB	be
in	IN	in
grave	JJ	grave
uh	UH	uh
violation	NN	violation
of	IN	of
international	JJ	international
law	NN	law
can	VV	can
uh	UH	uh
attack	VV	attack
the	DT	the
UN	NP	UN
Secretary	NP	Secretary
General	NP	General
personally	RB	personally
for	IN	for
making	VVG	make
a	DT	a
speech	NN	speech
saying	VVG	say
none	NN	none
of	IN	of
this	DT	this
could	MD	could
happen	VV	happen
in	IN	in
a	DT	a
vacuum	NN	vacuum
as	IN	as
if	IN	if
the	DT	the
the	DT	the
response	NN	response
is	VBZ	be
this	DT	this
could	MD	could
happen	VV	happen
in	IN	in
a	DT	a
vacuum	NN	vacuum
you	PP	you
know	VVP	know
so	RB	so
and	CC	and
then	RB	then
the	DT	the
killing	NN	killing
of	IN	of
the	DT	the
UN	NP	UN
staff	NN	staff
and	CC	and
so	RB	so
on	IN	on
so	RB	so
forth	RB	forth
and	CC	and
and	CC	and
then	RB	then
making	VVG	make
all	PDT	all
these	DT	these
aggressive	JJ	aggressive
um	JJ	um
apprehensive	JJ	apprehensive
attacks	NNS	attack
on	IN	on
the	DT	the
UN	NP	UN
and	CC	and
the	DT	the
and	CC	and
it	PP	it
and	CC	and
its	PP$	its
staff	NN	staff
it	PP	it
begs	VVZ	beg
the	DT	the
question	NN	question
in	IN	in
the	DT	the
end	NN	end
shouldn't	NN	shouldn't
be	VB	be
censured	VVN	censure
shouldn't	NN	shouldn't
be	VB	be
frozen	VVN	freeze
or	CC	or
something	NN	something
shouldn't	NN	shouldn't
the	DT	the
UN	NP	UN
take	VV	take
certain	JJ	certain
measures	NNS	measure
about	IN	about
a	DT	a
country	NN	country
that	WDT	that
is	VBZ	be
an	DT	an
affront	NN	affront
not	RB	not
only	RB	only
to	TO	to
its	PP$	its
Soul	NN	soul
and	CC	and
Spirit	NN	spirit
but	CC	but
it's	NNS	it's
also	RB	also
an	DT	an
enemy	NN	enemy
of	IN	of
its	PP$	its
own	JJ	own
staff	NN	staff
I	PP	I
wonder	VVP	wonder
well	RB	well
an	DT	an
extension	NN	extension
of	IN	of
that	DT	that
is	VBZ	be
why	WRB	why
does	VVZ	do
the	DT	the
US	NP	US
support	VV	support
it	PP	it
wholeheartedly	RB	wholeheartedly
of	IN	of
course	NN	course
the	DT	the
US	NP	US
has	VHZ	have
uh	UH	uh
the	DT	the
politics	NNS	politics
and	CC	and
the	DT	the
policy	NN	policy
and	CC	and
the	DT	the
strategy	NN	strategy
the	DT	the
politics	NNS	politics
of	IN	of
course	NN	course
now	RB	now
it's	JJ	it's
a	DT	a
it's	NNS	it's
a	DT	a
it's	NN	it's
a	DT	a
scandal	NN	scandal
around	IN	around
the	DT	the
world	NN	world
how	WRB	how
lobbies	NNS	lobby
in	IN	in
Washington	NP	Washington
tend	VVP	tend
to	TO	to
influence	VV	influence
politics	NNS	politics
and	CC	and
especially	RB	especially
foreign	JJ	foreign
policy	NN	policy
and	CC	and
the	DT	the
Israel	NP	Israel
Lobby	NN	lobby
which	WDT	which
should	MD	should
be	VB	be
distinguished	VVN	distinguish
from	IN	from
a	DT	a
Jewish	JJ	Jewish
Lobby	NN	lobby
the	DT	the
Israel	NP	Israel
Lobby	NN	lobby
in	IN	in
Washington	NP	Washington
which	WDT	which
is	VBZ	be
a	DT	a
combination	NN	combination
of	IN	of
Evangelical	JJ	evangelical
Christians	NNS	Christian
the	DT	the
military	JJ	military
industrial	JJ	industrial
complex	NN	complex
as	RB	as
well	RB	well
as	IN	as
various	JJ	various
radical	JJ	radical
Zionist	JJ	Zionist
organizations	NNS	organization
in	IN	in
America	NP	America
all	DT	all
of	IN	of
them	PP	them
really	RB	really
have	VHP	have
huge	JJ	huge
influence	NN	influence
on	IN	on
decision	NN	decision
making	VVG	make
especially	RB	especially
in	IN	in
Congress	NP	Congress
but	CC	but
also	RB	also
on	IN	on
the	DT	the
White	NP	White
House	NP	House
and	CC	and
then	RB	then
there	EX	there
is	VBZ	be
the	DT	the
idea	NN	idea
that	DT	that
uh	UH	uh
you	PP	you
know	VVP	know
Biden	NP	Biden
and	CC	and
others	NNS	other
have	VHP	have
sold	VVN	sell
to	TO	to
the	DT	the
American	JJ	American
public	NN	public
that	IN/that	that
Israel	NP	Israel
is	VBZ	be
some	DT	some
kind	NN	kind
of	IN	of
an	DT	an
aircraft	NN	aircraft
carrier	NN	carrier
in	IN	in
the	DT	the
Mediterranean	NP	Mediterranean
that	IN/that	that
without	IN	without
Israel	NP	Israel
if	IN	if
it	PP	it
didn't	VVD	didn't
exist	VV	exist
we	PP	we
would	MD	would
have	VH	have
created	VVN	create
Israel	NP	Israel
because	IN	because
it	PP	it
serves	VVZ	serve
our	PP$	our
interest	NN	interest
interest	NN	interest
you	PP	you
know	VVP	know
this	DT	this
might	MD	might
have	VH	have
been	VBN	be
correct	JJ	correct
sometime	RB	sometime
between	IN	between
1970	CD	@card@
and	CC	and
1984	CD	@card@
maybe	RB	maybe
