Let	NP	Let
'	POS	'
s	NNS	s
cross	VVP	cross
over	RP	over
to	TO	to
Zack	NP	Zack
kir	NN	kir
he	PP	he
'	POS	'
s	NNS	s
a	DT	a
resident	NN	resident
at	IN	at
the	DT	the
al	NP	al
-	NN	-
shatti	NN	shatti
refugee	NN	refugee
camp	NN	camp
on	IN	on
the	DT	the
coastline	NN	coastline
of	IN	of
Gaza	NP	Gaza
joins	VVZ	join
us	PP	us
now	RB	now
live	VVP	live
good	JJ	good
to	TO	to
have	VH	have
you	PP	you
with	IN	with
us	PP	us
uh	UH	uh
on	IN	on
the	DT	the
program	NN	program
we	PP	we
saw	VVD	see
in	IN	in
the	DT	the
last	JJ	last
24	CD	@card@
hours	NNS	hour
there	RB	there
was	VBD	be
no	DT	no
communication	NN	communication
for	IN	for
many	JJ	many
thousands	NNS	thousand
of	IN	of
gazin	JJ	gazin
uh	UH	uh
what	WP	what
was	VBD	be
that	DT	that
situation	NN	situation
like	IN	like
for	IN	for
you	PP	you
and	CC	and
your	PP$	your
family	NN	family
uh	UH	uh
hi	UH	hi
uh	UH	uh
what	WP	what
I	PP	I
can	MD	can
say	VV	say
what	WP	what
we	PP	we
'	POS	'
re	NN	re
going	VVG	go
through	IN	through
now	RB	now
is	VBZ	be
beyond	IN	beyond
words	NNS	word
beyond	IN	beyond
the	DT	the
description	NN	description
Beyond	IN	beyond
imagination	NN	imagination
Beyond	IN	beyond
any	DT	any
language	NN	language
ability	NN	ability
to	TO	to
to	TO	to
express	VV	express
what	WP	what
we	PP	we
are	VBP	be
what	WP	what
we	PP	we
are	VBP	be
experiencing	VVG	experience
now	RB	now
we	PP	we
he	PP	he
about	IN	about
genocide	NN	genocide
Holocaust	NN	holocaust
massacres	VVZ	massacre
now	RB	now
we	PP	we
live	VVP	live
in	IN	in
it	PP	it
day	NN	day
and	CC	and
night	NN	night
what	WP	what
is	VBZ	be
the	DT	the
world	NN	world
waiting	VVG	wait
for	IN	for
we	PP	we
don	VVP	don
'	''	'
t	NN	t
have	VHP	have
water	NN	water
we	PP	we
are	VBP	be
scarce	JJ	scarce
like	IN	like
you	PP	you
know	VVP	know
we	PP	we
have	VHP	have
scarcity	NN	scarcity
of	IN	of
everything	NN	everything
we	PP	we
are	VBP	be
short	JJ	short
of	IN	of
everything	NN	everything
but	CC	but
death	NN	death
our	PP$	our
neighbors	NNS	neighbor
about	IN	about
100	CD	@card@
meters	NNS	meter
away	RB	away
from	IN	from
where	WRB	where
I	PP	I
I	PP	I
live	VVP	live
from	IN	from
my	PP$	my
house	NN	house
were	VBD	be
bombed	VVN	bomb
the	DT	the
night	NN	night
before	IN	before
and	CC	and
it	PP	it
was	VBD	be
it	PP	it
'	POS	'
s	JJ	s
complete	JJ	complete
darkness	NN	darkness
people	NNS	people
at	IN	at
night	NN	night
stay	NN	stay
at	IN	at
their	PP$	their
houses	NNS	house
they	PP	they
can	MD	can
'	''	'
t	NN	t
go	VVP	go
anywhere	RB	anywhere
it	PP	it
'	POS	'
s	JJ	s
complete	JJ	complete
darkness	NN	darkness
and	CC	and
they	PP	they
are	VBP	be
scared	VVN	scare
if	IN	if
they	PP	they
bomb	VVP	bomb
a	DT	a
house	NN	house
at	IN	at
night	NN	night
time	NN	time
because	IN	because
you	PP	you
can	MD	can
'	''	'
t	NN	t
see	VV	see
anything	NN	anything
people	NNS	people
can	MD	can
like	VV	like
you	PP	you
know	VVP	know
can	MD	can
die	VV	die
under	IN	under
you	PP	you
know	VVP	know
the	DT	the
rubel	NN	rubel
37	CD	@card@
people	NNS	people
in	IN	in
that	DT	that
family	NN	family
were	VBD	be
killed	VVN	kill
and	CC	and
it	PP	it
took	VVD	take
them	PP	them
more	JJR	more
than	IN	than
a	DT	a
day	NN	day
and	CC	and
some	DT	some
people	NNS	people
some	RB	some
remains	VVZ	remain
still	RB	still
under	IN	under
the	DT	the
house	NN	house
and	CC	and
we	PP	we
don	VVP	don
'	''	'
t	NN	t
have	VHP	have
the	DT	the
like	IN	like
you	PP	you
know	VVP	know
the	DT	the
the	DT	the
tools	NNS	tool
to	TO	to
take	VV	take
you	PP	you
know	VV	know
to	TO	to
take	VV	take
them	PP	them
out	RP	out
short	RB	short
of	IN	of
ambulances	NNS	ambulance
short	JJ	short
of	IN	of
fuel	NN	fuel
short	JJ	short
of	IN	of
water	NN	water
water	NN	water
water	NN	water
water	NN	water
we	PP	we
don	VVP	don
'	''	'
t	NN	t
have	VHP	have
water	NN	water
we	PP	we
don	VVP	don
'	''	'
t	NN	t
have	VHP	have
enough	RB	enough
in	IN	in
ter	NN	ter
everybody	NN	everybody
in	IN	in
the	DT	the
street	NN	street
they	PP	they
have	VHP	have
they	PP	they
hold	VVP	hold
their	PP$	their
gallons	NNS	gallon
and	CC	and
they	PP	they
walking	VVG	walk
around	IN	around
they	PP	they
looking	VVG	look
for	IN	for
drinking	VVG	drink
water	VV	water
it	PP	it
'	''	'
s	VVG	s
it	PP	it
'	POS	'
s	NNS	s
a	DT	a
crisis	NN	crisis
like	IN	like
you	PP	you
know	VVP	know
it	PP	it
'	''	'
s	VVG	s
it	PP	it
'	POS	'
s	NNS	s
a	DT	a
catastrophe	NN	catastrophe
it	PP	it
'	''	'
s	VVG	s
it	PP	it
'	POS	'
s	NNS	s
a	DT	a
Holocaust	NN	holocaust
in	IN	in
terms	NNS	term
of	IN	of
not	RB	not
being	VBG	be
able	JJ	able
to	TO	to
what	WP	what
the	DT	the
world	NN	world
are	VBP	be
waiting	VVG	wait
for	IN	for
we	PP	we
are	VBP	be
human	JJ	human
beings	NNS	being
Mr	NP	Mr
H	NP	H
I	PP	I
want	VVP	want
to	TO	to
tell	VV	tell
Jo	NP	Jo
Biden	NP	Biden
and	CC	and
for	IN	for
line	NN	line
and	CC	and
Son	NP	Son
10	CD	@card@
,	,	,
000	CD	@card@
people	NNS	people
killed	VVN	kill
is	VBZ	be
that	IN/that	that
enough	RB	enough
3	CD	@card@
,	,	,
000	CD	@card@
and	CC	and
half	JJ	half
kids	NNS	kid
killed	VVN	kill
is	VBZ	be
enough	RB	enough
how	WRB	how
many	DT	many
more	RBR	more
you	PP	you
want	VVP	want
what	WP	what
did	VVD	do
we	PP	we
do	VVP	do
to	TO	to
the	DT	the
USA	NP	USA
to	TO	to
Britain	NP	Britain
what	WP	what
did	VVD	do
we	PP	we
do	VVP	do
we	PP	we
are	VBP	be
a	DT	a
human	JJ	human
being	NN	being
we	PP	we
are	VBP	be
civilians	NNS	civilian
we	PP	we
look	VVP	look
at	IN	at
our	PP$	our
kids	NNS	kid
and	CC	and
we	PP	we
cry	VVP	cry
our	PP$	our
heart	NN	heart
is	VBZ	be
broken	VVN	break
our	PP$	our
hearts	NNS	heart
are	VBP	be
dead	JJ	dead
we	PP	we
can	MD	can
'	''	'
t	NN	t
do	VVP	do
anything	NN	anything
we	PP	we
are	VBP	be
helpless	JJ	helpless
we	PP	we
'	''	'
re	IN	re
just	RB	just
waiting	VVG	wait
for	IN	for
a	DT	a
bomb	NN	bomb
all	RB	all
all	RB	all
around	IN	around
us	PP	us
we	PP	we
hearing	VVG	hear
the	DT	the
sounds	NNS	sound
is	VBZ	be
very	RB	very
very	RB	very
scary	JJ	scary
people	NNS	people
are	VBP	be
very	RB	very
scared	VVN	scare
girls	NNS	girl
boys	NNS	boy
they	PP	they
are	VBP	be
shaking	VVG	shake
when	WRB	when
they	PP	they
hear	VVP	hear
the	DT	the
bombs	NNS	bomb
too	RB	too
loud	RB	loud
too	RB	too
strong	JJ	strong
it	PP	it
it	PP	it
can	MD	can
'	''	'
t	NN	t
be	VB	be
described	VVN	describe
what	WP	what
are	VBP	be
you	PP	you
waiting	VVG	wait
for	IN	for
do	VVP	do
you	PP	you
want	VVP	want
to	TO	to
starve	VV	starve
us	PP	us
to	TO	to
death	NN	death
or	CC	or
you	PP	you
want	VVP	want
to	TO	to
kill	VV	kill
us	PP	us
what	WP	what
did	VVD	do
we	PP	we
do	VVP	do
to	TO	to
the	DT	the
world	NN	world
we	PP	we
have	VHP	have
been	VBN	be
going	VVG	go
going	VVG	go
through	IN	through
this	DT	this
for	IN	for
the	DT	the
last	JJ	last
75	CD	@card@
years	NNS	year
what	WP	what
did	VVD	do
the	DT	the
world	NN	world
do	VVP	do
for	IN	for
us	PP	us
nothing	NN	nothing
I	PP	I
just	RB	just
want	VVP	want
to	TO	to
tell	VV	tell
you	PP	you
all	PDT	all
the	DT	the
mask	NN	mask
now	RB	now
is	VBZ	be
taken	VVN	take
off	RP	off
and	CC	and
you	PP	you
are	VBP	be
showing	VVG	show
your	PP$	your
real	JJ	real
B	NP	B
you	PP	you
'	''	'
re	IN	re
not	RB	not
a	DT	a
human	NN	human
you	PP	you
don	VVP	don
'	''	'
t	NN	t
have	VHP	have
conscious	JJ	conscious
because	IN	because
if	IN	if
you	PP	you
do	VVP	do
you	PP	you
will	MD	will
ask	VV	ask
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
now	RB	now
and	CC	and
save	VV	save
the	DT	the
innocent	JJ	innocent
people	NNS	people
and	CC	and
the	DT	the
innocent	JJ	innocent
kids	NNS	kid
how	WRB	how
come	VVN	come
how	WRB	how
come	VV	come
this	DT	this
the	DT	the
world	NN	world
is	VBZ	be
accept	VV	accept
in	IN	in
this	NN	this
to	TO	to
to	TO	to
go	VV	go
on	RP	on
with	IN	with
in	IN	in
constant	JJ	constant
fear	NN	fear
constant	JJ	constant
bombing	VVG	bomb
we	PP	we
we	PP	we
hear	VVP	hear
the	DT	the
sounds	VVZ	sound
all	PDT	all
the	DT	the
time	NN	time
day	NN	day
and	CC	and
night	NN	night
we	PP	we
go	VVP	go
to	TO	to
bed	VV	bed
in	IN	in
fear	NN	fear
we	PP	we
hug	VVP	hug
each	DT	each
other	JJ	other
when	WRB	when
we	PP	we
don	VVP	don
'	''	'
t	NN	t
know	VVP	know
if	IN	if
we	PP	we
going	VVG	go
to	TO	to
wake	VV	wake
up	RP	up
or	CC	or
not	RB	not
how	WRB	how
long	RB	long
how	WRB	how
long	RB	long
you	PP	you
want	VVP	want
how	WRB	how
many	JJ	many
people	NNS	people
you	PP	you
want	VVP	want
to	TO	to
be	VB	be
killed	VVN	kill
to	TO	to
do	VV	do
something	NN	something
to	TO	to
ask	VV	ask
for	IN	for
a	DT	a
ceas	NNS	ceas
fire	NN	fire
look	VVP	look
you	PP	you
'	''	'
re	IN	re
hearing	VVG	hear
now	RB	now
this	DT	this
we	PP	we
don	VVP	don
'	''	'
t	NN	t
know	VV	know
where	WRB	where
is	VBZ	be
it	PP	it
now	RB	now
again	RB	again
and	CC	and
we	PP	we
living	NN	living
with	IN	with
this	RB	this
all	PDT	all
the	DT	the
day	NN	day
all	DT	all
night	NN	night
and	CC	and
we	PP	we
don	VVP	don
'	''	'
t	NN	t
have	VHP	have
scares	NNS	scare
of	IN	of
food	NN	food
water	NN	water
we	PP	we
don	VVP	don
'	''	'
t	NN	t
have	VHP	have
water	NN	water
we	PP	we
worry	VVP	worry
about	RB	about
water	VV	water
most	JJS	most
Mr	NN	Mr
we	PP	we
don	VVP	don
'	''	'
t	NN	t
know	VVP	know
what	WP	what
to	TO	to
do	VV	do
it	PP	it
'	POS	'
s	NN	S
hard	JJ	hard
to	TO	to
know	VV	know
what	WP	what
to	TO	to
say	VV	say
after	IN	after
what	WP	what
you	PP	you
'	POS	'
ve	NN	ve
just	RB	just
said	VVD	say
because	IN	because
I	PP	I
think	VVP	think
it	PP	it
involves	VVZ	involve
nothing	NN	nothing
more	RBR	more
than	IN	than
understanding	VVG	understand
the	DT	the
pain	NN	pain
that	IN/that	that
you	PP	you
'	''	'
re	IN	re
going	VVG	go
through	RP	through
right	RB	right
now	RB	now
and	CC	and
it	PP	it
certainly	RB	certainly
resonates	VVZ	resonate
with	IN	with
the	DT	the
many	JJ	many
millions	NNS	million
that	WDT	that
are	VBP	be
watching	VVG	watch
Al	NP	Al
jazer	NN	jazer
at	IN	at
this	DT	this
moment	NN	moment
um	NN	um
I	PP	I
know	VVP	know
that	IN/that	that
our	PP$	our
Newsroom	NN	newsroom
has	VHZ	have
fallen	VVN	fall
silent	JJ	silent
by	IN	by
what	WP	what
you	PP	you
'	POS	'
ve	NN	ve
just	RB	just
said	VVD	say
and	CC	and
um	VVD	um
the	DT	the
pain	NN	pain
and	CC	and
the	DT	the
suffering	NN	suffering
that	IN/that	that
you	PP	you
and	CC	and
your	PP$	your
family	NN	family
and	CC	and
your	PP$	your
neighbors	NNS	neighbor
are	VBP	be
experiencing	VVG	experience
um	NNS	um
cannot	MD	can
really	RB	really
be	VB	be
described	VVN	describe
in	IN	in
any	DT	any
more	RBR	more
perfect	JJ	perfect
way	NN	way
than	IN	than
the	DT	the
way	NN	way
you	PP	you
'	POS	'
ve	NN	ve
just	RB	just
told	VVD	tell
us	PP	us
now	RB	now
live	VVP	live
on	IN	on
television	NN	television
it	PP	it
'	POS	'
s	NNS	s
easy	JJ	easy
for	IN	for
us	PP	us
to	TO	to
sit	VV	sit
here	RB	here
in	IN	in
a	DT	a
nice	JJ	nice
please	VV	please
we	PP	we
want	VV	want
please	UH	please
please	UH	please
please	UH	please
we	PP	we
want	VVP	want
this	DT	this
fire	NN	fire
and	CC	and
it	PP	it
'	POS	'
s	NNS	s
easy	JJ	easy
for	IN	for
us	PP	us
to	TO	to
actually	RB	actually
say	VV	say
yes	UH	yes
we	PP	we
understand	VVP	understand
and	CC	and
yes	UH	yes
we	PP	we
understand	VVP	understand
your	PP$	your
plight	NN	plight
but	CC	but
actually	RB	actually
we	PP	we
don	VV	don
'	''	'
t	NN	t
we	PP	we
don	VVP	don
'	''	'
t	NN	t
understand	VV	understand
what	WP	what
you	PP	you
'	''	'
re	IN	re
going	VVG	go
through	RP	through
but	CC	but
we	PP	we
'	POS	'
re	NN	re
hearing	VVG	hear
it	PP	it
from	IN	from
you	PP	you
and	CC	and
so	RB	so
is	VBZ	be
the	DT	the
global	JJ	global
audience	NN	audience
and	CC	and
I	PP	I
think	VVP	think
that	IN/that	that
if	IN	if
anything	NN	anything
happens	VVZ	happen
certainly	RB	certainly
with	IN	with
what	WP	what
you	PP	you
'	POS	'
ve	NN	ve
said	VVD	say
the	DT	the
politicians	NNS	politician
that	WDT	that
are	VBP	be
listening	VVG	listen
and	CC	and
watching	VVG	watch
Al	NP	Al
jazer	NN	jazer
right	NN	right
now	RB	now
should	MD	should
be	VB	be
taking	VVG	take
note	NN	note
of	IN	of
what	WP	what
you	PP	you
'	POS	'
ve	NN	ve
said	VVD	say
in	IN	in
the	DT	the
coming	VVG	come
hours	NNS	hour
we	PP	we
'	POS	'
re	NN	re
hoping	VVG	hope
for	IN	for
more	RBR	more
we	PP	we
'	POS	'
re	NN	re
hoping	VVG	hope
for	IN	for
we	PP	we
'	POS	'
re	NN	re
hoping	VVG	hope
for	IN	for
more	JJR	more
reaction	NN	reaction
