interrupt	VV	interrupt
you	PP	you
honey	VV	honey
respectfully	RB	respectfully
John	NP	John
Kirby	NP	Kirby
is	VBZ	be
uh	UH	uh
briefing	NN	briefing
reporters	NNS	reporter
at	IN	at
the	DT	the
White	NP	White
House	NP	House
following	VVG	follow
that	IN/that	that
Biden	NP	Biden
Netanyahu	NP	Netanyahu
phone	NN	phone
call	NN	call
said	VVD	say
you	PP	you
have	VHP	have
said	VVN	say
up	RP	up
in	IN	in
this	DT	this
Podium	NN	podium
several	JJ	several
times	NNS	time
that	IN/that	that
that	WDT	that
the	DT	the
Hamas	NN	Hamas
was	VBD	be
the	DT	the
obstacle	NN	obstacle
to	TO	to
getting	VVG	get
some	DT	some
sort	NN	sort
of	IN	of
seire	NN	seire
deal	NN	deal
calling	VVG	call
on	IN	on
Israelis	NPS	Israelis
to	TO	to
empower	VV	empower
The	DT	the
Negotiator	NN	negotiator
suggest	VVP	suggest
that	IN/that	that
it	PP	it
'	POS	'
s	NN	S
changed	VVD	change
as	IN	as
the	DT	the
US	NP	US
assessment	NN	assessment
of	IN	of
Israel	NP	Israel
willingness	NN	willingness
to	TO	to
reach	VV	reach
a	DT	a
ceasefire	NN	ceasefire
deal	VV	deal
uh	UH	uh
change	NN	change
in	IN	in
the	DT	the
last	JJ	last
several	JJ	several
weeks	NNS	week
no	RB	no
it	PP	it
look	VVP	look
it	PP	it
takes	VVZ	take
it	PP	it
takes	VVZ	take
active	JJ	active
participation	NN	participation
and	CC	and
the	DT	the
negotiation	NN	negotiation
of	IN	of
both	DT	both
sides	NNS	side
here	RB	here
um	JJ	um
and	CC	and
uh	UH	uh
and	CC	and
what	WP	what
the	DT	the
president	NN	president
is	VBZ	be
urging	VVG	urge
he	PP	he
'	POS	'
s	NN	S
certainly	RB	certainly
in	IN	in
the	DT	the
call	NN	call
with	IN	with
Netanyahu	NP	Netanyahu
urging	VVG	urge
that	IN/that	that
that	WDT	that
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
empowered	VVD	empower
his	PP$	his
team	NN	team
to	TO	to
the	DT	the
maximum	JJ	maximum
extent	NN	extent
possible	JJ	possible
to	TO	to
see	VV	see
if	IN	if
we	PP	we
can	MD	can
get	VV	get
this	DT	this
deal	NN	deal
in	IN	in
place	NN	place
and	CC	and
then	RB	then
just	RB	just
on	IN	on
the	DT	the
substance	NN	substance
the	DT	the
real	JJ	real
news	NN	news
from	IN	from
the	DT	the
president	NN	president
'	POS	'
s	NN	S
statement	NN	statement
there	RB	there
saying	VVG	say
that	IN/that	that
he	PP	he
'	POS	'
s	NNS	s
going	VVG	go
to	TO	to
conditioned	JJ	conditioned
creat	NN	creat
support	NN	support
for	IN	for
this	DT	this
uh	UH	uh
for	IN	for
Israeli	NP	Israeli
the	DT	the
Israeli	JJ	Israeli
operations	NNS	operation
in	IN	in
Gaza	NP	Gaza
um	NNS	um
on	IN	on
what	WP	what
Israel	NP	Israel
does	VVZ	do
first	JJ	first
off	IN	off
what	WP	what
is	VBZ	be
at	IN	at
stake	NN	stake
what	WP	what
would	MD	would
be	VB	be
potentially	RB	potentially
cut	VVN	cut
off	RP	off
uh	UH	uh
from	IN	from
Israel	NP	Israel
for	IN	for
using	VVG	use
this	DT	this
war	NN	war
if	IN	if
uh	UH	uh
if	IN	if
it	PP	it
doesn	NN	doesn
'	POS	'
t	NN	t
change	NN	change
and	CC	and
second	JJ	second
what	WP	what
do	VVP	do
you	PP	you
want	VVP	want
specifically	RB	specifically
to	TO	to
see	VV	see
from	IN	from
Israel	NP	Israel
or	CC	or
to	TO	to
do	VV	do
to	TO	to
protect	VV	protect
civilians	NNS	civilian
and	CC	and
humanitarian	JJ	humanitarian
Aid	NN	aid
workers	NNS	worker
I	NP	I
'	POS	'
m	NN	m
not	RB	not
going	VVG	go
to	TO	to
preview	NN	preview
um	VVG	um
uh	UH	uh
any	DT	any
potential	JJ	potential
policy	NN	policy
decisions	NNS	decision
coming	VVG	come
forward	RB	forward
um	JJ	um
what	WP	what
we	PP	we
want	VVP	want
to	TO	to
see	VV	see
are	VBP	be
some	DT	some
real	JJ	real
changes	VVZ	change
uh	UH	uh
on	IN	on
the	DT	the
Israeli	JJ	Israeli
side	NN	side
um	NNS	um
and	CC	and
um	NNS	um
you	PP	you
know	VVP	know
if	IN	if
we	PP	we
don	NN	don
'	POS	'
t	NN	t
see	VVP	see
changes	NNS	change
from	IN	from
their	PP$	their
side	NN	side
they	PP	they
'	POS	'
ll	NNS	ll
have	VHP	have
to	TO	to
be	VB	be
changes	NNS	change
from	IN	from
our	PP$	our
side	NN	side
but	CC	but
I	PP	I
won	VVD	win
'	''	'
t	NN	t
preview	NN	preview
what	WP	what
that	RB	that
could	MD	could
look	VV	look
like	IN	like
now	RB	now
they	PP	they
talked	VVD	talk
about	RB	about
what	WP	what
I	PP	I
'	POS	'
m	NN	m
sorry	RB	sorry
is	VBZ	be
that	IN/that	that
just	RB	just
the	DT	the
