<video_id>RDsPwIAih3c</video_id>	NP	<video_id>RDsPwIAih3c</video_id>
<video_title>Israel	NP	<video_title>Israel
not	RB	not
agreeing	VVG	agree
to	TO	to
main	JJ	main
demands:	JJ	demands:
Hamas	JJ	Hamas
official</video_title>	NN	official</video_title>
<thumbnail_path>data/en_AJ\Israel	NNS	<thumbnail_path>data/en_AJ\Israel
not	RB	not
agreeing	VVG	agree
to	TO	to
main	JJ	main
demands	NNS	demand
Hamas	JJ	Hamas
official.jpg</thumbnail_path>	NN	official.jpg</thumbnail_path>
<publish_date>20240307</publish_date>	NN	<publish_date>20240307</publish_date>
<doc>	NN	<doc>
well	RB	well
a	DT	a
Hamas	JJ	Hamas
delegation	NN	delegation
has	VHZ	have
left	VVN	leave
KIRO	NP	KIRO
without	IN	without
a	DT	a
breakthrough	NN	breakthrough
in	IN	in
cesa	NN	cesa
negotiations	NNS	negotiation
broken	VVN	break
by	IN	by
Egypt	NP	Egypt
by	IN	by
Qatar	NP	Qatar
and	CC	and
by	IN	by
the	DT	the
United	NP	United
States	NPS	States
but	CC	but
the	DT	the
group	NN	group
says	VVZ	say
the	DT	the
talks	NNS	talk
have	VHP	have
not	RB	not
collapsed	VVN	collapse
and	CC	and
it	PP	it
will	MD	will
continue	VV	continue
negotiating	VVG	negotiate
through	IN	through
mediators	NNS	mediator
badram	NN	badram
is	VBZ	be
a	DT	a
member	NN	member
of	IN	of
the	DT	the
political	JJ	political
Bureau	NP	Bureau
of	IN	of
herass	NN	herass
and	CC	and
joins	VVZ	join
us	PP	us
now	RB	now
live	VVP	live
sir	NN	sir
first	JJ	first
of	IN	of
all	DT	all
can	MD	can
we	PP	we
just	RB	just
clarify	VV	clarify
if	IN	if
we	PP	we
could	MD	could
first	RB	first
of	IN	of
all	PDT	all
your	PP$	your
negotiating	VVG	negotiate
delegation	NN	delegation
has	VHZ	have
left	VVN	leave
the	DT	the
talks	NNS	talk
but	CC	but
the	DT	the
talks	NNS	talk
will	MD	will
continue	VV	continue
how	WRB	how
is	VBZ	be
that	IN/that	that
going	VVG	go
to	TO	to
happen	VV	happen
and	CC	and
where	WRB	where
in	IN	in
the	DT	the
name	NN	name
of	IN	of
Allah	NP	Allah
Almighty	JJ	almighty
at	IN	at
the	DT	the
beginning	VVG	begin
delegation	NN	delegation
of	IN	of
Hamas	NP	Hamas
has	VHZ	have
left	VVN	leave
Cairo	NP	Cairo
today	NN	today
to	TO	to
meet	VV	meet
with	IN	with
the	DT	the
leaders	NNS	leader
of	IN	of
Hamas	NNS	Hamas
for	IN	for
more	JJR	more
consultations	NNS	consultation
regarding	VVG	regard
what's	NNS	what's
going	VVG	go
on	IN	on
and	CC	and
regarding	VVG	regard
the	DT	the
recent	JJ	recent
round	NN	round
of	IN	of
talks	NNS	talk
in	IN	in
Cairo	NP	Cairo
it	PP	it
is	VBZ	be
clear	JJ	clear
