<video_id>-dxsBJu_VCA</video_id>	JJ	<video_id>-dxsBJu_VCA</video_id>
<video_title>Israel	NP	<video_title>Israel
orders	NNS	order
Rafah	NP	Rafah
evacuation	NN	evacuation
ahead	RB	ahead
of	IN	of
military	JJ	military
operation</video_title>	JJ	operation</video_title>
<thumbnail_path>data/en_AJ\Israel	NP	<thumbnail_path>data/en_AJ\Israel
orders	NNS	order
Rafah	NP	Rafah
evacuation	NN	evacuation
ahead	RB	ahead
of	IN	of
military	JJ	military
operation.jpg</thumbnail_path>	JJ	operation.jpg</thumbnail_path>
<publish_date>20240506</publish_date>	NN	<publish_date>20240506</publish_date>
<doc>	NN	<doc>
We	PP	we
Begin	NP	Begin
this	DT	this
with	IN	with
breaking	VVG	break
news	NN	news
now	RB	now
from	IN	from
Rafa	NP	Rafa
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
has	VHZ	have
warned	VVN	warn
all	DT	all
residents	NNS	resident
and	CC	and
displaced	VVN	displace
people	NNS	people
to	TO	to
leave	VV	leave
the	DT	the
Eastern	JJ	eastern
neighborhoods	NNS	neighborhood
of	IN	of
Rafa	NP	Rafa
it	PP	it
says	VVZ	say
they	PP	they
must	MD	must
move	VV	move
to	TO	to
the	DT	the
AL	NP	al
maasi	NN	maasi
area	NN	area
near	IN	near
the	DT	the
coastline	NN	coastline
that's	NNS	that's
ahead	RB	ahead
of	IN	of
what	WP	what
it	PP	it
says	VVZ	say
will	MD	will
be	VB	be
the	DT	the
use	NN	use
of	IN	of
extreme	JJ	extreme
force	NN	force
in	IN	in
the	DT	the
eastern	JJ	eastern
part	NN	part
of	IN	of
the	DT	the
city	NN	city
more	JJR	more
than	IN	than
1	CD	@card@
and	CC	and
a	DT	a
half	JJ	half
million	CD	million
people	NNS	people
have	VHP	have
been	VBN	be
Sheltering	VVG	shelter
in	IN	in
Rafa	NP	Rafa
after	IN	after
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
forced	VVD	force
them	PP	them
out	RP	out
of	IN	of
Northern	NP	Northern
and	CC	and
Central	NP	Central
Gaza	NP	Gaza
we're	NP	we're
joined	VVD	join
uh	UH	uh
Now	RB	now
by	IN	by
hany	NP	hany
Mahmud	NP	Mahmud
who's	NNS	who's
in	IN	in
Rafa	NP	Rafa
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
hany	NN	hany
what's	NNS	what's
happening	VVG	happen
there	RB	there
on	IN	on
the	DT	the
ground	NN	ground
right	RB	right
now	RB	now
yes	RB	yes
we're	NN	we're
following	VVG	follow
an	DT	an
intense	JJ	intense
night	NN	night
of	IN	of
extreme	JJ	extreme
air	NN	air
strikes	VVZ	strike
Relentless	JJ	relentless
air	NN	air
strikes	NNS	strike
across	IN	across
the	DT	the
eastern	JJ	eastern
and	CC	and
the	DT	the
central	JJ	central
part	NN	part
of	IN	of
RA	NP	RA
City	NP	City
uh	UH	uh
caused	VVD	cause
the	DT	the
uh	UH	uh
the	DT	the
murder	NN	murder
of	IN	of
20	CD	@card@
people	NNS	people
so	RB	so
far	RB	far
mostly	RB	mostly
women	NNS	woman
and	CC	and
children	NNS	child
there	RB	there
military	JJ	military
as	IN	as
early	JJ	early
hours	NNS	hour
this	DT	this
morning	NN	morning
issued	VVD	issue
statements	NNS	statement
along	IN	along
with	IN	with
a	DT	a
map	NN	map
for	IN	for
evacuation	NN	evacuation
the	DT	the
orders	NNS	order
are	VBP	be
very	RB	very
extreme	JJ	extreme
very	RB	very
sharp	JJ	sharp
and	CC	and
used	JJ	used
intimidating	VVG	intimidate
language	NN	language
describing	VVG	describe
what's	NNS	what's
going	VVG	go
to	TO	to
happen	VV	happen
at	IN	at
the	DT	the
eastern	JJ	eastern
part	NN	part
of	IN	of
the	DT	the
city	NN	city
as	RB	as
with	IN	with
along	RB	along
with	IN	with
the	DT	the
use	NN	use
of	IN	of
extreme	JJ	extreme
force	NN	force
and	CC	and
extreme	JJ	extreme
military	JJ	military
operations	NNS	operation
going	VVG	go
to	TO	to
take	VV	take
place	NN	place
at	IN	at
the	DT	the
eastern	JJ	eastern
part	NN	part
of	IN	of
RA	NP	RA
City	NP	City
that	WDT	that
includes	VVZ	include
all	PDT	all
the	DT	the
area	NN	area
Eastern	NP	Eastern
of	IN	of
Salah	NP	Salah
Road	NP	Road
and	CC	and
almost	RB	almost
close	VV	close
to	TO	to
the	DT	the
center	JJ	center
uh	UH	uh
RAF	NN	RAF
City	NN	city
that's	NNS	that's
at	IN	at
the	DT	the
Western	JJ	Western
uh	UH	uh
part	NN	part
of	IN	of
Salah	NP	Salah
road	NN	road
that	WDT	that
will	MD	will
include	VV	include
definitely	RB	definitely
ra	JJ	ra
Crossings	NNS	crossing
and	CC	and
as	RB	as
of	IN	of
yesterday	NN	yesterday
we	PP	we
we	PP	we
learned	VVD	learn
that	IN/that	that
K	NP	K
Salam	NP	Salam
Crossing	NN	crossing
is	VBZ	be
being	VBG	be
completely	RB	completely
shut	VVN	shut
down	RP	down
and	CC	and
the	DT	the
operation	NN	operation
right	RB	right
now	RB	now
that	IN/that	that
that	WDT	that
is	VBZ	be
included	VVN	include
uh	UH	uh
ra	NNS	ra
right	RB	right
now	RB	now
including	VVG	include
in	IN	in
the	DT	the
evacuation	NN	evacuation
orders	NNS	order
will	MD	will
be	VB	be
uh	UH	uh
closed	VVD	close
as	RB	as
soon	RB	soon
as	IN	as
the	DT	the
operation	NN	operation
is	VBZ	be
started	VVN	start
in	IN	in
the	DT	the
eastern	JJ	eastern
part	NN	part
of	IN	of
of	IN	of
Raa	NP	Raa
City	NP	City
people	NNS	people
are	VBP	be
in	IN	in
a	DT	a
state	NN	state
of	IN	of
panic	NN	panic
and	CC	and
shock	NN	shock
despite	IN	despite
that	WDT	that
they	PP	they
expected	VVD	expect
that	IN/that	that
to	TO	to
happen	VV	happen
but	CC	but
did	VVD	do
not	RB	not
expect	VV	expect
it	PP	it
to	TO	to
happen	VV	happen
rapidly	RB	rapidly
uh	UH	uh
we	PP	we
we	PP	we
were	VBD	be
approached	VVN	approach
by	IN	by
people	NNS	people
who	WP	who
asking	VVG	ask
about	IN	about
where	WRB	where
are	VBP	be
the	DT	the
evacuation	NN	evacuation
zones	NNS	zone
and	CC	and
we	PP	we
looked	VVD	look
at	IN	at
the	DT	the
maps	NNS	map
and	CC	and
what	WP	what
what	WP	what
we've	NN	we've
seen	VVN	see
so	RB	so
far	RB	far
it	PP	it
is	VBZ	be
stretches	NNS	stretch
from	IN	from
the	DT	the
central	JJ	central
area	NN	area
from	IN	from
D	NP	D
balah	NN	balah
City	NP	City
uh	UH	uh
all	DT	all
passing	NN	passing
through	IN	through
kanun	NN	kanun
mainly	RB	mainly
in	IN	in
the	DT	the
central	JJ	central
part	NN	part
of	IN	of
kanun	NN	kanun
and	CC	and
the	DT	the
western	JJ	western
part	NN	part
of	IN	of
hunis	NNS	hunis
all	RB	all
the	DT	the
way	NN	way
to	TO	to
the	DT	the
evacuation	NN	evacuation
Zone	NP	Zone
here	RB	here
in	IN	in
western	JJ	western
part	NN	part
of	IN	of
City	NP	City
these	DT	these
are	VBP	be
the	DT	the
three	CD	three
major	JJ	major
areas	NNS	area
the	DT	the
uh	UH	uh
this	DT	this
the	DT	the
uh	UH	uh
the	DT	the
leaflets	NNS	leaflet
designated	VVN	designate
as	IN	as
safe	JJ	safe
areas	NNS	area
in	IN	in
which	WDT	which
they	PP	they
will	MD	will
be	VB	be
receiving	VVG	receive
according	VVG	accord
to	TO	to
the	DT	the
leaflet	NN	leaflet
uh	UH	uh
dropped	VVD	drop
by	IN	by
the	DT	the
Israeli	JJ	Israeli
military	NN	military
according	VVG	accord
to	TO	to
this	DT	this
LEF	NN	LEF
it	PP	it
says	VVZ	say
this	DT	this
is	VBZ	be
where	WRB	where
all	PDT	all
the	DT	the
humanitarian	JJ	humanitarian
support	NN	support
will	MD	will
be	VB	be
directed	VVN	direct
uh	UH	uh
that	WDT	that
is	VBZ	be
something	NN	something
indicating	VVG	indicate
as	IN	as
many	JJ	many
people	NNS	people
reacted	VVD	react
to	TO	to
that	DT	that
that	IN/that	that
this	DT	this
operation	NN	operation
is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
long	JJ	long
and	CC	and
it's	JJ	it's
un	NN	un
it's	NNS	it's
unclear	JJ	unclear
without	IN	without
any	DT	any
time	NN	time
frame	NN	frame
when	WRB	when
it's	NNS	it's
going	VVG	go
to	TO	to
uh	UH	uh
to	TO	to
end	VV	end
uh	UH	uh
and	CC	and
that's	JJ	that's
what's	NNS	what's
going	VVG	go
on	IN	on
right	RB	right
now	RB	now
on	IN	on
the	DT	the
ground	NN	ground
people	NNS	people
have	VHP	have
started	VVN	start
to	TO	to
uh	UH	uh
to	TO	to
move	VV	move
toward	IN	toward
the	DT	the
central	JJ	central
area	NN	area
and	CC	and
the	DT	the
uh	UH	uh
the	DT	the
western	JJ	western
part	NN	part
of	IN	of
of	IN	of
raah	NN	raah
City	NP	City
uh	UH	uh
it's	NNS	it's
important	JJ	important
also	RB	also
to	TO	to
point	VV	point
out	RP	out
the	DT	the
past	JJ	past
3	CD	@card@
days	NNS	day
uh	UH	uh
witnessed	VVD	witness
the	DT	the
uh	UH	uh
quiet	JJ	quiet
evacuation	NN	evacuation
sort	NN	sort
of	IN	of
people	NNS	people
who	WP	who
uh	UH	uh
somehow	RB	somehow
predicted	VVD	predict
that	IN/that	that
the	DT	the
the	DT	the
talks	NNS	talk
in	IN	in
kir	NN	kir
about	IN	about
the	DT	the
ceasefire	NN	ceasefire
were	VBD	be
not	RB	not
making	VVG	make
any	DT	any
solid	JJ	solid
progress	NN	progress
and	CC	and
the	DT	the
Israel	NP	Israel
milit	VV	milit
uh	UH	uh
uh	UH	uh
in	IN	in
light	NN	light
of	IN	of
the	DT	the
growing	VVG	grow
threats	NNS	threat
of	IN	of
expanding	VVG	expand
the	DT	the
operation	NN	operation
into	IN	into
RAF	NN	RAF
City	NN	city
they	PP	they
started	VVD	start
to	TO	to
move	VV	move
quietly	RB	quietly
uh	UH	uh
to	TO	to
areas	NNS	area
that	WDT	that
are	VBP	be
not	RB	not
designated	VVN	designate
by	IN	by
the	DT	the
Israeli	JJ	Israeli
military	NN	military
as	IN	as
safe	JJ	safe
zones	NNS	zone
given	VVN	give
the	DT	the
past	JJ	past
failures	NNS	failure
of	IN	of
the	DT	the
Israeli	JJ	Israeli
military	NN	military
to	TO	to
assure	VV	assure
that	IN/that	that
these	DT	these
evacuation	NN	evacuation
zones	NNS	zone
are	VBP	be
in	IN	in
fact	NN	fact
safe	JJ	safe
well	RB	well
indeed	RB	indeed
given	VVN	give
that	IN/that	that
throughout	IN	throughout
this	DT	this
SW	NP	SW
and	CC	and
G	NP	G
as	IN	as
you	PP	you
say	VVP	say
there	RB	there
haven't	NNS	haven't
been	VBN	be
any	DT	any
so-called	JJ	so-called
safe	JJ	safe
areas	NNS	area
what	WP	what
is	VBZ	be
the	DT	the
mood	NN	mood
there	RB	there
now	RB	now
to	TO	to
this	DT	this
news	NN	news
I	PP	I
mean	VVP	mean
how	WRB	how
are	VBP	be
people	NNS	people
going	VVG	go
to	TO	to
[Music]	JJ	[Music]
cope	NN	cope
it's	NNS	it's
quite	RB	quite
distressing	VVG	distress
right	RB	right
now	RB	now
and	CC	and
we	PP	we
could	MD	could
we	PP	we
could	MD	could
see	VV	see
and	CC	and
we	PP	we
could	MD	could
tell	VV	tell
how	WRB	how
worried	JJ	worried
people	NNS	people
How	WRB	how
concerned	JJ	concerned
they	PP	they
are	VBP	be
there	EX	there
is	VBZ	be
a	DT	a
state	NN	state
of	IN	of
panic	NN	panic
the	DT	the
people	NNS	people
who	WP	who
have	VHP	have
already	RB	already
lost	VVN	lose
family	NN	family
members	NNS	member
that	IN/that	that
they	PP	they
were	VBD	be
told	VVN	tell
to	TO	to
move	VV	move
to	TO	to
evacuation	NN	evacuation
zones	NNS	zone
are	VBP	be
recalling	VVG	recall
these	DT	these
times	NNS	time
when	WRB	when
they	PP	they
were	VBD	be
ordered	VVN	order
sharply	RB	sharply
to	TO	to
move	VV	move
to	TO	to
certain	JJ	certain
designated	VVN	designate
areas	NNS	area
as	IN	as
safe	JJ	safe
Zone	NP	Zone
to	TO	to
get	VV	get
killed	VVN	kill
bombed	VVN	bomb
and	CC	and
killed	VVN	kill
in	IN	in
those	DT	those
areas	NNS	area
whether	IN	whether
here	RB	here
in	IN	in
RAF	NN	RAF
City	NP	City
or	CC	or
the	DT	the
central	JJ	central
area	NN	area
or	CC	or
uh	UH	uh
in	IN	in
in	IN	in
the	DT	the
city	NN	city
of	IN	of
Han	NP	Han
units	NNS	unit
there	EX	there
is	VBZ	be
huge	JJ	huge
level	NN	level
of	IN	of
mistrust	NN	mistrust
now	RB	now
in	IN	in
the	DT	the
the	DT	the
Israeli	JJ	Israeli
narrative	NN	narrative
in	IN	in
terms	NNS	term
of	IN	of
evacuation	NN	evacuation
zones	NNS	zone
and	CC	and
uh	UH	uh
what	WP	what
people	NNS	people
are	VBP	be
reacting	VVG	react
this	DT	this
is	VBZ	be
there	RB	there
you	PP	you
can't	VVD	can't
create	VV	create
