<video_id>qWWDP2bOXn0</video_id>	NP	<video_id>qWWDP2bOXn0</video_id>
<video_title>Israel	NP	<video_title>Israel
probing	VVG	probe
Hamas	JJ	Hamas
resistance	NN	resistance
before	IN	before
ground	NN	ground
invasion:	NN	invasion:
Expert</video_title>	NP	Expert</video_title>
<thumbnail_path>data/en_AJ\Israel	NP	<thumbnail_path>data/en_AJ\Israel
probing	VVG	probe
Hamas	JJ	Hamas
resistance	NN	resistance
before	IN	before
ground	NN	ground
invasion	NN	invasion
Expert.jpg</thumbnail_path>	NP	Expert.jpg</thumbnail_path>
<publish_date>20231026</publish_date>	JJ	<publish_date>20231026</publish_date>
<doc>	NN	<doc>
I	PP	I
spoke	VVD	speak
to	TO	to
retired	VVN	retire
Lebanese	JJ	Lebanese
General	NP	General
elas	NNS	elas
Hannah	NP	Hannah
he's	NNS	he's
also	RB	also
a	DT	a
strategic	JJ	strategic
analyst	NN	analyst
and	CC	and
told	VVD	tell
me	PP	me
about	IN	about
Israel's	NP	Israel's
looming	VVG	loom
ground	NN	ground
Invasion	NN	invasion
what	WP	what
really	RB	really
influences	VVZ	influence
the	DT	the
ground	NN	ground
operation	NN	operation
into	IN	into
Gaza	NP	Gaza
are	VBP	be
the	DT	the
demography	NN	demography
topography	NN	topography
and	CC	and
geography	NN	geography
as	RB	as
well	RB	well
as	IN	as
the	DT	the
previous	JJ	previous
experiences	NNS	experience
between	IN	between
Hamas	NP	Hamas
and	CC	and
the	DT	the
IDF	NP	IDF
which	WDT	which
are	VBP	be
five	CD	five
bloody	JJ	bloody
encounter	NN	encounter
since	IN	since
2005	CD	@card@
so	IN	so
I	PP	I
think	VVP	think
that	IN/that	that
what	WP	what
is	VBZ	be
they	PP	they
are	VBP	be
trying	VVG	try
to	TO	to
do	VV	do
is	VBZ	be
make	VV	make
maybe	RB	maybe
to	TO	to
probe	VV	probe
the	DT	the
system	NN	system
to	TO	to
test	VV	test
the	DT	the
system	NN	system
to	TO	to
fix	VV	fix
some	DT	some
forces	NNS	force
from	IN	from
Hamas	NN	Hamas
and	CC	and
maybe	RB	maybe
it	PP	it
is	VBZ	be
like	IN	like
a	DT	a
live	JJ	live
maneuver	NN	maneuver
Under	IN	under
Fire	NP	Fire
but	CC	but
it	PP	it
won't	NN	won't
be	VB	be
the	DT	the
major	JJ	major
access	NN	access
of	IN	of
or	CC	or
the	DT	the
the	DT	the
main	JJ	main
thrust	NN	thrust
into	IN	into
Gaza	NP	Gaza
because	IN	because
it	PP	it
could	MD	could
be	VB	be
like	IN	like
a	DT	a
deception	NN	deception
to	TO	to
fix	VV	fix
Hamas	NNS	Hamas
in	IN	in
the	DT	the
North	NP	North
and	CC	and
then	RB	then
go	VV	go
back	RB	back
into	IN	into
the	DT	the
middle	NN	middle
with	IN	with
where	WRB	where
where	WRB	where
the	DT	the
weakest	JJS	weak
point	NN	point
of	IN	of
Hamas	JJ	Hamas
it's	NNS	it's
in	IN	in
the	DT	the
Middle	NP	Middle
where	WRB	where
is	VBZ	be
like	IN	like
6	CD	@card@
kilometers	NNS	kilometer
between	IN	between
Gaza	NP	Gaza
and	CC	and
the	DT	the
Sea	NP	Sea
interesting	JJ	interesting
that	IN/that	that
you	PP	you
say	VVP	say
this	DT	this
could	MD	could
be	VB	be
a	DT	a
test	VV	test
alas	UH	alas
one	CD	one
of	IN	of
the	DT	the
um	NN	um
recently	RB	recently
released	VVN	release
captives	NNS	captive
she	PP	she
spoke	VVD	speak
of	IN	of
a	DT	a
spider's	JJ	spider's
web	NN	web
of	IN	of
tunnels	NNS	tunnel
underneath	IN	underneath
Gaza	NP	Gaza
City	NP	City
how	WRB	how
much	JJ	much
oversight	NN	oversight
do	VVP	do
you	PP	you
think	VVP	think
the	DT	the
Israelis	NPS	Israelis
have	VHP	have
of	IN	of
Hamas	JJ	Hamas
capabilities	NNS	capability
and	CC	and
tactics	NNS	tactic
at	IN	at
the	DT	the
moment	NN	moment
we	PP	we
obviously	RB	obviously
know	VVP	know
there	EX	there
have	VHP	have
been	VBN	be
failures	NNS	failure
uh	UH	uh
the	DT	the
the	DT	the
Israelis	NPS	Israelis
the	DT	the
ADF	NP	ADF
are	VBP	be
really	RB	really
training	VVG	train
in	IN	in
say	NN	say
Alim	NP	Alim
where	WRB	where
they	PP	they
have	VHP	have
the	DT	the
center	NN	center
for	IN	for
a	DT	a
training	NN	training
for	IN	for
the	DT	the
urban	JJ	urban
Warfare	NN	warfare
but	CC	but
the	DT	the
training	NN	training
is	VBZ	be
something	NN	something
and	CC	and
the	DT	the
real	JJ	real
fight	NN	fight
is	VBZ	be
different	JJ	different
there	EX	there
is	VBZ	be
like	IN	like
according	VVG	accord
to	TO	to
the	DT	the
BBC	NP	BBC
there	RB	there
is	VBZ	be
like	IN	like
500	CD	@card@
kilometers	NNS	kilometer
of	IN	of
time	NN	time
that's	NNS	that's
like	IN	like
the	DT	the
Metro	NN	Metro
of	IN	of
of	IN	of
Hamas	NP	Hamas
and	CC	and
Hamas	NP	Hamas
should	MD	should
have	VH	have
been	VBN	be
able	JJ	able
to	TO	to
plan	VV	plan
for	IN	for
the	DT	the
worst	JJS	bad
case	NN	case
scenario	NN	scenario
After	IN	after
the	DT	the
flood	NN	flood
of	IN	of
Al	NP	Al
AKA	NN	aka
that	IN/that	that
maybe	RB	maybe
when	WRB	when
they	PP	they
pulled	VVD	pull
the	DT	the
Israeli	NP	Israeli
IDF	NP	IDF
into	IN	into
Gaza	NP	Gaza
they	PP	they
have	VHP	have
to	TO	to
be	VB	be
preparing	VVG	prepare
the	DT	the
ground	NN	ground
it's	NN	it's
like	IN	like
uh	UH	uh
the	DT	the
X	NP	X
and	CC	and
Y	NP	Y
and	CC	and
the	DT	the
Z	NP	Z
and	CC	and
also	RB	also
under	IN	under
the	DT	the
ground	NN	ground
so	IN	so
uh	UH	uh
the	DT	the
main	JJ	main
issue	NN	issue
the	DT	the
main	JJ	main
lessons	NNS	lesson
for	IN	for
the	DT	the
Israelis	NPS	Israelis
uh	UH	uh
with	IN	with
encounter	NN	encounter
with	IN	with
Gaza	NP	Gaza
one	CD	one
main	JJ	main
element	NN	element
that	IN/that	that
that	WDT	that
the	DT	the
urban	JJ	urban
Warfare	NN	warfare
Warfare	NN	warfare
is	VBZ	be
necessary	JJ	necessary
but	CC	but
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
it's	NNS	it's
costly	JJ	costly
are	VBP	be
they	PP	they
prepared	VVN	prepare
to	TO	to
pay	VV	pay
the	DT	the
cost	NN	cost
well	RB	well
given	VVN	give
that's	NNS	that's
the	DT	the
case	NN	case
then	RB	then
if	IN	if
we're	NN	we're
talking	VVG	talk
about	IN	about
some	DT	some
very	RB	very
bloody	JJ	bloody
Urban	NP	Urban
Warfare	NN	warfare
potentially	RB	potentially
ahead	RB	ahead
strategically	RB	strategically
for	IN	for
Israel	NP	Israel
what	WP	what
is	VBZ	be
their	PP$	their
next	JJ	next
move	NN	move
here	RB	here
I	PP	I
think	VVP	think
that	IN/that	that
according	VVG	accord
to	TO	to
