<video_id>wv-TWTD28Kk</video_id>	NP	<video_id>wv-TWTD28Kk</video_id>
<video_title>Israel	NP	<video_title>Israel
proposes	VVZ	propose
up	RP	up
to	TO	to
two-month	JJ	two-month
pause	NN	pause
in	IN	in
return	NN	return
for	IN	for
release	NN	release
of	IN	of
captives:	JJ	captives:
Axios</video_title>	NP	Axios</video_title>
<thumbnail_path>data/en_AJ\Israel	NP	<thumbnail_path>data/en_AJ\Israel
proposes	VVZ	propose
up	RP	up
to	TO	to
two-month	JJ	two-month
pause	NN	pause
in	IN	in
return	NN	return
for	IN	for
release	NN	release
of	IN	of
captives	NNS	captive
Axios.jpg</thumbnail_path>	NP	Axios.jpg</thumbnail_path>
<publish_date>20240123</publish_date>	NN	<publish_date>20240123</publish_date>
<doc>	NN	<doc>
now	RB	now
Israel	NP	Israel
is	VBZ	be
said	VVN	say
to	TO	to
be	VB	be
proposing	VVG	propose
a	DT	a
two-month	JJ	two-month
pause	NN	pause
in	IN	in
fighting	VVG	fight
for	IN	for
the	DT	the
release	NN	release
of	IN	of
all	DT	all
captives	NNS	captive
being	VBG	be
held	VVN	hold
in	IN	in
Gaza	NP	Gaza
that's	NNS	that's
according	VVG	accord
to	TO	to
a	DT	a
report	NN	report
by	IN	by
axios	NNS	axios
which	WDT	which
says	VVZ	say
the	DT	the
deal	NN	deal
has	VHZ	have
been	VBN	be
presented	VVN	present
to	TO	to
Hamas	NNS	Hamas
through	IN	through
mediators	NNS	mediator
The	DT	the
Proposal	NN	proposal
would	MD	would
be	VB	be
made	VVN	make
up	RP	up
of	IN	of
several	JJ	several
phases	NNS	phase
mediators	NNS	mediator
from	IN	from
katar	NP	katar
and	CC	and
Egypt	NP	Egypt
have	VHP	have
been	VBN	be
working	VVG	work
for	IN	for
weeks	NNS	week
to	TO	to
reach	VV	reach
the	DT	the
deal	NN	deal
between	IN	between
Israel	NP	Israel
and	CC	and
Hamas	NP	Hamas
well	RB	well
let's	NNS	let's
speak	VVP	speak
to	TO	to
Stephanie	NP	Stephanie
DEA	NP	DEA
she	PP	she
joins	VVZ	join
me	PP	me
now	RB	now
from	IN	from
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
Steph	NP	Steph
there's	RB	there's
obviously	RB	obviously
nothing	NN	nothing
official	NN	official
about	IN	about
this	DT	this
deal	NN	deal
but	CC	but
what	WP	what
do	VVP	do
we	PP	we
know	VVP	know
about	IN	about
this	DT	this
proposal	NN	proposal
that's	NNS	that's
ostensibly	RB	ostensibly
on	IN	on
the	DT	the
table	NN	table
yes	NN	yes
it's	NNS	it's
now	RB	now
being	VBG	be
picked	VVN	pick
up	RP	up
by	IN	by
all	DT	all
Israeli	JJ	Israeli
media	NNS	medium
and	CC	and
what	WP	what
we	PP	we
have	VHP	have
is	VBZ	be
the	DT	the
bones	NNS	bone
of	IN	of
what	WP	what
seems	VVZ	seem
to	TO	to
be	VB	be
a	DT	a
new	JJ	new
proposal	NN	proposal
by	IN	by
Israel	NP	Israel
um	NNS	um
to	TO	to
Hamas	VV	Hamas
uh	UH	uh
the	DT	the
US	NP	US
um	NN	um
Envoy	NP	Envoy
Brett	NP	Brett
murk	NN	murk
according	VVG	accord
to	TO	to
these	DT	these
reports	NNS	report
is	VBZ	be
already	RB	already
in	IN	in
Cairo	NP	Cairo
to	TO	to
discuss	VV	discuss
this	DT	this
deal	NN	deal
and	CC	and
he'll	NN	he'll
be	VB	be
heading	VVG	head
on	IN	on
to	TO	to
Qatar	NP	Qatar
of	IN	of
course	NN	course
Egypt	NP	Egypt
and	CC	and
Qatar	NP	Qatar
crucial	JJ	crucial
in	IN	in
the	DT	the
negotiation	NN	negotiation
between	IN	between
the	DT	the
two	CD	two
sides	NNS	side
what	WP	what
do	VVP	do
we	PP	we
know	VVP	know
about	IN	about
the	DT	the
deal	NN	deal
well	RB	well
Israel	NP	Israel
is	VBZ	be
proposing	VVG	propose
a	DT	a
twomon	NN	twomon
pause	NN	pause
in	IN	in
the	DT	the
fighting	VVG	fight
this	DT	this
is	VBZ	be
a	DT	a
very	RB	very
long	JJ	long
time	NN	time
and	CC	and
then	RB	then
it's	NNS	it's
saying	VVG	say
that	IN/that	that
the	DT	the
captives	NNS	captive
should	MD	should
be	VB	be
released	VVN	release
in	IN	in
phases	NNS	phase
so	RB	so
first	JJ	first
of	IN	of
all	DT	all
Hamas	NN	Hamas
would	MD	would
be	VB	be
releasing	VVG	release
those	DT	those
over	IN	over
60	CD	@card@
all	DT	all
women	NNS	woman
and	CC	and
those	DT	those
over	IN	over
60	CD	@card@
the	DT	the
second	JJ	second
phase	NN	phase
would	MD	would
be	VB	be
Israeli	JJ	Israeli
female	JJ	female
soldiers	NNS	soldier
and	CC	and
the	DT	the
men	NNS	man
that	WDT	that
Hamas	NP	Hamas
deems	VVZ	deem
as	IN	as
non-s	JJ	non-s
soldiers	NNS	soldier
and	CC	and
then	RB	then
the	DT	the
third	JJ	third
phase	NN	phase
would	MD	would
be	VB	be
uh	UH	uh
the	DT	the
male	JJ	male
soldiers	NNS	soldier
and	CC	and
the	DT	the
bodies	NNS	body
because	IN	because
of	IN	of
course	NN	course
there	EX	there
are	VBP	be
also	RB	also
uh	UH	uh
bodies	NNS	body
that	WDT	that
remain	VVP	remain
inside	IN	inside
Gaza	NP	Gaza
held	VVD	hold
by	IN	by
not	RB	not
just	RB	just
Hamas	JJ	Hamas
but	CC	but
other	JJ	other
groups	VVZ	group
uh	UH	uh
as	RB	as
well	RB	well
um	JJ	um
and	CC	and
then	RB	then
also	RB	also
it	PP	it
specifies	VVZ	specify
the	DT	the
redeployment	NN	redeployment
of	IN	of
Israeli	JJ	Israeli
soldiers	NNS	soldier
away	RB	away
from	IN	from
some	DT	some
urban	JJ	urban
areas	NNS	area
uh	UH	uh
to	TO	to
allow	VV	allow
uh	UH	uh
Palestinians	NPS	Palestinians
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
return	VV	return
home	NN	home
of	IN	of
course	NN	course
the	DT	the
question	NN	question
mark	NN	mark
is	VBZ	be
what	WP	what
do	VVP	do
they	PP	they
have	VHP	have
to	TO	to
return	VV	return
to	TO	to
but	CC	but
certainly	RB	certainly
this	DT	this
seems	VVZ	seem
to	TO	to
be	VB	be
a	DT	a
new	JJ	new
kind	NN	kind
of	IN	of
deal	NN	deal
the	DT	the
bones	NNS	bone
at	IN	at
least	JJS	least
of	IN	of
what	WP	what
they	PP	they
may	MD	may
be	VB	be
discussing	VVG	discuss
now	IN	now
Israel	NP	Israel
prime	JJ	prime
minister	NN	minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
is	VBZ	be
coming	VVG	come
under	IN	under
a	DT	a
lot	NN	lot
of	IN	of
pressure	NN	pressure
to	TO	to
do	VV	do
more	RBR	more
to	TO	to
bring	VV	bring
the	DT	the
captives	NNS	captive
back	RB	back
alive	JJ	alive
he	PP	he
has	VHZ	have
maintained	VVN	maintain
defiantly	RB	defiantly
even	RB	even
until	IN	until
yesterday	NN	yesterday
that	IN/that	that
the	DT	the
fighting	NN	fighting
will	MD	will
not	RB	not
stop	VV	stop
that	IN/that	that
the	DT	the
captives	NNS	captive
will	MD	will
be	VB	be
brought	VVN	bring
back	RB	back
militarily	RB	militarily
but	CC	but
you've	NN	you've
had	VHD	have
increasing	VVG	increase
pressure	NN	pressure
on	IN	on
the	DT	the
streets	NNS	street
you've	NN	you've
had	VHD	have
families	NNS	family
of	IN	of
the	DT	the
hostages	NNS	hostage
storm	VVP	storm
the	DT	the
Israeli	JJ	Israeli
knesset	NN	Knesset
the	DT	the
Israeli	JJ	Israeli
Parliament	NP	Parliament
they're	NN	they're
camping	NN	camping
outside	IN	outside
his	PP$	his
home	NN	home
here	RB	here
in	IN	in
Jerusalem	NP	Jerusalem
um	NNS	um
so	IN	so
it	PP	it
seems	VVZ	seem
to	TO	to
be	VB	be
that	IN/that	that
there	EX	there
is	VBZ	be
some	DT	some
form	NN	form
of	IN	of
Bones	NP	Bones
if	IN	if
you	PP	you
will	MD	will
Skeleton	NN	skeleton
on	IN	on
the	DT	the
table	NN	table
now	RB	now
for	IN	for
negotiations	NNS	negotiation
these	DT	these
are	VBP	be
early	JJ	early
days	NNS	day
but	CC	but
I	PP	I
think	VVP	think
it's	NNS	it's
significant	JJ	significant
we'll	NN	we'll
have	VHP	have
to	TO	to
wait	VV	wait
and	CC	and
see	VV	see
what	WP	what
kind	NN	kind
of	IN	of
compromises	NNS	compromise
will	MD	will
be	VB	be
made	VVN	make
on	IN	on
both	DT	both
sides	NNS	side
but	CC	but
certainly	RB	certainly
for	IN	for
talking	VVG	talk
about	IN	about
a	DT	a
two-month	JJ	two-month
pause	NN	pause
in	IN	in
the	DT	the
fighting	VVG	fight
this	DT	this
is	VBZ	be
a	DT	a
significant	JJ	significant
time	NN	time
but	CC	but
again	RB	again
early	JJ	early
days	NNS	day
just	RB	just
the	DT	the
bones	NNS	bone
but	CC	but
it	PP	it
is	VBZ	be
a	DT	a
new	JJ	new
deal	NN	deal
um	NNS	um
that	IN/that	that
that	DT	that
is	VBZ	be
being	VBG	be
talked	VVN	talk
about	IN	about
we	PP	we
understand	VVP	understand
Stephanie	NP	Stephanie
de	NP	de
with	IN	with
that	DT	that
update	NN	update
for	IN	for
us	PP	us
from	IN	from
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
thanks	VVZ	thank
Steph	NP	Steph
</doc>	NP	</doc>
