<video_id>flINjQgsnC4</video_id>	NP	<video_id>flINjQgsnC4</video_id>
<video_title>Israel	NP	<video_title>Israel
pushing	VVG	push
ahead	RB	ahead
with	IN	with
intense	JJ	intense
military	JJ	military
campaign	NN	campaign
in	IN	in
Gaza</video_title>	NP	Gaza</video_title>
<thumbnail_path>data/en_AJ\Israel	NP	<thumbnail_path>data/en_AJ\Israel
pushing	VVG	push
ahead	RB	ahead
with	IN	with
intense	JJ	intense
military	JJ	military
campaign	NN	campaign
in	IN	in
Gaza.jpg</thumbnail_path>	NP	Gaza.jpg</thumbnail_path>
<publish_date>20240113</publish_date>	NN	<publish_date>20240113</publish_date>
<doc>	NN	<doc>
well	RB	well
Al	NP	Al
jazer	NN	jazer
as	IN	as
Tark	NP	Tark
Abu	NP	Abu
AUM	NP	AUM
joins	VVZ	join
us	PP	us
live	VVP	live
now	RB	now
from	IN	from
Rafa	NP	Rafa
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
T's	NP	T's
are	VBP	be
dozens	NNS	dozen
more	JJR	more
people	NNS	people
killed	VVN	kill
in	IN	in
Israeli	JJ	Israeli
air	NN	air
strikes	NNS	strike
right	JJ	right
across	IN	across
Gaza	NP	Gaza
since	IN	since
yesterday	NN	yesterday
tell	VVP	tell
us	PP	us
more	JJR	more
tar	NN	tar
about	IN	about
what's	NNS	what's
been	VBN	be
happening	VVG	happen
yes	UH	yes
uh	UH	uh
today	NN	today
we	PP	we
just	RB	just
woke	VVD	wake
up	RP	up
on	IN	on
the	DT	the
sound	NN	sound
of	IN	of
the	DT	the
fighter	NN	fighter
jets	NNS	jet
hovering	VVG	hover
of	IN	of
the	DT	the
sky	NN	sky
of	IN	of
Rafa	NP	Rafa
District	NP	District
which	WDT	which
uh	UH	uh
today	NN	today
over	IN	over
which	WDT	which
yesterday	NN	yesterday
overnight	RB	overnight
it	PP	it
has	VHZ	have
been	VBN	be
widely	RB	widely
bounded	VVN	bound
by	IN	by
an	DT	an
Israeli	JJ	Israeli
fighter	NN	fighter
jet	NN	jet
that	WDT	that
