five	CD	five
Palestinians	NPS	Palestinians
have	VHP	have
been	VBN	be
killed	VVN	kill
by	IN	by
Israeli	JJ	Israeli
forces	NNS	force
in	IN	in
overnight	JJ	overnight
raids	NNS	raid
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
the	DT	the
latest	JJS	late
operation	NN	operation
took	VVD	take
place	NN	place
near	IN	near
a	DT	a
refugee	NN	refugee
camp	NN	camp
in	IN	in
the	DT	the
city	NN	city
of	IN	of
taram	NN	taram
residents	NNS	resident
say	VVP	say
dozens	NNS	dozen
of	IN	of
Israeli	JJ	Israeli
army	NN	army
vehicles	NNS	vehicle
and	CC	and
bulldozers	NNS	bulldozer
stormed	VVD	storm
the	DT	the
area	NN	area
Charles	NP	Charles
trafford	NP	Trafford
'	POS	'
s	NN	S
in	IN	in
taram	NN	taram
and	CC	and
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
so	RB	so
bring	VV	bring
us	PP	us
up	RP	up
to	TO	to
date	VV	date
with	IN	with
what	WP	what
'	POS	'
s	RB	s
been	VBN	be
happening	VVG	happen
on	IN	on
these	DT	these
raids	VVZ	raid
yes	UH	yes
Rob	NP	Rob
this	DT	this
was	VBD	be
a	DT	a
another	DT	another
long	JJ	long
extensive	JJ	extensive
raid	NN	raid
by	IN	by
the	DT	the
Israeli	JJ	Israeli
military	JJ	military
overnight	JJ	overnight
uh	UH	uh
local	JJ	local
here	RB	here
inside	IN	inside
the	DT	the
tulam	NN	tulam
refugee	NN	refugee
camp	NN	camp
Norah	NP	Norah
shamps	NP	shamps
Camp	NP	Camp
saying	VVG	say
that	IN/that	that
the	DT	the
raid	NN	raid
started	VVD	start
around	RB	around
1	CD	@card@
:	:	:
00	CD	@card@
a	DT	a
.	SENT	.
m	NN	m
.	SENT	.
last	JJ	last
night	NN	night
um	NN	um
the	DT	the
the	DT	the
military	NN	military
the	DT	the
Israeli	JJ	Israeli
military	JJ	military
didn	NN	didn
'	POS	'
t	NN	t
leave	NN	leave
until	IN	until
10	CD	@card@
:	:	:
a	DT	a
.	SENT	.
m	NN	m
.	SENT	.
this	DT	this
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
strike	NN	strike
sites	NNS	site
um	VVG	um
we	PP	we
'	POS	'
ll	NNS	ll
show	VVP	show
you	PP	you
around	RP	around
if	IN	if
not	RB	not
the	DT	the
camera	NN	camera
just	RB	just
pans	VVZ	pan
down	RB	down
here	RB	here
this	DT	this
is	VBZ	be
interesting	JJ	interesting
this	DT	this
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
strike	NN	strike
sites	NNS	site
from	IN	from
a	DT	a
projectile	NN	projectile
that	WDT	that
was	VBD	be
launched	VVN	launch
from	IN	from
above	JJ	above
from	IN	from
a	DT	a
drone	NN	drone
as	IN	as
you	PP	you
can	MD	can
see	VV	see
pretty	RB	pretty
low	JJ	low
impact	NN	impact
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
destruction	NN	destruction
on	IN	on
the	DT	the
ground	NN	ground
but	CC	but
these	DT	these
devices	NNS	device
are	VBP	be
absolutely	RB	absolutely
lethal	JJ	lethal
because	IN	because
if	IN	if
now	RB	now
pan	VV	pan
round	NN	round
and	CC	and
you	PP	you
have	VHP	have
a	DT	a
look	NN	look
at	IN	at
the	DT	the
wall	NN	wall
here	RB	here
you	PP	you
can	MD	can
see	VV	see
that	IN/that	that
this	DT	this
is	VBZ	be
absolutely	RB	absolutely
shredded	JJ	shredded
with	IN	with
shrapnel	NN	shrapnel
and	CC	and
these	DT	these
tiny	JJ	tiny
ball	NN	ball
bearings	NNS	bearing
um	JJ	um
if	IN	if
you	PP	you
come	VVP	come
around	RB	around
and	CC	and
have	VH	have
a	DT	a
look	NN	look
here	RB	here
as	RB	as
well	RB	well
you	PP	you
can	MD	can
see	VV	see
where	WRB	where
some	DT	some
of	IN	of
these	DT	these
have	VHP	have
literally	RB	literally
P	NN	P
penetrated	VVD	penetrate
the	DT	the
steel	NN	steel
and	CC	and
and	CC	and
gone	VVN	go
through	RB	through
now	RB	now
there	EX	there
were	VBD	be
three	CD	three
people	NNS	people
killed	VVN	kill
during	IN	during
this	DT	this
strike	NN	strike
um	NNS	um
according	VVG	accord
to	TO	to
to	TO	to
locals	NNS	local
they	PP	they
'	''	'
re	IN	re
saying	VVG	say
the	DT	the
first	JJ	first
the	DT	the
first	JJ	first
projectile	JJ	projectile
hit	NN	hit
um	NN	um
and	CC	and
there	EX	there
were	VBD	be
a	DT	a
couple	NN	couple
of	IN	of
members	NNS	member
of	IN	of
the	DT	the
Armed	NP	Armed
resistance	NN	resistance
that	WDT	that
were	VBD	be
here	RB	here
we	PP	we
understand	VVP	understand
that	IN/that	that
one	PP	one
was	VBD	be
immediately	RB	immediately
killed	VVN	kill
uh	UH	uh
and	CC	and
another	DT	another
one	CD	one
was	VBD	be
seriously	RB	seriously
injured	VVN	injure
um	NNS	um
and	CC	and
speaking	VVG	speak
to	TO	to
the	DT	the
gentleman	NN	gentleman
who	WP	who
owns	VVZ	own
this	DT	this
house	NN	house
he	PP	he
was	VBD	be
saying	VVG	say
that	IN/that	that
he	PP	he
heard	VVD	hear
a	DT	a
knock	NN	knock
on	IN	on
the	DT	the
door	NN	door
which	WDT	which
was	VBD	be
by	IN	by
one	CD	one
of	IN	of
these	DT	these
um	JJ	um
injured	JJ	injured
members	NNS	member
of	IN	of
the	DT	the
the	DT	the
armed	JJ	armed
resistance	NN	resistance
you	PP	you
can	MD	can
see	VV	see
the	DT	the
blood	NN	blood
here	RB	here
on	IN	on
on	IN	on
the	DT	the
floor	NN	floor
now	RB	now
according	VVG	accord
to	TO	to
the	DT	the
owner	NN	owner
of	IN	of
the	DT	the
house	NN	house
his	PP$	his
son	NN	son
came	VVD	come
up	RP	up
these	DT	these
stairs	NNS	stair
um	NN	um
on	IN	on
which	WDT	which
there	EX	there
is	VBZ	be
still	RB	still
blood	NN	blood
he	PP	he
came	VVD	come
up	RP	up
these	DT	these
stairs	NNS	stair
um	NN	um
to	TO	to
