<video_id>718zqGPpRYw</video_id>	NP	<video_id>718zqGPpRYw</video_id>
<video_title>Israel	NP	<video_title>Israel
refusing	VVG	refuse
entry	NN	entry
to	TO	to
medical	JJ	medical
teams	NNS	team
working	VVG	work
on	IN	on
polio	NN	polio
campaign:	NN	campaign:
Gaza	NP	Gaza
officials</video_title>	NP	officials</video_title>
<thumbnail_path>data/en_AJ\Israel	NP	<thumbnail_path>data/en_AJ\Israel
refusing	VVG	refuse
entry	NN	entry
to	TO	to
medical	JJ	medical
teams	NNS	team
working	VVG	work
on	IN	on
polio	NN	polio
campaign	NN	campaign
Gaza	NP	Gaza
officials.jpg</thumbnail_path>	JJ	officials.jpg</thumbnail_path>
<publish_date>20240905</publish_date>	NN	<publish_date>20240905</publish_date>
<doc>	NN	<doc>
the	DT	the
World	NP	World
Health	NP	Health
Organization	NP	Organization
says	VVZ	say
polio	NN	polio
vaccinations	NNS	vaccination
have	VHP	have
begun	VVN	begin
in	IN	in
Kanan	NP	Kanan
Yunis	NP	Yunis
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
but	CC	but
the	DT	the
Palestinian	NP	Palestinian
Health	NP	Health
Ministry	NP	Ministry
says	VVZ	say
Israeli	JJ	Israeli
forces	NNS	force
are	VBP	be
refusing	VVG	refuse
to	TO	to
coordinate	VV	coordinate
the	DT	the
entry	NN	entry
of	IN	of
vaccination	NN	vaccination
teams	NNS	team
into	IN	into
the	DT	the
area	NN	area
the	DT	the
ministry	NN	ministry
is	VBZ	be
appealing	VVG	appeal
to	TO	to
concerned	JJ	concerned
parties	NNS	party
to	TO	to
intervene	VV	intervene
more	JJR	more
than	IN	than
189,000	CD	@card@
children	NNS	child
have	VHP	have
been	VBN	be
inoculated	VVN	inoculate
against	IN	against
the	DT	the
disease	NN	disease
so	RB	so
far	RB	far
hindel	NP	hindel
Kari	NP	Kari
has	VHZ	have
more	JJR	more
from	IN	from
Central	NP	Central
Gaza	NP	Gaza
we're	NN	we're
currently	RB	currently
in	IN	in
a	DT	a
zaa	NN	zaa
in	IN	in
one	CD	one
of	IN	of
the	DT	the
makeshift	JJ	makeshift
camps	NNS	camp
here	RB	here
during	IN	during
the	DT	the
polio	NN	polio
vaccination	NN	vaccination
that	WDT	that
ended	VVD	end
in	IN	in
the	DT	the
central	JJ	central
areas	NNS	area
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
here	RB	here
in	IN	in
