<video_id>4f3VtxXcVLY</video_id>	NP	<video_id>4f3VtxXcVLY</video_id>
<video_title>Israel	NP	<video_title>Israel
says	VVZ	say
Hamas	JJ	Hamas
commander	NN	commander
Mohammed	NP	Mohammed
Deif	NP	Deif
killed</video_title>	NP	killed</video_title>
<thumbnail_path>data/en_AJ\Israel	NP	<thumbnail_path>data/en_AJ\Israel
says	VVZ	say
Hamas	JJ	Hamas
commander	NN	commander
Mohammed	NP	Mohammed
Deif	NP	Deif
killed.jpg</thumbnail_path>	JJ	killed.jpg</thumbnail_path>
<publish_date>20240801</publish_date>	NN	<publish_date>20240801</publish_date>
<doc>	NN	<doc>
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
says	VVZ	say
it	PP	it
has	VHZ	have
killed	VVN	kill
the	DT	the
commander	NN	commander
of	IN	of
hamas's	NNS	hamas's
military	JJ	military
wing	NN	wing
it	PP	it
says	VVZ	say
Muhammad	NP	Muhammad
da	NP	da
was	VBD	be
killed	VVN	kill
in	IN	in
an	DT	an
attack	NN	attack
on	IN	on
a	DT	a
building	NN	building
in	IN	in
Kan	NP	Kan
yunas	NP	yunas
Southern	NP	Southern
Gaza	NP	Gaza
three	CD	three
weeks	NNS	week
ago	RB	ago
Hamas	NP	Hamas
is	VBZ	be
yet	RB	yet
to	TO	to
confirm	VV	confirm
the	DT	the
reports	NNS	report
all	DT	all
right	NN	right
let's	NNS	let's
get	VVP	get
you	PP	you
more	JJR	more
on	IN	on
these	DT	these
breaking	VVG	break
developments	NNS	development
nor	CC	nor
joins	VVZ	join
us	PP	us
now	RB	now
from	IN	from
rala	NN	rala
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
uh	UH	uh
nor	CC	nor
tell	VV	tell
us	PP	us
about	IN	about
the	DT	the
significance	NN	significance
of	IN	of
the	DT	the
timing	NN	timing
of	IN	of
this	DT	this
announcement	NN	announcement
by	IN	by
Israeli	JJ	Israeli
authorities	NNS	authority
it's	NNS	it's
very	RB	very
significant	JJ	significant
