<video_id>iTUwXIRQ5Uc</video_id>	NP	<video_id>iTUwXIRQ5Uc</video_id>
<video_title>Israel	NP	<video_title>Israel
seeks	VVZ	seek
to	TO	to
cause	VV	cause
‘civil	NN	‘civil
disorder’	NN	disorder’
in	IN	in
Rafah	NP	Rafah
city:	NP	city:
AJE	NP	AJE
correspondent</video_title>	NP	correspondent</video_title>
<thumbnail_path>data/en_AJ\Israel	NP	<thumbnail_path>data/en_AJ\Israel
seeks	VVZ	seek
to	TO	to
cause	VV	cause
‘civil	NN	‘civil
disorder’	NN	disorder’
in	IN	in
Rafah	NP	Rafah
city	NN	city
AJE	NP	AJE
correspondent.jpg</thumbnail_path>	JJ	correspondent.jpg</thumbnail_path>
<publish_date>20240211</publish_date>	NN	<publish_date>20240211</publish_date>
<doc>	NN	<doc>
Al	NP	Al
Han	NP	Han
was	VBD	be
in	IN	in
Rafa	NP	Rafa
and	CC	and
Southern	NP	Southern
Gaza	NP	Gaza
I	PP	I
want	VVP	want
to	TO	to
ask	VV	ask
you	PP	you
about	IN	about
the	DT	the
reaction	NN	reaction
to	TO	to
this	DT	this
proposal	NN	proposal
by	IN	by
Israel	NP	Israel
that	IN/that	that
it	PP	it
might	MD	might
carry	VV	carry
out	RP	out
an	DT	an
attack	NN	attack
on	IN	on
Rafa	NP	Rafa
in	IN	in
a	DT	a
moment	NN	moment
but	CC	but
just	RB	just
first	JJ	first
of	IN	of
all	DT	all
talk	NN	talk
us	PP	us
through	IN	through
the	DT	the
latest	JJS	late
attacks	NNS	attack
that	WDT	that
have	VHP	have
been	VBN	be
happening	VVG	happen
there	RB	there
yes	RB	yes
we're	NN	we're
looking	VVG	look
just	RB	just
a	DT	a
little	JJ	little
over	IN	over
24	CD	@card@
hours	NNS	hour
at	IN	at
at	IN	at
least	JJS	least
40	CD	@card@
Palestinians	NNS	Palestinian
the	DT	the
vast	JJ	vast
majority	NN	majority
of	IN	of
them	PP	them
happen	VVP	happen
to	TO	to
be	VB	be
displaced	VVN	displace
families	NNS	family
have	VHP	have
been	VBN	be
uh	UH	uh
in	IN	in
inside	IN	inside
residential	JJ	residential
homes	NNS	home
or	CC	or
tents	NNS	tent
or	CC	or
evacuation	NN	evacuation
centers	NNS	center
across	IN	across
ra	JJ	ra
City	NN	city
in	IN	in
central	JJ	central
ra	NN	ra
City	NN	city
the	DT	the
northern	JJ	northern
part	NN	part
and	CC	and
the	DT	the
eastern	JJ	eastern
part	NN	part
of	IN	of
the	DT	the
city	NN	city
overcrowded	VVD	overcrowd
