<video_id>l1lCQV1MHtI</video_id>	NP	<video_id>l1lCQV1MHtI</video_id>
<video_title>Israel	NP	<video_title>Israel
turns	VVZ	turn
to	TO	to
a	DT	a
new	JJ	new
AI	NN	ai
system	NN	system
in	IN	in
war	NN	war
on	IN	on
Gaza	NP	Gaza
|	SYM	|
The	DT	the
Listening	VVG	listen
Post</video_title>	NP	Post</video_title>
<thumbnail_path>data/en_AJ\Israel	NP	<thumbnail_path>data/en_AJ\Israel
turns	VVZ	turn
to	TO	to
a	DT	a
new	JJ	new
AI	NN	ai
system	NN	system
in	IN	in
war	NN	war
on	IN	on
Gaza	NP	Gaza
The	DT	the
Listening	VVG	listen
Post.jpg</thumbnail_path>	NP	Post.jpg</thumbnail_path>
<publish_date>20231209</publish_date>	NN	<publish_date>20231209</publish_date>
<doc>	NN	<doc>
eight	CD	eight
weeks	NNS	week
now	RB	now
into	IN	into
the	DT	the
war	NN	war
on	IN	on
Gaza	NP	Gaza
we're	NN	we're
looking	VVG	look
at	IN	at
multiple	JJ	multiple
angles	NNS	angle
of	IN	of
this	DT	this
story	NN	story
and	CC	and
the	DT	the
way	NN	way
it's	NN	it's
been	VBN	be
covered	VVN	cover
starting	VVG	start
with	IN	with
artificial	JJ	artificial
intelligence	NN	intelligence
as	IN	as
an	DT	an
Israeli	JJ	Israeli
weapon	NN	weapon
of	IN	of
War	NP	War
and	CC	and
the	DT	the
real	JJ	real
life	NN	life
and	CC	and
death	NN	death
consequences	NNS	consequence
for	IN	for
Palestinians	NPS	Palestinians
Israeli	JJ	Israeli
hostages	NNS	hostage
released	VVN	release
by	IN	by
Hamas	NNS	Hamas
are	VBP	be
telling	VVG	tell
stories	NNS	story
that	WDT	that
are	VBP	be
proving	VVG	prove
very	RB	very
inconvenient	JJ	inconvenient
for	IN	for
the	DT	the
Israeli	JJ	Israeli
government	NN	government
and	CC	and
the	DT	the
West	NP	West
Bank	NP	Bank
what	WP	what
should	MD	should
be	VB	be
a	DT	a
safer	JJR	safe
space	NN	space
is	VBZ	be
racked	VVN	rack
with	IN	with
violence	NN	violence
and	CC	and
under	IN	under
constant	JJ	constant
Israeli	JJ	Israeli
surveillance	NN	surveillance
more	JJR	more
than	IN	than
2	CD	@card@
months	NNS	month
of	IN	of
Israeli	JJ	Israeli
bombing	NN	bombing
have	VHP	have
turned	VVN	turn
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
into	IN	into
a	DT	a
hellscape	JJ	hellscape
entire	JJ	entire
neighborhoods	NNS	neighborhood
have	VHP	have
been	VBN	be
wiped	VVN	wipe
out	IN	out
made	VVN	make
uninhabitable	JJ	uninhabitable
with	IN	with
more	JJR	more
than	IN	than
16,000	CD	@card@
Palestinians	NNS	Palestinian
killed	VVD	kill
it	PP	it
is	VBZ	be
a	DT	a
population	NN	population
on	IN	on
the	DT	the
run	NN	run
an	DT	an
unfolding	VVG	unfold
genocide	NN	genocide
and	CC	and
we	PP	we
now	RB	now
know	VVP	know
that	IN/that	that
the	DT	the
unprecedented	JJ	unprecedented
killing	NN	killing
of	IN	of
Gins	NP	Gins
is	VBZ	be
being	VBG	be
powered	VVN	power
at	IN	at
least	JJS	least
in	IN	in
part	NN	part
by	IN	by
Ai	NP	Ai
and	CC	and
is	VBZ	be
Israeli	JJ	Israeli
artificial	JJ	artificial
intelligence	NN	intelligence
system	NN	system
that	WDT	that
generates	VVZ	generate
new	JJ	new
targets	NNS	target
at	IN	at
a	DT	a
rate	NN	rate
we	PP	we
have	VHP	have
never	RB	never
seen	VVN	see
before	IN	before
one	CD	one
former	JJ	former
Israeli	JJ	Israeli
intelligence	NN	intelligence
officer	NN	officer
Likens	NP	Likens
the	DT	the
AI	VVP	ai
system	NN	system
to	TO	to
a	DT	a
mass	JJ	mass
assassination	NN	assassination
Factory	NP	Factory
reports	VVZ	report
about	IN	about
that	DT	that
technology	NN	technology
have	VHP	have
now	RB	now
been	VBN	be
published	VVN	publish
by	IN	by
two	CD	two
Israeli	JJ	Israeli
news	NN	news
outlets	NNS	outlet
972	CD	@card@
and	CC	and
local	JJ	local
call	NN	call
for	IN	for
years	NNS	year
the	DT	the
Israeli	JJ	Israeli
military	NN	military
has	VHZ	have
been	VBN	be
milking	VVG	milk
the	DT	the
country's	JJ	country's
Tech	NP	Tech
sector	NN	sector
to	TO	to
find	VV	find
more	JJR	more
and	CC	and
more	JJR	more
ways	NNS	way
of	IN	of
managing	VVG	manage
its	PP$	its
occupation	NN	occupation
of	IN	of
Palestinians	NNS	Palestinian
and	CC	and
AI	VVP	ai
is	VBZ	be
just	RB	just
the	DT	the
latest	JJS	late
high-tech	JJ	high-tech
weapon	NN	weapon
in	IN	in
what	WP	what
has	VHZ	have
turned	VVN	turn
into	IN	into
a	DT	a
barbaric	JJ	barbaric
Israeli	NP	Israeli
War	NP	War
on	IN	on
Gaza	NP	Gaza
one	CD	one
bombing	NN	bombing
after	IN	after
another	DT	another
the	DT	the
mass	JJ	mass
killing	NN	killing
and	CC	and
displacement	NN	displacement
of	IN	of
Palestinian	JJ	Palestinian
civilians	NNS	civilian
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
has	VHZ	have
been	VBN	be
a	DT	a
testing	NN	testing
ground	NN	ground
for	IN	for
Israel's	NP	Israel's
surveillance	NN	surveillance
Technologies	NP	Technologies
for	IN	for
AI	NN	ai
powered	VVN	power
lethal	JJ	lethal
weapons	NNS	weapon
technology	NN	technology
that	IN/that	that
you	PP	you
see	VVP	see
in	IN	in
sci-fi	NN	sci-fi
films	NNS	film
or	CC	or
in	IN	in
some	DT	some
dystopian	JJ	dystopian
horror	NN	horror
movies	NNS	movie
but	CC	but
it	PP	it
is	VBZ	be
the	DT	the
reality	NN	reality
of	IN	of
of	IN	of
many	JJ	many
Palestinians	NNS	Palestinian
on	IN	on
the	DT	the
ground	NN	ground
and	CC	and
it	PP	it
is	VBZ	be
where	WRB	where
the	DT	the
biblical	JJ	biblical
meets	VVZ	meet
the	DT	the
dystopian	NN	dystopian
the	DT	the
gospel	NN	gospel
that's	NNS	that's
what	WP	what
the	DT	the
Israeli	JJ	Israeli
military	NN	military
calls	VVZ	call
the	DT	the
artificial	JJ	artificial
intelligence	NN	intelligence
system	NN	system
it	PP	it
has	VHZ	have
deployed	VVN	deploy
in	IN	in
Gaza	NP	Gaza
the	DT	the
AI	NN	ai
does	VVZ	do
not	RB	not
issue	VV	issue
commands	NNS	command
or	CC	or
push	VV	push
buttons	NNS	button
that	WDT	that
is	VBZ	be
done	VVN	do
by	IN	by
a	DT	a
human	NN	human
it	PP	it
just	RB	just
gener	NP	Gener
Ates	NP	Ates
the	DT	the
targets	NNS	target
more	RBR	more
than	IN	than
ever	RB	ever
before	IN	before
the	DT	the
latest	JJS	late
Revelations	NNS	revelation
about	IN	about
the	DT	the
gospel	NN	gospel
were	VBD	be
provided	VVN	provide
by	IN	by
two	CD	two
Israeli	JJ	Israeli
news	NN	news
outlets	NNS	outlet
972	CD	@card@
magazine	NN	magazine
and	CC	and
local	JJ	local
call	NN	call
they	PP	they
have	VHP	have
unmasked	VVN	unmask
how	WRB	how
the	DT	the
Israeli	JJ	Israeli
military	NN	military
has	VHZ	have
loosened	VVN	loosen
its	PP$	its
already	RB	already
permissive	JJ	permissive
constraints	NNS	constraint
on	IN	on
the	DT	the
killing	NN	killing
of	IN	of
Palestinian	JJ	Palestinian
civilians	NNS	civilian
as	IN	as
one	CD	one
source	NN	source
told	VVD	tell
972	CD	@card@
nothing	NN	nothing
happens	VVZ	happen
by	IN	by
accident	NN	accident
when	WRB	when
a	DT	a
3-year-old	JJ	3-year-old
girl	NN	girl
is	VBZ	be
killed	VVN	kill
in	IN	in
a	DT	a
home	NN	home
in	IN	in
Gaza	NP	Gaza
it's	NNS	it's
because	IN	because
someone	NN	someone
in	IN	in
the	DT	the
Army	NP	Army
decided	VVD	decide
it	PP	it
wasn't	VVD	wasn't
a	DT	a
big	JJ	big
deal	NN	deal
for	IN	for
her	PP	her
to	TO	to
be	VB	be
killed	VVN	kill
everything	NN	everything
is	VBZ	be
intentional	JJ	intentional
we	PP	we
know	VVP	know
exactly	RB	exactly
how	WRB	how
much	JJ	much
collateral	JJ	collateral
damage	NN	damage
there	EX	there
is	VBZ	be
in	IN	in
every	DT	every
home	NN	home
when	WRB	when
the	DT	the
gospel	NN	gospel
system	NN	system
was	VBD	be
ruled	VVN	rule
out	IN	out
it	PP	it
was	VBD	be
said	VVN	say
to	TO	to
be	VB	be
one	CD	one
of	IN	of
the	DT	the
state-of-the-art	JJ	state-of-the-art
AI	NN	ai
systems	NNS	system
that	WDT	that
would	MD	would
allow	VV	allow
the	DT	the
military	NN	military
to	TO	to
pinpoint	VV	pinpoint
targets	NNS	target
quickly	RB	quickly
and	CC	and
accurately	RB	accurately
it's	NNS	it's
allowed	VVD	allow
the	DT	the
Army	NN	army
to	TO	to
essentially	RB	essentially
Target	NP	Target
at	IN	at
a	DT	a
mass	JJ	mass
scale	NN	scale
what	WP	what
what	WP	what
soldiers	NNS	soldier
have	VHP	have
described	VVN	describe
as	IN	as
a	DT	a
mass	JJ	mass
assassination	NN	assassination
machine	NN	machine
which	WDT	which
means	VVZ	mean
that	DT	that
they're	NN	they're
not	RB	not
just	RB	just
pinpointing	VVG	pinpoint
military	JJ	military
infrastructure	NN	infrastructure
they're	NN	they're
bombing	VVG	bomb
civilian	JJ	civilian
homes	NNS	home
we	PP	we
have	VHP	have
three	CD	three
AI	NN	ai
systems	NNS	system
which	WDT	which
operate	VVP	operate
in	IN	in
concert	NN	concert
we	PP	we
have	VHP	have
The	DT	the
Alchemist	NN	alchemist
system	NN	system
which	WDT	which
collects	VVZ	collect
information	NN	information
we	PP	we
have	VHP	have
the	DT	the
second	JJ	second
layer	NN	layer
of	IN	of
this	DT	this
AI	NN	ai
system	NN	system
which	WDT	which
is	VBZ	be
called	VVN	call
the	DT	the
fire	NN	fire
Factory	NP	Factory
which	WDT	which
analyzes	VVZ	analyze
the	DT	the
data	NNS	datum
and	CC	and
the	DT	the
gospel	NN	gospel
system	NN	system
which	WDT	which
produces	VVZ	produce
possible	JJ	possible
military	JJ	military
targets	NNS	target
it	PP	it
must	MD	must
be	VB	be
stressed	VVN	stress
that	IN/that	that
every	DT	every
military	JJ	military
Target	NP	Target
which	WDT	which
is	VBZ	be
attacked	VVN	attack
from	IN	from
the	DT	the
air	NN	air
by	IN	by
the	DT	the
IDF	NP	IDF
goes	VVZ	go
through	IN	through
an	DT	an
analysis	NN	analysis
of	IN	of
both	DT	both
Intelligence	NP	Intelligence
Officers	NNS	officer
and	CC	and
legal	JJ	legal
advisers	NNS	adviser
so	RB	so
while	IN	while
AI	VVP	ai
systems	NNS	system
produce	VV	produce
potential	JJ	potential
targets	NNS	target
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
day	NN	day
these	DT	these
are	VBP	be
human	JJ	human
beings	NNS	being
which	WDT	which
are	VBP	be
authorizing	VVG	authorize
them	PP	them
this	DT	this
is	VBZ	be
not	RB	not
the	DT	the
first	JJ	first
we've	NN	we've
heard	VVN	hear
of	IN	of
the	DT	the
Israeli	JJ	Israeli
military	JJ	military
harnessing	VVG	harness
AI	NN	ai
technology	NN	technology
in	IN	in
2021	CD	@card@
it	PP	it
called	VVD	call
its	PP$	its
bombing	NN	bombing
campaign	NN	campaign
in	IN	in
Gaza	NP	Gaza
the	DT	the
world's	NNS	world's
first	RB	first
AI	VVP	ai
War	NP	War
1	CD	@card@
month	NN	month
into	IN	into
this	DT	this
war	NN	war
the	DT	the
mil	NN	mil
AR	NP	Ar
released	VVD	release
a	DT	a
statement	NN	statement
about	IN	about
its	PP$	its
AI	NN	ai
powered	VVN	power
Target	NP	Target
Factory	NP	Factory
and	CC	and
its	PP$	its
ability	NN	ability
to	TO	to
produce	VV	produce
reams	NNS	ream
of	IN	of
Hamas	JJ	Hamas
targets	NNS	target
rapidly	RB	rapidly
the	DT	the
language	NN	language
in	IN	in
that	WDT	that
statement	NN	statement
the	DT	the
talk	NN	talk
of	IN	of
precise	JJ	precise
attacks	NNS	attack
and	CC	and
minimal	JJ	minimal
harm	NN	harm
on	IN	on
civilians	NNS	civilian
has	VHZ	have
been	VBN	be
decimated	VVN	decimate
by	IN	by
972	CD	@card@
journalism	NN	journalism
with	IN	with
the	DT	the
help	NN	help
of	IN	of
its	PP$	its
sources	NNS	source
current	JJ	current
and	CC	and
former	JJ	former
Israeli	JJ	Israeli
intelligence	NN	intelligence
officials	NNS	official
one	PP	one
told	VVD	tell
972	CD	@card@
the	DT	the
emphasis	NN	emphasis
is	VBZ	be
on	IN	on
quantity	NN	quantity
and	CC	and
not	RB	not
quality	NN	quality
others	NNS	other
talked	VVN	talk
of	IN	of
the	DT	the
significance	NN	significance
expansion	NN	expansion
of	IN	of
targets	NNS	target
Beyond	IN	beyond
military	JJ	military
ones	NNS	one
the	DT	the
term	NN	term
the	DT	the
Israelis	NPS	Israelis
now	RB	now
use	VVP	use
is	VBZ	be
power	NN	power
targets	NNS	target
meaning	VVG	mean
public	JJ	public
buildings	NNS	building
universities	NNS	university
schools	NNS	school
hospitals	NNS	hospital
libraries	NNS	library
mass	JJ	mass
destruction	NN	destruction
that	IN/that	that
Israeli	JJ	Israeli
forces	NNS	force
in	IN	in
Gaza	NP	Gaza
have	VHP	have
been	VBN	be
proudly	RB	proudly
posting	VVG	post
online	JJ	online
prior	RB	prior
to	TO	to
this	DT	this
war	NN	war
power	NN	power
targets	NNS	target
were	VBD	be
were	VBD	be
were	VBD	be
not	RB	not
so	RB	so
Central	JJ	central
to	TO	to
military	JJ	military
Doctrine	NN	doctrine
and	CC	and
strategy	NN	strategy
the	DT	the
emphasis	NN	emphasis
was	VBD	be
really	RB	really
on	IN	on
Precision	NN	precision
bombing	NN	bombing
but	CC	but
we're	NN	we're
seeing	VVG	see
those	DT	those
kinds	NNS	kind
of	IN	of
of	IN	of
limits	NNS	limit
on	IN	on
civilian	JJ	civilian
deaths	NNS	death
kind	RB	kind
of	IN	of
go	VV	go
out	RP	out
the	DT	the
window	NN	window
with	IN	with
