<video_id>dZaj3cxzTEM</video_id>	JJ	<video_id>dZaj3cxzTEM</video_id>
<video_title>Israel-Gaza	NN	<video_title>Israel-Gaza
war:	NN	war:
China	NP	China
worried	JJ	worried
war	NN	war
could	MD	could
spill	VV	spill
into	IN	into
a	DT	a
wider	JJR	wide
conflict</video_title>	NN	conflict</video_title>
<thumbnail_path>data/en_AJ\Israel-Gaza	NN	<thumbnail_path>data/en_AJ\Israel-Gaza
war	NN	war
China	NP	China
worried	JJ	worried
war	NN	war
could	MD	could
spill	VV	spill
into	IN	into
a	DT	a
wider	JJR	wide
conflict.jpg</thumbnail_path>	NN	conflict.jpg</thumbnail_path>
<publish_date>20231024</publish_date>	NN	<publish_date>20231024</publish_date>
<doc>	NN	<doc>
well	RB	well
China	NP	China
has	VHZ	have
called	VVN	call
for	IN	for
an	DT	an
International	NP	International
Conference	NP	Conference
to	TO	to
discuss	VV	discuss
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
the	DT	the
foreign	JJ	foreign
minister	NN	minister
has	VHZ	have
spoken	VVN	speak
with	IN	with
both	CC	both
the	DT	the
ministers	NNS	minister
foreign	JJ	foreign
Ministers	NP	Ministers
of	IN	of
Palestine	NP	Palestine
and	CC	and
Israel	NP	Israel
wangi	NP	wangi
says	VVZ	say
that	IN/that	that
China	NP	China
is	VBZ	be
worried	VVN	worry
by	IN	by
the	DT	the
escalation	NN	escalation
and	CC	and
is	VBZ	be
calling	VVG	call
for	IN	for
a	DT	a
two-state	NN	two-state
solution	NN	solution
too	RB	too
to	TO	to
this	DT	this
crisis	NN	crisis
well	RB	well
for	IN	for
more	JJR	more
on	IN	on
this	DT	this
let's	NNS	let's
speak	VVP	speak
to	TO	to
Katrina	NP	Katrina
Yu	NP	Yu
in	IN	in
Beijing	NP	Beijing
Katrina	NP	Katrina
as	IN	as
I've	NP	I've
just	RB	just
been	VBN	be
saying	VVG	say
wangi	NNS	wangi
has	VHZ	have
been	VBN	be
on	IN	on
the	DT	the
phone	NN	phone
to	TO	to
the	DT	the
foreign	JJ	foreign
Ministers	NPS	Ministers
of	IN	of
both	DT	both
sides	NNS	side
what	WP	what
are	VBP	be
they	PP	they
hoping	VVG	hope
to	TO	to
achieve	VV	achieve
well	RB	well
we've	NN	we've
seen	VVN	see
this	DT	this
past	JJ	past
year	NN	year
Beijing	NP	Beijing
looking	VVG	look
to	TO	to
play	VV	play
more	JJR	more
of	IN	of
a	DT	a
of	IN	of
a	DT	a
role	NN	role
as	IN	as
an	DT	an
international	JJ	international
mediator	NN	mediator
that's	NNS	that's
what	WP	what
foreign	JJ	foreign
minister	NN	minister
wangi	NN	wangi
seems	VVZ	seem
to	TO	to
be	VB	be
doing	VVG	do
here	RB	here
he	PP	he
urged	VVD	urge
both	DT	both
sides	NNS	side
for	IN	for
an	DT	an
immediate	JJ	immediate
deescalation	NN	deescalation
China	NP	China
is	VBZ	be
very	RB	very
worried	VVN	worry
that	IN/that	that
