hamas	NNS	hamas
'	POS	'
s	NNS	s
military	JJ	military
Wing	NP	Wing
says	VVZ	say
it	PP	it
'	''	'
s	NNS	s
well	RB	well
prepared	VVN	prepare
for	IN	for
Israeli	JJ	Israeli
forces	NNS	force
the	DT	the
alasam	NN	alasam
brigades	NNS	brigade
have	VHP	have
unveiled	VVN	unveil
an	DT	an
air	NN	air
defense	NN	defense
system	NN	system
they	PP	they
say	VVP	say
it	PP	it
will	MD	will
be	VB	be
used	VVN	use
to	TO	to
confront	VV	confront
Israeli	JJ	Israeli
aircraft	NN	aircraft
during	IN	during
the	DT	the
ongoing	JJ	ongoing
escalation	NN	escalation
the	DT	the
group	NN	group
says	VVZ	say
it	PP	it
'	''	'
s	RB	s
been	VBN	be
locally	RB	locally
manufactured	VVN	manufacture
let	NN	let
'	POS	'
s	NNS	s
bring	VVP	bring
in	IN	in
jam	NN	jam
now	RB	now
Jam	VV	jam
tell	VV	tell
us	PP	us
more	JJR	more
about	IN	about
these	DT	these
latest	JJS	late
developments	NNS	development
and	CC	and
the	DT	the
missiles	NNS	missile
that	IN/that	that
Al	NP	Al
Kasam	NP	Kasam
says	VVZ	say
it	PP	it
'	''	'
s	RB	s
required	VVD	require
uh	UH	uh
all	RB	all
we	PP	we
have	VHP	have
heard	VVN	hear
from	IN	from
now	RB	now
until	IN	until
now	RB	now
about	IN	about
this	DT	this
untilt	NN	untilt
that	IN/that	that
the	DT	the
military	JJ	military
wing	NN	wing
of	IN	of
Hamas	NP	Hamas
has	VHZ	have
revealed	VVN	reveal
the	DT	the
manufacturer	NN	manufacturer
of	IN	of
a	DT	a
new	JJ	new
homemade	JJ	homemade
air	NN	air
defense	NN	defense
system	NN	system
uh	UH	uh
that	DT	that
'	''	'
s	RB	s
been	VBN	be
brought	VVN	bring
into	IN	into
service	NN	service
to	TO	to
confront	VV	confront
Israel	NP	Israel
'	POS	'
s	JJ	s
aircraft	NN	aircraft
during	IN	during
the	DT	the
uh	UH	uh
the	DT	the
war	NN	war
so	IN	so
uh	UH	uh
they	PP	they
'	POS	'
re	NN	re
trying	VVG	try
to	TO	to
prove	VV	prove
their	PP$	their
point	NN	point
that	IN/that	that
they	PP	they
have	VHP	have
been	VBN	be
working	VVG	work
on	IN	on
themselves	PP	themselves
and	CC	and
they	PP	they
'	POS	'
re	NN	re
going	VVG	go
to	TO	to
succeed	VV	succeed
this	DT	this
War	NP	War
uh	UH	uh
until	IN	until
now	RB	now
we	PP	we
'	POS	'
ve	RB	ve
been	VBN	be
hearing	VVG	hear
different	JJ	different
uh	UH	uh
bombings	NNS	bombing
in	IN	in
different	JJ	different
areas	NNS	area
in	IN	in
Gaza	NP	Gaza
at	IN	at
the	DT	the
last	JJ	last
one	CD	one
as	IN	as
my	PP$	my
colleague	NN	colleague
said	VVD	say
yumna	NN	yumna
it	PP	it
was	VBD	be
in	IN	in
ausi	NN	ausi
mosque	NN	mosque
and	CC	and
they	PP	they
have	VHP	have
been	VBN	be
targeting	VVG	target
mosques	NNS	mosque
uh	UH	uh
and	CC	and
uh	UH	uh
without	IN	without
any	DT	any
previous	JJ	previous
uh	UH	uh
warning	NN	warning
which	WDT	which
has	VHZ	have
uh	UH	uh
been	VBN	be
resulting	VVG	result
in	IN	in
huge	JJ	huge
amounts	NNS	amount
and	CC	and
numbers	NNS	number
of	IN	of
casualties	NNS	casualty
and	CC	and
what	WP	what
we	PP	we
have	VHP	have
been	VBN	be
uh	UH	uh
hearing	NN	hearing
that	IN/that	that
more	JJR	more
raids	NNS	raid
means	VVZ	mean
more	RBR	more
uh	UH	uh
numbers	NNS	number
of	IN	of
casualties	NNS	casualty
and	CC	and
death	NN	death
people	NNS	people
dead	JJ	dead
people	NNS	people
Jam	NN	jam
do	VVP	do
you	PP	you
have	VHP	have
any	DT	any
confirmation	NN	confirmation
of	IN	of
the	DT	the
current	JJ	current
death	NN	death
toll	NN	toll
as	IN	as
it	PP	it
stands	VVZ	stand
we	PP	we
'	''	'
re	IN	re
hearing	VVG	hear
that	IN/that	that
that	DT	that
number	NN	number
is	VBZ	be
approaching	VVG	approach
500	CD	@card@
Palestinians	NNS	Palestinian
we	PP	we
have	VHP	have
no	RB	no
new	JJ	new
we	PP	we
have	VHP	have
we	PP	we
haven	NN	haven
'	POS	'
t	NN	t
we	PP	we
haven	NN	haven
'	POS	'
t	NN	t
had	VHD	have
any	DT	any
new	JJ	new
numbers	NNS	number
of	IN	of
uh	UH	uh
the	DT	the
update	NN	update
from	IN	from
the	DT	the
Ministry	NP	Ministry
of	IN	of
Health	NP	Health
but	CC	but
all	RB	all
that	IN/that	that
we	PP	we
know	VVP	know
is	VBZ	be
they	PP	they
'	''	'
re	IN	re
increasing	VVG	increase
and	CC	and
there	RB	there
isn	NP	isn
'	POS	'
t	NN	t
any	DT	any
space	NN	space
to	TO	to
contain	VV	contain
all	PDT	all
the	DT	the
bodies	NNS	body
and	CC	and
the	DT	the
casualties	NNS	casualty
uh	UH	uh
that	WDT	that
are	VBP	be
coming	VVG	come
to	TO	to
the	DT	the
hospital	NN	hospital
okay	NN	okay
we	PP	we
appreciate	VVP	appreciate
that	IN/that	that
update	NN	update
Jamila	NP	Jamila
Abu	NP	Abu
Zuna	NP	Zuna
live	VVP	live
for	IN	for
us	PP	us
in	IN	in
Gaza	NP	Gaza
