<video_id>VFjPcBjBlV8</video_id>	JJ	<video_id>VFjPcBjBlV8</video_id>
<video_title>Israeli	NN	<video_title>Israeli
air	NN	air
strike	NN	strike
near	IN	near
hospital	NN	hospital
in	IN	in
Gaza</video_title>	NP	Gaza</video_title>
<thumbnail_path>data/en_AJ\Israeli	NP	<thumbnail_path>data/en_AJ\Israeli
air	NN	air
strike	NN	strike
near	IN	near
hospital	NN	hospital
in	IN	in
Gaza.jpg</thumbnail_path>	NP	Gaza.jpg</thumbnail_path>
<publish_date>20231025</publish_date>	JJ	<publish_date>20231025</publish_date>
<doc>	NN	<doc>
breaking	VVG	break
news	NN	news
another	DT	another
large	JJ	large
Israeli	JJ	Israeli
air	NN	air
strike	NN	strike
has	VHZ	have
occurred	VVN	occur
in	IN	in
Gaza	NP	Gaza
near	JJ	near
alwafa	NN	alwafa
hospital	NN	hospital
this	DT	this
time	NN	time
this	DT	this
is	VBZ	be
moments	NNS	moment
ago	RB	ago
the	DT	the
footage	NN	footage
that	WDT	that
was	VBD	be
captured	VVN	capture
of	IN	of
that	DT	that
air	NN	air
strike	NN	strike
this	DT	this
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
Let's	NP	Let's
cross	VVP	cross
to	TO	to
tar	VV	tar
abazo	NN	abazo
in	IN	in
Kan	NP	Kan
yunes	NNS	yunes
inside	IN	inside
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
tar	NN	tar
what	WP	what
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
about	IN	about
this	DT	this
strike	NN	strike
well	RB	well
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
had	VHD	have
increased	VVN	increase
uh	UH	uh
its	PP$	its
offensive	JJ	offensive
strikes	NNS	strike
on	IN	on
the	DT	the
Gaza	NP	Gaza
trip	NN	trip
in	IN	in
different	JJ	different
areas	NNS	area
different	JJ	different
SES	NNS	sis
in	IN	in
the	DT	the
bes	NN	bes
territory	NN	territory
were	VBD	be
hit	VVN	hit
by	IN	by
the	DT	the
Israeli	JJ	Israeli
aircrafts	NNS	aircraft
uh	UH	uh
an	DT	an
8	CD	@card@
story	NN	story
building	NN	building
in	IN	in
central	JJ	central
Gaza	NP	Gaza
Strip	NP	Strip
in	IN	in
Al	NP	Al
jalat	NP	jalat
Street	NP	Street
was	VBD	be
leveled	VVN	level
to	TO	to
the	DT	the
ground	NN	ground
on	IN	on
the	DT	the
civilians	NNS	civilian
head	VV	head
uh	UH	uh
dozens	NNS	dozen
of	IN	of
Palestinians	NNS	Palestinian
at	IN	at
attack	NN	attack
were	VBD	be
killed	VVN	kill
and	CC	and
dozens	NNS	dozen
others	NNS	other
also	RB	also
were	VBD	be
injured	VVN	injure
the	DT	the
ongoing	JJ	ongoing
attacks	NNS	attack
also	RB	also
continue	VVP	continue
to	TO	to
take	VV	take
place	NN	place
in	IN	in
jabalia	NN	jabalia
refugee	NN	refugee
camp	NN	camp
this	DT	this
densely	RB	densely
populated	JJ	populated
area	NN	area
considered	VVN	consider
to	TO	to
be	VB	be
a	DT	a
a	DT	a
place	NN	place
to	TO	to
uh	UH	uh
that	WDT	that
contains	VVZ	contain
more	JJR	more
than	IN	than
120,000	CD	@card@
Palestinians	NPS	Palestinians
were	VBD	be
uh	UH	uh
building	VVG	build
one	CD	one
story	NN	story
building	NN	building
was	VBD	be
destroyed	VVN	destroy
uh	UH	uh
also	RB	also
the	DT	the
the	DT	the
Israeli	JJ	Israeli
raids	NNS	raid
continued	VVN	continue
during	IN	during
the	DT	the
last	JJ	last
hour	NN	hour
in	IN	in
khuna	NP	khuna
City	NP	City
an	DT	an
air	NN	air
strike	NN	strike
that	WDT	that
took	VVD	take
place	NN	place
close	NN	close
to	TO	to
the	DT	the
hospital	NN	hospital
led	VVD	lead
to	TO	to
the	DT	the
uh	UH	uh
led	VVN	lead
to	TO	to
the	DT	the
killing	NN	killing
of	IN	of
two	CD	two
Palestinians	NNS	Palestinian
and	CC	and
more	JJR	more
than	IN	than
10	CD	@card@
others	NNS	other
were	VBD	be
wounded	VVN	wound
till	IN	till
this	DT	this
current	JJ	current
moment	NN	moment
in	IN	in
the	DT	the
besiege	VVP	besiege
territory	NN	territory
okay	JJ	okay
T	NN	T
I	PP	I
want	VVP	want
to	TO	to
establish	VV	establish
some	DT	some
of	IN	of
the	DT	the
basic	JJ	basic
facts	NNS	fact
um	JJ	um
where	WRB	where
is	VBZ	be
alwafa	NN	alwafa
hospital	NN	hospital
where	WRB	where
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
is	VBZ	be
it	PP	it
located	JJ	located
uh	UH	uh
generally	RB	generally
it's	NNS	it's
located	VVN	locate
in	IN	in
the	DT	the
uh	UH	uh
Central	NP	Central
in	IN	in
the	DT	the
center	NN	center
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
in	IN	in
a	DT	a
neighborhood	NN	neighborhood
uh	UH	uh
this	DT	this
hospital	NN	hospital
is	VBZ	be
providing	VVG	provide
different	JJ	different
kinds	NNS	kind
of	IN	of
treatments	NNS	treatment
for	IN	for
thousands	NNS	thousand
of	IN	of
Palestinians	NPS	Palestinians
who	WP	who
are	VBP	be
residing	VVG	reside
in	IN	in
the	DT	the
uh	UH	uh
in	IN	in
the	DT	the
center	NN	center
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
the	DT	the
majority	NN	majority
of	IN	of
people	NNS	people
who	WP	who
who	WP	who
really	RB	really
uh	UH	uh
refused	VVD	refuse
to	TO	to
leave	VV	leave
the	DT	the
houses	NNS	house
are	VBP	be
receiving	VVG	receive
a	DT	a
treatment	NN	treatment
there	RB	there
meanwhile	RB	meanwhile
the	DT	the
Israeli	JJ	Israeli
ongoing	JJ	ongoing
attacks	NNS	attack
on	IN	on
on	IN	on
hospital	NN	hospital
increas	NNS	increas
around	IN	around
I've	NP	I've
got	VVD	get
a	DT	a
few	JJ	few
more	JJR	more
questions	NNS	question
for	IN	for
you	PP	you
