<video_id>f44ase63DAg</video_id>	JJ	<video_id>f44ase63DAg</video_id>
<video_title>Israeli	NN	<video_title>Israeli
air	NN	air
strike	NN	strike
targets	VVZ	target
gate	NN	gate
of	IN	of
al-Aqsa	NP	al-Aqsa
Hospital	NP	Hospital
in	IN	in
Deir	NP	Deir
el-Balah</video_title>	NP	el-Balah</video_title>
<thumbnail_path>data/en_AJ\Israeli	NP	<thumbnail_path>data/en_AJ\Israeli
air	NN	air
strike	NN	strike
targets	VVZ	target
gate	NN	gate
of	IN	of
al-Aqsa	NP	al-Aqsa
Hospital	NP	Hospital
in	IN	in
Deir	NP	Deir
el-Balah.jpg</thumbnail_path>	NP	el-Balah.jpg</thumbnail_path>
<publish_date>20240902</publish_date>	NN	<publish_date>20240902</publish_date>
<doc>	NN	<doc>
we	PP	we
are	VBP	be
getting	VVG	get
some	DT	some
news	NN	news
into	IN	into
us	PP	us
about	IN	about
a	DT	a
strike	NN	strike
in	IN	in
Gaza	NP	Gaza
hany	NN	hany
mmud	NN	mmud
is	VBZ	be
live	JJ	live
in	IN	in
Dera	NP	Dera
Bala	NP	Bala
in	IN	in
central	JJ	central
Gaza	NP	Gaza
honey	NN	honey
what	WP	what
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
just	RB	just
just	RB	just
couple	NN	couple
minutes	NNS	minute
couple	NN	couple
minutes	NNS	minute
ago	RB	ago
an	DT	an
air	NN	air
strike	NN	strike
just	RB	just
struck	VVD	strike
a	DT	a
it	PP	it
struck	VVD	strike
the	DT	the
Gate	NN	gate
of	IN	of
the	DT	the
hospital	NN	hospital
that's	NN	that's
that's	NNS	that's
actually	RB	actually
a	DT	a
few	JJ	few
meters	NNS	meter
away	RB	away
from	IN	from
where	WRB	where
we	PP	we
are	VBP	be
standing	VVG	stand
here	RB	here
since	IN	since
ear	NN	ear
hours	NNS	hour
of	IN	of
this	DT	this
morning	NN	morning
the	DT	the
Skies	NNS	sky
of	IN	of
the	DT	the
Central	NP	Central
Area	NP	Area
mainly	RB	mainly
above	IN	above
the	DT	the
hospital	NN	hospital
this	DT	this
hospital	NN	hospital
was	VBD	be
clouded	VVN	cloud
with	IN	with
many	JJ	many
of	IN	of
the	DT	the
drones	NNS	drone
you	PP	you
can	MD	can
hear	VV	hear
them	PP	them
in	IN	in
the	DT	the
background	NN	background
and	CC	and
for	IN	for
the	DT	the
past	JJ	past
few	JJ	few
hours	NNS	hour
we've	NNS	we've
been	VBN	be
talking	VVG	talk
to	TO	to
each	DT	each
other	JJ	other
that	IN/that	that
the	DT	the
presence	NN	presence
the	DT	the
dense	JJ	dense
presence	NN	presence
of	IN	of
these	DT	these
attack	NN	attack
of	IN	of
drones	NNS	drone
is	VBZ	be
for	IN	for
a	DT	a
reason	NN	reason
here	RB	here
and	CC	and
just	RB	just
within	IN	within
the	DT	the
past	JJ	past
couple	NN	couple
minutes	NNS	minute
huge	JJ	huge
air	NN	air
strike	NN	strike
that	WDT	that
is	VBZ	be
right	RB	right
next	JJ	next
to	TO	to
the	DT	the
gate	NN	gate
of	IN	of
the	DT	the
hospital	NN	hospital
we're	NN	we're
getting	VVG	get
now	RB	now
a	DT	a
confirmed	VVN	confirm
reports	NNS	report
judging	VVG	judge
from	IN	from
what	WP	what
what	WP	what
I'm	NN	I'm
looking	VVG	look
at	IN	at
right	NN	right
now	RB	now
but	CC	but
because	IN	because
it's	NNS	it's
a	DT	a
massive	JJ	massive
explosion	NN	explosion
the	DT	the
dust	NN	dust
and	CC	and
the	DT	the
debris	NN	debris
just	RB	just
covered	VVN	cover
main	JJ	main
parts	NNS	part
of	IN	of
the	DT	the
hospital	NN	hospital
when	WRB	when
I	PP	I
talk	VVP	talk
about	RB	about
next	JJ	next
to	TO	to
the	DT	the
gate	NN	gate
of	IN	of
the	DT	the
hospital	NN	hospital
just	RB	just
the	DT	the
landscape	NN	landscape
of	IN	of
the	DT	the
area	NN	area
this	DT	this
is	VBZ	be
a	DT	a
a	DT	a
road	NN	road
that	WDT	that
is	VBZ	be
at	IN	at
about	RB	about
8	CD	@card@
m	NN	m
wide	JJ	wide
and	CC	and
across	IN	across
from	IN	from
the	DT	the
gate	NN	gate
there	EX	there
is	VBZ	be
a	DT	a
house	NN	house
that	WDT	that
has	VHZ	have
been	VBN	be
already	RB	already
bombed	VVN	bomb
at	IN	at
the	DT	the
initial	JJ	initial
weeks	NNS	week
of	IN	of
the	DT	the
war	NN	war
it's	NN	it's
been	VBN	be
targeted	VVN	target
again	RB	again
now	RB	now
the	DT	the
de	NP	de
breeze	NN	breeze
and	CC	and
the	DT	the
the	DT	the
dust	NN	dust
all	RB	all
come	VVN	come
to	TO	to
the	DT	the
Courtyard	NN	courtyard
of	IN	of
the	DT	the
hospital	NN	hospital
as	IN	as
we	PP	we
speak	VVP	speak
right	RB	right
right	RB	right
now	RB	now
this	DT	this
is	VBZ	be
we	PP	we
would	MD	would
been	VBN	be
warning	VVG	warn
of	IN	of
the	DT	the
the	DT	the
dense	JJ	dense
presence	NN	presence
of	IN	of
these	DT	these
drones	NNS	drone
and	CC	and
we	PP	we
we	PP	we
did	VVD	do
not	RB	not
expect	VV	expect
to	TO	to
it	PP	it
to	TO	to
happen	VV	happen
right	NN	right
at	IN	at
this	DT	this
time	NN	time
but	CC	but
it	PP	it
did	VVD	do
happen	VV	happen
as	IN	as
you	PP	you
can	MD	can
hear	VV	hear
in	IN	in
the	DT	the
background	NN	background
the	DT	the
the	DT	the
buzz	JJ	buzz
sound	NN	sound
of	IN	of
these	DT	these
attack	NN	attack
drones	NNS	drone
is	VBZ	be
still	RB	still
in	IN	in
the	DT	the
skies	NNS	sky
and	CC	and
still	RB	still
clouding	VVG	cloud
the	DT	the
Skies	NNS	sky
of	IN	of
the	DT	the
Central	NP	Central
Area	NP	Area
m	NN	m
above	IN	above
the	DT	the
hospital	NN	hospital
see	VV	see
where	WRB	where
as	RB	as
you	PP	you
see	VVP	see
from	IN	from
the	DT	the
frame	NN	frame
of	IN	of
the	DT	the
camera	NN	camera
these	DT	these
