<video_id>1Az6H5ePqeM</video_id>	JJ	<video_id>1Az6H5ePqeM</video_id>
<video_title>Israeli	NN	<video_title>Israeli
attacks	NNS	attack
on	IN	on
al-Mawasi	NP	al-Mawasi
leave	VVP	leave
trail	NN	trail
of	IN	of
death	NN	death
and	CC	and
destruction</video_title>	JJ	destruction</video_title>
<thumbnail_path>data/en_AJ\Israeli	NN	<thumbnail_path>data/en_AJ\Israeli
attacks	NNS	attack
on	IN	on
al-Mawasi	NP	al-Mawasi
leave	VVP	leave
trail	NN	trail
of	IN	of
death	NN	death
and	CC	and
destruction.jpg</thumbnail_path>	JJ	destruction.jpg</thumbnail_path>
<publish_date>20240714</publish_date>	JJ	<publish_date>20240714</publish_date>
<doc>	NN	<doc>
at	IN	at
least	JJS	least
16	CD	@card@
Palestinians	NNS	Palestinian
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
overnight	JJ	overnight
strikes	NNS	strike
in	IN	in
Gaza	NP	Gaza
City	NP	City
there	RB	there
follows	VVZ	follow
an	DT	an
attack	NN	attack
on	IN	on
almasi	NNS	almasi
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
on	IN	on
Saturday	NP	Saturday
that	WDT	that
killed	VVD	kill
at	IN	at
least	JJS	least
90	CD	@card@
Palestinians	NNS	Palestinian
people	NNS	people
there	RB	there
have	VHP	have
described	VVN	describe
it	PP	it
as	IN	as
a	DT	a
horrific	JJ	horrific
Massacre	NN	massacre
many	RB	many
are	VBP	be
reported	VVN	report
to	TO	to
be	VB	be
still	RB	still
missing	VVG	miss
under	IN	under
the	DT	the
rubble	NN	rubble
thousands	NNS	thousand
of	IN	of
displaced	VVN	displace
people	NNS	people
were	VBD	be
seeking	VVG	seek
shelter	NN	shelter
in	IN	in
alasi	NNS	alasi
since	IN	since
Israeli	JJ	Israeli
forces	NNS	force
had	VHD	have
designated	VVN	designate
the	DT	the
area	NN	area
of	IN	of
so-called	JJ	so-called
safe	JJ	safe
Zone	NP	Zone
let's	NNS	let's
go	VVP	go
live	VV	live
to	TO	to
T	NN	T
Abu	NP	Abu
who	WP	who
joins	VVZ	join
us	PP	us
from	IN	from
darala	NN	darala
in	IN	in
central	JJ	central
Gaza	NP	Gaza
so	IN	so
T	NN	T
bring	VV	bring
us	PP	us
up	RP	up
to	TO	to
speed	VV	speed
with	IN	with
these	DT	these
latest	JJS	late
early	JJ	early
morning	NN	morning
and	CC	and
overnight	JJ	overnight
strikes	NNS	strike
specifically	RB	specifically
on	IN	on
Gaza	NP	Gaza
City	NP	City
what	WP	what
more	RBR	more
do	VV	do
what	WP	what
excuse	VV	excuse
me	PP	me
what	WP	what
more	RBR	more
do	VV	do
we	PP	we
know	VV	know
yeah	RB	yeah
that's	NNS	that's
right	RB	right
NE	RB	ne
when	WRB	when
in	IN	in
fact	NN	fact
we	PP	we
what	WP	what
we	PP	we
do	VVP	do
know	VV	know
is	VBZ	be
that	IN/that	that
at	IN	at
least	JJS	least
16	CD	@card@
Palestinians	NNS	Palestinian
have	VHP	have
been	VBN	be
reported	VVN	report
killed	VVN	kill
where	WRB	where
more	JJR	more
than	IN	than
50	CD	@card@
others	NNS	other
were	VBD	be
warned	VVN	warn
in	IN	in
overnight	JJ	overnight
strikes	NNS	strike
that	WDT	that
targeted	VVD	target
key	JJ	key
centers	NNS	center
and	CC	and
aan	NN	aan
areas	NNS	area
in	IN	in
Gaza	NP	Gaza
City	NP	City
IED	NP	IED
ongoing	JJ	ongoing
efforts	NNS	effort
being	VBG	be
made	VVN	make
by	IN	by
civil	JJ	civil
defense	NN	defense
crws	NNS	crws
in	IN	in
order	NN	order
to	TO	to
look	VV	look
for	IN	for
survivors	NNS	survivor
but	CC	but
there	EX	there
is	VBZ	be
a	DT	a
grim	JJ	grim
reality	NN	reality
there	RB	there
those	DT	those
operations	NNS	operation
are	VBP	be
still	RB	still
ongoing	JJ	ongoing
there	RB	there
while	IN	while
people	NNS	people
are	VBP	be
dehydrated	VVN	dehydrate
and	CC	and
hungry	JJ	hungry
and	CC	and
while	IN	while
bombardment	NN	bombardment
continue	VVP	continue
continues	VVZ	continue
in	IN	in
the	DT	the
north	NN	north
of	IN	of
this	DT	this
STP	NP	STP
intelligence	NN	intelligence
operations	NNS	operation
are	VBP	be
still	RB	still
ongoing	JJ	ongoing
in	IN	in
the	DT	the
central	JJ	central
areas	NNS	area
of	IN	of
Gaz	NP	Gaz
especially	RB	especially
with	IN	with
the	DT	the
surveillance	NN	surveillance
of	IN	of
drones	NNS	drone
that	WDT	that
are	VBP	be
continued	VVN	continue
to	TO	to
hover	VV	hover
on	IN	on
the	DT	the
vicinity	NN	vicinity
of	IN	of
alaa	NP	alaa
Hospital	NP	Hospital
alongside	IN	alongside
with	IN	with
the	DT	the
over	IN	over
the	DT	the
sky	NN	sky
of	IN	of
the	DT	the
uh	UH	uh
Dar	NP	Dar
balah	NN	balah
town	NN	town
and	CC	and
the	DT	the
central	JJ	central
areas	NNS	area
of	IN	of
this	DT	this
trip	NN	trip
for	IN	for
more	JJR	more
than	IN	than
3	CD	@card@
hours	NNS	hour
till	IN	till
now	RB	now
and	CC	and
Eve	NP	Eve
uh	UH	uh
and	CC	and
of	IN	of
course	NN	course
you	PP	you
know	VVP	know
it's	NNS	it's
a	DT	a
day	NN	day
after	IN	after
the	DT	the
what's	NN	what's
been	VBN	be
described	VVN	describe
as	IN	as
a	DT	a
massacre	NN	massacre
in	IN	in
al-	NP	al-
maasi	NP	maasi
the	DT	the
death	NN	death
toll	NN	toll
as	IN	as
we	PP	we
know	VVP	know
tck	NN	tck
is	VBZ	be
uh	UH	uh
at	IN	at
least	JJS	least
90	CD	@card@
but	CC	but
there	EX	there
are	VBP	be
still	RB	still
many	JJ	many
more	JJR	more
people	NNS	people
missing	VVG	miss
yeah	RB	yeah
and	CC	and
this	DT	this
is	VBZ	be
the	DT	the
real	JJ	real
problem	NN	problem
right	RB	right
now	RB	now
resulted	VVN	result
from	IN	from
the	DT	the
Israeli	JJ	Israeli
attack	NN	attack
on	IN	on
alasi	NN	alasi
area	NN	area
that	IN/that	that
at	IN	at
least	JJS	least
that	DT	that
were're	NN	were're
talking	VVG	talk
about	IN	about
dozens	NNS	dozen
of	IN	of
Palestinians	NPS	Palestinians
have	VHP	have
been	VBN	be
buried	VVN	bury
underground	RB	underground
due	JJ	due
to	TO	to
the	DT	the
Israeli	JJ	Israeli
bombardment	NN	bombardment
that	WDT	that
