<video_id>I8efWAN00HA</video_id>	JJ	<video_id>I8efWAN00HA</video_id>
<video_title>Israeli	NN	<video_title>Israeli
forces	NNS	force
bulldoze	VVP	bulldoze
cemetery	NN	cemetery
in	IN	in
eastern	JJ	eastern
Gaza,	NP	Gaza,
crushing	VVG	crush
the	DT	the
dead</video_title>	JJ	dead</video_title>
<thumbnail_path>data/en_AJ\Israeli	NN	<thumbnail_path>data/en_AJ\Israeli
forces	NNS	force
bulldoze	VVP	bulldoze
cemetery	NN	cemetery
in	IN	in
eastern	JJ	eastern
Gaza,	NP	Gaza,
crushing	VVG	crush
the	DT	the
dead.jpg</thumbnail_path>	JJ	dead.jpg</thumbnail_path>
<publish_date>20231221</publish_date>	NN	<publish_date>20231221</publish_date>
<doc>	NN	<doc>
Israeli	JJ	Israeli
bulldozers	NNS	bulldozer
have	VHP	have
destroyed	VVN	destroy
the	DT	the
Sheikh	NP	Sheikh
Jaan	NP	Jaan
Cemetery	NP	Cemetery
in	IN	in
the	DT	the
assaha	NN	assaha
neighborhood	NN	neighborhood
in	IN	in
eastern	JJ	eastern
Gaza	NP	Gaza
images	NNS	image
from	IN	from
the	DT	the
cemetery	NN	cemetery
Show	NN	show
recently	RB	recently
buried	VVN	bury
bodies	NNS	body
laying	VVG	lay
among	IN	among
the	DT	the
rubble	NN	rubble
of	IN	of
tombstones	NNS	tombstone
Al	NP	Al
jair's	NNS	jair's
is	VBZ	be
reports	NNS	report
now	RB	now
from	IN	from
the	DT	the
cemetery	NN	cemetery
we	PP	we
should	MD	should
warn	VV	warn
viewers	NNS	viewer
you	PP	you
may	MD	may
find	VV	find
some	DT	some
of	IN	of
the	DT	the
images	NNS	image
to	TO	to
be	VB	be
disturbing	JJ	disturbing
I'm	NP	I'm
standing	NN	standing
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
the	DT	the
shik	NP	Shik
Shaban	NP	Shaban
Cemetery	NP	Cemetery
in	IN	in
the	DT	the
alsa	NN	alsa
neighborhood	NN	neighborhood
this	DT	this
Cemetery	NN	cemetery
was	VBD	be
bul	NN	bul
by	IN	by
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	VVZ	force
the	DT	the
dead	JJ	dead
have	VHP	have
been	VBN	be
exhumed	VVN	exhume
and	CC	and
crushed	VVN	crush
under	IN	under
the	DT	the
bulldozers	NNS	bulldozer
of	IN	of
the	DT	the
occupation	NN	occupation
forces	VVZ	force
to	TO	to
give	VV	give
you	PP	you
a	DT	a
clearer	JJR	clear
picture	NN	picture
you	PP	you
can	MD	can
see	VV	see
uh	UH	uh
one	CD	one
of	IN	of
the	DT	the
dead	JJ	dead
bodies	NNS	body
exhumed	VVN	exhume
by	IN	by
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	VVZ	force
the	DT	the
body	NN	body
was	VBD	be
crushed	VVN	crush
by	IN	by
the	DT	the
Israelis	NPS	Israelis
heavy	JJ	heavy
machinery	NN	machinery
uh	UH	uh
it	PP	it
is	VBZ	be
not	RB	not
the	DT	the
first	JJ	first
time	NN	time
that	IN/that	that
the	DT	the
occupation	NN	occupation
forces	VVZ	force
bulldo	JJ	bulldo
cemeteries	NNS	cemetery
destroying	VVG	destroy
Graves	NP	Graves
and	CC	and
exhuming	VVG	exhume
the	DT	the
dead	JJ	dead
bodies	NNS	body
and	CC	and
then	RB	then
mutilating	VVG	mutilate
them	PP	them
you	PP	you
can	MD	can
see	VV	see
clearly	RB	clearly
the	DT	the
traces	NNS	trace
of	IN	of
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
heavy	JJ	heavy
machinery	NN	machinery
and	CC	and
the	DT	the
tracks	NNS	track
of	IN	of
their	PP$	their
armored	JJ	armored
vehicles	NNS	vehicle
even	RB	even
the	DT	the
dead	JJ	dead
are	VBP	be
not	RB	not
spared	VVN	spare
and	CC	and
respected	VVN	respect
this	DT	this
is	VBZ	be
a	DT	a
gross	JJ	gross
violation	NN	violation
of	IN	of
a	DT	a
basic	JJ	basic
human	JJ	human
value	NN	value
part	NN	part
of	IN	of
the	DT	the
already	RB	already
dead	JJ	dead
bodies	NNS	body
are	VBP	be
clearly	RB	clearly
visible	JJ	visible
exhumed	VVN	exhume
and	CC	and
crushed	VVN	crush
and	CC	and
mutilated	VVN	mutilate
by	IN	by
the	DT	the
Israeli	JJ	Israeli
man	NN	man
and	CC	and
uh	UH	uh
here	RB	here
is	VBZ	be
another	DT	another
completely	RB	completely
exhumed	VVN	exhume
dead	JJ	dead
body	NN	body
from	IN	from
a	DT	a
grave	NN	grave
there	EX	there
is	VBZ	be
no	DT	no
respect	NN	respect
for	IN	for
the	DT	the
dead	NN	dead
the	DT	the
Israelis	NPS	Israelis
have	VHP	have
no	DT	no
respect	NN	respect
for	IN	for
human	JJ	human
lives	NNS	life
not	RB	not
even	RB	even
in	IN	in
death	NN	death
the	DT	the
cemetry	NN	cemetry
was	VBD	be
totally	RB	totally
bulldozed	VVN	bulldoze
and	CC	and
totally	RB	totally
destroyed	VVD	destroy
on	RB	on
purpose	VV	purpose
uh	UH	uh
here	RB	here
you	PP	you
can	MD	can
see	VV	see
another	DT	another
dead	JJ	dead
body	NN	body
of	IN	of
a	DT	a
recently	RB	recently
buried	VVD	bury
uh	UH	uh
person	NN	person
shrouded	VVN	shroud
in	IN	in
white	JJ	white
the	DT	the
body	NN	body
was	VBD	be
exhumed	VVN	exhume
on	IN	on
purpose	NN	purpose
by	IN	by
the	DT	the
Israelis	NPS	Israelis
this	DT	this
this	DT	this
is	VBZ	be
what	WP	what
remains	VVZ	remain
of	IN	of
some	DT	some
of	IN	of
the	DT	the
shrouds	NNS	shroud
and	CC	and
some	DT	some
of	IN	of
the	DT	the
Dead	NP	Dead
the	DT	the
tracks	NNS	track
of	IN	of
the	DT	the
Israeli	JJ	Israeli
tanks	NNS	tank
purposely	RB	purposely
crushed	VVN	crush
the	DT	the
dead	JJ	dead
bodies	NNS	body
that	WDT	that
had	VHD	have
been	VBN	be
exhumed	VVN	exhume
from	IN	from
their	PP$	their
graves	NNS	grave
this	DT	this
is	VBZ	be
the	DT	the
foot	NN	foot
of	IN	of
a	DT	a
dead	JJ	dead
child	NN	child
he	PP	he
was	VBD	be
killed	VVN	kill
in	IN	in
an	DT	an
air	NN	air
strike	NN	strike
and	CC	and
recently	RB	recently
buried	VVD	bury
now	RB	now
exhumed	VVN	exhume
and	CC	and
mutilated	VVN	mutilate
by	IN	by
the	DT	the
Israelis	NPS	Israelis
there	EX	there
is	VBZ	be
another	DT	another
body	NN	body
of	IN	of
another	DT	another
child	NN	child
over	IN	over
here	RB	here
out	RB	out
of	IN	of
respect	NN	respect
we	PP	we
will	MD	will
not	RB	not
reveal	VV	reveal
anymore	RB	anymore
we	PP	we
are	VBP	be
reported	VVN	report
live	RB	live
from	IN	from
the	DT	the
shik	NP	Shik
Shaban	NP	Shaban
cemetery	NN	cemetery
and	CC	and
the	DT	the
alsa	NN	alsa
neighborhood	NN	neighborhood
this	DT	this
was	VBD	be
bulldozed	VVN	bulldoze
and	CC	and
destroyed	VVN	destroy
by	IN	by
the	DT	the
Israeli	JJ	Israeli
armored	JJ	armored
vehicles	NNS	vehicle
and	CC	and
bulldozers	NNS	bulldozer
the	DT	the
dead	JJ	dead
bodies	NNS	body
were	VBD	be
exhumed	VVN	exhume
and	CC	and
then	RB	then
mutilated	VVN	mutilate
there	EX	there
is	VBZ	be
no	DT	no
respect	NN	respect
for	IN	for
the	DT	the
dead	JJ	dead
it	PP	it
is	VBZ	be
yet	RB	yet
another	DT	another
War	NP	War
crime	NN	crime
committed	VVN	commit
by	IN	by
the	DT	the
</doc>	NN	</doc>
