now	RB	now
let	VV	let
'	''	'
s	NNS	s
get	VVP	get
more	JJR	more
on	IN	on
the	DT	the
intensified	JJ	intensified
Israeli	JJ	Israeli
raids	NNS	raid
that	WDT	that
are	VBP	be
also	RB	also
going	VVG	go
on	IN	on
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
we	PP	we
can	MD	can
join	VV	join
Imran	NP	Imran
Khan	NP	Khan
he	PP	he
'	POS	'
s	NNS	s
live	VVP	live
for	IN	for
us	PP	us
from	IN	from
rala	NN	rala
there	RB	there
and	CC	and
Imran	NP	Imran
big	JJ	big
raid	NN	raid
going	VVG	go
on	IN	on
in	IN	in
Janine	NP	Janine
and	CC	and
elsewhere	RB	elsewhere
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
tell	VV	tell
us	PP	us
more	RBR	more
well	RB	well
the	DT	the
raid	NN	raid
that	WDT	that
started	VVD	start
in	IN	in
Janine	NP	Janine
is	VBZ	be
by	IN	by
far	RB	far
the	DT	the
largest	JJS	large
uh	UH	uh
that	IN/that	that
we	PP	we
'	POS	'
ve	NNS	ve
seen	VVN	see
since	IN	since
October	NP	October
the	DT	the
7th	JJ	7th
it	PP	it
began	VVD	begin
around	IN	around
midnight	NN	midnight
and	CC	and
ended	VVN	end
at	IN	at
7	CD	@card@
a	DT	a
.	SENT	.
m	NN	m
.	SENT	.
in	IN	in
the	DT	the
morning	NN	morning
hundreds	NNS	hundred
of	IN	of
Israeli	JJ	Israeli
soldiers	NNS	soldier
were	VBD	be
being	VBG	be
told	VVN	tell
fought	VVD	fight
their	PP$	their
way	NN	way
into	IN	into
the	DT	the
camp	NN	camp
they	PP	they
met	VVD	meet
with	IN	with
stiff	JJ	stiff
resistance	NN	resistance
from	IN	from
Palestinian	JJ	Palestinian
uh	UH	uh
gunmen	NNS	gunman
uh	UH	uh
once	RB	once
they	PP	they
managed	VVD	manage
to	TO	to
get	VV	get
into	IN	into
the	DT	the
camp	NN	camp
interestingly	RB	interestingly
enough	RB	enough
they	PP	they
actually	RB	actually
arrested	VVD	arrest
a	DT	a
senior	JJ	senior
fut	NN	fut
leader	NN	leader
uh	UH	uh
that	DT	that
'	''	'
s	VVG	s
the	DT	the
other	JJ	other
big	JJ	big
political	JJ	political
party	NN	party
here	RB	here
in	IN	in
Palestine	NP	Palestine
interestingly	RB	interestingly
enough	RB	enough
the	DT	the
last	JJ	last
raids	NNS	raid
that	IN/that	that
we	PP	we
'	POS	'
ve	NNS	ve
seen	VVN	see
have	VHP	have
all	RB	all
been	VBN	be
against	IN	against
Hamas	JJ	Hamas
leaders	NNS	leader
not	RB	not
fut	NN	fut
leaders	NNS	leader
the	DT	the
first	JJ	first
time	NN	time
we	PP	we
'	POS	'
re	NN	re
hearing	NN	hearing
about	IN	about
that	WDT	that
the	DT	the
family	NN	family
actually	RB	actually
says	VVZ	say
that	IN/that	that
the	DT	the
fut	NN	fut
leader	NN	leader
was	VBD	be
actually	RB	actually
badly	RB	badly
beaten	VVN	beat
after	IN	after
he	PP	he
was	VBD	be
arrested	VVN	arrest
uh	UH	uh
there	EX	there
was	VBD	be
a	DT	a
lot	NN	lot
more	JJR	more
fighting	NN	fighting
going	VVG	go
on	IN	on
and	CC	and
that	IN/that	that
'	POS	'
s	NN	S
when	WRB	when
they	PP	they
used	VVD	use
a	DT	a
drone	NN	drone
strike	VV	strike
uh	UH	uh
to	TO	to
try	VV	try
and	CC	and
keep	VV	keep
control	VV	control
uh	UH	uh
of	IN	of
the	DT	the
area	NN	area
um	NN	um
and	CC	and
then	RB	then
after	IN	after
that	IN/that	that
they	PP	they
brought	VVD	bring
in	IN	in
armored	JJ	armored
bulldozers	NNS	bulldozer
three	CD	three
of	IN	of
them	PP	them
this	DT	this
time	NN	time
that	RB	that
'	POS	'
s	NN	S
a	DT	a
big	JJ	big
number	NN	number
we	PP	we
haven	VVP	haven
'	''	'
t	NN	t
seen	VVN	see
really	RB	really
anything	NN	anything
more	JJR	more
than	IN	than
one	CD	one
in	IN	in
these	DT	these
previous	JJ	previous
raids	NNS	raid
where	WRB	where
they	PP	they
dug	VVD	dig
up	RP	up
roads	NNS	road
and	CC	and
destroyed	VVN	destroy
symbols	NNS	symbol
of	IN	of
resistance	NN	resistance
after	IN	after
that	WDT	that
there	EX	there
was	VBD	be
another	DT	another
rid	JJ	rid
began	VVD	begin
around	RB	around
2	CD	@card@
:	:	:
a	DT	a
.	SENT	.
m	NN	m
.	SENT	.
in	IN	in
Darden	NP	Darden
uh	UH	uh
and	CC	and
that	DT	that
is	VBZ	be
where	WRB	where
a	DT	a
65	CD	@card@
-	NN	-
year	NN	year
-	NN	-
old	JJ	old
palis	NP	Palis
I	NP	I
man	NN	man
was	VBD	be
shot	VVN	shoot
that	RB	that
'	''	'
s	NN	S
like	IN	like
four	CD	four
people	NNS	people
who	WP	who
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
these	DT	these
two	CD	two
raids	NNS	raid
in	IN	in
total	NN	total
however	RB	however
56	CD	@card@
people	NNS	people
have	VHP	have
been	VBN	be
arrested	VVN	arrest
in	IN	in
those	DT	those
two	CD	two
raids	NNS	raid
and	CC	and
another	DT	another
one	CD	one
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
uh	UH	uh
that	WDT	that
brings	VVZ	bring
the	DT	the
total	NN	total
of	IN	of
Palestinians	NPS	Palestinians
in	IN	in
Israeli	JJ	Israeli
jails	NNS	jail
to	TO	to
6	CD	@card@
,	,	,
600	CD	@card@
18800	CD	@card@
of	IN	of
those	DT	those
are	VBP	be
under	IN	under
administrative	JJ	administrative
detention	NN	detention
basically	RB	basically
held	VVN	hold
without	IN	without
charge	NN	charge
and	CC	and
since	IN	since
October	NP	October
the	DT	the
7th	JJ	7th
almost	RB	almost
18800	CD	@card@
people	NNS	people
have	VHP	have
been	VBN	be
arrested	VVN	arrest
and	CC	and
Iman	NP	Iman
all	RB	all
of	IN	of
this	DT	this
causing	VVG	cause
so	RB	so
much	JJ	much
anger	NN	anger
throughout	IN	throughout
the	DT	the
occup	NN	occup
occupied	VVD	occupy
West	NP	West
Bank	NP	Bank
what	WP	what
'	POS	'
s	NNS	s
going	VVG	go
to	TO	to
be	VB	be
happening	VVG	happen
today	NN	today
in	IN	in
ramala	NN	ramala
well	RB	well
not	RB	not
just	RB	just
in	IN	in
ramala	NN	ramala
but	CC	but
across	IN	across
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
they	PP	they
'	POS	'
ve	NN	ve
organized	VVD	organize
a	DT	a
general	JJ	general
strike	NN	strike
that	RB	that
'	POS	'
s	NNS	s
every	DT	every
government	NN	government
building	NN	building
that	RB	that
'	POS	'
s	NNS	s
hosp	VV	hosp
uh	UH	uh
schools	NNS	school
rather	RB	rather
that	RB	that
'	''	'
s	NNS	s
all	RB	all
of	IN	of
the	DT	the
shops	NNS	shop
the	DT	the
businesses	NNS	business
everything	NN	everything
is	VBZ	be
shut	VVN	shut
down	RB	down
and	CC	and
the	DT	the
strike	NN	strike
Laura	NP	Laura
is	VBZ	be
actually	RB	actually
holding	VVG	hold
take	VV	take
a	DT	a
look	NN	look
around	IN	around
you	PP	you
uh	UH	uh
ramala	NN	ramala
is	VBZ	be
simply	RB	simply
a	DT	a
ghost	NN	ghost
town	NN	town
right	RB	right
now	RB	now
um	RB	um
there	EX	there
have	VHP	have
been	VBN	be
protests	NNS	protest
that	WDT	that
have	VHP	have
been	VBN	be
moving	VVG	move
around	RP	around
uh	UH	uh
rala	NNS	rala
expect	VVP	expect
to	TO	to
see	VV	see
those	DT	those
protests	VVZ	protest
uh	UH	uh
get	VV	get
slightly	RB	slightly
bigger	JJR	big
during	IN	during
the	DT	the
day	NN	day
uh	UH	uh
in	IN	in
a	DT	a
couple	NN	couple
of	IN	of
hours	NNS	hour
there	RB	there
'	''	'
ll	NN	ll
be	VB	be
another	DT	another
de	NP	de
an	DT	an
hour	NN	hour
in	IN	in
fact	NN	fact
actually	RB	actually
there	RB	there
will	MD	will
be	VB	be
another	DT	another
demonstration	NN	demonstration
outside	IN	outside
the	DT	the
United	NP	United
Nations	NPS	Nations
building	NN	building
Palestinians	NNS	Palestinian
in	IN	in
rala	NN	rala
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
are	VBP	be
showing	VVG	show
their	PP$	their
solidarity	NN	solidarity
with	IN	with
uh	UH	uh
the	DT	the
Palestinians	NPS	Palestinians
in	IN	in
Gaza	NP	Gaza
but	CC	but
much	RB	much
more	JJR	more
than	IN	than
that	IN/that	that
this	DT	this
is	VBZ	be
all	RB	all
in	IN	in
the	DT	the
aftermath	NN	aftermath
of	IN	of
that	DT	that
massacre	NN	massacre
in	IN	in
jab	NN	jab
a	DT	a
refugee	NN	refugee
camp	NN	camp
okay	JJ	okay
Imran	NP	Imran
Khan	NP	Khan
joining	VVG	join
us	PP	us
there	RB	there
from	IN	from
ran	VVD	run
thanks	NNS	thanks
very	RB	very
much	JJ	much
Imran	NP	Imran
well	NN	well
as	IN	as
Imron	NP	Imron
was	VBD	be
saying	VVG	say
in	IN	in
