while	IN	while
turning	VVG	turn
to	TO	to
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
now	RB	now
where	WRB	where
Israeli	JJ	Israeli
forces	NNS	force
have	VHP	have
been	VBN	be
carrying	VVG	carry
out	RP	out
yet	RB	yet
more	RBR	more
raids	VVZ	raid
we	PP	we
'	''	'
re	IN	re
getting	VVG	get
reports	NNS	report
of	IN	of
incursions	NNS	incursion
in	IN	in
the	DT	the
towns	NNS	town
of	IN	of
Janine	NP	Janine
nablas	NP	nablas
and	CC	and
Hebron	NP	Hebron
Israel	NP	Israel
stepped	VVD	step
up	RP	up
nightly	JJ	nightly
raids	NNS	raid
on	IN	on
the	DT	the
territory	NN	territory
in	IN	in
recent	JJ	recent
days	NNS	day
let	VVD	let
'	''	'
s	NNS	s
bring	VVP	bring
in	IN	in
Zay	NP	Zay
basravi	NP	basravi
he	PP	he
joins	VVZ	join
us	PP	us
live	VVP	live
now	RB	now
from	IN	from
rala	NP	rala
Zay	NP	Zay
so	RB	so
just	RB	just
bring	VV	bring
us	PP	us
up	RP	up
to	TO	to
date	VV	date
with	IN	with
the	DT	the
latest	JJS	late
on	IN	on
those	DT	those
raids	NNS	raid
well	VVP	well
it	PP	it
'	''	'
s	RB	s
been	VBN	be
another	DT	another
very	RB	very
busy	JJ	busy
night	NN	night
it	PP	it
'	POS	'
s	RB	s
been	VBN	be
far	RB	far
busier	JJR	busy
than	IN	than
it	PP	it
has	VHZ	have
been	VBN	be
in	IN	in
previous	JJ	previous
nights	NNS	night
in	IN	in
recent	JJ	recent
weeks	NNS	week
we	PP	we
'	POS	'
ve	NN	ve
seen	VVN	see
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
really	RB	really
turn	VV	turn
into	IN	into
a	DT	a
patchwork	NN	patchwork
of	IN	of
violence	NN	violence
with	IN	with
multiple	JJ	multiple
raids	NNS	raid
going	VVG	go
on	IN	on
in	IN	in
communities	NNS	community
across	IN	across
the	DT	the
area	NN	area
earlier	RBR	earlier
this	DT	this
evening	NN	evening
we	PP	we
saw	VVD	see
raids	NNS	raid
in	IN	in
Nablus	NP	Nablus
Bethlehem	NP	Bethlehem
uh	UH	uh
heon	NN	heon
in	IN	in
nablo	NN	nablo
at	IN	at
least	JJS	least
three	CD	three
people	NNS	people
were	VBD	be
arrested	VVN	arrest
in	IN	in
the	DT	the
village	NN	village
of	IN	of
azun	NN	azun
in	IN	in
the	DT	the
kilia	NN	kilia
area	NN	area
uh	UH	uh
we	PP	we
had	VHD	have
heard	VVN	hear
reports	VVZ	report
uh	UH	uh
that	WDT	that
today	NN	today
a	DT	a
couple	NN	couple
of	IN	of
days	NNS	day
ago	RB	ago
there	EX	there
had	VHD	have
been	VBN	be
gunshots	NNS	gunshot
fired	VVN	fire
at	IN	at
Israeli	JJ	Israeli
troops	NNS	troop
residents	NNS	resident
there	RB	there
say	VVP	say
they	PP	they
were	VBD	be
bracing	VVG	brace
for	IN	for
some	DT	some
kind	NN	kind
of	IN	of
retaliation	NN	retaliation
for	IN	for
some	DT	some
kind	NN	kind
of	IN	of
incursion	NN	incursion
that	WDT	that
did	VVD	do
happen	VV	happen
this	DT	this
evening	NN	evening
now	RB	now
we	PP	we
don	VV	don
'	''	'
t	NN	t
have	VHP	have
any	DT	any
further	JJR	further
update	NN	update
at	IN	at
the	DT	the
moment	NN	moment
but	CC	but
it	PP	it
seems	VVZ	seem
that	IN/that	that
the	DT	the
raids	NNS	raid
there	EX	there
uh	UH	uh
may	MD	may
have	VH	have
ended	VVN	end
so	RB	so
far	RB	far
but	CC	but
the	DT	the
the	DT	the
main	JJ	main
flash	NN	flash
point	NN	point
the	DT	the
main	JJ	main
area	NN	area
of	IN	of
activity	NN	activity
this	DT	this
evening	NN	evening
seems	VVZ	seem
to	TO	to
be	VB	be
once	RB	once
again	RB	again
Janine	NP	Janine
Janine	NP	Janine
City	NP	City
uh	UH	uh
a	DT	a
heavy	JJ	heavy
presence	NN	presence
of	IN	of
Israeli	JJ	Israeli
military	JJ	military
forces	NNS	force
went	VVD	go
into	IN	into
that	DT	that
area	NN	area
earlier	RBR	earlier
this	RB	this
evening	VVG	even
uh	UH	uh
they	PP	they
were	VBD	be
accompanied	VVN	accompany
by	IN	by
armored	JJ	armored
vehicles	NNS	vehicle
as	RB	as
well	RB	well
as	IN	as
armored	JJ	armored
bulldozers	NNS	bulldozer
and	CC	and
at	IN	at
least	JJS	least
two	CD	two
people	NNS	people
were	VBD	be
injured	VVN	injure
in	IN	in
what	WP	what
people	NNS	people
there	EX	there
residents	NNS	resident
described	VVN	describe
as	IN	as
ongoing	JJ	ongoing
heavy	JJ	heavy
clashes	NNS	clash
between	IN	between
Israeli	JJ	Israeli
military	JJ	military
and	CC	and
Palestinian	JJ	Palestinian
Fighters	NNS	fighter
uh	UH	uh
now	RB	now
we	PP	we
know	VVP	know
that	IN/that	that
two	CD	two
people	NNS	people
were	VBD	be
injured	VVN	injure
ambulances	NNS	ambulance
were	VBD	be
trying	VVG	try
to	TO	to
get	VV	get
into	IN	into
those	DT	those
areas	NNS	area
to	TO	to
try	VV	try
to	TO	to
get	VV	get
to	TO	to
the	DT	the
injured	JJ	injured
uh	UH	uh
they	PP	they
were	VBD	be
being	VBG	be
stopped	VVN	stop
in	IN	in
many	JJ	many
locations	NNS	location
but	CC	but
Israeli	JJ	Israeli
bulldozers	NNS	bulldozer
were	VBD	be
digging	VVG	dig
up	RP	up
streets	NNS	street
digging	VVG	dig
up	RP	up
infrastructure	NN	infrastructure
making	VVG	make
it	PP	it
more	RBR	more
difficult	JJ	difficult
in	IN	in
the	DT	the
long	JJ	long
run	NN	run
for	IN	for
people	NNS	people
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
navigate	VV	navigate
those	DT	those
communities	NNS	community
and	CC	and
that	DT	that
is	VBZ	be
part	NN	part
of	IN	of
this	DT	this
it	PP	it
is	VBZ	be
not	RB	not
just	RB	just
about	IN	about
going	VVG	go
after	IN	after
people	NNS	people
it	PP	it
is	VBZ	be
about	RB	about
creating	VVG	create
longlasting	NN	longlasting
effects	NNS	effect
creating	VVG	create
sense	NN	sense
of	IN	of
dread	NN	dread
and	CC	and
fear	NN	fear
in	IN	in
those	DT	those
communities	NNS	community
um	VVG	um
we	PP	we
'	POS	'
ve	NN	ve
also	RB	also
heard	VVD	hear
that	IN/that	that
there	EX	there
are	VBP	be
raids	NNS	raid
now	RB	now
in	IN	in
ramala	NN	ramala
at	IN	at
the	DT	the
jalon	NN	jalon
refugee	NN	refugee
camp	NN	camp
two	CD	two
journalists	NNS	journalist
were	VBD	be
arrested	VVN	arrest
in	IN	in
the	DT	the
bade	VVN	bid
Village	NP	Village
as	IN	as
well	UH	well
uh	UH	uh
Zane	NP	Zane
on	IN	on
the	DT	the
uh	UH	uh
diplomatic	JJ	diplomatic
front	NN	front
US	NP	US
Secretary	NP	Secretary
of	IN	of
State	NP	State
Anthony	NP	Anthony
blinkin	NP	blinkin
is	VBZ	be
traveling	VVG	travel
to	TO	to
rala	NNS	rala
there	RB	there
where	WRB	where
you	PP	you
are	VBP	be
to	TO	to
meet	VV	meet
with	IN	with
the	DT	the
Palestinian	JJ	Palestinian
president	NN	president
that	RB	that
'	POS	'
s	JJ	s
right	NN	right
as	IN	as
part	NN	part
of	IN	of
this	DT	this
