<video_id>X6ZwEgq7KtI</video_id>	JJ	<video_id>X6ZwEgq7KtI</video_id>
<video_title>Israeli	NN	<video_title>Israeli
forces	NNS	force
detain	VVP	detain
Gaza	NP	Gaza
workers	NNS	worker
stranded	VVN	strand
in	IN	in
occupied	JJ	occupied
West	NP	West
Bank</video_title>	NP	Bank</video_title>
<thumbnail_path>data/en_AJ\Israeli	NP	<thumbnail_path>data/en_AJ\Israeli
forces	NNS	force
detain	VVP	detain
Gaza	NP	Gaza
workers	NNS	worker
stranded	VVN	strand
in	IN	in
occupied	JJ	occupied
West	NP	West
Bank.jpg</thumbnail_path>	NP	Bank.jpg</thumbnail_path>
<publish_date>20231017</publish_date>	NN	<publish_date>20231017</publish_date>
<doc>	NN	<doc>
Israeli	JJ	Israeli
forces	NNS	force
have	VHP	have
raided	VVN	raid
a	DT	a
school	NN	school
just	RB	just
north	RB	north
of	IN	of
Hebron	NP	Hebron
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
dozens	NNS	dozen
of	IN	of
Palestinian	JJ	Palestinian
workers	NNS	worker
from	IN	from
Gaza	NP	Gaza
have	VHP	have
been	VBN	be
Sheltering	VVG	shelter
at	IN	at
that	DT	that
school	NN	school
and	CC	and
they	PP	they
had	VHD	have
been	VBN	be
unable	JJ	unable
to	TO	to
return	VV	return
home	NN	home
since	IN	since
the	DT	the
war	NN	war
broke	VVD	break
out	RP	out
and	CC	and
Israel	NP	Israel
closed	VVD	close
the	DT	the
Border	NP	Border
let's	NNS	let's
get	VVP	get
more	JJR	more
on	IN	on
this	DT	this
from	IN	from
Nida	NP	Nida
Ibrahim	NP	Ibrahim
who's	NNS	who's
in	IN	in
rala	NN	rala
for	IN	for
us	PP	us
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
nid	NN	nid
what	WP	what
happened	VVD	happen
to	TO	to
that	DT	that
school	NN	school
why	WRB	why
was	VBD	be
it	PP	it
raid	VVP	raid
well	RB	well
let	VV	let
me	PP	me
just	RB	just
give	VVP	give
you	PP	you
some	DT	some
context	NN	context
about	IN	about
those	DT	those
workers	NNS	worker
who	WP	who
have	VHP	have
been	VBN	be
kicked	VVN	kick
out	RP	out
from	IN	from
their	PP$	their
work	NN	work
and	CC	and
they've	NN	they've
returned	VVD	return
to	TO	to
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
some	DT	some
of	IN	of
them	PP	them
returned	VVD	return
to	TO	to
ramala	NN	ramala
when	WRB	when
the	DT	the
numbers	NNS	number
started	VVD	start
increasing	VVG	increase
the	DT	the
Palestinian	NP	Palestinian
Authority	NP	Authority
was	VBD	be
trying	VVG	try
to	TO	to
move	VV	move
them	PP	them
in	IN	in
different	JJ	different
locations	NNS	location
to	TO	to
provide	VV	provide
them	PP	them
with	IN	with
shelter	NN	shelter
and	CC	and
provide	VV	provide
them	PP	them
with	IN	with
the	DT	the
uh	UH	uh
food	NN	food
and	CC	and
and	CC	and
everything	NN	everything
while	IN	while
they're	NN	they're
watching	VVG	watch
the	DT	the
difficult	JJ	difficult
scenes	NNS	scene
of	IN	of
their	PP$	their
families	NNS	family
that	WDT	that
are	VBP	be
taking	VVG	take
place	NN	place
because	IN	because
of	IN	of
the	DT	the
bombardment	NN	bombardment
in	IN	in
the	DT	the
besieged	JJ	besieged
Gaza	NP	Gaza
Strip	NP	Strip
now	RB	now
what	WP	what
happened	VVD	happen
overnight	RB	overnight
is	VBZ	be
that	IN/that	that
an	DT	an
Israeli	JJ	Israeli
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
have	VHP	have
raided	VVN	raid
the	DT	the
school	NN	school
that	IN/that	that
they	PP	they
were	VBD	be
Sheltering	VVG	shelter
in	IN	in
in	IN	in
habon	NN	habon
and	CC	and
arrested	VVN	arrest
30	CD	@card@
of	IN	of
them	PP	them
so	RB	so
according	VVG	accord
to	TO	to
many	JJ	many
of	IN	of
those	DT	those
workers	NNS	worker
who	WP	who
have	VHP	have
been	VBN	be
in	IN	in
ramala	NN	ramala
they've	NN	they've
been	VBN	be
scared	VVN	scare
of	IN	of
that	DT	that
that	WDT	that
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
would	MD	would
arrest	VV	arrest
them	PP	them
there's	JJ	there's
no	UH	no
uh	UH	uh
uh	UH	uh
for	IN	for
them	PP	them
they	PP	they
don't	VVD	don't
know	VV	know
why	WRB	why
they're	NN	they're
being	VBG	be
arrested	VVN	arrest
some	RB	some
of	IN	of
them	PP	them
have	VHP	have
lost	VVN	lose
their	PP$	their
families	NNS	family
already	RB	already
in	IN	in
the	DT	the
bombardment	NN	bombardment
so	IN	so
you	PP	you
can	MD	can
imagine	VV	imagine
the	DT	the
amount	NN	amount
of	IN	of
fear	NN	fear
the	DT	the
amount	NN	amount
of	IN	of
pain	NN	pain
that	IN/that	that
they're	NN	they're
in	IN	in
because	IN	because
they're	NN	they're
away	RB	away
from	IN	from
their	PP$	their
families	NNS	family
and	CC	and
watching	VVG	watch
their	PP$	their
news	NN	news
only	RB	only
on	IN	on
TV	NN	TV
so	IN	so
we	PP	we
are	VBP	be
not	RB	not
sure	JJ	sure
why	WRB	why
they've	NN	they've
been	VBN	be
arrested	VVN	arrest
but	CC	but
we	PP	we
know	VVP	know
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
have	VHP	have
arrested	VVN	arrest
also	RB	also
other	JJ	other
people	NNS	people
in	IN	in
habron	NP	habron
and	CC	and
they	PP	they
say	VVP	say
that	IN/that	that
they	PP	they
uh	UH	uh
have	VHP	have
been	VBN	be
affiliated	VVN	affiliate
with	IN	with
Hamas	NNS	Hamas
so	IN	so
you	PP	you
can	MD	can
imagine	VV	imagine
the	DT	the
intensity	NN	intensity
of	IN	of
the	DT	the
situation	NN	situation
and	CC	and
the	DT	the
feelings	NNS	feeling
of	IN	of
those	DT	those
workers	NNS	worker
who	WP	who
cannot	MD	can
go	VV	go
home	NN	home
but	CC	but
also	RB	also
are	VBP	be
being	VBG	be
arrested	VVN	arrest
while	IN	while
they	PP	they
are	VBP	be
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
nid	NN	nid
we're	NN	we're
also	RB	also
getting	VVG	get
reports	NNS	report
of	IN	of
a	DT	a
Sittin	NP	Sittin
happening	NN	happening
what	WP	what
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
well	RB	well
there's	RB	there's
a	DT	a
weekly	JJ	weekly
sit	NN	sit
in	IN	in
by	IN	by
the	DT	the
families	NNS	family
of	IN	of
Palestinians	NPS	Palestinians
prisoners	NNS	prisoner
that	WDT	that
takes	VVZ	take
place	NN	place
for	IN	for
years	NNS	year
now	RB	now
that	WDT	that
has	VHZ	have
been	VBN	be
taking	VVG	take
place	NN	place
on	IN	on
Tuesdays	NNS	Tuesday
but	CC	but
now	RB	now
it's	NNS	it's
taking	VVG	take
a	DT	a
bigger	JJR	big
importance	NN	importance
because	IN	because
the	DT	the
families	NNS	family
are	VBP	be
saying	VVG	say
that	DT	that
they've	NN	they've
received	VVD	receive
news	NN	news
from	IN	from
some	DT	some
Nos	NNS	no
and	CC	and
some	DT	some
human	JJ	human
rights	NNS	right
organizations	NNS	organization
working	VVG	work
here	RB	here
saying	VVG	say
that	IN/that	that
there's	RB	there's
a	DT	a
limited	JJ	limited
access	NN	access
to	TO	to
electricity	NN	electricity
and	CC	and
water	NN	water
for	IN	for
those	DT	those
Palestinians	NPS	Palestinians
who	WP	who
have	VHP	have
been	VBN	be
detained	VVN	detain
in	IN	in
Israeli	JJ	Israeli
jails	NNS	jail
and	CC	and
indeed	RB	indeed
we've	VV	we've
seen	VVN	see
Israeli	JJ	Israeli
politicians	NNS	politician
talk	VVP	talk
on	IN	on
Israeli	JJ	Israeli
media	NNS	medium
saying	VVG	say
that	IN/that	that
they're	NN	they're
going	VVG	go
to	TO	to
cut	VV	cut
electricity	NN	electricity
cut	NN	cut
water	NN	water
to	TO	to
the	DT	the
Palestinian	JJ	Palestinian
detes	NNS	detes
withheld	VVN	withhold
by	IN	by
Israel	NP	Israel
and	CC	and
as	IN	as
the	DT	the
numbers	NNS	number
of	IN	of
those	DT	those
Palestinians	NPS	Palestinians
increase	VVP	increase
now	RB	now
we're	VV	we're
talking	VVG	talk
about	RB	about
600	CD	@card@
people	NNS	people
since	IN	since
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
escalation	NN	escalation
who	WP	who
have	VHP	have
been	VBN	be
rounded	VVN	round
up	RP	up
by	IN	by
Israeli	JJ	Israeli
forces	NNS	force
you	PP	you
can	MD	can
imagine	VV	imagine
that	IN/that	that
more	JJR	more
families	NNS	family
are	VBP	be
worried	VVN	worry
about	IN	about
the	DT	the
futures	NNS	future
of	IN	of
their	PP$	their
sons	NNS	son
they're	NN	they're
not	RB	not
sure	JJ	sure
how	WRB	how
uh	UH	uh
their	PP$	their
their	PP$	their
living	NN	living
conditions	NNS	condition
are	VBP	be
and	CC	and
we've	NN	we've
been	VBN	be
reporting	VVG	report
in	IN	in
the	DT	the
past	NN	past
that	IN/that	that
some	DT	some
of	IN	of
those	DT	those
Palestinian	JJ	Palestinian
prisoners	NNS	prisoner
say	VVP	say
that	DT	that
they've	NN	they've
been	VBN	be
subject	JJ	subject
to	TO	to
torture	VV	torture
so	IN	so
they	PP	they
have	VHP	have
been	VBN	be
subject	JJ	subject
to	TO	to
humiliation	NN	humiliation
so	IN	so
it's	NNS	it's
really	RB	really
hard	RB	hard
now	RB	now
for	IN	for
Palestinian	JJ	Palestinian
families	NNS	family
because	IN	because
they're	NN	they're
not	RB	not
having	VHG	have
visitation	NN	visitation
to	TO	to
their	PP$	their
sons	NNS	son
to	TO	to
know	VV	know
what's	NNS	what's
happening	VVG	happen
inside	IN	inside
the	DT	the
Israeli	JJ	Israeli
prisons	NNS	prison
but	CC	but
there's	RB	there's
a	DT	a
lot	NN	lot
of	IN	of
fear	NN	fear
and	CC	and
that's	NNS	that's
why	WRB	why
the	DT	the
Palestinian	JJ	Palestinian
families	NNS	family
are	VBP	be
protesting	VVG	protest
now	RB	now
to	TO	to
kind	NN	kind
of	IN	of
shed	VVN	shed
light	NN	light
on	IN	on
the	DT	the
issue	NN	issue
of	IN	of
prisoners	NNS	prisoner
they	PP	they
fear	VVP	fear
that	IN/that	that
while	NN	while
eyes	NNS	eye
are	VBP	be
on	IN	on
Gaza	NP	Gaza
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
are	VBP	be
going	VVG	go
to	TO	to
be	VB	be
imposing	VVG	impose
more	JJR	more
restrictions	NNS	restriction
and	CC	and
more	JJR	more
measures	NNS	measure
against	IN	against
Palestinian	JJ	Palestinian
prisoners	NNS	prisoner
n	NN	n
Abraham	NP	Abraham
reporting	VVG	report
from	IN	from
ala	NN	ala
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
thank	VVP	thank
you	PP	you
very	RB	very
