<video_id>n4Wtr1tpur4</video_id>	JJ	<video_id>n4Wtr1tpur4</video_id>
<video_title>Israeli	NN	<video_title>Israeli
forces	NNS	force
have	VHP	have
arrested	VVN	arrest
a	DT	a
number	NN	number
of	IN	of
Hamas	JJ	Hamas
members	NNS	member
during	IN	during
raids	NNS	raid
in	IN	in
the	DT	the
Occupied	JJ	occupied
West	NP	West
Bank</video_title>	NP	Bank</video_title>
<thumbnail_path>data/en_AJ\Israeli	NP	<thumbnail_path>data/en_AJ\Israeli
forces	NNS	force
have	VHP	have
arrested	VVN	arrest
a	DT	a
number	NN	number
of	IN	of
Hamas	JJ	Hamas
members	NNS	member
during	IN	during
raids	NNS	raid
in	IN	in
the	DT	the
Occupied	JJ	occupied
West	NP	West
Bank.jpg</thumbnail_path>	NP	Bank.jpg</thumbnail_path>
<publish_date>20231015</publish_date>	NN	<publish_date>20231015</publish_date>
<doc>	NN	<doc>
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
Israeli	NP	Israeli
forces	NNS	force
are	VBP	be
increasing	VVG	increase
the	DT	the
number	NN	number
of	IN	of
raids	NNS	raid
arresting	VVG	arrest
dozens	NNS	dozen
of	IN	of
Palestinians	NPS	Palestinians
around	IN	around
400	CD	@card@
Palestinians	NPS	Palestinians
have	VHP	have
been	VBN	be
detained	VVN	detain
and	CC	and
at	IN	at
least	JJS	least
55	CD	@card@
killed	VVN	kill
there	RB	there
since	IN	since
last	JJ	last
Saturday	NP	Saturday
let's	NNS	let's
go	VVP	go
to	TO	to
Imran	NP	Imran
Khan	NP	Khan
who's	NNS	who's
in	IN	in
rala	NN	rala
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
Imran	NP	Imran
this	DT	this
was	VBD	be
already	RB	already
the	DT	the
deadliest	JJS	deadly
year	NN	year
in	IN	in
a	DT	a
long	JJ	long
time	NN	time
for	IN	for
Palestinians	NPS	Palestinians
but	CC	but
55	CD	@card@
killed	VVD	kill
55	CD	@card@
Palestinians	NPS	Palestinians
killed	VVN	kill
since	IN	since
Saturday	NP	Saturday
that's	NNS	that's
a	DT	a
very	RB	very
sharp	JJ	sharp
escalation	NN	escalation
tell	VV	tell
us	PP	us
about	IN	about
the	DT	the
latest	JJS	late
raids	NNS	raid
well	RB	well
the	DT	the
r	NN	r
the	DT	the
latest	JJS	late
raids	NNS	raid
took	VVD	take
place	VV	place
uh	UH	uh
in	IN	in
the	DT	the
last	JJ	last
24	CD	@card@
hours	NNS	hour
66	CD	@card@
people	NNS	people
have	VHP	have
been	VBN	be
arrested	VVN	arrest
today	NN	today
they've	NN	they've
been	VBN	be
arrested	VVN	arrest
by	IN	by
the	DT	the
Israeli	JJ	Israeli
military	NN	military
remember	VVP	remember
that	IN/that	that
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
comes	VVZ	come
under	IN	under
Israeli	JJ	Israeli
military	JJ	military
rule	NN	rule
not	RB	not
Israeli	JJ	Israeli
civilian	JJ	civilian
Rule	NN	rule
and	CC	and
only	RB	only
in	IN	in
the	DT	the
Palestinian	JJ	Palestinian
areas	NNS	area
as	IN	as
the	DT	the
Palestinian	JJ	Palestinian
Authority	NP	Authority
RIT	NP	Rit
actually	RB	actually
make	VV	make
any	DT	any
uh	UH	uh
have	VH	have
any	DT	any
effect	NN	effect
so	IN	so
these	DT	these
people	NNS	people
have	VHP	have
now	RB	now
been	VBN	be
taken	VVN	take
into	IN	into
Israeli	JJ	Israeli
military	JJ	military
uh	UH	uh
detention	NN	detention
470	CD	@card@
since	IN	since
Saturday	NP	Saturday
since	IN	since
October	NP	October
7th	JJ	7th
uh	UH	uh
when	WRB	when
hamas's	JJ	hamas's
military	JJ	military
operation	NN	operation
began	VVD	begin
this	DT	this
is	VBZ	be
a	DT	a
worrying	VVG	worry
number	NN	number
uh	UH	uh
for	IN	for
the	DT	the
Palestinians	NPS	Palestinians
now	RB	now
sirel	NN	sirel
it	PP	it
was	VBD	be
only	RB	only
a	DT	a
few	JJ	few
days	NNS	day
ago	RB	ago
that	IN/that	that
here	RB	here
in	IN	in
Manara	NP	Manara
Square	NP	Square
in	IN	in
the	DT	the
center	NN	center
of	IN	of
rala	NN	rala
that	IN/that	that
Hamas	NP	Hamas
actually	RB	actually
called	VVD	call
a	DT	a
public	JJ	public
rally	NN	rally
they	PP	they
were	VBD	be
allowed	VVN	allow
to	TO	to
do	VV	do
that	IN/that	that
by	IN	by
the	DT	the
Palestinian	NP	Palestinian
Authority	NP	Authority
there	RB	there
were	VBD	be
senior	JJ	senior
leaders	NNS	leader
of	IN	of
Hamas	NNS	Hamas
leading	VVG	lead
the	DT	the
prayers	NNS	prayer
um	VVZ	um
uh	UH	uh
for	IN	for
the	DT	the
victims	NNS	victim
in	IN	in
Gaza	NP	Gaza
uh	UH	uh
they	PP	they
were	VBD	be
doing	VVG	do
this	DT	this
publicly	RB	publicly
and	CC	and
now	RB	now
uh	UH	uh
the	DT	the
Israelis	NPS	Israelis
are	VBP	be
going	VVG	go
in	IN	in
and	CC	and
arresting	VVG	arrest
um	JJ	um
members	NNS	member
of	IN	of
Hamas	NP	Hamas
now	RB	now
that's	NNS	that's
only	RB	only
adding	VVG	add
to	TO	to
the	DT	the
sense	NN	sense
of	IN	of
nervousness	NN	nervousness
here	RB	here
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
remember	VVP	remember
s	VVG	s
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
is	VBZ	be
still	RB	still
uh	UH	uh
under	IN	under
blockade	NN	blockade
is	VBZ	be
blockaded	VVN	blockade
uh	UH	uh
from	IN	from
the	DT	the
Candia	NP	Candia
checkpoint	NN	checkpoint
from	IN	from
other	JJ	other
checkpoints	NNS	checkpoint
that	IN/that	that
actually	RB	actually
lead	NN	lead
into	IN	into
uh	UH	uh
occupied	VVD	occupy
East	NP	East
Jerusalem	NP	Jerusalem
into	IN	into
Jerusalem	NP	Jerusalem
generally	RB	generally
but	CC	but
you	PP	you
can't	VVD	can't
move	VV	move
around	RP	around
within	IN	within
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
and	CC	and
so	RB	so
people	NNS	people
are	VBP	be
simply	RB	simply
staying	VVG	stay
at	IN	at
home	NN	home
they're	NN	they're
watching	VVG	watch
the	DT	the
tele	NN	tele
ision	NN	ision
and	CC	and
they're	NN	they're
just	RB	just
incredibly	RB	incredibly
nervous	JJ	nervous
and	CC	and
they	PP	they
keep	VVP	keep
telling	VVG	tell
us	PP	us
look	VVP	look
if	IN	if
that's	NNS	that's
happening	VVG	happen
in	IN	in
Gaza	NP	Gaza
we're	NP	we're
worried	VVD	worry
that	IN/that	that
we	PP	we
might	MD	might
be	VB	be
next	JJ	next
Imran	NP	Imran
you're	NN	you're
also	RB	also
getting	VVG	get
new	JJ	new
information	NN	information
on	IN	on
the	DT	the
humanitarian	JJ	humanitarian
situation	NN	situation
in	IN	in
Gaza	NP	Gaza
what	WP	what
can	MD	can
you	PP	you
share	VV	share
with	IN	with
us	PP	us
well	VVP	well
I	PP	I
can	MD	can
tell	VV	tell
you	PP	you
the	DT	the
Musa	NP	Musa
baruti	NP	baruti
a	DT	a
very	RB	very
senior	JJ	senior
Palestinian	JJ	Palestinian
figure	NN	figure
the	DT	the
head	NN	head
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
national	JJ	national
initiative	NN	initiative
gave	VVD	give
a	DT	a
press	NN	press
conference	NN	conference
today	NN	today
he	PP	he
gave	VVD	give
some	DT	some
very	JJ	very
Stark	NP	Stark
numbers	NNS	number
about	IN	about
uh	UH	uh
what	WP	what
was	VBD	be
going	VVG	go
on	IN	on
within	IN	within
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
he	PP	he
also	RB	also
talked	VVD	talk
about	IN	about
uh	UH	uh
it	PP	it
infolding	VVG	infold
into	IN	into
a	DT	a
humanitarian	JJ	humanitarian
crisis	NN	crisis
it's	NNS	it's
worth	NN	worth
taking	VVG	take
a	DT	a
listen	NN	listen
to	TO	to
him	PP	him
what	WP	what
we	PP	we
see	VVP	see
in	IN	in
Gaza	NP	Gaza
is	VBZ	be
unlawful	JJ	unlawful
killing	NN	killing
of	IN	of
innocent	JJ	innocent
civilians	NNS	civilian
slaughtering	VVG	slaughter
children	NNS	child
800	CD	@card@
Palestinian	JJ	Palestinian
children	NNS	child
have	VHP	have
already	RB	already
been	VBN	be
slaughtered	VVN	slaughter
by	IN	by
Israeli	JJ	Israeli
air	NN	air
strikes	VVZ	strike
what	WP	what
we	PP	we
see	VVP	see
is	VBZ	be
acts	NNS	act
of	IN	of
collective	JJ	collective
punishment	NN	punishment
and	CC	and
bombardment	NN	bombardment
up	RB	up
till	IN	till
now	RB	now
the	DT	the
Israeli	JJ	Israeli
Army	NN	army
and	CC	and
air	NN	air
strikes	NNS	strike
have	VHP	have
conducted	VVN	conduct
57	CD	@card@
massacres	NNS	massacre
and	CC	and
I	PP	I
mean	VVP	mean
by	IN	by
a	DT	a
massacre	NN	massacre
the	DT	the
elimination	NN	elimination
of	IN	of
whole	JJ	whole
families	NNS	family
completely	RB	completely
and	CC	and
killing	VVG	kill
them	PP	them
totally	RB	totally
we	PP	we
already	RB	already
received	VVD	receive
report	NN	report
that	IN/that	that
47	CD	@card@
families	NNS	family
and	CC	and
I	PP	I
mean	VVP	mean
by	IN	by
families	NNS	family
grandfather	NN	grandfather
grandmother	NN	grandmother
brothers	NNS	brother
sisters	NNS	sister
children	NNS	child
they	PP	they
47	CD	@card@
families	NNS	family
have	VHP	have
already	RB	already
been	VBN	be
erased	VVN	erase
from	IN	from
the	DT	the
Civil	JJ	civil
record	NN	record
it's	NNS	it's
very	JJ	very
Stark	NP	Stark
numbers	NNS	number
there	RB	there
St	NP	St
seral	NN	seral
that	IN/that	that
he	PP	he
was	VBD	be
talking	VVG	talk
about	RB	about
but	CC	but
what's	NNS	what's
perhaps	RB	perhaps
slightly	RB	slightly
more	RBR	more
interesting	JJ	interesting
for	IN	for
the	DT	the
International	NP	International
Community	NP	Community
is	VBZ	be
that	DT	that
press	NN	press
conference	NN	conference
was	VBD	be
actually	RB	actually
held	VVN	hold
in	IN	in
English	JJ	English
and	CC	and
that's	JJ	that's
something	NN	something
you're	NN	you're
going	VVG	go
to	TO	to
start	VV	start
seeing	VVG	see
a	DT	a
lot	NN	lot
more	RBR	more
of	IN	of
the	DT	the
Palestinians	NPS	Palestinians
have	VHP	have
realized	VVN	realize
that	IN/that	that
they	PP	they
need	VVP	need
to	TO	to
get	VV	get
their	PP$	their
side	NN	side
of	IN	of
the	DT	the
story	NN	story
out	RP	out
to	TO	to
the	DT	the
International	NP	International
Community	NP	Community
and	CC	and
they	PP	they
need	VVP	need
to	TO	to
do	VV	do
that	IN/that	that
in	IN	in
Lang	NP	Lang
in	IN	in
languages	NNS	language
other	JJ	other
than	IN	than
Arabic	JJ	Arabic
they're	NN	they're
