<video_id>EYgfvG009nU</video_id>	JJ	<video_id>EYgfvG009nU</video_id>
<video_title>Israeli	NN	<video_title>Israeli
forces	NNS	force
have	VHP	have
continued	VVN	continue
carrying	VVG	carry
out	RP	out
overnight	JJ	overnight
raids	NNS	raid
in	IN	in
Occupied	JJ	occupied
West	NP	West
Bank</video_title>	NP	Bank</video_title>
<thumbnail_path>data/en_AJ\Israeli	NP	<thumbnail_path>data/en_AJ\Israeli
forces	NNS	force
have	VHP	have
continued	VVN	continue
carrying	VVG	carry
out	RP	out
overnight	JJ	overnight
raids	NNS	raid
in	IN	in
Occupied	JJ	occupied
West	NP	West
Bank.jpg</thumbnail_path>	NP	Bank.jpg</thumbnail_path>
<publish_date>20231108</publish_date>	JJ	<publish_date>20231108</publish_date>
<doc>	NN	<doc>
forces	NNS	force
have	VHP	have
continued	VVN	continue
their	PP$	their
overnight	JJ	overnight
raids	NNS	raid
across	IN	across
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
they	PP	they
conducted	VVD	conduct
raids	NNS	raid
in	IN	in
multiple	JJ	multiple
locations	NNS	location
in	IN	in
Bata	NP	Bata
refugee	NN	refugee
camp	NN	camp
they	PP	they
were	VBD	be
met	VVN	meet
with	IN	with
resistance	NN	resistance
Palestinian	JJ	Palestinian
Fighters	NNS	fighter
there	RB	there
retaliating	VVG	retaliate
with	IN	with
gunfire	NN	gunfire
and	CC	and
in	IN	in
taram	NN	taram
refugee	NN	refugee
camp	NN	camp
Israeli	JJ	Israeli
troops	NNS	troop
damag	NN	damag
infrastructure	NN	infrastructure
Israel's	NP	Israel's
intensified	VVD	intensify
its	PP$	its
raids	NNS	raid
across	IN	across
the	DT	the
territory	NN	territory
since	IN	since
the	DT	the
Hamas	JJ	Hamas
attacks	NNS	attack
on	IN	on
October	NP	October
the	DT	the
7th	JJ	7th
all	DT	all
right	JJ	right
let's	NNS	let's
go	VVP	go
to	TO	to
Zay	NP	Zay
basravi	NP	basravi
who's	NNS	who's
in	IN	in
rala	NN	rala
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
and	CC	and
zann	NP	zann
similarly	RB	similarly
Relentless	JJ	relentless
Israeli	JJ	Israeli
raids	NNS	raid
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
what	WP	what
are	VBP	be
Israel	NP	Israel
Israeli	NP	Israeli
forces	NNS	force
hoping	VVG	hope
to	TO	to
achieve	VV	achieve
well	RB	well
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
we've	NN	we've
seen	VVN	see
these	DT	these
raids	NNS	raid
exponentially	RB	exponentially
become	VVP	become
more	JJR	more
and	CC	and
more	JJR	more
intense	JJ	intense
more	RBR	more
and	CC	and
more	RBR	more
frequent	JJ	frequent
since	IN	since
the	DT	the
October	NP	October
7th	JJ	7th
uh	UH	uh
attacks	NNS	attack
and	CC	and
since	IN	since
the	DT	the
War	NP	War
Began	NP	Began
specifically	RB	specifically
to	TO	to
bring	VV	bring
pressure	NN	pressure
to	TO	to
bear	VV	bear
on	IN	on
communities	NNS	community
here	RB	here
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
while	IN	while
simultaneously	RB	simultaneously
bombarding	VVG	bombard
Palestinian	JJ	Palestinian
communities	NNS	community
in	IN	in
Gaza	NP	Gaza
I'd	NNS	I'd
like	VVP	like
to	TO	to
start	VV	start
by	IN	by
talking	VVG	talk
about	IN	about
something	NN	something
that	WDT	that
is	VBZ	be
happening	VVG	happen
right	RB	right
now	RB	now
in	IN	in
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
a	DT	a
large	JJ	large
military	JJ	military
presence	NN	presence
raiding	VVG	raid
the	DT	the
shaat	NN	shaat
Refuge	NP	Refuge
Camp	NP	Camp
we've	NN	we've
learned	VVD	learn
in	IN	in
just	RB	just
the	DT	the
last	JJ	last
hour	NN	hour
exactly	RB	exactly
why	WRB	why
they	PP	they
are	VBP	be
there	RB	there
they	PP	they
are	VBP	be
at	IN	at
the	DT	the
family	NN	family
home	NN	home
of	IN	of
Muhammad	NP	Muhammad
Al	NP	Al
zalani	NP	zalani
a	DT	a
13-year-old	JJ	13-year-old
who	WP	who
stands	VVZ	stand
accused	VVN	accuse
of	IN	of
stabbing	VVG	stab
and	CC	and
killing	VVG	kill
an	DT	an
Israeli	JJ	Israeli
soldier	NN	soldier
at	IN	at
a	DT	a
checkpoint	NN	checkpoint
in	IN	in
February	NP	February
now	RB	now
they	PP	they
are	VBP	be
there	RB	there
with	IN	with
snipers	NNS	sniper
on	IN	on
rooftops	NNS	rooftop
soldiers	NNS	soldier
surrounding	VVG	surround
the	DT	the
home	NN	home
reportedly	RB	reportedly
to	TO	to
bulldoze	VV	bulldoze
and	CC	and
destroy	VV	destroy
at	IN	at
home	NN	home
a	DT	a
form	NN	form
of	IN	of
collective	JJ	collective
punishment	NN	punishment
something	NN	something
that	WDT	that
is	VBZ	be
a	DT	a
major	JJ	major
overstep	VV	overstep
in	IN	in
these	DT	these
kinds	NNS	kind
of	IN	of
cases	NNS	case
but	CC	but
has	VHZ	have
become	VVN	become
common	JJ	common
practice	NN	practice
for	IN	for
the	DT	the
Israeli	JJ	Israeli
government	NN	government
for	IN	for
the	DT	the
military	NN	military
in	IN	in
dealing	VVG	deal
with	IN	with
any	DT	any
sort	NN	sort
of	IN	of
Palestinian	JJ	Palestinian
armed	JJ	armed
push	NN	push
back	NN	back
or	CC	or
resistance	NN	resistance
and	CC	and
especially	RB	especially
in	IN	in
cases	NNS	case
of	IN	of
these	DT	these
checkpoint	NN	checkpoint
stabbing	VVG	stab
attacks	NNS	attack
that	WDT	that
have	VHP	have
become	VVN	become
a	DT	a
common	JJ	common
and	CC	and
frequent	JJ	frequent
form	NN	form
of	IN	of
resistance	NN	resistance
by	IN	by
Palestinian	JJ	Palestinian
communities	NNS	community
here	RB	here
in	IN	in
occupi	NNS	occupi
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
as	RB	as
well	RB	well
as	IN	as
in	IN	in
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
um	NNS	um
now	RB	now
in	IN	in
terms	NNS	term
of	IN	of
what's	NNS	what's
happened	VVN	happen
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
overnight	JJ	overnight
we've	NN	we've
seen	VVN	see
uh	UH	uh
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
the	DT	the
night	NN	night
reports	NNS	report
that	WDT	that
amounted	VVD	amount
to	TO	to
a	DT	a
coordinated	VVN	coordinate
large	JJ	large
scale	NN	scale
sweep	NN	sweep
of	IN	of
across	IN	across
multiple	JJ	multiple
cities	NNS	city
with	IN	with
soldiers	NNS	soldier
making	VVG	make
arrests	NNS	arrest
burning	VVG	burn
Hamas	JJ	Hamas
Flags	NNS	flag
opening	VVG	open
fire	NN	fire
on	IN	on
various	JJ	various
communities	NNS	community
in	IN	in
cities	NNS	city
including	VVG	include
kilia	NP	Kilia
Jericho	NP	Jericho
turm	VV	turm
uh	UH	uh
and	CC	and
Nablus	NP	Nablus
as	RB	as
well	RB	well
as	IN	as
Janine	NP	Janine
at	IN	at
least	JJS	least
one	CD	one
clip	NN	clip
showed	VVD	show
uh	UH	uh
Palestinian	JJ	Palestinian
Fighters	NNS	fighter
pushing	VVG	push
back	RB	back
firing	VVG	fire
on	IN	on
an	DT	an
isra	NN	isra
isi	NN	isi
armored	JJ	armored
military	JJ	military
bulldozzer	NN	bulldozzer
now	RB	now
those	DT	those
bulldozers	NNS	bulldozer
have	VHP	have
become	VVN	become
a	DT	a
common	JJ	common
part	NN	part
of	IN	of
these	DT	these
Israeli	JJ	Israeli
military	JJ	military
raids	NNS	raid
digging	VVG	dig
up	RP	up
roads	NNS	road
destroying	VVG	destroy
buildings	NNS	building
in	IN	in
heon	JJ	heon
Israeli	JJ	Israeli
soldiers	NNS	soldier
detained	VVD	detain
a	DT	a
number	NN	number
of	IN	of
people	NNS	people
including	VVG	include
two	CD	two
senior	JJ	senior
journalists	NNS	journalist
as	RB	as
well	RB	well
as	IN	as
women	NNS	woman
and	CC	and
family	NN	family
members	NNS	member
of	IN	of
suspected	VVN	suspect
Fighters	NNS	fighter
uh	UH	uh
to	TO	to
try	VV	try
and	CC	and
force	VV	force
those	DT	those
fighters	NNS	fighter
to	TO	to
surrender	VV	surrender
themselves	PP	themselves
a	DT	a
form	NN	form
of	IN	of
collective	JJ	collective
punishment	NN	punishment
yet	RB	yet
again	RB	again
that	IN/that	that
Palestinians	NPS	Palestinians
describe	VVP	describe
as	IN	as
hostage	NN	hostage
taking	VVG	take
and	CC	and
blackmail	VV	blackmail
to	TO	to
pressure	VV	pressure
suspects	NNS	suspect
to	TO	to
to	TO	to
surrender	VV	surrender
themselves	PP	themselves
to	TO	to
Israeli	JJ	Israeli
authorities	NNS	authority
and	CC	and
in	IN	in
the	DT	the
roads	NNS	road
in	IN	in
and	CC	and
around	IN	around
romolo	NN	romolo
we	PP	we
also	RB	also
sought	VVD	seek
a	DT	a
great	JJ	great
deal	NN	deal
of	IN	of
military	JJ	military
activity	NN	activity
overnight	JJ	overnight
uh	UH	uh
soldiers	VVZ	soldier
uh	UH	uh
raiding	NN	raiding
bers	NNS	bers
University	NP	University
to	TO	to
round	VV	round
up	RP	up
activists	NNS	activist
presumably	RB	presumably
also	RB	also
looking	VVG	look
for	IN	for
armed	JJ	armed
fighters	NNS	fighter
in	IN	in
that	DT	that
University	NP	University
here	RB	here
in	IN	in
ramaa	NN	ramaa
video	NN	video
showed	VVD	show
uh	UH	uh
one	CD	one
person	NN	person
being	VBG	be
shot	VVN	shoot
loudly	RB	loudly
screaming	VVG	scream
after	IN	after
that	DT	that
shooting	VVG	shoot
incident	NN	incident
uh	UH	uh
it	PP	it
is	VBZ	be
unclear	JJ	unclear
what	WP	what
happened	VVD	happen
to	TO	to
the	DT	the
person	NN	person
in	IN	in
that	DT	that
clip	NN	clip
but	CC	but
clashes	NNS	clash
were	VBD	be
also	RB	also
reported	VVN	report
around	IN	around
the	DT	the
University	NP	University
later	RBR	later
this	DT	this
evening	NN	evening
we	PP	we
do	VVP	do
know	VV	know
that	IN/that	that
they	PP	they
have	VHP	have
left	VVN	leave
bate	NN	bate
University	NP	University
now	RB	now
this	DT	this
morning	NN	morning
but	CC	but
the	DT	the
raids	NNS	raid
that	WDT	that
began	VVD	begin
in	IN	in
kilia	NN	kilia
the	DT	the
military	NN	military
the	DT	the
Israeli	JJ	Israeli
military	NN	military
is	VBZ	be
still	RB	still
there	RB	there
zann	VVG	zann
many	JJ	many
thanks	NNS	thanks
for	IN	for
the	DT	the
update	NN	update
Zay	NP	Zay
basravi	NP	basravi
live	VVP	live
in	IN	in
romala	NNS	romala
thank	VVP	thank
you	PP	you
</doc>	JJ	</doc>
