<video_id>nmUgSMeCWk4</video_id>	JJ	<video_id>nmUgSMeCWk4</video_id>
<video_title>Israeli	NN	<video_title>Israeli
forces	NNS	force
have	VHP	have
fired	VVN	fire
tear	NN	tear
gas	NN	gas
on	IN	on
young	JJ	young
Palestinians</video_title>	NP	Palestinians</video_title>
<thumbnail_path>data/en_AJ\Israeli	NN	<thumbnail_path>data/en_AJ\Israeli
forces	NNS	force
have	VHP	have
fired	VVN	fire
tear	NN	tear
gas	NN	gas
on	IN	on
young	JJ	young
Palestinians.jpg</thumbnail_path>	NP	Palestinians.jpg</thumbnail_path>
<publish_date>20231229</publish_date>	NN	<publish_date>20231229</publish_date>
<doc>	NN	<doc>
Israeli	JJ	Israeli
forces	NNS	force
have	VHP	have
fired	VVN	fire
tear	NN	tear
gas	NN	gas
on	IN	on
young	JJ	young
Palestinians	NPS	Palestinians
who've	NN	who've
been	VBN	be
trying	VVG	try
to	TO	to
get	VV	get
into	IN	into
Thea	NP	Thea
MOS	NNS	mo
compound	NN	compound
for	IN	for
Friday	NP	Friday
prayers	NNS	prayer
Laura	NP	Laura
Khan	NP	Khan
reports	NNS	report
from	IN	from
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
I'm	NP	I'm
in	IN	in
W	NP	W
jar	NN	jar
in	IN	in
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
I'm	NP	I'm
about	IN	about
100	CD	@card@
meters	NNS	meter
away	RB	away
from	IN	from
the	DT	the
Ala	NP	Ala
MOS	NNS	mo
compound	NN	compound
which	WDT	which
was	VBD	be
revered	VVN	revere
at	IN	at
to	TO	to
Muslims	NNS	Muslim
as	IN	as
the	DT	the
third	JJ	third
holiest	JJS	holy
site	NN	site
in	IN	in
Islam	NP	Islam
however	RB	however
this	DT	this
Friday	NP	Friday
many	RB	many
are	VBP	be
not	RB	not
allowed	VVN	allow
to	TO	to
enter	VV	enter
this	DT	this
has	VHZ	have
been	VBN	be
going	VVG	go
on	RP	on
for	IN	for
around	RB	around
11	CD	@card@
consecutive	JJ	consecutive
weeks	NNS	week
I	PP	I
just	RB	just
want	VVP	want
to	TO	to
show	VV	show
you	PP	you
uh	UH	uh
surrounding	VVG	surround
me	PP	me
there	RB	there
are	VBP	be
many	JJ	many
Palestinian	JJ	Palestinian
and	CC	and
Muslim	JJ	Muslim
youths	NNS	youth
Hang	NP	Hang
on	IN	on
we're	NN	we're
being	VBG	be
fired	VVN	fire
at	IN	at
with	IN	with
tear	NN	tear
gas	NN	gas
at	IN	at
the	DT	the
moment	NN	moment
um	NNS	um
so	RB	so
just	RB	just
want	VVP	want
to	TO	to
show	VV	show
you	PP	you
what's	NNS	what's
going	VVG	go
on	IN	on
this	DT	this
surrounded	VVN	surround
by	IN	by
tear	NN	tear
gas	NN	gas
we're	NN	we're
just	RB	just
trying	VVG	try
to	TO	to
find	VV	find
an	DT	an
exit	NN	exit
they	PP	they
have	VHP	have
been	VBN	be
immediately	RB	immediately
attacked	VVN	attack
and	CC	and
so	RB	so
so	RB	so
usually	RB	usually
there	EX	there
were	VBD	be
around	RB	around
50	CD	@card@
to	TO	to
60,000	CD	@card@
Muses	NNS	muse
allowed	VVN	allow
into	IN	into
the	DT	the
mosque	NN	mosque
in	IN	in
the	DT	the
past	JJ	past
couple	NN	couple
of	IN	of
weeks	NNS	week
weeks	NNS	week
has	VHZ	have
only	RB	only
been	VBN	be
around	IN	around
3,000	CD	@card@
the	DT	the
Israelis	NPS	Israelis
say	VVP	say
this	DT	this
is	VBZ	be
to	TO	to
reduce	VV	reduce
confrontations	NNS	confrontation
but	CC	but
of	IN	of
course	NN	course
you	PP	you
can	MD	can
see	VV	see
what's	NNS	what's
happening	VVG	happen
around	IN	around
there	EX	there
have	VHP	have
been	VBN	be
serious	JJ	serious
confrontations	NNS	confrontation
on	IN	on
a	DT	a
weekly	JJ	weekly
basis	NN	basis
we	PP	we
were	VBD	be
just	RB	just
hit	VVN	hit
pretty	RB	pretty
badly	RB	badly
by	IN	by
tear	NN	tear
gas	NN	gas
now	RB	now
we	PP	we
have	VHP	have
more	JJR	more
police	NNS	police
behind	IN	behind
us	PP	us
more	RBR	more
out	RB	out
in	IN	in
front	NN	front
and	CC	and
there's	RB	there's
been	VBN	be
a	DT	a
skunk	NN	skunk
water	NN	water
truck	NN	truck
it's	NN	it's
been	VBN	be
driving	VVG	drive
down	RP	down
the	DT	the
road	NN	road
which	WDT	which
usually	RB	usually
shoots	VVZ	shoot
some	DT	some
very	RB	very
powerful	JJ	powerful
nasty	JJ	nasty
water	NN	water
people	NNS	people
that	WDT	that
can	MD	can
stick	VV	stick
to	TO	to
their	PP$	their
clothes	NNS	clothes
for	IN	for
hours	NNS	hour
on	IN	on
end	NN	end
but	CC	but
the	DT	the
entire	JJ	entire
point	NN	point
of	IN	of
this	DT	this
is	VBZ	be
there	EX	there
are	VBP	be
usually	RB	usually
between	IN	between
50	CD	@card@
and	CC	and
60,000	CD	@card@
people	NNS	people
allowed	VVN	allow
to	TO	to
pray	VV	pray
in	IN	in
the	DT	the
mosque	NN	mosque
with	IN	with
severe	JJ	severe
restrictions	NNS	restriction
they've	NN	they've
only	RB	only
allowed	VVN	allow
around	IN	around
3	CD	@card@
to	TO	to
4,000	CD	@card@
in	IN	in
the	DT	the
last	JJ	last
couple	NN	couple
of	IN	of
weeks	NNS	week
and	CC	and
you	PP	you
can	MD	can
see	VV	see
just	RB	just
the	DT	the
side	NN	side
we	PP	we
have	VHP	have
more	JJR	more
police	NNS	police
we	PP	we
have	VHP	have
some	DT	some
tear	NN	tear
gas	NN	gas
ready	JJ	ready
to	TO	to
fire	NN	fire
and	CC	and
many	JJ	many
of	IN	of
the	DT	the
people	NNS	people
that	IN/that	that
they	PP	they
are	VBP	be
dispersing	VVG	disperse
are	VBP	be
younger	JJR	young
than	IN	than
45	CD	@card@
they	PP	they
say	VVP	say
anyone	NN	anyone
older	JJR	old
than	IN	than
45	CD	@card@
isn't	NN	isn't
allowed	VVN	allow
into	IN	into
the	DT	the
mosque	NN	mosque
the	DT	the
Israelis	NPS	Israelis
say	VVP	say
they	PP	they
haven't	VVD	haven't
put	VV	put
age	NN	age
restrictions	NNS	restriction
but	CC	but
people	NNS	people
here	RB	here
say	VVP	say
it's	NNS	it's
clear	VV	clear
this	DT	this
morning	NN	morning
we	PP	we
have	VHP	have
only	RB	only
seen	VVN	see
old	JJ	old
men	NNS	man
and	CC	and
women	NNS	woman
entering	VVG	enter
the	DT	the
mosque	NN	mosque
so	IN	so
uh	UH	uh
the	DT	the
Palestinian	JJ	Palestinian
minister	NN	minister
of	IN	of
sorry	RB	sorry
the	DT	the
Palestinian	JJ	Palestinian
foreign	JJ	foreign
minister	NN	minister
has	VHZ	have
put	VVN	put
out	RP	out
a	DT	a
statement	NN	statement
condemning	VVG	condemn
the	DT	the
violence	NN	violence
as	IN	as
you	PP	you
can	MD	can
see	VV	see
there's	RB	there's
more	JJR	more
Tas	NP	Tas
but	CC	but
people	NNS	people
say	VVP	say
no	RB	no
no	RB	no
matter	VV	matter
what	WP	what
the	DT	the
condemnations	NNS	condemnation
this	DT	this
is	VBZ	be
the	DT	the
reality	NN	reality
on	IN	on
the	DT	the
ground	NN	ground
it's	NNS	it's
not	RB	not
stop	VV	stop
stopping	VVG	stop
violence	NN	violence
it's	NNS	it's
producing	VVG	produce
more	JJR	more
violence	NN	violence
</doc>	NN	</doc>
