<video_id>ZX5ocIj6mzg</video_id>	JJ	<video_id>ZX5ocIj6mzg</video_id>
<video_title>Israeli	NN	<video_title>Israeli
forces	NNS	force
strike	VVP	strike
Al-Fakhoora	NP	Al-Fakhoora
School	NP	School
in	IN	in
northern	JJ	northern
Gaza</video_title>	NP	Gaza</video_title>
<thumbnail_path>data/en_AJ\Israeli	NN	<thumbnail_path>data/en_AJ\Israeli
forces	NNS	force
strike	VVP	strike
Al-Fakhoora	NP	Al-Fakhoora
School	NP	School
in	IN	in
northern	JJ	northern
Gaza.jpg</thumbnail_path>	NP	Gaza.jpg</thumbnail_path>
<publish_date>20231118</publish_date>	NN	<publish_date>20231118</publish_date>
<doc>	NN	<doc>
this	DT	this
program	NN	program
for	IN	for
breaking	VVG	break
news	NN	news
now	RB	now
the	DT	the
Israeli	JJ	Israeli
military	NN	military
has	VHZ	have
bombed	VVN	bomb
the	DT	the
alphakor	NN	alphakor
school	NN	school
in	IN	in
the	DT	the
northern	JJ	northern
Gaza	NP	Gaza
Strip	NP	Strip
now	RB	now
this	DT	this
is	VBZ	be
a	DT	a
United	NP	United
Nations	NPS	Nations
run	NN	run
School	NP	School
inside	IN	inside
the	DT	the
jabalia	NN	jabalia
refugee	NN	refugee
camp	NN	camp
this	DT	this
is	VBZ	be
also	RB	also
the	DT	the
second	JJ	second
school	NN	school
that	WDT	that
was	VBD	be
bombed	VVN	bomb
since	IN	since
Friday	NP	Friday
well	NN	well
let's	NNS	let's
go	VVP	go
straight	RB	straight
to	TO	to
our	PP$	our
correspondent	NN	correspondent
there	RB	there
on	IN	on
the	DT	the
ground	JJ	ground
Tark	NP	Tark
abazo	NN	abazo
he's	NNS	he's
in	IN	in
K	NP	K
yunes	NNS	yunes
that's	NNS	that's
in	IN	in
the	DT	the
southern	JJ	southern
part	NN	part
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
T	NN	T
we're	NN	we're
watching	VVG	watch
some	DT	some
pretty	JJ	pretty
awful	JJ	awful
pictures	NNS	picture
in	IN	in
the	DT	the
aftermath	NN	aftermath
of	IN	of
this	DT	this
strike	NN	strike
now	RB	now
this	DT	this
is	VBZ	be
a	DT	a
school	NN	school
as	IN	as
we've	NNS	we've
been	VBN	be
told	VVN	tell
in	IN	in
the	DT	the
jabalia	NN	jabalia
refugee	NN	refugee
camp	NN	camp
we	PP	we
know	VVP	know
that	RB	that
that	IN/that	that
there	EX	there
have	VHP	have
been	VBN	be
multiple	JJ	multiple
air	NN	air
strikes	NNS	strike
taking	VVG	take
place	NN	place
in	IN	in
that	DT	that
camp	NN	camp
over	IN	over
the	DT	the
course	NN	course
of	IN	of
the	DT	the
last	JJ	last
few	JJ	few
days	NNS	day
tell	VVP	tell
us	PP	us
a	DT	a
little	JJ	little
bit	NN	bit
more	JJR	more
about	IN	about
what	WP	what
we	PP	we
know	VVP	know
happened	VVN	happen
here	RB	here
yes	RB	yes
um	JJ	um
the	DT	the
jabalia	NN	jabalia
refugee	NN	refugee
camp	NN	camp
has	VHZ	have
been	VBN	be
bombarded	VVN	bombard
Again	RB	again
by	IN	by
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
and	CC	and
this	DT	this
time	NN	time
a	DT	a
new	JJ	new
United	NP	United
Nations	NP	Nations
shelter	NN	shelter
had	VHD	have
been	VBN	be
completely	RB	completely
attacked	VVN	attack
by	IN	by
the	DT	the
Israeli	JJ	Israeli
Air	NP	Air
Forces	NNS	force
where	WRB	where
people	NNS	people
are	VBP	be
taking	VVG	take
sh	JJ	sh
filter	NN	filter
inside	IN	inside
this	DT	this
school	NN	school
now	RB	now
with	IN	with
the	DT	the
ongoing	JJ	ongoing
attacks	NNS	attack
that	WDT	that
took	VVD	take
place	NN	place
in	IN	in
the	DT	the
north	NN	north
of	IN	of
Gaza	NP	Gaza
Strip	NP	Strip
the	DT	the
majority	NN	majority
of	IN	of
people	NNS	people
tend	VVP	tend
to	TO	to
United	NP	United
Nations	NPS	Nations
shelters	NNS	shelter
and	CC	and
the	DT	the
vicinity	NN	vicinity
of	IN	of
the	DT	the
Indonesian	JJ	Indonesian
Hospital	NN	hospital
in	IN	in
order	NN	order
to	TO	to
be	VB	be
protected	VVN	protect
from	IN	from
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
fire	NN	fire
meanwhile	RB	meanwhile
those	DT	those
schools	NNS	school
must	MD	must
be	VB	be
protected	VVN	protect
by	IN	by
the	DT	the
principles	NNS	principle
of	IN	of
the	DT	the
international	JJ	international
law	NN	law
and	CC	and
there	EX	there
are	VBP	be
also	RB	also
must	MD	must
be	VB	be
uh	UH	uh
at	IN	at
least	JJS	least
be	VB	be
safe	JJ	safe
from	IN	from
the	DT	the
Israeli	JJ	Israeli
Relentless	JJ	relentless
attacks	NNS	attack
that	WDT	that
took	VVD	take
place	NN	place
people	NNS	people
were	VBD	be
taking	VVG	take
shelter	NN	shelter
there	RB	there
and	CC	and
meanwhile	RB	meanwhile
they	PP	they
are	VBP	be
suffering	VVG	suffer
from	IN	from
a	DT	a
diversity	NN	diversity
of	IN	of
uh	UH	uh
generally	RB	generally
hard	JJ	hard
situation	NN	situation
including	VVG	include
the	DT	the
humanitarian	JJ	humanitarian
and	CC	and
even	RB	even
the	DT	the
medical	JJ	medical
condition	NN	condition
there	RB	there
people	NNS	people
are	VBP	be
still	RB	still
generally	RB	generally
till	IN	till
now	RB	now
inside	IN	inside
this	DT	this
school	NN	school
and	CC	and
in	IN	in
this	DT	this
in	IN	in
different	JJ	different
schools	NNS	school
in	IN	in
jabalia	NN	jabalia
refugee	NN	refugee
camp	NN	camp
and	CC	and
this	DT	this
attack	NN	attack
considered	VVN	consider
to	TO	to
be	VB	be
not	RB	not
the	DT	the
only	JJ	only
attack	NN	attack
that	WDT	that
took	VVD	take
place	NN	place
on	IN	on
schools	NNS	school
but	CC	but
it	PP	it
had	VHD	have
been	VBN	be
carried	VVN	carry
out	IN	out
similar	JJ	similar
attacks	NNS	attack
before	IN	before
in	IN	in
schools	NNS	school
and	CC	and
bakeries	NNS	bakery
and	CC	and
hospitals	NNS	hospital
at	IN	at
water	NN	water
tank	NN	tank
which	WDT	which
clearly	RB	clearly
a	DT	a
clear	JJ	clear
goal	NN	goal
that	IN/that	that
Israel	NP	Israel
is	VBZ	be
in	IN	in
order	NN	order
to	TO	to
force	VV	force
people	NNS	people
to	TO	to
flee	VV	flee
to	TO	to
the	DT	the
south	NN	south
of	IN	of
Gaza	NP	Gaza
Strip	NP	Strip
on	IN	on
for	IN	for
meanwhile	RB	meanwhile
the	DT	the
southern	JJ	southern
areas	NNS	area
are	VBP	be
witnessing	VVG	witness
the	DT	the
same	JJ	same
level	NN	level
of	IN	of
bombardment	NN	bombardment
as	IN	as
the	DT	the
north	NN	north
of	IN	of
Gaza	NP	Gaza
STP	NP	STP
Tara	NP	Tara
I	PP	I
firstly	RB	firstly
just	RB	just
want	VVP	want
to	TO	to
apologize	VV	apologize
to	TO	to
our	PP$	our
viewers	NNS	viewer
who	WP	who
are	VBP	be
joining	VVG	join
us	PP	us
now	RB	now
some	RB	some
of	IN	of
these	DT	these
are	VBP	be
pretty	RB	pretty
graphic	JJ	graphic
images	NNS	image
some	DT	some
of	IN	of
them	PP	them
have	VHP	have
been	VBN	be
blurred	VVN	blur
but	CC	but
these	DT	these
are	VBP	be
obviously	RB	obviously
the	DT	the
latest	JJS	late
pictures	NNS	picture
that	IN/that	that
we're	NN	we're
getting	VVG	get
from	IN	from
the	DT	the
scene	NN	scene
of	IN	of
the	DT	the
aftermath	NN	aftermath
of	IN	of
that	DT	that
air	NN	air
strike	NN	strike
so	IN	so
I	PP	I
apologize	VVP	apologize
if	IN	if
you	PP	you
are	VBP	be
being	VBG	be
disturbed	VVN	disturb
by	IN	by
some	DT	some
of	IN	of
the	DT	the
images	NNS	image
you're	NN	you're
seeing	VVG	see
obviously	RB	obviously
there	EX	there
are	VBP	be
some	DT	some
bodies	NNS	body
there	RB	there
and	CC	and
we	PP	we
are	VBP	be
seeing	VVG	see
some	DT	some
children	NNS	child
also	RB	also
on	IN	on
the	DT	the
scene	NN	scene
T	NN	T
tell	VV	tell
us	PP	us
a	DT	a
little	JJ	little
bit	NN	bit
more	JJR	more
about	IN	about
what's	NNS	what's
been	VBN	be
happening	VVG	happen
at	IN	at
Valia	NP	Valia
because	IN	because
this	DT	this
is	VBZ	be
a	DT	a
school	NN	school
as	IN	as
we've	NNS	we've
been	VBN	be
saying	VVG	say
inside	IN	inside
that	DT	that
camp	NN	camp
and	CC	and
that	IN/that	that
camp	NN	camp
has	VHZ	have
clearly	RB	clearly
been	VBN	be
a	DT	a
target	NN	target
for	IN	for
the	DT	the
Israelis	NPS	Israelis
yes	UH	yes
uh	UH	uh
jabalia	NN	jabalia
refugee	NN	refugee
camp	NN	camp
generally	RB	generally
in	IN	in
the	DT	the
normal	JJ	normal
days	NNS	day
is	VBZ	be
very	RB	very
densely	RB	densely
populated	VVN	populate
area	NN	area
some	DT	some
of	IN	of
the	DT	the
residents	NNS	resident
inside	IN	inside
this	DT	this
refugee	NN	refugee
camp	NN	camp
had	VHD	have
fled	VVN	flee
to	TO	to
the	DT	the
south	NN	south
of	IN	of
Gaza	NP	Gaza
Strip	NP	Strip
as	IN	as
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
recommended	VVN	recommend
While	IN	while
others	NNS	other
did	VVD	do
not	RB	not
find	VV	find
any	DT	any
safe	JJ	safe
shelter	NN	shelter
so	IN	so
they	PP	they
left	VVD	leave
the	DT	the
houses	NNS	house
they	PP	they
left	VVD	leave
the	DT	the
Farms	NNS	farm
they	PP	they
left	VVD	leave
the	DT	the
lands	NNS	land
and	CC	and
they	PP	they
wanted	VVD	want
to	TO	to
take	VV	take
shelter	NN	shelter
in	IN	in
United	NP	United
Nations	NPS	Nations
Affiliated	NP	Affiliated
schools	NNS	school
meanwhile	RB	meanwhile
they	PP	they
are	VBP	be
not	RB	not
even	RB	even
protected	VVN	protect
in	IN	in
the	DT	the
United	NP	United
Nations	NPS	Nations
schools	NNS	school
and	CC	and
they	PP	they
have	VHP	have
been	VBN	be
multiply	RB	multiply
hit	VVN	hit
by	IN	by
the	DT	the
occupation	NN	occupation
forces	VVZ	force
it's	NNS	it's
also	RB	also
important	JJ	important
to	TO	to
understand	VV	understand
that	IN/that	that
each	DT	each
School	NP	School
in	IN	in
the	DT	the
North	NP	North
or	CC	or
even	RB	even
in	IN	in
the	DT	the
south	NN	south
of	IN	of
Gaza	NP	Gaza
Strip	NP	Strip
is	VBZ	be
very	RB	very
crowded	VVN	crowd
with	IN	with
people	NNS	people
it	PP	it
seems	VVZ	seem
any	DT	any
attack	NN	attack
that	WDT	that
would	MD	would
take	VV	take
place	NN	place
inside	IN	inside
one	CD	one
of	IN	of
these	DT	these
schools	NNS	school
will	MD	will
cause	VV	cause
catastrophic	JJ	catastrophic
loss	NN	loss
in	IN	in
lives	NNS	life
and	CC	and
also	RB	also
