just	RB	just
some	DT	some
breaking	VVG	break
news	NN	news
now	RB	now
Israeli	JJ	Israeli
forces	NNS	force
are	VBP	be
asking	VVG	ask
Palestinians	NNS	Palestinian
to	TO	to
move	VV	move
out	RP	out
of	IN	of
the	DT	the
eastern	JJ	eastern
part	NN	part
of	IN	of
Rafa	NP	Rafa
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
ahead	RB	ahead
of	IN	of
a	DT	a
threatened	VVN	threaten
assault	NN	assault
then	RB	then
being	VBG	be
asked	VVN	ask
to	TO	to
move	VV	move
to	TO	to
Al	NP	Al
maasi	NP	maasi
area	NN	area
close	NN	close
to	TO	to
the	DT	the
coastline	NN	coastline
more	JJR	more
than	IN	than
1	CD	@card@
and	CC	and
a	DT	a
half	JJ	half
million	CD	million
people	NNS	people
have	VHP	have
been	VBN	be
Sheltering	VVG	shelter
in	IN	in
Rafa	NP	Rafa
after	IN	after
Israeli	NP	Israeli
Army	NP	Army
forced	VVD	force
them	PP	them
out	RP	out
of	IN	of
Northern	NP	Northern
and	CC	and
Central	NP	Central
Gaza	NP	Gaza
Let	NP	Let
'	POS	'
s	NNS	s
cross	VVP	cross
now	RB	now
to	TO	to
Han	NP	Han
mmud	NN	mmud
who	WP	who
joins	VVZ	join
us	PP	us
from	IN	from
Rafa	NP	Rafa
in	IN	in
Southern	NP	Southern
Gaza	NP	Gaza
honey	NN	honey
what	WP	what
more	RBR	more
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
yes	UH	yes
well	UH	well
uh	UH	uh
within	IN	within
the	DT	the
past	JJ	past
couple	NN	couple
days	NNS	day
and	CC	and
know	VV	know
with	IN	with
what	WP	what
seems	VVZ	seem
to	TO	to
be	VB	be
the	DT	the
failure	NN	failure
of	IN	of
the	DT	the
the	DT	the
ceasefire	NN	ceasefire
talks	NNS	talk
in	IN	in
Cairo	NP	Cairo
and	CC	and
the	DT	the
uh	UH	uh
insistence	NN	insistence
of	IN	of
the	DT	the
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
on	IN	on
expanding	VVG	expand
the	DT	the
ground	NN	ground
Invasion	NN	invasion
to	TO	to
RAF	NN	RAF
City	NP	City
and	CC	and
in	IN	in
light	NN	light
of	IN	of
the	DT	the
the	DT	the
attacks	NNS	attack
yesterday	NN	yesterday
on	IN	on
Karm	NP	Karm
abalam	NP	abalam
and	CC	and
this	DT	this
really	RB	really
intense	JJ	intense
response	NN	response
and	CC	and
in	IN	in
fact	NN	fact
in	IN	in
overnight	RB	overnight
they	PP	they
attacked	VVD	attack
almost	RB	almost
11	CD	@card@
air	NN	air
raid	NN	raid
targeted	VVN	target
several	JJ	several
areas	NNS	area
in	IN	in
in	IN	in
eastern	JJ	eastern
part	NN	part
of	IN	of
RA	NP	RA
city	NN	city
which	WDT	which
seems	VVZ	seem
to	TO	to
be	VB	be
the	DT	the
targeted	JJ	targeted
area	NN	area
right	RB	right
now	RB	now
in	IN	in
which	WDT	which
the	DT	the
local	JJ	local
residents	NNS	resident
of	IN	of
this	DT	this
part	NN	part
of	IN	of
the	DT	the
of	IN	of
RAF	NN	RAF
city	NN	city
has	VHZ	have
been	VBN	be
ordered	VVN	order
by	IN	by
the	DT	the
Israeli	JJ	Israeli
military	NN	military
to	TO	to
evacuate	VV	evacuate
sharply	RB	sharply
and	CC	and
immediately	RB	immediately
to	TO	to
the	DT	the
western	JJ	western
part	NN	part
of	IN	of
City	NP	City
New	NP	New
York	NP	York
as	IN	as
the	DT	the
evacuation	NN	evacuation
Zone	NP	Zone
Al	NP	Al
maasi	NN	maasi
that	WDT	that
has	VHZ	have
been	VBN	be
designated	VVN	designate
previously	RB	previously
by	IN	by
the	DT	the
Israeli	JJ	Israeli
military	NN	military
as	IN	as
a	DT	a
safe	JJ	safe
zone	NN	zone
now	RB	now
it	PP	it
'	POS	'
s	NN	S
important	JJ	important
to	TO	to
point	VV	point
out	RP	out
that	IN/that	that
so	RB	so
far	RB	far
all	PDT	all
the	DT	the
evacuation	NN	evacuation
Zone	NP	Zone
designated	VVN	designate
by	IN	by
Israeli	JJ	Israeli
military	NN	military
has	VHZ	have
has	VHZ	have
not	RB	not
been	VBN	be
largely	RB	largely
safe	JJ	safe
for	IN	for
evacuates	VVZ	evacuate
for	IN	for
the	DT	the
displaced	VVN	displace
family	NN	family
in	IN	in
fact	NN	fact
they	PP	they
have	VHP	have
been	VBN	be
under	IN	under
attack	NN	attack
they	PP	they
were	VBD	be
attacked	VVN	attack
repeatedly	RB	repeatedly
either	RB	either
at	IN	at
the	DT	the
western	JJ	western
part	NN	part
of	IN	of
panun	NN	panun
or	CC	or
here	RB	here
in	IN	in
ra	JJ	ra
City	NN	city
where	WRB	where
at	IN	at
least	JJS	least
1	CD	@card@
.	SENT	.
5	CD	@card@
million	CD	million
people	NNS	people
have	VHP	have
been	VBN	be
Sheltering	VVG	shelter
across	IN	across
the	DT	the
overcrowded	VVN	overcrowd
ra	NN	ra
City	NN	city
and	CC	and
thousands	NNS	thousand
of	IN	of
displaced	VVN	displace
families	NNS	family
in	IN	in
the	DT	the
western	JJ	western
part	NN	part
of	IN	of
the	DT	the
city	NN	city
Al	NP	Al
Mai	NP	Mai
evacuation	NN	evacuation
