<video_id>rUkGS0f2Z5Q</video_id>	JJ	<video_id>rUkGS0f2Z5Q</video_id>
<video_title>Israeli	NN	<video_title>Israeli
military	NN	military
says	VVZ	say
ground	NN	ground
forces	NNS	force
expanding	VVG	expand
operations	NNS	operation
in	IN	in
Gaza</video_title>	NP	Gaza</video_title>
<thumbnail_path>data/en_AJ\Israeli	NP	<thumbnail_path>data/en_AJ\Israeli
military	NN	military
says	VVZ	say
ground	NN	ground
forces	NNS	force
expanding	VVG	expand
operations	NNS	operation
in	IN	in
Gaza.jpg</thumbnail_path>	NP	Gaza.jpg</thumbnail_path>
<publish_date>20231027</publish_date>	NN	<publish_date>20231027</publish_date>
<doc>	NN	<doc>
seems	VVZ	seem
to	TO	to
be	VB	be
happening	VVG	happen
now	RB	now
we're	NN	we're
going	VVG	go
to	TO	to
go	VV	go
go	VV	go
go	VV	go
over	RP	over
to	TO	to
him	PP	him
and	CC	and
we're	NNS	we're
going	VVG	go
to	TO	to
listen	VV	listen
in	IN	in
to	TO	to
the	DT	the
South	JJ	South
as	RB	as
to	TO	to
the	DT	the
north	JJ	north
part	NN	part
of	IN	of
this	DT	this
trip	NN	trip
we	PP	we
there	RB	there
were	VBD	be
certain	JJ	certain
firing	NN	firing
from	IN	from
Lebanon	NP	Lebanon
and	CC	and
we	PP	we
responded	VVD	respond
to	TO	to
the	DT	the
origin	NN	origin
and	CC	and
source	NN	source
of	IN	of
fire	NN	fire
we	PP	we
will	MD	will
continue	VV	continue
to	TO	to
Target	NP	Target
the	DT	the
hideouts	NNS	hideout
of	IN	of
infiltrator	NN	infiltrator
and	CC	and
Sabo	NP	Sabo
any	DT	any
threat	NN	threat
to	TO	to
theate	JJ	theate
Israel	NP	Israel
and	CC	and
any	DT	any
party	NN	party
behind	RB	behind
will	MD	will
pay	VV	pay
the	DT	the
price	NN	price
by	IN	by
his	PP$	his
life	NN	life
we	PP	we
are	VBP	be
constantly	RB	constantly
and	CC	and
regularly	RB	regularly
evaluating	VVG	evaluate
the	DT	the
situation	NN	situation
this	DT	this
morning	NN	morning
the	DT	the
air	NN	air
defenses	NNS	defense
foiled	VVD	foil
an	DT	an
attempt	NN	attempt
of	IN	of
attack	NN	attack
Egypt	NP	Egypt
and	CC	and
the	DT	the
United	NP	United
States	NPS	States
will	MD	will
continue	VV	continue
to	TO	to
cooperate	VV	cooperate
in	IN	in
the	DT	the
protection	NN	protection
we	PP	we
reiterate	VVP	reiterate
that	IN/that	that
we	PP	we
will	MD	will
continue	VV	continue
to	TO	to
fulfill	VV	fulfill
our	PP$	our
duty	NN	duty
and	CC	and
I	PP	I
request	VVP	request
the	DT	the
citizens	NNS	citizen
of	IN	of
Israel	NP	Israel
to	TO	to
listen	VV	listen
to	TO	to
the	DT	the
instructions	NNS	instruction
given	VVN	give
by	IN	by
the	DT	the
home	NN	home
front	NN	front
the	DT	the
enemy	NN	enemy
is	VBZ	be
still	RB	still
launching	VVG	launch
Rockets	NNS	rocket
once	IN	once
you	PP	you
