<video_id>jcz4IC-i0yQ</video_id>	NP	<video_id>jcz4IC-i0yQ</video_id>
<video_title>Israeli	NP	<video_title>Israeli
PM	NP	PM
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
holds	VVZ	hold
press	NN	press
conference	NN	conference
with	IN	with
US	NP	US
Secretary	NP	Secretary
of	IN	of
State</video_title>	NP	State</video_title>
<thumbnail_path>data/en_AJ\Israeli	NP	<thumbnail_path>data/en_AJ\Israeli
PM	NP	PM
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
holds	VVZ	hold
press	NN	press
conference	NN	conference
with	IN	with
US	NP	US
Secretary	NP	Secretary
of	IN	of
State.jpg</thumbnail_path>	NP	State.jpg</thumbnail_path>
<publish_date>20231012</publish_date>	JJ	<publish_date>20231012</publish_date>
<doc>	NN	<doc>
and	CC	and
thank	VV	thank
you	PP	you
to	TO	to
the	DT	the
American	JJ	American
people	NNS	people
for	IN	for
your	PP$	your
incredible	JJ	incredible
support	NN	support
for	IN	for
Israel	NP	Israel
in	IN	in
our	PP$	our
war	NN	war
against	IN	against
The	DT	the
Barbarians	NNS	barbarian
of	IN	of
Kamas	NP	Kamas
I	PP	I
thank	VVP	thank
you	PP	you
in	IN	in
English	NP	English
I	PP	I
want	VVP	want
to	TO	to
thank	VV	thank
you	PP	you
in	IN	in
Hebrew	NP	Hebrew
as	IN	as
fighting	VVG	fight
who	WP	who
is	VBZ	be
determined	VVN	determine
to	TO	to
evil	JJ	evil
forces	NNS	force
from	IN	from
one	CD	one
hour	NN	hour
to	TO	to
another	DT	another
we	PP	we
hear	VVP	hear
about	IN	about
the	DT	the
stories	NNS	story
of	IN	of
horror	NN	horror
and	CC	and
the	DT	the
stories	NNS	story
of	IN	of
Bravery	NN	bravery
stories	NNS	story
of	IN	of
horror	NN	horror
say	VVP	say
everything	NN	everything
about	IN	about
them	PP	them
and	CC	and
the	DT	the
stories	NNS	story
of	IN	of
Bravery	NN	bravery
say	VVP	say
everything	NN	everything
about	IN	about
us	PP	us
and	CC	and
this	DT	this
bravery	NN	bravery
will	MD	will
win	VV	win
Mr	NP	Mr
secretary	NN	secretary
your	PP$	your
visit	NN	visit
is	VBZ	be
another	DT	another
tangible	JJ	tangible
example	NN	example
of	IN	of
America's	NP	America's
unequivocal	JJ	unequivocal
support	NN	support
for	IN	for
Hamas	NP	Hamas
has	VHZ	have
shown	VVN	show
itself	PP	itself
to	TO	to
be	VB	be
an	DT	an
enemy	NN	enemy
of	IN	of
civilization	NN	civilization
the	DT	the
massacring	VVG	massacre
of	IN	of
young	JJ	young
people	NNS	people
in	IN	in
an	DT	an
outdoor	JJ	outdoor
Music	NP	Music
Festival	NP	Festival
the	DT	the
murder	NN	murder
of	IN	of
parents	NNS	parent
in	IN	in
front	NN	front
of	IN	of
their	PP$	their
children	NNS	child
and	CC	and
the	DT	the
murder	NN	murder
of	IN	of
children	NNS	child
in	IN	in
front	NN	front
of	IN	of
their	PP$	their
parents	NNS	parent
the	DT	the
burning	NN	burning
of	IN	of
people	NNS	people
alive	RB	alive
the	DT	the
beheadings	NNS	beheadings
the	DT	the
kidnappings	NNS	kidnapping
of	IN	of
a	DT	a
young	JJ	young
boy	NN	boy
not	RB	not
only	RB	only
kidnapped	VVN	kidnap
molested	VVD	molest
hurt	VV	hurt
attacked	VVN	attack
and	CC	and
the	DT	the
sickening	JJ	sickening
display	NN	display
of	IN	of
celebrating	VVG	celebrate
these	DT	these
Horrors	NNS	horror
the	DT	the
celebration	NN	celebration
and	CC	and
glorification	NN	glorification
of	IN	of
evil	JJ	evil
President	NP	President
Biden	NP	Biden
was	VBD	be
absolutely	RB	absolutely
correct	JJ	correct
in	IN	in
calling	VVG	call
this	DT	this
sheer	JJ	sheer
evil	JJ	evil
Hamas	NN	Hamas
is	VBZ	be
Isis	NP	Isis
and	CC	and
just	RB	just
as	IN	as
Isis	NP	Isis
was	VBD	be
crushed	VVN	crush
so	RB	so
too	RB	too
will	MD	will
Kamas	NP	Kamas
be	VB	be
crushed	VVN	crush
and	CC	and
Kamas	NP	Kamas
should	MD	should
be	VB	be
treated	VVN	treat
exactly	RB	exactly
the	DT	the
way	NN	way
Isis	NP	Isis
was	VBD	be
treated	VVN	treat
they	PP	they
should	MD	should
be	VB	be
spit	VVN	spit
out	RP	out
from	IN	from
the	DT	the
community	NN	community
of	IN	of
Nations	NPS	Nations
no	DT	no
leader	NN	leader
should	MD	should
meet	VV	meet
them	PP	them
no	DT	no
country	NN	country
should	MD	should
Harbor	NP	Harbor
them	PP	them
and	CC	and
those	DT	those
that	WDT	that
do	VVP	do
should	MD	should
be	VB	be
sanctioned	VVN	sanction
Tony	NP	Tony
my	PP$	my
friend	NN	friend
I	PP	I
say	VVP	say
to	TO	to
you	PP	you
I	PP	I
say	VVP	say
to	TO	to
all	DT	all
of	IN	of
us	PP	us
there	EX	there
will	MD	will
be	VB	be
many	JJ	many
difficult	JJ	difficult
days	NNS	day
ahead	RB	ahead
but	CC	but
I	PP	I
have	VHP	have
no	DT	no
doubt	NN	doubt
that	IN/that	that
the	DT	the
forces	NNS	force
of	IN	of
civilization	NN	civilization
will	MD	will
win	VV	win
and	CC	and
the	DT	the
reason	NN	reason
that's	NN	that's
true	JJ	true
is	VBZ	be
because	IN	because
we	PP	we
understand	VVP	understand
what	WP	what
is	VBZ	be
the	DT	the
first	JJ	first
prerequisite	NN	prerequisite
of	IN	of
Victory	NP	Victory
it's	NNS	it's
what	WP	what
you	PP	you
just	RB	just
said	VVD	say
in	IN	in
our	PP$	our
meeting	NN	meeting
moral	JJ	moral
clarity	NN	clarity
this	DT	this
is	VBZ	be
a	DT	a
time	NN	time
a	DT	a
particular	JJ	particular
time	NN	time
a	DT	a
special	JJ	special
time	NN	time
that	IN/that	that
we	PP	we
must	MD	must
stand	VV	stand
tall	JJ	tall
proud	JJ	proud
and	CC	and
United	VVN	unite
against	IN	against
evil	JJ	evil
Tony	NP	Tony
you	PP	you
are	VBP	be
taking	VVG	take
that	WDT	that
stand	VVP	stand
America	NP	America
is	VBZ	be
taking	VVG	take
that	DT	that
stand	NN	stand
thank	VV	thank
you	PP	you
for	IN	for
being	VBG	be
here	RB	here
today	RB	today
thank	VV	thank
you	PP	you
America	NP	America
for	IN	for
standing	VVG	stand
with	IN	with
Israel	NP	Israel
today	NN	today
tomorrow	NN	tomorrow
and	CC	and
Mr	NP	Mr
Prime	NP	Prime
Minister	NP	Minister
um	NN	um
I'm	NN	I'm
grateful	JJ	grateful
to	TO	to
be	VB	be
back	RB	back
in	IN	in
Israel	NP	Israel
in	IN	in
this	DT	this
incredibly	RB	incredibly
difficult	JJ	difficult
moment	NN	moment
for	IN	for
this	DT	this
nation	NN	nation
but	CC	but
in	IN	in
fact	NN	fact
for	IN	for
the	DT	the
entire	JJ	entire
world	NN	world
if	IN	if
you'll	NN	you'll
permit	VVP	permit
me	PP	me
um	JJ	um
personal	JJ	personal
aside	NN	aside
I	PP	I
come	VVP	come
before	IN	before
you	PP	you
not	RB	not
only	RB	only
as	IN	as
the	DT	the
United	NP	United
States	NPS	States
Secretary	NP	Secretary
of	IN	of
state	NN	state
but	CC	but
also	RB	also
as	IN	as
a	DT	a
Jew	NP	Jew
my	PP$	my
grandfather	NN	grandfather
Maurice	NP	Maurice
blinkin	NP	blinkin
fled	VVD	flee
pilgrims	NNS	pilgrim
in	IN	in
Russia	NP	Russia
my	PP$	my
stepfather	NN	stepfather
Samuel	NP	Samuel
pizar	NP	pizar
survived	VVD	survive
concentration	NN	concentration
camps	NNS	camp
aitz	NN	aitz
doow	NN	doow
maid	NN	maid
donic	JJ	donic
so	IN	so
prime	JJ	prime
minister	NN	minister
I	PP	I
understand	VVP	understand
on	IN	on
a	DT	a
personal	JJ	personal
level	NN	level
the	DT	the
harrowing	VVG	harrow
Echo	NP	Echo
that	IN/that	that
hamas's	NN	hamas's
massacres	NNS	massacre
carry	VVP	carry
for	IN	for
Israeli	JJ	Israeli
Jews	NNS	jew
indeed	RB	indeed
for	IN	for
Jews	NNS	jew
everywhere	RB	everywhere
I	PP	I
also	RB	also
come	VVP	come
before	IN	before
you	PP	you
as	IN	as
a	DT	a
husband	NN	husband
and	CC	and
father	NN	father
of	IN	of
young	JJ	young
children	NNS	child
it's	NNS	it's
impossible	JJ	impossible
for	IN	for
me	PP	me
to	TO	to
look	VV	look
at	IN	at
the	DT	the
photos	NNS	photo
of	IN	of
families	NNS	family
killed	VVD	kill
such	JJ	such
as	IN	as
the	DT	the
mother	NN	mother
father	NN	father
and	CC	and
three	CD	three
small	JJ	small
children	NNS	child
murdered	VVN	murder
as	IN	as
they	PP	they
sheltered	VVD	shelter
in	IN	in
their	PP$	their
home	NN	home
in	IN	in
kubats	NNS	kubats
near	IN	near
Oz	NP	Oz
and	CC	and
not	RB	not
think	VVP	think
of	IN	of
of	IN	of
my	PP$	my
own	JJ	own
children	NNS	child
this	RB	this
was	VBD	be
just	RB	just
one	CD	one
of	IN	of
hamas's	JJ	hamas's
countless	JJ	countless
acts	NNS	act
of	IN	of
Terror	NN	terror
in	IN	in
a	DT	a
Litany	NN	litany
of	IN	of
brutality	NN	brutality
and	CC	and
inhumanity	NN	inhumanity
that	WDT	that
yes	RB	yes
brings	VVZ	bring
to	TO	to
mind	VV	mind
the	DT	the
worst	JJS	bad
of	IN	of
Isis	NP	Isis
babies	NNS	baby
slaughtered	VVD	slaughter
bodies	NNS	body
desecrated	VVD	desecrate
young	JJ	young
people	NNS	people
burned	VVD	burn
alive	JJ	alive
women	NNS	woman
raped	VVD	rape
parents	NNS	parent
executed	VVN	execute
in	IN	in
front	NN	front
of	IN	of
their	PP$	their
children	NNS	child
children	NNS	child
in	IN	in
front	NN	front
of	IN	of
their	PP$	their
parents	NNS	parent
how	WRB	how
are	VBP	be
we	PP	we
even	RB	even
to	TO	to
understand	VV	understand
this	DT	this
to	TO	to
digest	VV	digest
this	DT	this
and	CC	and
yet	RB	yet
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
that	DT	that
we've	NN	we've
been	VBN	be
shocked	VVN	shock
by	IN	by
the	DT	the
depravity	NN	depravity
of	IN	of
Hamas	JJ	Hamas
we've	NN	we've
also	RB	also
been	VBN	be
inspired	VVN	inspire
by	IN	by
The	DT	the
Bravery	NN	bravery
of	IN	of
Israel	NP	Israel
citizens	NNS	citizen
the	DT	the
grandfather	NN	grandfather
who	WP	who
drove	VVD	drive
over	IN	over
an	DT	an
hour	NN	hour
to	TO	to
a	DT	a
cubots	NNS	cubots
Under	IN	under
Siege	NN	siege
armed	VVN	arm
only	RB	only
with	IN	with
a	DT	a
pistol	NN	pistol
and	CC	and
rescued	VVD	rescue
his	PP$	his
kids	NNS	kid
and	CC	and
grandkids	NNS	grandkid
the	DT	the
mother	NN	mother
who	WP	who
died	VVD	die
shielding	VVG	shield
her	PP$	her
teenage	JJ	teenage
son	NN	son
with	IN	with
her	PP$	her
body	NN	body
giving	VVG	give
her	PP$	her
