<video_id>gRH_3WwR64g</video_id>	JJ	<video_id>gRH_3WwR64g</video_id>
<video_title>Israeli	NN	<video_title>Israeli
settlers	NNS	settler
shoot	VVP	shoot
two	CD	two
Palestinians,	NP	Palestinians,
burn	NN	burn
car	NN	car
and	CC	and
throw	VV	throw
Molotov	NP	Molotov
cocktails</video_title>	JJ	cocktails</video_title>
<thumbnail_path>data/en_AJ\Israeli	NN	<thumbnail_path>data/en_AJ\Israeli
settlers	NNS	settler
shoot	VVP	shoot
two	CD	two
Palestinians,	NP	Palestinians,
burn	NN	burn
car	NN	car
and	CC	and
throw	VV	throw
Molotov	NP	Molotov
cocktails.jpg</thumbnail_path>	JJ	cocktails.jpg</thumbnail_path>
<publish_date>20240213</publish_date>	NN	<publish_date>20240213</publish_date>
<doc>	NN	<doc>
at	IN	at
least	JJS	least
one	CD	one
Palestinian	NP	Palestinian
has	VHZ	have
been	VBN	be
killed	VVN	kill
during	IN	during
overnight	JJ	overnight
raids	NNS	raid
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
City	NP	City
of	IN	of
Janine	NP	Janine
there	EX	there
were	VBD	be
incursions	NNS	incursion
in	IN	in
cilia	NNS	cilium
and	CC	and
near	JJ	near
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
armored	JJ	armored
vehicles	NNS	vehicle
were	VBD	be
accompanied	VVN	accompany
by	IN	by
bulldozers	NNS	bulldozer
which	WDT	which
destroyed	VVD	destroy
infrastructure	NN	infrastructure
in	IN	in
Janine	NP	Janine
nearly	RB	nearly
400	CD	@card@
Palestinians	NPS	Palestinians
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
since	IN	since
Israel	NP	Israel
increased	VVD	increase
raids	NNS	raid
in	IN	in
October	NP	October
and	CC	and
a	DT	a
group	NN	group
of	IN	of
Israeli	JJ	Israeli
settlers	NNS	settler
has	VHZ	have
attacked	VVN	attack
Palestinians	NPS	Palestinians
south	RB	south
of	IN	of
the	DT	the
city	NN	city
of	IN	of
nais	NNS	nais
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
at	IN	at
least	JJS	least
two	CD	two
Palestinians	NNS	Palestinian
were	VBD	be
injured	VVN	injure
when	WRB	when
set	NN	set
has	VHZ	have
opened	VVN	open
fire	NN	fire
in	IN	in
the	DT	the
village	NN	village
of	IN	of
AA	NN	aa
Witnesses	NNS	witness
say	VVP	say
the	DT	the
attackers	NNS	attacker
also	RB	also
set	VVP	set
at	IN	at
least	JJS	least
one	CD	one
home	NN	home
on	IN	on
fire	NN	fire
let's	NNS	let's
go	VVP	go
to	TO	to
our	PP$	our
correspondent	NN	correspondent
Rory	NP	Rory
Chalin	NP	Chalin
who	WP	who
has	VHZ	have
been	VBN	be
monitoring	VVG	monitor
uh	UH	uh
all	RB	all
of	IN	of
this	DT	this
activity	NN	activity
for	IN	for
us	PP	us
from	IN	from
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
and	CC	and
a	DT	a
night	NN	night
of	IN	of
Violence	NN	violence
by	IN	by
both	DT	both
Israeli	JJ	Israeli
Army	NN	army
and	CC	and
settlers	NNS	settler
in	IN	in
the	DT	the
occupied	JJ	occupied
territories	NNS	territory
Rory	NP	Rory
yeah	RB	yeah
the	DT	the
West	NP	West
Bank	NP	Bank
continues	VVZ	continue
to	TO	to
to	TO	to
simmer	VV	simmer
with	IN	with
unrest	NN	unrest
and	CC	and
violence	NN	violence
and	CC	and
we've	NN	we've
seen	VVN	see
more	RBR	more
of	IN	of
that	DT	that
overnight	JJ	overnight
the	DT	the
most	RBS	most
significant	JJ	significant
of	IN	of
these	DT	these
incidents	NNS	incident
was	VBD	be
taking	VVG	take
place	NN	place
in	IN	in
Janine	NP	Janine
where	WRB	where
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
went	VVD	go
