let	NN	let
'	POS	'
s	NNS	s
bring	VVP	bring
in	IN	in
al	NP	al
jazeera	NP	jazeera
'	POS	'
s	JJ	s
senior	JJ	senior
political	JJ	political
analyst	NN	analyst
now	RB	now
marwan	NP	Marwan
bashara	NN	bashara
who	WP	who
joins	VVZ	join
us	PP	us
by	IN	by
skype	NN	skype
from	IN	from
paris	NN	paris
marwan	NN	marwan
thanks	NNS	thanks
so	RB	so
much	RB	much
for	IN	for
being	VBG	be
on	IN	on
the	DT	the
program	NN	program
as	IN	as
we	PP	we
'	POS	'
ve	RB	ve
been	VBN	be
hearing	VVG	hear
there	RB	there
'	''	'
s	VVG	s
this	DT	this
almost	RB	almost
feeling	VVG	feel
of	IN	of
anticipation	NN	anticipation
that	IN/that	that
things	NNS	thing
could	MD	could
escalate	VV	escalate
quickly	RB	quickly
why	WRB	why
haven	NN	haven
'	POS	'
t	NN	t
we	PP	we
seen	VVN	see
hamas	NNS	hamas
get	VVP	get
involved	VVN	involve
yet	RB	yet
and	CC	and
will	MD	will
it	PP	it
well	RB	well
actually	RB	actually
this	DT	this
depends	VVZ	depend
on	IN	on
what	WP	what
happens	VVZ	happen
the	DT	the
next	JJ	next
day	NN	day
or	CC	or
two	CD	two
what	WP	what
we	PP	we
'	POS	'
ve	NN	ve
heard	VVD	hear
earlier	JJR	early
today	NN	today
from	IN	from
the	DT	the
israeli	JJ	Israeli
head	NN	head
of	IN	of
intelligence	NN	intelligence
about	IN	about
the	DT	the
need	NN	need
for	IN	for
israel	NP	Israel
to	TO	to
wrap	VV	wrap
it	PP	it
up	RP	up
as	RB	as
aware	JJ	aware
because	IN	because
there	EX	there
'	''	'
s	VVG	s
a	DT	a
sense	NN	sense
that	IN/that	that
if	IN	if
the	DT	the
israel	NP	Israel
the	DT	the
israeli	JJ	Israeli
air	NN	air
force	NN	force
continues	VVZ	continue
to	TO	to
bombard	VV	bombard
gaza	NN	gaza
that	IN/that	that
hamas	NNS	hamas
will	MD	will
have	VH	have
to	TO	to
get	VV	get
involved	VVN	involve
and	CC	and
in	IN	in
that	DT	that
case	NN	case
then	RB	then
we	PP	we
are	VBP	be
talking	VVG	talk
about	IN	about
a	DT	a
wider	JJR	wide
war	NN	war
but	CC	but
if	IN	if
as	IN	as
it	PP	it
'	POS	'
s	NN	S
claimed	VVD	claim
the	DT	the
israeli	NN	Israeli
forces	NNS	force
have	VHP	have
accomplished	VVN	accomplish
as	IN	as
it	PP	it
were	VBD	be
their	PP$	their
mission	NN	mission
by	IN	by
killing	VVG	kill
more	JJR	more
palestinian	NN	Palestinian
leaders	NNS	leader
and	CC	and
terrorizing	VVG	terrorize
the	DT	the
gaza	NN	gaza
strip	NN	strip
and	CC	and
they	PP	they
will	MD	will
wrap	VV	wrap
it	PP	it
up	RP	up
or	CC	or
start	VV	start
winding	VVG	wind
it	PP	it
down	RB	down
then	RB	then
we	PP	we
could	MD	could
see	VV	see
an	DT	an
end	NN	end
to	TO	to
it	PP	it
in	IN	in
few	JJ	few
days	NNS	day
uh	UH	uh
with	IN	with
israel	NP	Israel
probably	RB	probably
taking	VVG	take
credit	NN	credit
for	IN	for
that	DT	that
in	IN	in
terms	NNS	term
of	IN	of
uh	UH	uh
allowing	VVG	allow
the	DT	the
egyptians	NNS	Egyptian
to	TO	to
also	RB	also
take	VV	take
some	DT	some
credit	NN	credit
for	IN	for
mediating	VVG	mediate
a	DT	a
so	RB	so
-	JJ	-
called	VVN	call
ceasefire	NN	ceasefire
so	IN	so
this	DT	this
is	VBZ	be
a	DT	a
very	RB	very
sensitive	JJ	sensitive
moment	NN	moment
now	RB	now
it	PP	it
could	MD	could
lead	VV	lead
to	TO	to
wider	JJR	wide
war	NN	war
or	CC	or
it	PP	it
could	MD	could
lead	VV	lead
to	TO	to
wrapping	VVG	wrap
it	PP	it
up	IN	up
it	PP	it
'	POS	'
s	NN	S
basically	RB	basically
up	RB	up
to	TO	to
the	DT	the
israelis	NN	israelis
at	IN	at
this	DT	this
point	NN	point
in	IN	in
time	NN	time
as	IN	as
the	DT	the
head	NN	head
of	IN	of
the	DT	the
intelligence	NN	intelligence
said	VVD	say
for	IN	for
them	PP	them
to	TO	to
wrap	VV	wrap
it	PP	it
up	RP	up
yes	RB	yes
speaking	VVG	speak
of	IN	of
the	DT	the
israelis	NP	israelis
where	WRB	where
do	VVP	do
you	PP	you
think	VVP	think
they	PP	they
sit	VVP	sit
with	IN	with
all	DT	all
of	IN	of
this	DT	this
have	VHP	have
they	PP	they
effectively	RB	effectively
made	VVD	make
the	DT	the
point	NN	point
that	IN/that	that
they	PP	they
wanted	VVD	want
to	TO	to
make	VV	make
well	RB	well
you	PP	you
know	VVP	know
this	DT	this
is	VBZ	be
part	NN	part
of	IN	of
a	DT	a
continuous	JJ	continuous
aggression	NN	aggression
against	IN	against
gaza	NN	gaza
and	CC	and
every	DT	every
time	NN	time
it	PP	it
comes	VVZ	come
under	IN	under
different	JJ	different
pretext	NN	pretext
or	CC	or
justification	NN	justification
this	DT	this
time	NN	time
it	PP	it
is	VBZ	be
going	VVG	go
after	IN	after
al	NP	al
-	NN	-
jihad	NN	jihad
or	CC	or
as	IN	as
the	DT	the
israelis	NP	israelis
birth	NN	birth
the	DT	the
iranians	NNS	Iranian
supported	VVD	support
islamic	JJ	Islamic
jihad	NN	jihad
in	IN	in
gaza	NN	gaza
in	IN	in
a	DT	a
preemptive	JJ	preemptive
operation	NN	operation
to	TO	to
deter	VV	deter
them	PP	them
from	IN	from
carrying	VVG	carry
terrorist	JJ	terrorist
attack	NN	attack
this	DT	this
is	VBZ	be
the	DT	the
israeli	JJ	Israeli
pretext	NN	pretext
that	RB	that
'	POS	'
s	NNS	s
the	DT	the
israeli	NN	Israeli
warding	VVG	ward
as	IN	as
it	PP	it
were	VBD	be
of	IN	of
course	NN	course
it	PP	it
is	VBZ	be
part	NN	part
of	IN	of
a	DT	a
long	JJ	long
pattern	NN	pattern
and	CC	and
that	DT	that
pattern	NN	pattern
goes	VVZ	go
on	IN	on
not	RB	not
just	RB	just
a	DT	a
decade	NN	decade
or	CC	or
two	CD	two
it	PP	it
goes	VVZ	go
on	IN	on
over	IN	over
five	CD	five
decades	NNS	decade
for	IN	for
some	DT	some
of	IN	of
us	PP	us
who	WP	who
as	IN	as
you	PP	you
were	VBD	be
emily	VVG	emily
uh	UH	uh
covering	VVG	cover
the	DT	the
war	NN	war
in	IN	in
ukraine	NP	Ukraine
it	PP	it
'	POS	'
s	RB	s
been	VBN	be
going	VVG	go
on	IN	on
for	IN	for
five	CD	five
plus	CC	plus
months	NNS	month
under	IN	under
similar	JJ	similar
pretext	NN	pretext
uh	UH	uh
terror	NN	terror
uh	UH	uh
preemption	NN	preemption
invasion	NN	invasion
punishment	NN	punishment
and	CC	and
of	IN	of
course	NN	course
resistance	NN	resistance
to	TO	to
foreign	JJ	foreign
occupation	NN	occupation
and	CC	and
so	RB	so
on	RB	on
and	CC	and
so	RB	so
forth	IN	forth
it	PP	it
'	POS	'
s	RB	s
been	VBN	be
going	VVG	go
on	IN	on
for	IN	for
five	CD	five
plus	JJ	plus
months	NNS	month
and	CC	and
it	PP	it
angered	VVD	anger
the	DT	the
entire	JJ	entire
world	NN	world
and	CC	and
and	CC	and
basically	RB	basically
the	DT	the
west	NN	west
the	DT	the
enlightened	JJ	enlightened
democracies	NNS	democracy
are	VBP	be
up	RB	up
in	IN	in
arms	NNS	arm
about	IN	about
what	WP	what
'	POS	'
s	NNS	s
going	VVG	go
on	IN	on
in	IN	in
ukraine	NP	Ukraine
five	CD	five
plus	IN	plus
months	NNS	month
but	CC	but
in	IN	in
gaza	NN	gaza
this	DT	this
has	VHZ	have
been	VBN	be
going	VVG	go
on	IN	on
for	IN	for
50	CD	@card@
plus	IN	plus
years	NNS	year
50	CD	@card@
plus	CC	plus
years	NNS	year
of	IN	of
more	JJR	more
of	IN	of
the	DT	the
same	JJ	same
israel	NN	israel
using	VVG	use
the	DT	the
same	JJ	same
pretext	NN	pretext
justification	NN	justification
about	IN	about
combating	VVG	combat
terror	NN	terror
about	IN	about
protecting	VVG	protect
its	PP$	its
population	NN	population
while	IN	while
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
occupying	VVG	occupy
aggressing	VVG	aggress
terrorizing	VVG	terrorize
an	DT	an
entire	JJ	entire
people	NNS	people
so	RB	so
in	IN	in
terms	NNS	term
of	IN	of
this	DT	this
particular	JJ	particular
operation	NN	operation
they	PP	they
say	VVP	say
they	PP	they
go	VVP	go
they	PP	they
went	VVD	go
after	IN	after
some	DT	some
leaders	NNS	leader
of	IN	of
our	PP$	our
assets	NNS	asset
of	IN	of
the	DT	the
islamic	JJ	Islamic
jihad	NN	jihad
they	PP	they
terrorized	VVD	terrorize
gaza	NN	gaza
and	CC	and
the	DT	the
process	NN	process
gaza	NN	gaza
that	WDT	that
has	VHZ	have
over	RB	over
50	CD	@card@
percent	NN	percent
under	IN	under
the	DT	the
age	NN	age
of	IN	of
16	CD	@card@
50	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
population	NN	population
and	CC	and
we	PP	we
'	POS	'
re	NN	re
talking	VVG	talk
about	IN	about
a	DT	a
population	NN	population
that	WDT	that
is	VBZ	be
an	DT	an
absolute	JJ	absolute
majority	NN	majority
of	IN	of
refugees	NNS	refugee
and	CC	and
their	PP$	their
descendants	NNS	descendant
terrorizing	VVG	terrorize
once	RB	once
again	RB	again
there	EX	there
'	''	'
s	VVG	s
a	DT	a
certain	JJ	certain
sadism	NN	sadism
to	TO	to
it	PP	it
all	RB	all
so	RB	so
if	IN	if
israel	NP	Israel
thinks	VVZ	think
that	IN/that	that
its	PP$	its
sadistic	JJ	sadistic
mission	NN	mission
is	VBZ	be
over	RP	over
with	IN	with
the	DT	the
killing	NN	killing
of	IN	of
so	RB	so
many	JJ	many
and	CC	and
the	DT	the
terrorizing	VVG	terrorize
of	IN	of
countless	JJ	countless
people	NNS	people
well	RB	well
yes	RB	yes
you	PP	you
could	MD	could
say	VV	say
it	PP	it
is	VBZ	be
this	DT	this
time	NN	time
around	IN	around
all	DT	all
right	NN	right
well	RB	well
we	PP	we
certainly	RB	certainly
be	VB	be
watching	VVG	watch
this	DT	this
space	NN	space
we	PP	we
appreciate	VVP	appreciate
your	PP$	your
insights	NNS	insight
as	IN	as
always	RB	always
marwan	NP	Marwan
bashar	NP	bashar
al	NP	al
jazeera	NP	jazeera
senior	JJ	senior
political	JJ	political
analyst	NN	analyst
thank	VVP	thank
you	PP	you
