<video_id>SvavDlv2hh8</video_id>	JJ	<video_id>SvavDlv2hh8</video_id>
<video_title>Israel’s	NNS	<video_title>Israel’s
legal	JJ	legal
defence	NN	defence
off	RB	off
to	TO	to
weak	JJ	weak
start</video_title>	NN	start</video_title>
<thumbnail_path>data/en_AJ\Israel’s	NNS	<thumbnail_path>data/en_AJ\Israel’s
legal	JJ	legal
defence	NN	defence
off	RB	off
to	TO	to
weak	JJ	weak
start.jpg</thumbnail_path>	JJ	start.jpg</thumbnail_path>
<publish_date>20240112</publish_date>	NN	<publish_date>20240112</publish_date>
<doc>	NN	<doc>
so	IN	so
you've	NNS	you've
been	VBN	be
listening	VVG	listen
to	TO	to
proceedings	NNS	proceeding
at	IN	at
the	DT	the
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
this	DT	this
is	VBZ	be
day	NN	day
two	CD	two
of	IN	of
South	JJ	South
Africa's	NNS	Africa's
petition	NN	petition
against	IN	against
Israel	NP	Israel
South	NP	South
Africa	NP	Africa
as	IN	as
a	DT	a
reminder	NN	reminder
accusing	VVG	accuse
Israel	NP	Israel
of	IN	of
genocide	NN	genocide
and	CC	and
asking	VVG	ask
the	DT	the
court	NN	court
to	TO	to
order	VV	order
for	IN	for
provisional	JJ	provisional
measures	NNS	measure
to	TO	to
stop	VV	stop
uh	UH	uh
the	DT	the
way	NN	way
Israel	NP	Israel
is	VBZ	be
conducting	VVG	conduct
this	DT	this
war	NN	war
now	RB	now
that	DT	that
was	VBD	be
South	NP	South
Africa	NP	Africa
made	VVD	make
its	PP$	its
case	NN	case
yesterday	NN	yesterday
what	WP	what
we've	VVP	we've
been	VBN	be
hearing	VVG	hear
over	IN	over
the	DT	the
last	JJ	last
hour	NN	hour
and	CC	and
a	DT	a
half	NN	half
or	CC	or
so	RB	so
and	CC	and
we'll	RB	we'll
continue	VV	continue
to	TO	to
hear	VV	hear
after	IN	after
this	DT	this
coffee	NN	coffee
break	NN	break
is	VBZ	be
Israel's	JJ	Israel's
defense	NN	defense
against	IN	against
this	DT	this
allegation	NN	allegation
of	IN	of
uh	UH	uh
genocide	NN	genocide
alzer's	NNS	alzer's
senior	JJ	senior
political	JJ	political
analyst	NN	analyst
Marwan	NP	Marwan
bishara	NN	bishara
is	VBZ	be
with	IN	with
me	PP	me
you've	VVP	you've
been	VBN	be
