<video_id>1PbIH32Fskk</video_id>	JJ	<video_id>1PbIH32Fskk</video_id>
<video_title>Israel’s	NNS	<video_title>Israel’s
war	NN	war
on	IN	on
Gaza:	NP	Gaza:
Al-Aqsa	NP	Al-Aqsa
Hospital	NP	Hospital
nearly	RB	nearly
out	RB	out
of	IN	of
fuel</video_title>	NN	fuel</video_title>
<thumbnail_path>data/en_AJ\Israel’s	NNS	<thumbnail_path>data/en_AJ\Israel’s
war	NN	war
on	IN	on
Gaza	NP	Gaza
Al-Aqsa	NP	Al-Aqsa
Hospital	NP	Hospital
nearly	RB	nearly
out	RB	out
of	IN	of
fuel.jpg</thumbnail_path>	JJ	fuel.jpg</thumbnail_path>
<publish_date>20240523</publish_date>	JJ	<publish_date>20240523</publish_date>
<doc>	NN	<doc>
the	DT	the
health	NN	health
Ministry	NP	Ministry
has	VHZ	have
issued	VVN	issue
this	DT	this
warning	NN	warning
about	IN	about
the	DT	the
situation	NN	situation
at	IN	at
alaka	NN	alaka
hospital	NN	hospital
in	IN	in
central	JJ	central
Gaza	NP	Gaza
Alexa	NP	Alexa
hospital	NN	hospital
will	MD	will
stop	VV	stop
its	PP$	its
operations	NNS	operation
within	IN	within
2	CD	@card@
hours	NNS	hour
because	IN	because
of	IN	of
the	DT	the
occupation	NN	occupation
practices	NNS	practice
in	IN	in
the	DT	the
United	NP	United
Nation's	NP	Nation's
procrastination	NN	procrastination
regarding	VVG	regard
the	DT	the
necessary	JJ	necessary
fuel	NN	fuel
for	IN	for
the	DT	the
generators	NNS	generator
to	TO	to
work	VV	work
in	IN	in
the	DT	the
hospital	NN	hospital
we	PP	we
have	VHP	have
launched	VVN	launch
so	IN	so
many	JJ	many
appeals	NNS	appeal
during	IN	during
the	DT	the
recent	JJ	recent
days	NNS	day
to	TO	to
urgently	RB	urgently
have	VH	have
fuel	NN	fuel
in	IN	in
the	DT	the
hospital	NN	hospital
but	CC	but
no	DT	no
concerned	JJ	concerned
parties	NNS	party
have	VHP	have
responded	VVN	respond
we	PP	we
only	RB	only
received	VVD	receive
3,000	CD	@card@
L	NN	L
of	IN	of
fuel	NN	fuel
on	IN	on
Wednesday	NP	Wednesday
but	CC	but
the	DT	the
hospital	NN	hospital
needs	VVZ	need
at	IN	at
least	JJS	least
5,000	CD	@card@
L	NN	L
every	DT	every
day	NN	day
there	EX	there
are	VBP	be
now	RB	now
more	JJR	more
than	IN	than
1,300	CD	@card@
sick	JJ	sick
and	CC	and
wounded	JJ	wounded
patients	NNS	patient
in	IN	in
the	DT	the
hospital	NN	hospital
their	PP$	their
medical	JJ	medical
treatment	NN	treatment
will	MD	will
stop	VV	stop
because	IN	because
of	IN	of
the	DT	the
lack	NN	lack
of	IN	of
fuel	NN	fuel
this	DT	this
will	MD	will
lead	VV	lead
to	TO	to
a	DT	a
humanitarian	JJ	humanitarian
crisis	NN	crisis
in	IN	in
alaa	NN	alaa
hospital	NN	hospital
which	WDT	which
is	VBZ	be
the	DT	the
only	RB	only
operating	VVG	operate
Hospital	NN	hospital
which	WDT	which
serves	VVZ	serve
more	JJR	more
than	IN	than
1	CD	@card@
million	CD	million
people	NNS	people
in	IN	in
the	DT	the
central	JJ	central
governorate	NN	governorate
within	IN	within
hours	NNS	hour
all	RB	all
the	DT	the
ambulances	NNS	ambulance
and	CC	and
four	CD	four
field	NN	field
hospitals	NNS	hospital
will	MD	will
stop	VV	stop
we	PP	we
urge	VV	urge
the	DT	the
International	NP	International
Community	NP	Community
and	CC	and
the	DT	the
United	NP	United
Nations	NPS	Nations
to	TO	to
do	VV	do
their	PP$	their
best	JJS	good
to	TO	to
immediately	RB	immediately
provide	VV	provide
the	DT	the
hospital	NN	hospital
with	IN	with
enough	JJ	enough
fuel	NN	fuel
we	PP	we
urge	VVP	urge
the	DT	the
International	NP	International
Community	NP	Community
to	TO	to
work	VV	work
hard	RB	hard
to	TO	to
stop	VV	stop
the	DT	the
war	NN	war
against	IN	against
hospitals	NNS	hospital
and	CC	and
the	DT	the
health	NN	health
system	NN	system
in	IN	in
Gaza	NP	Gaza
before	IN	before
it's	NNS	it's
too	RB	too
late	RB	late
we	PP	we
urge	VVP	urge
the	DT	the
International	NP	International
Community	NP	Community
to	TO	to
put	VV	put
pressure	NN	pressure
on	IN	on
the	DT	the
occupation	NN	occupation
to	TO	to
open	VV	open
the	DT	the
rougher	JJR	rough
Crossing	NN	crossing
to	TO	to
allow	VV	allow
more	JJR	more
than	IN	than
20,000	CD	@card@
wounded	JJ	wounded
people	NNS	people
to	TO	to
be	VB	be
treated	VVN	treat
abroad	RB	abroad
and	CC	and
to	TO	to
provide	VV	provide
us	PP	us
us	PP	us
with	IN	with
the	DT	the
badly	RB	badly
needed	VVN	need
medical	JJ	medical
supplies	NNS	supply
and	CC	and
medicines	NNS	medicine
and	CC	and
fuel	VV	fuel
to	TO	to
stop	VV	stop
the	DT	the
sooncoming	JJ	sooncoming
catastrophe	NN	catastrophe
let's	NNS	let's
get	VVP	get
more	JJR	more
on	IN	on
this	DT	this
now	RB	now
with	IN	with
hind	JJ	hind
she's	NNS	she's
in	IN	in
in	IN	in
central	JJ	central
Gaza	NP	Gaza
we	PP	we
heard	VVD	hear
the	DT	the
doctor	NN	doctor
there	RB	there
hind	JJ	hind
say	VVP	say
a	DT	a
couple	NN	couple
of	IN	of
hours	NNS	hour
but	CC	but
last	VV	last
you	PP	you
and	CC	and
I	PP	I
spoke	VVD	speak
about	IN	about
an	DT	an
hour	NN	hour
ago	RB	ago
the	DT	the
latest	JJS	late
word	NN	word
was	VBD	be
they	PP	they
were	VBD	be
down	RB	down
to	TO	to
half	PDT	half
an	DT	an
hour	NN	hour
left	VVN	leave
of	IN	of
fuel	NN	fuel
what's	NNS	what's
the	DT	the
situation	NN	situation
now	RB	now
well	RB	well
before	IN	before
talking	VVG	talk
about	IN	about
the	DT	the
fuel	NN	fuel
I	PP	I
just	RB	just
want	VVP	want
to	TO	to
give	VV	give
you	PP	you
the	DT	the
latest	JJS	late
update	NN	update
on	IN	on
what's	NNS	what's
happening	VVG	happen
in	IN	in
at	IN	at
least	JJS	least
eight	CD	eight
Palestinians	NNS	Palestinian
have	VHP	have
been	VBN	be
killed	VVN	kill
after	IN	after
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
targeted	VVN	target
a	DT	a
a	DT	a
a	DT	a
building	NN	building
for	IN	for
the	DT	the
Ministry	NP	Ministry
of	IN	of
Social	NP	Social
Affairs	NPS	Affairs
and	CC	and
development	NN	development
this	DT	this
building	NN	building
had	VHD	have
a	DT	a
number	NN	number
of	IN	of
Palestinians	NNS	Palestinian
that	WDT	that
were	VBD	be
seeking	VVG	seek
refuge	NN	refuge
in	IN	in
this	DT	this
building	NN	building
according	VVG	accord
to	TO	to
the	DT	the
paramedics	NN	paramedics
I	PP	I
talked	VVD	talk
to	TO	to
they	PP	they
said	VVD	say
that	IN/that	that
H	NP	H
they	PP	they
were	VBD	be
directly	RB	directly
targeted	VVN	target
from	IN	from
the	DT	the
window	VV	window
uh	UH	uh
they	PP	they
he	PP	he
said	VVD	say
that	IN/that	that
one	CD	one
of	IN	of
the	DT	the
Rockets	NNS	rocket
was	VBD	be
a	DT	a
mil	NN	mil
mil	NN	mil
artillery	NN	artillery
shelling	VVG	shell
the	DT	the
other	JJ	other
one	CD	one
was	VBD	be
a	DT	a
drone	NN	drone
air	NN	air
strike	NN	strike
and	CC	and
we	PP	we
saw	VVD	see
the	DT	the
bodies	NNS	body
of	IN	of
nine	CD	nine
uh	UH	uh
Palestinians	NPS	Palestinians
eight	CD	eight
sorry	JJ	sorry
eight	CD	eight
Palestinians	NNS	Palestinian
being	VBG	be
transferred	VVN	transfer
into	IN	into
Alexa	NP	Alexa
hospital	NN	hospital
and	CC	and
dozens	NNS	dozen
of	IN	of
injuries	NNS	injury
it's	NNS	it's
a	DT	a
chaos	NN	chaos
right	RB	right
now	RB	now
and	CC	and
the	DT	the
paramedics	NNS	paramedic
are	VBP	be
telling	VVG	tell
us	PP	us
that	IN/that	that
more	JJR	more
ambulances	NNS	ambulance
are	VBP	be
coming	VVG	come
and	CC	and
transferring	VVG	transfer
more	RBR	more
uh	UH	uh
uh	UH	uh
bodies	NNS	body
but	CC	but
it's	NNS	it's
not	RB	not
only	JJ	only
ambulances	NNS	ambulance
that	WDT	that
were	VBD	be
carrying	VVG	carry
the	DT	the
bodies	NNS	body
and	CC	and
transferring	VVG	transfer
them	PP	them
here	RB	here
into	IN	into
ala	NN	ala
hospital	NN	hospital
but	CC	but
also	RB	also
people	NNS	people
were	VBD	be
helping	VVG	help
with	IN	with
their	PP$	their
own	JJ	own
vehicles	NNS	vehicle
and	CC	and
their	PP$	their
donkey	NN	donkey
carts	VVZ	cart
uh	UH	uh
moving	VVG	move
to	TO	to
the	DT	the
fuel	NN	fuel
um	NN	um
question	NN	question
um	NN	um
the	DT	the
the	DT	the
hospital	NN	hospital
told	VVD	tell
us	PP	us
that	IN/that	that
they	PP	they
had	VHD	have
the	DT	the
ability	NN	ability
to	TO	to
provide	VV	provide
uh	UH	uh
fuel	NN	fuel
for	IN	for
three	CD	three
more	JJR	more
hours	NNS	hour
uh	UH	uh
someone	NN	someone
donated	VVD	donate
it	PP	it
for	IN	for
them	PP	them
and	CC	and
this	DT	this
um	JJ	um
fuel	NN	fuel
is	VBZ	be
will	MD	will
be	VB	be
only	RB	only
for	IN	for
three	CD	three
more	JJR	more
hours	NNS	hour
and	CC	and
after	IN	after
it	PP	it
uh	UH	uh
the	DT	the
fuel	NN	fuel
is	VBZ	be
going	VVG	go
to	TO	to
end	VV	end
and	CC	and
the	DT	the
hospital	NN	hospital
is	VBZ	be
going	VVG	go
to	TO	to
run	VV	run
out	RP	out
of	IN	of
electricity	NN	electricity
again	RB	again
this	DT	this
will	MD	will
put	VV	put
uh	UH	uh
hundreds	NNS	hundred
of	IN	of
people	NNS	people
uh	UH	uh
having	VHG	have
kidney	NN	kidney
dialysis	NN	dialysis
treatment	NN	treatment
this	DT	this
is	VBZ	be
going	VVG	go
to	TO	to
put	VV	put
people	NNS	people
who	WP	who
are	VBP	be
injured	JJ	injured
patients	NNS	patient
and	CC	and
and	CC	and
the	DT	the
premature	JJ	premature
babies	NNS	baby
in	IN	in
risk	NN	risk
of	IN	of
death	NN	death
because	IN	because
they're	NN	they're
completely	RB	completely
relying	VVG	rely
on	IN	on
uh	UH	uh
the	DT	the
electricity	NN	electricity
in	IN	in
the	DT	the
hospital	NN	hospital
Sami	NP	Sami
my	PP$	my
colleague	NN	colleague
FIB	NN	fib
bbo	NN	bbo
had	VHD	have
a	DT	a
quite	PDT	quite
a	DT	a
distressing	JJ	distressing
call	NN	call
there	RB	there
with	IN	with
the	DT	the
director	NN	director
of	IN	of
ala	NN	ala
Hospital	NN	hospital
which	WDT	which
we	PP	we
heard	VVD	hear
a	DT	a
few	JJ	few
moments	NNS	moment
ago	RB	ago
what's	JJ	what's
the	DT	the
situation	NN	situation
there	RB	there
yeah	RB	yeah
okay	JJ	okay
so	IN	so
let's	NN	let's
talk	NN	talk
about	IN	about
Ala	NP	Ala
hospital	NN	hospital
and	CC	and
it	PP	it
is	VBZ	be
in	IN	in
jabalia	NN	jabalia
in	IN	in
tat	NN	tat
where	WRB	where
this	DT	this
area	NN	area
has	VHZ	have
been	VBN	be
uh	UH	uh
under	IN	under
uh	UH	uh
Siege	NN	siege
by	IN	by
the	DT	the
Israeli	JJ	Israeli
tanks	NNS	tank
for	IN	for
more	JJR	more
than	IN	than
4	CD	@card@
days	NNS	day
now	RB	now
a	DT	a
jabalia	NN	jabalia
and	CC	and
the	DT	the
Northern	JJ	northern
parts	NNS	part
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
have	VHP	have
been	VBN	be
uh	UH	uh
witnessing	VVG	witness
a	DT	a
very	RB	very
harsh	JJ	harsh
uh	UH	uh
Israeli	JJ	Israeli
attack	NN	attack
and	CC	and
also	RB	also
uh	UH	uh
tanks	NNS	tank
are	VBP	be
are	NN	are
are	VBP	be
stationed	VVN	station
in	IN	in
that	DT	that
area	NN	area
14	CD	@card@
patients	NNS	patient
are	VBP	be
still	RB	still
trapped	VVN	trap
into	IN	into
H	NP	H
the	DT	the
hospital	NN	hospital
ACC	NP	ACC
compined	VVD	compined
with	IN	with
a	DT	a
couple	NN	couple
of	IN	of
doctors	NNS	doctor
where	WRB	where
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
stormed	VVD	storm
the	DT	the
hospital	NN	hospital
last	JJ	last
night	NN	night
and	CC	and
they	PP	they
asked	VVD	ask
everyone	NN	everyone
taking	VVG	take
and	CC	and
seeking	VVG	seek
refuge	NN	refuge
and	CC	and
all	PDT	all
the	DT	the
patients	NNS	patient
to	TO	to
evacuate	VV	evacuate
to	TO	to
