<video_id>D9fotBzVUWU</video_id>	JJ	<video_id>D9fotBzVUWU</video_id>
<video_title>Israel’s	NNS	<video_title>Israel’s
war	NN	war
on	IN	on
Gaza:	NP	Gaza:
Relentless	JJ	relentless
strikes	NNS	strike
as	IN	as
Palestinians	NPS	Palestinians
flee	VVP	flee
Rafah</video_title>	NP	Rafah</video_title>
<thumbnail_path>data/en_AJ\Israel’s	NNS	<thumbnail_path>data/en_AJ\Israel’s
war	NN	war
on	IN	on
Gaza	NP	Gaza
Relentless	JJ	relentless
strikes	NNS	strike
as	IN	as
Palestinians	NPS	Palestinians
flee	VVP	flee
Rafah.jpg</thumbnail_path>	NP	Rafah.jpg</thumbnail_path>
<publish_date>20240215</publish_date>	NN	<publish_date>20240215</publish_date>
<doc>	NN	<doc>
Muhammad	NP	Muhammad
al-	NP	al-
masri	NP	Masri
joins	VVZ	join
me	PP	me
now	RB	now
he's	JJ	he's
professor	NN	professor
of	IN	of
media	NNS	medium
studies	NNS	study
at	IN	at
the	DT	the
Doha	NP	Doha
Institute	NP	Institute
for	IN	for
Graduate	NP	Graduate
Studies	NPS	Studies
good	JJ	good
to	TO	to
have	VH	have
you	PP	you
with	IN	with
us	PP	us
so	RB	so
last	JJ	last
night	NN	night
I	PP	I
spoke	VVD	speak
with	IN	with
a	DT	a
doctor	NN	doctor
inside	IN	inside
a	DT	a
nassa	NN	nassa
hospital	NN	hospital
who	WP	who
he	PP	he
recounted	VVD	recount
to	TO	to
me	PP	me
how	WRB	how
he	PP	he
had	VHD	have
tried	VVN	try
to	TO	to
comply	VV	comply
with	IN	with
the	DT	the
Israeli	JJ	Israeli
instructions	NNS	instruction
they	PP	they
received	VVD	receive
yesterday	NN	yesterday
to	TO	to
leave	VV	leave
nassa	NN	nassa
hospital	NN	hospital
he	PP	he
left	VVD	leave
with	IN	with
some	DT	some
people	NNS	people
who	WP	who
were	VBD	be
inside	RB	inside
the	DT	the
hospital	NN	hospital
reached	VVD	reach
an	DT	an
Israeli	JJ	Israeli
checkpoint	NN	checkpoint
and	CC	and
he	PP	he
was	VBD	be
told	VVN	tell
that	IN/that	that
the	DT	the
medical	JJ	medical
staff	NN	staff
should	MD	should
stay	VV	stay
in	IN	in
the	DT	the
hospital	NN	hospital
so	RB	so
apparently	RB	apparently
the	DT	the
Israelis	NPS	Israelis
know	VVP	know
there	EX	there
are	VBP	be
medical	JJ	medical
staff	NN	staff
there	EX	there
are	VBP	be
patients	NNS	patient
inside	IN	inside
and	CC	and
today	NN	today
we	PP	we
wake	VVP	wake
up	RP	up
to	TO	to
the	DT	the
news	NN	news
that	IN/that	that
this	DT	this
hospital	NN	hospital
has	VHZ	have
been	VBN	be
shelled	VVN	shell
how	WRB	how
do	VVP	do
we	PP	we
make	VV	make
sense	NN	sense
of	IN	of
that	IN/that	that
well	RB	well
I	PP	I
mean	VVP	mean
it's	NNS	it's
a	DT	a
new	JJ	new
story	NN	story
but	CC	but
in	IN	in
in	IN	in
some	DT	some
ways	NNS	way
it's	NNS	it's
the	DT	the
same	JJ	same
story	VV	story
uh	UH	uh
for	IN	for
4	CD	@card@
and	CC	and
a	DT	a
half	NN	half
months	NNS	month
uh	UH	uh
Israel	NP	Israel
has	VHZ	have
been	VBN	be
seeking	VVG	seek
to	TO	to
make	VV	make
life	NN	life
unlivable	JJ	unlivable
for	IN	for
Palestinians	NPS	Palestinians
and	CC	and
part	NN	part
of	IN	of
that	DT	that
operation	NN	operation
has	VHZ	have
involved	VVN	involve
uh	UH	uh
attacking	VVG	attack
uh	UH	uh
attacking	NN	attacking
hospitals	NNS	hospital
um	VVG	um
this	DT	this
is	VBZ	be
uh	UH	uh
has	VHZ	have
been	VBN	be
made	VVN	make
clear	JJ	clear
by	IN	by
human	JJ	human
rights	NNS	right
groups	VVZ	group
uh	UH	uh
evidence	NN	evidence
on	IN	on
the	DT	the
ground	NN	ground
and	CC	and
it's	NNS	it's
been	VBN	be
mentioned	VVN	mention
by	IN	by
South	NP	South
Africa	NP	Africa
uh	UH	uh
at	IN	at
the	DT	the
at	IN	at
the	DT	the
icj	NN	icj
so	IN	so
this	DT	this
is	VBZ	be
consistent	JJ	consistent
with	IN	with
with	IN	with
what	WP	what
Israel's	NP	Israel's
been	VBN	be
doing	VVG	do
for	IN	for
four	CD	four
and	CC	and
a	DT	a
half	NN	half
months	NNS	month
and	CC	and
now	RB	now
we're	NN	we're
seeing	VVG	see
even	RB	even
Israeli	JJ	Israeli
allies	NNS	ally
like	IN	like
Canada	NP	Canada
Australia	NP	Australia
New	NP	New
Zealand	NP	Zealand
calling	VVG	call
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
any	DT	any
sign	NN	sign
that	IN/that	that
Israel	NP	Israel
might	MD	might
be	VB	be
listening	VVG	listen
no	RB	no
no	DT	no
indication	NN	indication
uh	UH	uh
at	IN	at
all	DT	all
uh	UH	uh
I	PP	I
would	MD	would
say	VV	say
that	IN/that	that
you	PP	you
know	VVP	know
these	DT	these
calls	NNS	call
are	VBP	be
are	NN	are
are	VBP	be
certainly	RB	certainly
good	JJ	good
and	CC	and
and	CC	and
welcomed	VVN	welcome
but	CC	but
uh	UH	uh
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
day	NN	day
uh	UH	uh
the	DT	the
United	NP	United
States	NPS	States
holds	VVZ	hold
the	DT	the
cards	NNS	card
and	CC	and
um	NNS	um
at	IN	at
present	JJ	present
and	CC	and
as	RB	as
has	VHZ	have
been	VBN	be
the	DT	the
case	NN	case
for	IN	for
4	CD	@card@
and	CC	and
a	DT	a
half	JJ	half
months	NNS	month
the	DT	the
US	NP	US
is	VBZ	be
entirely	RB	entirely
in	IN	in
Israel's	NP	Israel's
Corner	NP	Corner
uh	UH	uh
they	PP	they
are	VBP	be
not	RB	not
calling	VVG	call
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
they	PP	they
don't	VVD	don't
they	PP	they
don't	VVD	don't
desire	NN	desire
a	DT	a
ceasefire	NN	ceasefire
they	PP	they
want	VVP	want
Israel	NP	Israel
to	TO	to
to	TO	to
uh	UH	uh
continue	VV	continue
with	IN	with
its	PP$	its
with	IN	with
its	PP$	its
Mission	NP	Mission
which	WDT	which
I	PP	I
think	VV	think
uh	UH	uh
my	PP$	my
interpretation	NN	interpretation
of	IN	of
what	WDT	what
they've	NN	they've
been	VBN	be
doing	VVG	do
for	IN	for
4	CD	@card@
and	CC	and
a	DT	a
half	NN	half
months	NNS	month
is	VBZ	be
that	IN/that	that
this	DT	this
is	VBZ	be
all	DT	all
part	NN	part
of	IN	of
their	PP$	their
greater	JJR	great
Israel	NP	Israel
plan	NN	plan
they	PP	they
will	MD	will
not	RB	not
finish	VV	finish
until	IN	until
they've	JJ	they've
uh	UH	uh
ethnically	RB	ethnically
cleansed	VVD	cleanse
uh	UH	uh
Gaza	NP	Gaza
is	VBZ	be
Israel	NP	Israel
observing	VVG	observe
the	DT	the
instructions	NNS	instruction
of	IN	of
the	DT	the
icj's	JJ	icj's
preliminary	JJ	preliminary
ruling	NN	ruling
no	RB	no
I	PP	I
think	VVP	think
actually	RB	actually
the	DT	the
they've	NN	they've
become	VVN	become
even	RB	even
more	JJR	more
Brazen	NP	Brazen
in	IN	in
some	DT	some
ways	NNS	way
over	IN	over
the	DT	the
last	JJ	last
uh	UH	uh
several	JJ	several
weeks	NNS	week
I	PP	I
mean	VVP	mean
that	WDT	that
was	VBD	be
one	CD	one
of	IN	of
the	DT	the
questions	NNS	question
that	WDT	that
I	PP	I
that	IN/that	that
I	PP	I
had	VHD	have
you	PP	you
know	VVP	know
several	JJ	several
weeks	NNS	week
ago	RB	ago
when	WRB	when
I	PP	I
I	PP	I
sat	VVD	sit
up	RP	up
here	RB	here
uh	UH	uh
on	IN	on
El	NP	El
jazer	NN	jazer
and	CC	and
asked	VVD	ask
uh	UH	uh
whether	IN	whether
Israel	NP	Israel
would	MD	would
sort	VV	sort
of	IN	of
moderate	JJ	moderate
Its	PP$	its
Behavior	NN	behavior
in	IN	in
Gaza	NP	Gaza
in	IN	in
light	NN	light
of	IN	of
what's	NN	what's
Happening	VVG	happen
uh	UH	uh
at	IN	at
the	DT	the
ha	NP	ha
uh	UH	uh
but	CC	but
they	PP	they
haven't	VVD	haven't
they've	NN	they've
continued	VVD	continue
to	TO	to
Target	NP	Target
hospitals	NNS	hospital
they've	NN	they've
continued	VVD	continue
to	TO	to
Target	NP	Target
civilian	JJ	civilian
infrastructures	NNS	infrastructure
we	PP	we
saw	VVD	see
the	DT	the
we	PP	we
saw	VVD	see
the	DT	the
rafah	JJ	rafah
uh	UH	uh
Massacre	VV	massacre
a	DT	a
few	JJ	few
days	NNS	day
ago	RB	ago
they've	NN	they've
continued	VVD	continue
to	TO	to
Target	NP	Target
journalists	NNS	journalist
two	CD	two
El	NP	El
jazer	NN	jazer
journalists	NNS	journalist
killed	VVN	kill
uh	UH	uh
this	DT	this
week	NN	week
and	CC	and
so	RB	so
in	IN	in
many	JJ	many
ways	NNS	way
they	PP	they
uh	UH	uh
their	PP$	their
operation	NN	operation
in	IN	in
Gaza	NP	Gaza
has	VHZ	have
become	VVN	become
even	RB	even
more	JJR	more
Brazen	NP	Brazen
let	NN	let
let	VVD	let
me	PP	me
present	JJ	present
to	TO	to
you	PP	you
what	WP	what
I	PP	I
imagine	VVP	imagine
some	DT	some
of	IN	of
the	DT	the
supporters	NNS	supporter
of	IN	of
the	DT	the
Netanyahu	NP	Netanyahu
Administration	NP	Administration
will	MD	will
say	VV	say
that	IN/that	that
they	PP	they
have	VHP	have
issued	VVN	issue
instructions	NNS	instruction
to	TO	to
the	DT	the
Army	NN	army
to	TO	to
to	TO	to
try	VV	try
and	CC	and
organize	VV	organize
or	CC	or
prompt	VV	prompt
an	DT	an
evacuation	NN	evacuation
of	IN	of
people	NNS	people
in	IN	in
Rafa	NP	Rafa
are	VBP	be
we	PP	we
seeing	VVG	see
that	IN/that	that
as	IN	as
we	PP	we
wake	VVP	wake
up	RP	up
to	TO	to
news	NN	news
of	IN	of
more	JJR	more
strikes	NNS	strike
on	IN	on
hospitals	NNS	hospital
no	DT	no
we're	NN	we're
not	RB	not
seeing	VVG	see
that	IN/that	that
and	CC	and
it's	NNS	it's
actually	RB	actually
an	DT	an
impossibility	NN	impossibility
because	IN	because
there's	RB	there's
no	DT	no
safe	JJ	safe
place	VV	place
uh	UH	uh
in	IN	in
Gaza	NP	Gaza
every	DT	every
single	JJ	single
uh	UH	uh
independent	JJ	independent
Observer	NP	Observer
or	CC	or
expert	JJ	expert
uh	UH	uh
especially	RB	especially
people	NNS	people
who	WP	who
are	VBP	be
on	IN	on
the	DT	the
ground	NN	ground
will	MD	will
tell	VV	tell
you	PP	you
that	IN/that	that
there	EX	there
is	VBZ	be
no	DT	no
safe	JJ	safe
place	NN	place
to	TO	to
go	VV	go
in	IN	in
Gaza	NP	Gaza
and	CC	and
in	IN	in
the	DT	the
past	NN	past
when	WRB	when
there	EX	there
were	VBD	be
at	IN	at
at	IN	at
least	JJS	least
in	IN	in
theory	NN	theory
some	DT	some
safe	JJ	safe
sites	NNS	site
or	CC	or
safe	JJ	safe
zones	NNS	zone
Israel	NP	Israel
bombed	VVD	bomb
those	DT	those
safe	JJ	safe
zones	NNS	zone
so	RB	so
really	RB	really
there	EX	there
is	VBZ	be
only	RB	only
one	CD	one
place	NN	place
for	IN	for
uh	UH	uh
for	IN	for
uh	UH	uh
gazans	NNS	Gazan
to	TO	to
go	VV	go
right	RB	right
now	RB	now
and	CC	and
that	DT	that
is	VBZ	be
outside	JJ	outside
of	IN	of
Gaza	NP	Gaza
that	WDT	that
is	VBZ	be
into	IN	into
Egypt	NP	Egypt
Aid	NP	Aid
has	VHZ	have
been	VBN	be
disrupted	VVN	disrupt
for	IN	for
about	IN	about
a	DT	a
week	NN	week
is	VBZ	be
this	DT	this
becoming	VVG	become
a	DT	a
battle	NN	battle
for	IN	for
survival	NN	survival
for	IN	for
those	DT	those
Palestinians	NPS	Palestinians
bottled	VVD	bottle
up	RP	up
in	IN	in
a	DT	a
tiny	JJ	tiny
part	NN	part
of	IN	of
Gaza	NP	Gaza
oh	UH	oh
there's	RB	there's
no	DT	no
question	NN	question
I	PP	I
mean	VVP	mean
the	DT	the
the	DT	the
human	JJ	human
rights	NNS	right
organizations	NNS	organization
have	VHP	have
been	VBN	be
warning	NN	warning
of	IN	of
uh	UH	uh
Mass	NP	Mass
starvation	NN	starvation
now	RB	now
for	IN	for
for	IN	for
a	DT	a
couple	NN	couple
of	IN	of
months	NNS	month
so	CC	so
uh	UH	uh
the	DT	the
situation	NN	situation
is	VBZ	be
is	VBZ	be
dire	JJ	dire
uh	UH	uh
more	JJR	more
and	CC	and
more	JJR	more
Palestinians	NNS	Palestinian
are	VBP	be
