<video_id>qcwXz7FTXHA</video_id>	JJ	<video_id>qcwXz7FTXHA</video_id>
<video_title>Jabalia	NN	<video_title>Jabalia
refugee	NN	refugee
camp	NN	camp
targeted	VVN	target
again</video_title>	JJ	again</video_title>
<thumbnail_path>data/en_AJ\Jabalia	NN	<thumbnail_path>data/en_AJ\Jabalia
refugee	NN	refugee
camp	NN	camp
targeted	VVN	target
again.jpg</thumbnail_path>	JJ	again.jpg</thumbnail_path>
<publish_date>20231203</publish_date>	JJ	<publish_date>20231203</publish_date>
<doc>	NN	<doc>
let's	NNS	let's
get	VVP	get
more	JJR	more
from	IN	from
the	DT	the
ground	NN	ground
in	IN	in
Gaza	NP	Gaza
Han	NP	Han
Mahmud	NP	Mahmud
is	VBZ	be
in	IN	in
kanun	NN	kanun
in	IN	in
the	DT	the
southern	JJ	southern
part	NN	part
of	IN	of
the	DT	the
strip	NN	strip
Han	NP	Han
so	IN	so
we've	NN	we've
just	RB	just
got	VVD	get
this	DT	this
new	JJ	new
number	NN	number
that	IN/that	that
700	CD	@card@
Palestinians	NPS	Palestinians
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
the	DT	the
last	JJ	last
24	CD	@card@
hours	NNS	hour
it's	JJ	it's
one	CD	one
of	IN	of
the	DT	the
highest	JJS	high
daily	JJ	daily
death	NN	death
tolls	NNS	toll
we've	NN	we've
seen	VVN	see
since	IN	since
October	NP	October
the	DT	the
7th	JJ	7th
what	WP	what
more	JJR	more
are	VBP	be
you	PP	you
learning	VVG	learn
yes	UH	yes
indeed	RB	indeed
that	DT	that
number	NN	number
has	VHZ	have
been	VBN	be
confirmed	VVN	confirm
by	IN	by
the	DT	the
Ministry	NP	Ministry
of	IN	of
Health	NP	Health
here	RB	here
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
700	CD	@card@
people	NNS	people
have	VHP	have
been	VBN	be
killed	VVN	kill
and	CC	and
we're	NN	we're
looking	VVG	look
into	IN	into
an	DT	an
increase	NN	increase
of	IN	of
this	DT	this
number	NN	number
in	IN	in
the	DT	the
coming	VVG	come
hours	NNS	hour
as	IN	as
there	EX	there
are	VBP	be
still	RB	still
more	JJR	more
people	NNS	people
under	IN	under
the	DT	the
rubbles	NNS	rubble
it's	NNS	it's
only	RB	only
normal	JJ	normal
for	IN	for
this	DT	this
number	NN	number
to	TO	to
go	VV	go
up	RP	up
rapidly	RB	rapidly
because	IN	because
we're	NN	we're
talking	VVG	talk
about	IN	about
entire	JJ	entire
residential	JJ	residential
blocks	NNS	block
are	VBP	be
being	VBG	be
targeted	VVN	target
carpet	NN	carpet
bombs	NNS	bomb
completely	RB	completely
destroyed	VVN	destroy
everything	NN	everything
in	IN	in
then	JJ	then
people	NNS	people
are	VBP	be
targeted	VVN	target
without	IN	without
a	DT	a
warning	NN	warning
the	DT	the
thing	NN	thing
is	VBZ	be
so	RB	so
far	RB	far
has	VHZ	have
been	VBN	be
and	CC	and
areas	NNS	area
that	WDT	that
has	VHZ	have
been	VBN	be
designated	VVN	designate
as	IN	as
red	JJ	red
unsafe	JJ	unsafe
and	CC	and
dangerous	JJ	dangerous
people	NNS	people
are	VBP	be
in	IN	in
several	JJ	several
blocks	NNS	block
they	PP	they
they	PP	they
receive	VVP	receive
calls	VVZ	call
they	PP	they
receive	VV	receive
Leist	NP	Leist
to	TO	to
evacuate	VV	evacuate
but	CC	but
then	RB	then
you	PP	you
see	VVP	see
another	DT	another
block	NN	block
being	VBG	be
targeted	VVN	target
before	IN	before
getting	VVG	get
the	DT	the
warning	NN	warning
and	CC	and
getting	VVG	get
the	DT	the
calls	NNS	call
from	IN	from
the	DT	the
Israeli	JJ	Israeli
military	NN	military
which	WDT	which
is	VBZ	be
a	DT	a
trick	NN	trick
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
military	NN	military
is	VBZ	be
implementing	VVG	implement
right	RB	right
now	RB	now
what	WP	what
people	NNS	people
are	VBP	be
doing	VVG	do
so	RB	so
far	RB	far
they	PP	they
are	VBP	be
moving	VVG	move
from	IN	from
one	CD	one
block	NN	block
to	TO	to
another	DT	another
but	CC	but
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
of	IN	of
their	PP$	their
movement	NN	movement
they	PP	they
get	VVP	get
targeted	VVN	target
before	IN	before
getting	VVG	get
to	TO	to
the	DT	the
safe	JJ	safe
area	NN	area
we	PP	we
are	VBP	be
expecting	VVG	expect
the	DT	the
number	NN	number
to	TO	to
increase	VV	increase
in	IN	in
the	DT	the
coming	VVG	come
hours	NNS	hour
as	IN	as
I	PP	I
said	VVD	say
before	IN	before
there	EX	there
are	VBP	be
so	RB	so
many	JJ	many
people	NNS	people
under	IN	under
the	DT	the
rebels	NNS	rebel
as	RB	as
of	IN	of
now	RB	now
we're	NN	we're
talking	VVG	talk
about	IN	about
entire	JJ	entire
blocks	NNS	block
with	IN	with
more	JJR	more
with	IN	with
more	JJR	more
than	IN	than
20	CD	@card@
and	CC	and
30	CD	@card@
residential	JJ	residential
homes	NNS	home
in	IN	in
every	DT	every
block	NN	block
being	VBG	be
targeted	VVN	target
massively	RB	massively
with	IN	with
barrage	NN	barrage
of	IN	of
air	NN	air
strikes	NNS	strike
and	CC	and
artillery	NN	artillery
and	CC	and
heavy	JJ	heavy
artillery	NN	artillery
is	VBZ	be
Shilling	NP	Shilling
and	CC	and
so	RB	so
far	RB	far
we're	NN	we're
looking	VVG	look
at	IN	at
people	NNS	people
are	VBP	be
are	VBP	be
pushed	VVN	push
into	IN	into
areas	NNS	area
similar	JJ	similar
to	TO	to
more	JJR	more
of	IN	of
like	IN	like
a	DT	a
concentration	NN	concentration
Zone	NP	Zone
we're	NN	we're
talking	VVG	talk
about	IN	about
1.7	CD	@card@
million	CD	million
people	NNS	people
are	VBP	be
asked	VVN	ask
to	TO	to
move	VV	move
further	RBR	further
south	RB	south
but	CC	but
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
while	IN	while
are	VBP	be
they	PP	they
trying	VVG	try
to	TO	to
evacuate	VV	evacuate
to	TO	to
move	VV	move
there	RB	there
they're	JJ	they're
getting	VVG	get
bombed	VVN	bomb
that's	NN	that's
the	DT	the
the	DT	the
the	DT	the
tragedy	NN	tragedy
of	IN	of
the	DT	the
situations	NNS	situation
right	RB	right
now	RB	now
roads	NNS	road
are	VBP	be
getting	VVG	get
bombed	VVN	bomb
destroyed	VVN	destroy
there's	RB	there's
nowhere	RB	nowhere
people	NNS	people
for	IN	for
people	NNS	people
to	TO	to
go	VV	go
there's	RB	there's
no	DT	no
safe	JJ	safe
route	NN	route
for	IN	for
people	NNS	people
to	TO	to
take	VV	take
it's	NNS	it's
a	DT	a
risk	NN	risk
100%	CD	@card@
risk	NN	risk
for	IN	for
everyone	NN	everyone
living	NN	living
in	IN	in
Gaza	NP	Gaza
right	RB	right
now	RB	now
honey	VV	honey
I	PP	I
want	VVP	want
to	TO	to
be	VB	be
clear	JJ	clear
you're	NN	you're
telling	VVG	tell
us	PP	us
that	DT	that
uh	UH	uh
residents	NNS	resident
in	IN	in
the	DT	the
southern	JJ	southern
part	NN	part
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
are	VBP	be
not	RB	not
being	VBG	be
given	VVN	give
enough	JJ	enough
time	NN	time
that's	NNS	that's
what	WP	what
you're	VVP	you're
just	RB	just
telling	VVG	tell
us	PP	us
um	NN	um
to	TO	to
to	TO	to
leave	VV	leave
the	DT	the
areas	NNS	area
you	PP	you
know	VVP	know
what	WP	what
hold	VVP	hold
on	IN	on
I'm	NP	I'm
going	VVG	go
to	TO	to
interrupt	VV	interrupt
this	DT	this
this	DT	this
line	NN	line
of	IN	of
thinking	VVG	think
because	IN	because
we're	NN	we're
just	RB	just
getting	VVG	get
hany	NN	hany
the	DT	the
very	RB	very
latest	JJS	late
pictures	NNS	picture
that	WDT	that
have	VHP	have
come	VVN	come
in	IN	in
this	DT	this
is	VBZ	be
from	IN	from
jabalia	NN	jabalia
refugee	NN	refugee
camp	NN	camp
in	IN	in
the	DT	the
north	NN	north
which	WDT	which
is	VBZ	be
the	DT	the
largest	JJS	large
refugee	NN	refugee
camp	NN	camp
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
this	DT	this
is	VBZ	be
the	DT	the
aftermath	NN	aftermath
of	IN	of
uh	UH	uh
a	DT	a
recent	JJ	recent
Israeli	JJ	Israeli
bombardment	NN	bombardment
have	VHP	have
you	PP	you
at	IN	at
this	DT	this
point	NN	point
and	CC	and
it	PP	it
may	MD	may
be	VB	be
too	RB	too
soon	RB	soon
for	IN	for
for	IN	for
you	PP	you
to	TO	to
have	VH	have
accurate	JJ	accurate
information	NN	information
on	IN	on
this	DT	this
do	VVP	do
you	PP	you
have	VHP	have
information	NN	information
on	IN	on
what	WP	what
has	VHZ	have
just	RB	just
happened	VVN	happen
at	IN	at
jabala	NN	jabala
refugee	NN	refugee
camp	NN	camp
yes	NN	yes
as	IN	as
the	DT	the
moment	NN	moment
of	IN	of
preparing	VVG	prepare
this	DT	this
report	NN	report
we	PP	we
learn	VVP	learn
from	IN	from
a	DT	a
source	NN	source
on	IN	on
the	DT	the
ground	NN	ground
more	RBR	more
residential	JJ	residential
buildings	NNS	building
blocks	NNS	block
and	CC	and
neighborhoods	NNS	neighborhood
in	IN	in
jabalia	NN	jabalia
jabalia	NN	jabalia
refugee	NN	refugee
camp	NN	camp
have	VHP	have
been	VBN	be
targeted	VVN	target
we're	NN	we're
looking	VVG	look
at	IN	at
several	JJ	several
homes	NNS	home
at	IN	at
once	RB	once
being	VBG	be
targeted	VVN	target
leaving	VVG	leave
tens	NNS	ten
of	IN	of
people	NNS	people
killed	VVN	kill
and	CC	and
again	RB	again
there	EX	there
are	VBP	be
more	JJR	more
people	NNS	people
stranded	VVN	strand
under	IN	under
the	DT	the
rubbles	NNS	rubble
the	DT	the
fact	NN	fact
that	IN/that	that
the	DT	the
number	NN	number
is	VBZ	be
increasing	VVG	increase
is	VBZ	be
