<video_id>HntDvDq_x7w</video_id>	JJ	<video_id>HntDvDq_x7w</video_id>
<video_title>Leave	NN	<video_title>Leave
the	DT	the
Guns,	NP	Guns,
take	VV	take
the	DT	the
Cannoli:	NP	Cannoli:
AJ	NP	AJ
analyst	NN	analyst
on	IN	on
Israel’s	NP	Israel’s
‘proof’	NN	‘proof’
that	IN/that	that
Hamas	NP	Hamas
uses	VVZ	use
al-Shifa	NP	al-Shifa
as	IN	as
a	DT	a
base</video_title>	JJ	base</video_title>
<thumbnail_path>data/en_AJ\Leave	NN	<thumbnail_path>data/en_AJ\Leave
the	DT	the
Guns,	NP	Guns,
take	VV	take
the	DT	the
Cannoli	NP	Cannoli
AJ	NP	AJ
analyst	NN	analyst
on	IN	on
Israel’s	NP	Israel’s
‘proof’	NN	‘proof’
that	IN/that	that
Hamas	NP	Hamas
uses	VVZ	use
al-Shifa	NP	al-Shifa
as	IN	as
a	DT	a
base.jpg</thumbnail_path>	JJ	base.jpg</thumbnail_path>
<publish_date>20231116</publish_date>	NN	<publish_date>20231116</publish_date>
<doc>	NN	<doc>
Bashar	NP	Bashar
is	VBZ	be
Al	NP	Al
jaz's	NP	jaz's
senior	JJ	senior
political	JJ	political
analyst	NN	analyst
who's	NNS	who's
with	IN	with
me	PP	me
here	RB	here
in	IN	in
the	DT	the
studio	NN	studio
so	IN	so
a	DT	a
lot	NN	lot
of	IN	of
claims	NNS	claim
made	VVN	make
by	IN	by
the	DT	the
Israeli	JJ	Israeli
Israeli	JJ	Israeli
military	NN	military
in	IN	in
the	DT	the
last	JJ	last
hour	NN	hour
or	CC	or
so	RB	so
they're	NN	they're
basically	RB	basically
saying	VVG	say
that	IN/that	that
their	PP$	their
assault	NN	assault
in	IN	in
the	DT	the
AL	NP	al
shiffer	NN	shiffer
hospital	NN	hospital
was	VBD	be
completely	RB	completely
Justified	VVN	justify
and	CC	and
apparently	RB	apparently
have	VH	have
hard	JJ	hard
proof	NN	proof
to	TO	to
show	VV	show
the	DT	the
world	NN	world
well	RB	well
they	PP	they
they	PP	they
keep	VVP	keep
showing	VVG	show
us	PP	us
these	DT	these
guns	NNS	gun
right	NN	right
which	WDT	which
is	VBZ	be
kind	NN	kind
of	IN	of
baffling	VVG	baffle
why	WRB	why
would	MD	would
Hamas	NNS	Hamas
leave	VV	leave
the	DT	the
guns	NNS	gun
and	CC	and
not	RB	not
anything	NN	anything
else	RB	else
it	PP	it
it	PP	it
sounds	VVZ	sound
like	IN	like
or	CC	or
it	PP	it
seems	VVZ	seem
like	IN	like
a	DT	a
scene	NN	scene
from	IN	from
the	DT	the
Godfather	NN	godfather
leave	VV	leave
the	DT	the
guns	NNS	gun
take	VVP	take
the	DT	the
canoli	NN	canoli
which	WDT	which
actually	RB	actually
sounds	VVZ	sound
comical	JJ	comical
but	CC	but
it's	JJ	it's
it's	NNS	it's
actually	RB	actually
tragic	JJ	tragic
that	IN/that	that
the	DT	the
Israelis	NPS	Israelis
think	VVP	think
that	IN/that	that
this	DT	this
actually	RB	actually
works	VVZ	work
the	DT	the
fact	NN	fact
that	IN/that	that
you	PP	you
there	RB	there
you	PP	you
have	VHP	have
these	DT	these
Hamas	JJ	Hamas
Fighters	NNS	fighter
militants	NNS	militant
whatever	WDT	whatever
and	CC	and
the	DT	the
only	JJ	only
thing	NN	thing
that	WDT	that
protects	VVZ	protect
them	PP	them
is	VBZ	be
their	PP$	their
guns	NNS	gun
but	CC	but
what	WP	what
they	PP	they
take	VVP	take
everything	NN	everything
and	CC	and
they	PP	they
leave	VVP	leave
the	DT	the
guns	NNS	gun
behind	RB	behind
just	RB	just
for	IN	for
remind	VV	remind
of	IN	of
viers	NNS	vier
what	WP	what
they	PP	they
claim	VVP	claim
to	TO	to
have	VH	have
uh	UH	uh
found	VVD	find
this	DT	this
is	VBZ	be
directly	RB	directly
from	IN	from
the	DT	the
Israeli	JJ	Israeli
military	NN	military
they	PP	they
say	VVP	say
that	IN/that	that
they	PP	they
found	VVD	find
guns	NNS	gun
ammunition	NN	ammunition
grenades	NNS	grenade
a	DT	a
and	CC	and
a	DT	a
flack	NN	flack
jacket	NN	jacket
so	RB	so
no	RB	no
no	DT	no
captives	NNS	captive
obviously	RB	obviously
that's	JJ	that's
the	DT	the
main	JJ	main
objective	NN	objective
for	IN	for
the	DT	the
for	IN	for
the	DT	the
Israeli	JJ	Israeli
military	NN	military
no	DT	no
massive	JJ	massive
network	NN	network
of	IN	of
tunnels	NNS	tunnel
and	CC	and
and	CC	and
and	CC	and
the	DT	the
other	JJ	other
things	NNS	thing
that	IN/that	that
they	PP	they
showed	VVD	show
are	NN	are
are	VBP	be
so	RB	so
ridiculous	JJ	ridiculous
it's	NNS	it's
I	PP	I
don't	VVD	don't
know	VV	know
if	IN	if
it	PP	it
you	PP	you
know	VVP	know
worth	JJ	worth
commentary	NN	commentary
for	IN	for
example	NN	example
they	PP	they
they	PP	they
found	VVD	find
a	DT	a
a	DT	a
calendar	NN	calendar
on	IN	on
the	DT	the
wall	NN	wall
in	IN	in
Arabic	NP	Arabic
and	CC	and
the	DT	the
military	JJ	military
spokesman	NN	spokesman
was	VBD	be
saying	VVG	say
you	PP	you
see	VV	see
uh	UH	uh
these	DT	these
are	VBP	be
the	DT	the
names	NNS	name
of	IN	of
the	DT	the
of	IN	of
the	DT	the
Hamas	JJ	Hamas
Fighters	NNS	fighter
