speak	VV	speak
to	TO	to
Dr	NP	Dr
mukash	NP	mukash
capill	NN	capill
who	WP	who
'	POS	'
s	NN	S
a	DT	a
former	JJ	former
emergencies	NNS	emergency
doctor	NN	doctor
at	IN	at
the	DT	the
World	NP	World
Health	NP	Health
Organization	NP	Organization
he	PP	he
'	POS	'
s	NN	S
also	RB	also
a	DT	a
professor	NN	professor
emiritus	NN	emiritus
at	IN	at
the	DT	the
University	NP	University
of	IN	of
Manchester	NP	Manchester
joining	VVG	join
us	PP	us
from	IN	from
Geneva	NP	Geneva
doctor	NN	doctor
good	JJ	good
to	TO	to
have	VH	have
you	PP	you
with	IN	with
us	PP	us
on	IN	on
Al	NP	Al
jazer	NN	jazer
what	WP	what
'	''	'
s	VVG	s
your	PP$	your
um	JJ	um
reaction	NN	reaction
to	TO	to
this	DT	this
news	NN	news
coming	VVG	come
out	RP	out
of	IN	of
the	DT	the
who	WP	who
saying	NN	saying
Israel	NP	Israel
has	VHZ	have
agreed	VVN	agree
to	TO	to
limited	JJ	limited
pauses	NNS	pause
and	CC	and
fighting	VVG	fight
to	TO	to
enable	VV	enable
a	DT	a
polio	NN	polio
vaccination	NN	vaccination
campaign	NN	campaign
do	VVP	do
you	PP	you
welcome	VV	welcome
this	DT	this
news	NN	news
I	PP	I
think	VVP	think
this	DT	this
is	VBZ	be
a	DT	a
a	DT	a
r	NN	r
is	VBZ	be
a	DT	a
good	JJ	good
news	NN	news
from	IN	from
the	DT	the
region	NN	region
and	CC	and
of	IN	of
course	NN	course
it	PP	it
to	TO	to
be	VB	be
welcomed	VVN	welcome
even	RB	even
if	IN	if
it	PP	it
'	POS	'
s	NNS	s
inspired	VVN	inspire
by	IN	by
Israel	NP	Israel
'	POS	'
s	JJ	s
self	NN	self
interest	NN	interest
because	IN	because
obviously	RB	obviously
conditions	NNS	condition
like	IN	like
polio	NN	polio
respect	NN	respect
no	DT	no
borders	NNS	border
having	VHG	have
said	VVN	say
that	IN/that	that
I	PP	I
think	VVP	think
let	VV	let
'	''	'
s	NNS	s
not	RB	not
underestimate	VVP	underestimate
the	DT	the
uh	UH	uh
complex	NN	complex
Logistics	NP	Logistics
ahead	RB	ahead
almost	RB	almost
certainly	RB	certainly
three	CD	three
days	NNS	day
are	VBP	be
not	RB	not
going	VVG	go
to	TO	to
be	VB	be
enough	JJ	enough
but	CC	but
it	PP	it
'	POS	'
s	NNS	s
good	JJ	good
if	IN	if
they	PP	they
have	VHP	have
agreed	VVN	agree
that	IN/that	that
the	DT	the
Falls	NP	Falls
may	MD	may
be	VB	be
expended	VVN	expend
may	MD	may
be	VB	be
extended	VVN	extend
um	RB	um
if	IN	if
if	IN	if
needed	JJ	needed
I	NP	I
don	NN	don
'	POS	'
t	NN	t
know	VVP	know
whether	IN	whether
we	PP	we
can	MD	can
build	VV	build
on	IN	on
this	DT	this
and	CC	and
do	VVP	do
some	DT	some
other	JJ	other
immunization	NN	immunization
as	IN	as
well	RB	well
and	CC	and
some	DT	some
other	JJ	other
humanitarian	JJ	humanitarian
aid	NN	aid
but	CC	but
of	IN	of
course	NN	course
that	WDT	that
might	MD	might
be	VB	be
a	DT	a
prayer	NN	prayer
and	CC	and
a	DT	a
wish	VVP	wish
too	RB	too
far	RB	far
what	WP	what
sort	NN	sort
of	IN	of
impact	NN	impact
do	VVP	do
you	PP	you
think	VVP	think
this	DT	this
is	VBZ	be
going	VVG	go
to	TO	to
have	VH	have
on	IN	on
actually	RB	actually
uh	UH	uh
stopping	VVG	stop
the	DT	the
spread	NN	spread
of	IN	of
polio	NN	polio
because	IN	because
eight	CD	eight
agencies	NNS	agency
are	VBP	be
saying	VVG	say
that	IN/that	that
they	PP	they
must	MD	must
reach	VV	reach
90	CD	@card@
%	NN	%
of	IN	of
the	DT	the
estimated	JJ	estimated
640	CD	@card@
,	,	,
000	CD	@card@
children	NNS	child
uh	UH	uh
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
who	WP	who
are	VBP	be
under	IN	under
the	DT	the
age	NN	age
of	IN	of
10	CD	@card@
oh	UH	oh
absolutely	RB	absolutely
so	IN	so
uh	UH	uh
this	DT	this
means	VVZ	mean
almost	RB	almost
Universal	JJ	universal
coverage	NN	coverage
it	PP	it
'	POS	'
s	NN	S
not	RB	not
a	DT	a
question	NN	question
of	IN	of
a	DT	a
good	JJ	good
enough	NN	enough
job	VV	job
uh	UH	uh
and	CC	and
at	IN	at
least	JJS	least
90	CD	@card@
%	NN	%
if	IN	if
not	RB	not
more	JJR	more
are	VBP	be
going	VVG	go
to	TO	to
be	VB	be
needed	VVN	need
including	VVG	include
all	PDT	all
the	DT	the
little	JJ	little
ones	NNS	one
who	WP	who
are	VBP	be
you	PP	you
know	VVP	know
hidden	VVN	hide
away	RB	away
in	IN	in
here	RB	here
and	CC	and
there	RB	there
in	IN	in
overcrowded	VVN	overcrowd
camps	NNS	camp
and	CC	and
all	DT	all
sorts	NNS	sort
of	IN	of
other	JJ	other
locations	NNS	location
and	CC	and
getting	VVG	get
to	TO	to
and	CC	and
many	JJ	many
of	IN	of
them	PP	them
will	MD	will
be	VB	be
frightened	VVN	frighten
many	JJ	many
of	IN	of
them	PP	them
will	MD	will
not	RB	not
trust	VV	trust
what	WP	what
'	POS	'
s	NNS	s
going	VVG	go
on	IN	on
because	IN	because
they	PP	they
'	POS	'
ve	NN	ve
already	RB	already
been	VBN	be
uh	UH	uh
bombed	VVN	bomb
despite	IN	despite
being	VBG	be
assured	VVN	assure
of	IN	of
the	DT	the
