<video_id>2DsGPCrVlSQ</video_id>	JJ	<video_id>2DsGPCrVlSQ</video_id>
<video_title>London	NN	<video_title>London
streets	NNS	street
filled	VVN	fill
by	IN	by
pro-Palestinian	NP	pro-Palestinian
demonstrators</video_title>	JJ	demonstrators</video_title>
<thumbnail_path>data/en_AJ\London	NN	<thumbnail_path>data/en_AJ\London
streets	NNS	street
filled	VVN	fill
by	IN	by
pro-Palestinian	NP	pro-Palestinian
demonstrators.jpg</thumbnail_path>	JJ	demonstrators.jpg</thumbnail_path>
<publish_date>20231014</publish_date>	NN	<publish_date>20231014</publish_date>
<doc>	NN	<doc>
well	RB	well
there	RB	there
have	VH	have
been	VBN	be
Pro	NP	Pro
Palestinian	JJ	Palestinian
solidarity	NN	solidarity
protests	NNS	protest
right	RB	right
across	IN	across
the	DT	the
world	NN	world
rallies	VVZ	rally
right	RB	right
now	RB	now
are	VBP	be
being	VBG	be
held	VVN	hold
in	IN	in
London	JJ	London
uh	UH	uh
let's	NNS	let's
cross	VVP	cross
to	TO	to
there	RB	there
and	CC	and
speak	VV	speak
to	TO	to
Rory	NP	Rory
chalins	NNS	chalins
who's	NNS	who's
at	IN	at
those	DT	those
protests	NNS	protest
and	CC	and
and	CC	and
Rory	NP	Rory
judge	NN	judge
by	IN	by
what	WP	what
I	PP	I
can	MD	can
see	VV	see
there	RB	there
lots	NNS	lot
of	IN	of
Palestinian	JJ	Palestinian
Flags	NNS	flag
behind	IN	behind
you	PP	you
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
too	RB	too
absolutely	RB	absolutely
yeah	RB	yeah
I	PP	I
know	VVP	know
it's	NNS	it's
been	VBN	be
a	DT	a
river	NN	river
of	IN	of
people	NNS	people
passing	VVG	pass
by	IN	by
me	PP	me
for	IN	for
many	JJ	many
many	JJ	many
minutes	NNS	minute
now	RB	now
uh	UH	uh
a	DT	a
huge	JJ	huge
huge	JJ	huge
Gathering	VVG	gather
uh	UH	uh
they	PP	they
were	VBD	be
expecting	VVG	expect
perhaps	RB	perhaps
10	CD	@card@
to	TO	to
20,000	CD	@card@
people	NNS	people
in	IN	in
central	JJ	central
London	NP	London
for	IN	for
this	DT	this
demonstration	NN	demonstration
well	RB	well
I'm	NN	I'm
no	DT	no
expert	JJ	expert
judge	NN	judge
of	IN	of
crowds	NNS	crowd
but	CC	but
I	PP	I
would	MD	would
say	VV	say
that	IN/that	that
perhaps	RB	perhaps
they've	NN	they've
got	VVD	get
that	DT	that
many	JJ	many
uh	UH	uh
there	EX	there
certainly	RB	certainly
uh	UH	uh
many	JJ	many
many	JJ	many
thousands	NNS	thousand
at	IN	at
least	JJS	least
I'll	NP	I'll
step	NN	step
by	IN	by
and	CC	and
you	PP	you
can	MD	can
see	VV	see
the	DT	the
sort	NN	sort
of	IN	of
the	DT	the
flavor	NN	flavor
of	IN	of
things	NNS	thing
at	IN	at
the	DT	the
moment	NN	moment
uh	UH	uh
it's	NNS	it's
been	VBN	be
organized	VVN	organize
by	IN	by
uh	UH	uh
various	JJ	various
Palestinian	JJ	Palestinian
solidarity	NN	solidarity
groups	NNS	group
leftwing	JJ	leftwing
organizations	NNS	organization
there	EX	there
are	VBP	be
Jewish	JJ	Jewish
organizations	NNS	organization
here	RB	here
as	IN	as
well	NN	well
I've	NN	I've
been	VBN	be
speaking	VVG	speak
to	TO	to
to	TO	to
some	DT	some
of	IN	of
those	DT	those
uh	UH	uh
what	WP	what
are	VBP	be
they	PP	they
after	IN	after
well	RB	well
you	PP	you
you	PP	you
can	MD	can
see	VV	see
by	IN	by
some	DT	some
of	IN	of
the	DT	the
the	DT	the
signs	NNS	sign
here	RB	here
that	IN/that	that
they	PP	they
want	VVP	want
an	DT	an
end	NN	end
to	TO	to
the	DT	the
bombing	NN	bombing
they	PP	they
want	VVP	want
an	DT	an
end	NN	end
to	TO	to
what	WP	what
they	PP	they
call	VV	call
uh	UH	uh
Israeli	JJ	Israeli
aparti	NNS	aparti
they	PP	they
want	VVP	want
a	DT	a
free	JJ	free
Palestine	NP	Palestine
they	PP	they
want	VVP	want
Justice	JJ	Justice
uh	UH	uh
and	CC	and
they're	JJ	they're
showing	VVG	show
their	PP$	their
solidarity	NN	solidarity
as	IN	as
you	PP	you
said	VVD	say
Nick	NP	Nick
there	RB	there
are	VBP	be
many	JJ	many
other	JJ	other
similar	JJ	similar
protests	NNS	protest
taking	VVG	take
place	VV	place
uh	UH	uh
across	IN	across
the	DT	the
UK	NP	UK
and	CC	and
also	RB	also
across	IN	across
Europe	NP	Europe
and	CC	and
other	JJ	other
parts	NNS	part
of	IN	of
the	DT	the
world	NN	world
as	IN	as
well	RB	well
many	JJ	many
many	JJ	many
thousands	NNS	thousand
of	IN	of
people	NNS	people
coming	VVG	come
out	RP	out
to	TO	to
show	VV	show
their	PP$	their
support	NN	support
for	IN	for
the	DT	the
Palestinian	JJ	Palestinian
course	NN	course
today	NN	today
Roy	NP	Roy
the	DT	the
