<video_id>jICYMGfyiVM</video_id>	JJ	<video_id>jICYMGfyiVM</video_id>
<video_title>Many	NN	<video_title>Many
fear	VVP	fear
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
could	MD	could
stretch	VV	stretch
well	RB	well
into	IN	into
the	DT	the
New	NP	New
Year</video_title>	NP	Year</video_title>
<thumbnail_path>data/en_AJ\Many	NN	<thumbnail_path>data/en_AJ\Many
fear	VVP	fear
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
could	MD	could
stretch	VV	stretch
well	RB	well
into	IN	into
the	DT	the
New	NP	New
Year.jpg</thumbnail_path>	NP	Year.jpg</thumbnail_path>
<publish_date>20231209</publish_date>	JJ	<publish_date>20231209</publish_date>
<doc>	NN	<doc>
it's	NN	it's
been	VBN	be
bloody	JJ	bloody
it's	NNS	it's
been	VBN	be
brutal	JJ	brutal
and	CC	and
intense	JJ	intense
and	CC	and
it	PP	it
could	MD	could
go	VV	go
on	IN	on
for	IN	for
two	CD	two
more	JJR	more
months	NNS	month
Israeli	JJ	Israeli
media	NNS	medium
reports	VVZ	report
the	DT	the
Army	NP	Army
wants	VVZ	want
3	CD	@card@
to	TO	to
four	CD	four
weeks	NNS	week
to	TO	to
conduct	VV	conduct
operations	NNS	operation
in	IN	in
an	DT	an
around	IN	around
Kan	NP	Kan
Yunis	NP	Yunis
before	IN	before
it	PP	it
concentrates	VVZ	concentrate
its	PP$	its
war	NN	war
on	IN	on
the	DT	the
south	NN	south
of	IN	of
Gaza	NP	Gaza
and	CC	and
that	WDT	that
could	MD	could
take	VV	take
a	DT	a
further	JJR	further
month	NN	month
one	CD	one
expert	NN	expert
told	VVN	tell
Al	NP	Al
jazer	NN	jazer
a	DT	a
long	JJ	long
War	NN	war
could	MD	could
mean	VV	mean
a	DT	a
short	JJ	short
peace	NN	peace
you	PP	you
might	MD	might
eliminates	VVZ	eliminate
more	JJR	more
militants	NNS	militant
Hamas	VVG	Hamas
militant	JJ	militant
we	PP	we
might	MD	might
even	RB	even
capture	VV	capture
the	DT	the
leaders	NNS	leader
of	IN	of
of	IN	of
Hamas	NP	Hamas
in	IN	in
Gaza	NP	Gaza
but	CC	but
what	WP	what
is	VBZ	be
the	DT	the
plan	NN	plan
Beyond	IN	beyond
it	PP	it
and	CC	and
by	IN	by
alienating	VVG	alienate
the	DT	the
Palestinians	NPS	Palestinians
the	DT	the
Palestinians	NPS	Palestinians
in	IN	in
Gaza	NP	Gaza
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
as	IN	as
well	RB	well
and	CC	and
probably	RB	probably
the	DT	the
region	NN	region
they	PP	they
yeah	RB	yeah
but	CC	but
there	EX	there
might	MD	might
be	VB	be
some	DT	some
tactical	JJ	tactical
achievements	NNS	achievement
but	CC	but
strategically	RB	strategically
if	IN	if
Israel	NP	Israel
wants	VVZ	want
to	TO	to
live	VV	live
in	IN	in
peace	NN	peace
with	IN	with
its	PP$	its
neighbors	NNS	neighbor
and	CC	and
first	JJ	first
and	CC	and
for	IN	for
almost	RB	almost
with	IN	with
the	DT	the
Palestinians	NPS	Palestinians
they	PP	they
might	MD	might
actually	RB	actually
cause	VV	cause
more	JJR	more
harm	NN	harm
than	IN	than
than	IN	than
any	DT	any
good	JJ	good
Israel's	NP	Israel's
defenseman	NP	defenseman
Minister	NP	Minister
has	VHZ	have
already	RB	already
spoken	VVN	speak
about	IN	about
a	DT	a
long	JJ	long
and	CC	and
difficult	JJ	difficult
battle	NN	battle
in	IN	in
Gaza	NP	Gaza
and	CC	and
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
ceasefire	NN	ceasefire
talked	VVD	talk
about	RB	about
two	CD	two
more	JJR	more
months	NNS	month
of	IN	of
intense	JJ	intense
fighting	NN	fighting
I	PP	I
expect	VVP	expect
that	IN/that	that
at	IN	at
least	JJS	least
in	IN	in
the	DT	the
