there	EX	there
are	VBP	be
less	JJR	less
Medics	NNS	medic
to	TO	to
treat	VV	treat
sick	JJ	sick
and	CC	and
injured	JJ	injured
Palestinians	NNS	Palestinian
at	IN	at
the	DT	the
severely	RB	severely
short	RB	short
staffed	VVN	staff
NASA	NP	NASA
Hospital	NP	Hospital
in	IN	in
KH	NP	KH
unun	NP	unun
this	DT	this
nurse	NN	nurse
has	VHZ	have
been	VBN	be
shot	VVN	shoot
in	IN	in
the	DT	the
chest	NN	chest
while	IN	while
on	IN	on
duty	NN	duty
his	PP$	his
colleagues	NNS	colleague
say	VVP	say
he	PP	he
was	VBD	be
deliberately	RB	deliberately
targeted	VVN	target
by	IN	by
Israeli	JJ	Israeli
forces	NNS	force
this	DT	this
doctor	NN	doctor
being	VBG	be
treated	VVN	treat
on	IN	on
an	DT	an
operating	VVG	operate
table	NN	table
was	VBD	be
also	RB	also
shot	VVN	shoot
at	IN	at
work	NN	work
while	IN	while
Dr	NP	Dr
nus	NNS	nu
was	VBD	be
on	IN	on
Duty	NP	Duty
in	IN	in
the	DT	the
operation	NN	operation
room	NN	room
at	IN	at
al	NP	al
-	NP	-
Nasa	NP	Nasa
medical	JJ	medical
complex	NN	complex
he	PP	he
was	VBD	be
deliberately	RB	deliberately
shot	VVN	shoot
by	IN	by
a	DT	a
sniper	NN	sniper
from	IN	from
the	DT	the
occupation	NN	occupation
forces	VVZ	force
he	PP	he
sustained	VVD	sustain
a	DT	a
gunshot	NN	gunshot
wound	VVD	wind
to	TO	to
the	DT	the
chest	NN	chest
and	CC	and
is	VBZ	be
currently	RB	currently
in	IN	in
critical	JJ	critical
condition	NN	condition
the	DT	the
danger	NN	danger
now	RB	now
extends	VVZ	extend
to	TO	to
medical	JJ	medical
personnel	NNS	personnel
while	IN	while
they	PP	they
are	VBP	be
performing	VVG	perform
their	PP$	their
duties	NNS	duty
it	PP	it
'	POS	'
s	NN	S
no	RB	no
longer	RBR	longer
just	RB	just
displaced	VVN	displace
individuals	NNS	individual
and	CC	and
patients	NNS	patient
being	VBG	be
targeted	VVN	target
doctors	NNS	doctor
at	IN	at
Nasa	NP	Nasa
Hospital	NP	Hospital
are	VBP	be
demanding	VVG	demand
foreign	JJ	foreign
intervention	NN	intervention
to	TO	to
ensure	VV	ensure
safety	NN	safety
of	IN	of
medical	JJ	medical
workers	NNS	worker
US	NP	US
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
described	VVD	describe
Israel	NP	Israel
'	POS	'
s	JJ	s
war	NN	war
on	IN	on
Gaza	NP	Gaza
as	IN	as
overthe	NP	overthe
toop	NN	toop
and	CC	and
says	VVZ	say
it	PP	it
'	''	'
s	NNS	s
trying	VVG	try
to	TO	to
stop	VV	stop
the	DT	the
fighting	NN	fighting
because	IN	because
I	PP	I
think	VVP	think
if	IN	if
we	PP	we
can	MD	can
get	VV	get
the	DT	the
delay	NN	delay
for	IN	for
that	WDT	that
an	DT	an
initial	JJ	initial
delay	NN	delay
I	PP	I
think	VVP	think
that	DT	that
uh	UH	uh
we	PP	we
would	MD	would
be	VB	be
able	JJ	able
to	TO	to
uh	UH	uh
extend	VV	extend
that	DT	that
uh	UH	uh
so	RB	so
that	IN/that	that
we	PP	we
could	MD	could
increase	VV	increase
the	DT	the
prospect	NN	prospect
that	IN/that	that
this	DT	this
fighting	NN	fighting
in	IN	in
Gaza	NP	Gaza
changes	NNS	change
meanwhile	RB	meanwhile
Israel	NP	Israel
has	VHZ	have
intensified	VVN	intensify
strikes	NNS	strike
in	IN	in
Rafa	NP	Rafa
where	WRB	where
Palestinians	NPS	Palestinians
were	VBD	be
told	VVN	tell
to	TO	to
relocate	VV	relocate
for	IN	for
their	PP$	their
safety	NN	safety
eight	CD	eight
people	NNS	people
including	VVG	include
children	NNS	child
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
the	DT	the
bombing	NN	bombing
on	IN	on
Thursday	NP	Thursday
Israel	NP	Israel
'	POS	'
s	JJ	s
blockade	NN	blockade
on	IN	on
food	NN	food
Fuel	NN	fuel
and	CC	and
Medicine	NN	medicine
entering	VVG	enter
Gaza	NP	Gaza
has	VHZ	have
made	VVN	make
it	PP	it
difficult	JJ	difficult
for	IN	for
the	DT	the
strips	NNS	strip
understocked	VVD	understock
hospitals	NNS	hospital
to	TO	to
operate	VV	operate
effectively	RB	effectively
and	CC	and
Israeli	JJ	Israeli
sniper	NN	sniper
fire	NN	fire
on	IN	on
Palestinian	JJ	Palestinian
medical	JJ	medical
workers	NNS	worker
is	VBZ	be
putting	VVG	put
the	DT	the
treatment	NN	treatment
of	IN	of
their	PP$	their
patients	NNS	patient
in	IN	in
Jeopardy	NN	jeopardy
Barbara	NP	Barbara
Anga	NP	Anga
Al	NP	Al
desera	NNS	desera
make	VVP	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channnel	NN	channnel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
