hinda	NP	Hinda
Al	NP	Al
HRI	NP	HRI
joins	VVZ	join
us	PP	us
on	IN	on
the	DT	the
line	NN	line
now	RB	now
from	IN	from
Dar	NP	Dar
Al	NP	Al
Bala	NP	Bala
in	IN	in
central	JJ	central
Gaza	NP	Gaza
where	WRB	where
as	RB	as
he	PP	he
was	VBD	be
saying	VVG	say
100	CD	@card@
,	,	,
000	CD	@card@
people	NNS	people
have	VHP	have
been	VBN	be
displaced	VVN	displace
in	IN	in
the	DT	the
past	JJ	past
48	CD	@card@
Hours	NNS	hour
tell	VVP	tell
us	PP	us
the	DT	the
situation	NN	situation
that	IN/that	that
those	DT	those
families	NNS	family
are	VBP	be
facing	VVG	face
now	RB	now
hind	JJ	hind
well	RB	well
medam	NN	medam
the	DT	the
situation	NN	situation
is	VBZ	be
devastating	VVG	devastate
those	DT	those
families	NNS	family
who	WP	who
were	VBD	be
forced	VVN	force
to	TO	to
evacuate	VV	evacuate
their	PP$	their
houses	NNS	house
and	CC	and
the	DT	the
places	NNS	place
they	PP	they
were	VBD	be
in	IN	in
the	DT	the
eastern	JJ	eastern
part	NN	part
of	IN	of
did	VVD	do
not	RB	not
even	RB	even
have	VH	have
the	DT	the
time	NN	time
or	CC	or
the	DT	the
space	NN	space
to	TO	to
find	VV	find
another	DT	another
area	NN	area
to	TO	to
live	VV	live
in	IN	in
we	PP	we
'	''	'
re	IN	re
seeing	VVG	see
people	NNS	people
scattered	VVN	scatter
on	IN	on
the	DT	the
streets	NNS	street
on	IN	on
the	DT	the
sidewalks	NNS	sidewalk
trying	VVG	try
to	TO	to
protect	VV	protect
their	PP$	their
families	NNS	family
and	CC	and
their	PP$	their
children	NNS	child
now	RB	now
most	RBS	most
of	IN	of
those	DT	those
families	NNS	family
were	VBD	be
families	NNS	family
who	WP	who
were	VBD	be
already	RB	already
displaced	VVN	displace
from	IN	from
different	JJ	different
parts	NNS	part
of	IN	of
the	DT	the
CLE	NP	CLE
strip	VV	strip
uh	UH	uh
like	IN	like
the	DT	the
Northern	JJ	northern
parts	NNS	part
or	CC	or
ra	NN	ra
orun	NN	orun
due	JJ	due
to	TO	to
the	DT	the
continuous	JJ	continuous
evacuation	NN	evacuation
orders	NNS	order
now	RB	now
these	DT	these
people	NNS	people
do	VVP	do
not	RB	not
have	VH	have
any	DT	any
shelter	NN	shelter
some	DT	some
people	NNS	people
are	VBP	be
also	RB	also
still	RB	still
trapped	VVN	trap
in	IN	in
the	DT	the
eastern	JJ	eastern
part	NN	part
of	IN	of
D	NP	D
because	IN	because
they	PP	they
were	VBD	be
unable	JJ	unable
to	TO	to
evacuate	VV	evacuate
because	IN	because
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
artillery	NN	artillery
shelling	VVG	shell
and	CC	and
air	NN	air
strike	NN	strike
started	VVD	start
shooting	VVG	shoot
at	IN	at
those	DT	those
Palestinians	NPS	Palestinians
now	RB	now
we	PP	we
'	POS	'
re	NN	re
talking	VVG	talk
about	IN	about
at	IN	at
least	JJS	least
100	CD	@card@
,	,	,
000	CD	@card@
citizens	NNS	citizen
are	VBP	be
displaced	VVN	displace
and	CC	and
not	RB	not
only	RB	only
displaced	VVN	displace
they	PP	they
'	POS	'
re	NN	re
homeless	NN	homeless
without	IN	without
any	DT	any
shelters	NNS	shelter
everywhere	RB	everywhere
is	VBZ	be
crowded	JJ	crowded
is	VBZ	be
a	DT	a
very	RB	very
small	JJ	small
City	NP	City
it	PP	it
'	POS	'
s	NNS	s
a	DT	a
couple	NN	couple
of	IN	of
neighborhoods	NNS	neighborhood
only	RB	only
and	CC	and
we	PP	we
'	POS	'
re	NN	re
talking	VVG	talk
about	RB	about
more	JJR	more
than	IN	than
a	DT	a
million	CD	million
according	VVG	accord
to	TO	to
unaa	NN	unaa
of	IN	of
this	DT	this
size	NN	size
Palestinians	NPS	Palestinians
now	RB	now
makeshift	JJ	makeshift
camps	NNS	camp
are	VBP	be
completely	RB	completely
packed	VVN	pack
with	IN	with
people	NNS	people
even	RB	even
the	DT	the
beach	NN	beach
people	NNS	people
were	VBD	be
setting	VVG	set
up	RP	up
their	PP$	their
tents	NNS	tent
there	RB	there
un	JJ	un
schools	NNS	school
are	VBP	be
packed	VVN	pack
un	JJ	un
facilities	NNS	facility
are	VBP	be
packed	VVN	pack
and	CC	and
also	RB	also
hospitals	NNS	hospital
are	VBP	be
packed	VVN	pack
with	IN	with
those	DT	those
Palestinians	NPS	Palestinians
some	DT	some
people	NNS	people
unfortunately	RB	unfortunately
did	VVD	do
not	RB	not
even	RB	even
have	VH	have
a	DT	a
space	NN	space
to	TO	to
set	VV	set
up	RP	up
their	PP$	their
tents	NNS	tent
and	CC	and
there	EX	there
'	''	'
s	VVG	s
an	DT	an
obvious	JJ	obvious
state	NN	state
of	IN	of
panic	NN	panic
in	IN	in
fear	NN	fear
of	IN	of
and	CC	and
frustration	NN	frustration
among	IN	among
those	DT	those
families	NNS	family
because	IN	because
they	PP	they
believe	VVP	believe
that	IN/that	that
even	RB	even
if	IN	if
they	PP	they
evacuate	VVP	evacuate
to	TO	to
the	DT	the
humanitarian	JJ	humanitarian
Zone	NP	Zone
which	WDT	which
is	VBZ	be
shrinking	VVG	shrink
with	IN	with
every	DT	every
evacuation	NN	evacuation
order	NN	order
there	RB	there
'	POS	'
s	NNS	s
no	RB	no
guarantee	VVP	guarantee
that	IN/that	that
they	PP	they
won	VVD	win
'	''	'
t	NN	t
be	VB	be
targeted	VVN	target
and	CC	and
also	RB	also
let	VV	let
me	PP	me
add	VV	add
that	IN/that	that
there	EX	there
has	VHZ	have
been	VBN	be
new	JJ	new
evacuations	NNS	evacuation
earlier	RBR	earlier
today	NN	today
from	IN	from
Al	NP	Al
maazi	VVG	maazi
uh	UH	uh
from	IN	from
Al	NP	Al
area	NN	area
and	CC	and
more	JJR	more
parts	NNS	part
of	IN	of
and	CC	and
and	CC	and
this	DT	this
is	VBZ	be
adding	VVG	add
more	JJR	more
misery	NN	misery
to	TO	to
the	DT	the
Palestinians	NPS	Palestinians
the	DT	the
most	RBS	most
um	JJ	um
people	NNS	people
who	WP	who
are	VBP	be
struggling	VVG	struggle
are	VBP	be
families	NNS	family
with	IN	with
children	NNS	child
uh	UH	uh
and	CC	and
and	CC	and
kids	NNS	kid
because	IN	because
they	PP	they
could	MD	could
not	RB	not
protect	VV	protect
uh	UH	uh
their	PP$	their
children	NNS	child
even	RB	even
not	RB	not
even	RB	even
able	JJ	able
to	TO	to
find	VV	find
a	DT	a
tent	NN	tent
or	CC	or
space	NN	space
for	IN	for
a	DT	a
tent	NN	tent
and	CC	and
not	RB	not
only	RB	only
that	IN/that	that
we	PP	we
'	POS	'
re	NN	re
talking	VVG	talk
about	IN	about
an	DT	an
area	NN	area
with	IN	with
Z	NP	Z
resources	NNS	resource
and	CC	and
they	PP	they
do	VVP	do
not	RB	not
even	RB	even
have	VH	have
the	DT	the
bare	JJ	bare
