<video_id>wh6GYTQd7QU</video_id>	JJ	<video_id>wh6GYTQd7QU</video_id>
<video_title>MSF	NN	<video_title>MSF
raises	VVZ	raise
concern	NN	concern
as	IN	as
fuel	NN	fuel
shortage	NN	shortage
limits	VVZ	limit
Gaza's	NP	Gaza's
water	NN	water
distribution	NN	distribution
to	TO	to
one-eighth</video_title>	JJ	one-eighth</video_title>
<thumbnail_path>data/en_AJ\MSF	NN	<thumbnail_path>data/en_AJ\MSF
raises	VVZ	raise
concern	NN	concern
as	IN	as
fuel	NN	fuel
shortage	NN	shortage
limits	VVZ	limit
Gaza's	NP	Gaza's
water	NN	water
distribution	NN	distribution
to	TO	to
one-eighth.jpg</thumbnail_path>	JJ	one-eighth.jpg</thumbnail_path>
<publish_date>20240526</publish_date>	NN	<publish_date>20240526</publish_date>
<doc>	NN	<doc>
and	CC	and
Christopher	NP	Christopher
lock	NN	lock
here	RB	here
is	VBZ	be
the	DT	the
Secretary	NP	Secretary
General	NP	General
of	IN	of
Doctors	NNS	doctor
Without	IN	without
Borders	NP	Borders
joins	VVZ	join
us	PP	us
live	VV	live
from	IN	from
Geneva	NP	Geneva
good	JJ	good
to	TO	to
have	VH	have
you	PP	you
with	IN	with
us	PP	us
so	RB	so
first	JJ	first
of	IN	of
all	DT	all
we	PP	we
know	VVP	know
that	IN/that	that
the	DT	the
icj	NN	icj
ruling	NN	ruling
has	VHZ	have
said	VVN	say
that	IN/that	that
the	DT	the
Rafa	NP	Rafa
Crossing	NN	crossing
should	MD	should
be	VB	be
open	JJ	open
that	IN/that	that
humanitarian	JJ	humanitarian
Aid	NN	aid
should	MD	should
be	VB	be
increased	VVN	increase
are	VBP	be
you	PP	you
seeing	VVG	see
any	DT	any
sign	NN	sign
of	IN	of
the	DT	the
crossing	NN	crossing
being	VBG	be
opened	VVN	open
of	IN	of
compliance	NN	compliance
with	IN	with
that	WDT	that
ruling	NN	ruling
no	DT	no
we're	NN	we're
not	RB	not
and	CC	and
uh	UH	uh
we've	NNS	we've
been	VBN	be
