<video_id>trnecvWwBqs</video_id>	JJ	<video_id>trnecvWwBqs</video_id>
<video_title>NAACP	NN	<video_title>NAACP
president:	NN	president:
US	PP	us
must	MD	must
‘bring	NN	‘bring
parties	NNS	party
to	TO	to
the	DT	the
table’	NN	table’
for	IN	for
Gaza	NP	Gaza
peace	NN	peace
talks</video_title>	NN	talks</video_title>
<thumbnail_path>data/en_AJ\NAACP	NN	<thumbnail_path>data/en_AJ\NAACP
president	NN	president
US	PP	us
must	MD	must
‘bring	NN	‘bring
parties	NNS	party
to	TO	to
the	DT	the
table’	NN	table’
for	IN	for
Gaza	NP	Gaza
peace	NN	peace
talks.jpg</thumbnail_path>	NN	talks.jpg</thumbnail_path>
<publish_date>20240607</publish_date>	NN	<publish_date>20240607</publish_date>
<doc>	NN	<doc>
I'm	NN	I'm
pleased	VVN	please
to	TO	to
say	VV	say
I'm	NP	I'm
joined	VVD	join
by	IN	by
NAACP	NP	NAACP
president	NN	president
and	CC	and
CEO	NP	CEO
Derek	NP	Derek
Johnson	NP	Johnson
joins	VVZ	join
us	PP	us
live	VVP	live
now	RB	now
from	IN	from
Washington	NP	Washington
DC	NP	DC
Mr	NP	Mr
Johnson	NP	Johnson
welcome	NN	welcome
to	TO	to
Al	NP	Al
deser	NP	deser
it's	NNS	it's
good	JJ	good
to	TO	to
have	VH	have
you	PP	you
with	IN	with
us	PP	us
uh	UH	uh
now	RB	now
the	DT	the
NAACP	NP	NAACP
very	RB	very
well	RB	well
known	VVN	know
as	IN	as
a	DT	a
Civil	NP	Civil
Rights	NPS	Rights
group	NN	group
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
not	RB	not
known	VVN	know
to	TO	to
for	IN	for
into	IN	into
foreign	JJ	foreign
policy	NN	policy
so	IN	so
what's	NNS	what's
Driven	VVN	drive
this	DT	this
well	RB	well
we	PP	we
are	VBP	be
beginning	VVG	begin
to	TO	to
see	VV	see
the	DT	the
impact	NN	impact
of	IN	of
the	DT	the
GL	NP	GL
global	JJ	global
conflict	NN	conflict
here	RB	here
domestically	RB	domestically
are	VBP	be
we	PP	we
see	VVP	see
the	DT	the
increase	NN	increase
in	IN	in
racial	JJ	racial
attacks	NNS	attack
against	IN	against
African	NP	African
Americans	NPS	Americans
increase	NN	increase
in	IN	in
anti-semetic	JJ	anti-semetic
Behavior	NN	behavior
increase	NN	increase
in	IN	in
anti-islamic	JJ	anti-islamic
uh	UH	uh
uh	UH	uh
presence	NN	presence
and	CC	and
that	WDT	that
is	VBZ	be
troubling	VVG	trouble
it's	NNS	it's
also	RB	also
troubling	JJ	troubling
when	WRB	when
you	PP	you
we're	VVP	we're
leading	VVG	lead
into	IN	into
the	DT	the
November	NP	November
election	NN	election
where	WRB	where
