well	RB	well
we	PP	we
can	MD	can
now	RB	now
speak	VV	speak
to	TO	to
Tess	NP	Tess
Ingram	NP	Ingram
she	PP	she
'	POS	'
s	NNS	s
a	DT	a
spokesperson	NN	spokesperson
for	IN	for
Unicef	NN	Unicef
she	PP	she
joins	VVZ	join
us	PP	us
now	RB	now
from	IN	from
un	JJ	un
headquarters	NN	headquarters
in	IN	in
New	NP	New
York	NP	York
Tess	NP	Tess
thanks	NNS	thanks
for	IN	for
joining	VVG	join
us	PP	us
on	IN	on
our	PP$	our
deser	NN	deser
I	PP	I
understand	VVP	understand
you	PP	you
were	VBD	be
in	IN	in
Gaza	NP	Gaza
last	JJ	last
month	NN	month
can	MD	can
you	PP	you
talk	VV	talk
us	PP	us
through	IN	through
what	WP	what
you	PP	you
and	CC	and
your	PP$	your
teams	NNS	team
are	VBP	be
seeing	VVG	see
there	EX	there
now	RB	now
are	VBP	be
the	DT	the
situations	NNS	situation
very	RB	very
different	JJ	different
between	IN	between
the	DT	the
North	JJ	North
and	CC	and
South	JJ	South
they	PP	they
'	''	'
re	IN	re
incredibly	RB	incredibly
different	JJ	different
uh	UH	uh
the	DT	the
situation	NN	situation
in	IN	in
the	DT	the
South	NP	South
which	WDT	which
we	PP	we
'	POS	'
re	NN	re
able	JJ	able
to	TO	to
uh	UH	uh
provide	VV	provide
some	DT	some
limited	JJ	limited
Aid	NN	aid
and	CC	and
also	RB	also
have	VH	have
some	DT	some
access	NN	access
to	TO	to
there	RB	there
'	''	'
s	VVG	s
uh	UH	uh
you	PP	you
know	VVP	know
some	DT	some
level	NN	level
of	IN	of
food	NN	food
all	RB	all
of	IN	of
the	DT	the
families	NNS	family
that	IN/that	that
I	PP	I
met	VVD	meet
and	CC	and
spoke	VVD	speak
to	TO	to
said	VVN	say
that	IN/that	that
they	PP	they
were	VBD	be
incredibly	RB	incredibly
hungry	JJ	hungry
but	CC	but
they	PP	they
are	VBP	be
able	JJ	able
to	TO	to
access	VV	access
uh	UH	uh
tinned	JJ	tinned
vegetables	NNS	vegetable
from	IN	from
Aid	NN	aid
packages	NNS	package
and	CC	and
and	CC	and
perhaps	RB	perhaps
bread	NN	bread
from	IN	from
a	DT	a
community	NN	community
fire	VV	fire
uh	UH	uh
food	NN	food
is	VBZ	be
limited	VVN	limit
and	CC	and
the	DT	the
diversity	NN	diversity
in	IN	in
that	DT	that
food	NN	food
is	VBZ	be
not	RB	not
enough	JJ	enough
nutrition	NN	nutrition
for	IN	for
for	IN	for
children	NNS	child
to	TO	to
grow	VV	grow
up	RP	up
healthy	JJ	healthy
and	CC	and
strong	JJ	strong
but	CC	but
in	IN	in
the	DT	the
north	NN	north
the	DT	the
situation	NN	situation
is	VBZ	be
is	VBZ	be
even	RB	even
worse	JJR	bad
uh	UH	uh
unbelievably	RB	unbelievably
because	IN	because
Aid	NN	aid
access	NN	access
to	TO	to
the	DT	the
north	NN	north
has	VHZ	have
basically	RB	basically
been	VBN	be
non	JJ	non
-	NN	-
existent	NN	existent
since	IN	since
the	DT	the
beginning	NN	beginning
of	IN	of
this	DT	this
year	NN	year
we	PP	we
haven	NN	haven
'	POS	'
t	NN	t
received	VVD	receive
the	DT	the
safety	NN	safety
assurance	NN	assurance
is	VBZ	be
that	IN/that	that
we	PP	we
need	VVP	need
to	TO	to
get	VV	get
up	RP	up
into	IN	into
the	DT	the
North	NP	North
and	CC	and
provide	VV	provide
Aid	NN	aid
there	RB	there
and	CC	and
what	WP	what
we	PP	we
'	POS	'
re	NN	re
hearing	NN	hearing
from	IN	from
families	NNS	family
on	IN	on
the	DT	the
ground	NN	ground
in	IN	in
the	DT	the
north	NN	north
is	VBZ	be
is	VBZ	be
that	IN/that	that
hunger	NN	hunger
is	VBZ	be
is	VBZ	be
catastrophic	JJ	catastrophic
and	CC	and
people	NNS	people
are	VBP	be
resorting	VVG	resort
to	TO	to
to	TO	to
non	JJ	non
-	NN	-
human	JJ	human
foods	NNS	food
to	TO	to
to	TO	to
try	VV	try
and	CC	and
survive	VV	survive
uh	UH	uh
just	RB	just
really	RB	really
harrowing	VVG	harrow
stories	NNS	story
that	IN/that	that
we	PP	we
'	POS	'
ve	RB	ve
been	VBN	be
getting	VVG	get
I	PP	I
'	POS	'
ve	RB	ve
been	VBN	be
wondering	VVG	wonder
what	WP	what
'	POS	'
s	NN	S
actually	RB	actually
getting	VVG	get
across	IN	across
the	DT	the
border	NN	border
at	IN	at
the	DT	the
moment	NN	moment
me	PP	me
it	PP	it
feels	VVZ	feel
like	IN	like
restrictions	NNS	restriction
have	VHP	have
increased	VVN	increase
over	IN	over
the	DT	the
last	JJ	last
days	NNS	day
and	CC	and
weeks	NNS	week
what	WP	what
reason	VVP	reason
are	VBP	be
Israeli	JJ	Israeli
forces	NNS	force
actually	RB	actually
giving	VVG	give
to	TO	to
Aid	NP	Aid
workers	NNS	worker
for	IN	for
for	IN	for
turning	VVG	turn
trucks	NNS	truck
back	RB	back
so	IN	so
it	PP	it
'	''	'
s	VVG	s
it	PP	it
'	POS	'
s	VVZ	s
uh	UH	uh
very	RB	very
opaque	VV	opaque
we	PP	we
we	PP	we
do	VVP	do
our	PP$	our
best	JJS	good
to	TO	to
try	VV	try
and	CC	and
get	VV	get
as	IN	as
much	JJ	much
Aid	NN	aid
in	IN	in
as	IN	as
we	PP	we
can	MD	can
but	CC	but
the	DT	the
process	NN	process
for	IN	for
screening	NN	screening
at	IN	at
that	DT	that
border	NN	border
is	VBZ	be
is	VBZ	be
very	RB	very
complex	JJ	complex
and	CC	and
it	PP	it
'	POS	'
s	NN	S
very	RB	very
long	RB	long
and	CC	and
one	CD	one
of	IN	of
the	DT	the
challenges	NNS	challenge
that	IN/that	that
we	PP	we
have	VHP	have
is	VBZ	be
is	VBZ	be
when	WRB	when
we	PP	we
kind	RB	kind
of	IN	of
surrender	NN	surrender
trucks	NNS	truck
to	TO	to
that	DT	that
screening	NN	screening
process	NN	process
we	PP	we
don	VVP	don
'	''	'
t	NN	t
know	VV	know
when	WRB	when
they	PP	they
'	POS	'
re	NN	re
going	VVG	go
to	TO	to
arrive	VV	arrive
on	IN	on
the	DT	the
other	JJ	other
side	NN	side
which	WDT	which
makes	VVZ	make
it	PP	it
very	RB	very
difficult	JJ	difficult
for	IN	for
us	PP	us
to	TO	to
plan	VV	plan
the	DT	the
distribution	NN	distribution
and	CC	and
then	RB	then
once	RB	once
we	PP	we
do	VVP	do
receive	VV	receive
the	DT	the
goods	NNS	good
we	PP	we
then	RB	then
have	VH	have
to	TO	to
battle	VV	battle
with	IN	with
the	DT	the
ongoing	JJ	ongoing
security	NN	security
challenges	NNS	challenge
on	IN	on
the	DT	the
ground	NN	ground
the	DT	the
lack	NN	lack
of	IN	of
trucks	NNS	truck
fuel	VVP	fuel
the	DT	the
damage	NN	damage
to	TO	to
the	DT	the
roads	NNS	road
so	IN	so
it	PP	it
'	POS	'
s	NN	S
incredibly	RB	incredibly
difficult	JJ	difficult
for	IN	for
us	PP	us
to	TO	to
move	VV	move
around	RP	around
even	RB	even
more	RBR	more
so	RB	so
now	RB	now
with	IN	with
the	DT	the
the	DT	the
threat	NN	threat
of	IN	of
a	DT	a
grand	JJ	grand
invasion	NN	invasion
in	IN	in
Rafa	NP	Rafa
Tess	NP	Tess
just	RB	just
in	IN	in
terms	NNS	term
of	IN	of
of	IN	of
clarity	NN	clarity
can	MD	can
you	PP	you
give	VV	give
us	PP	us
a	DT	a
sense	NN	sense
of	IN	of
what	WP	what
'	POS	'
s	NNS	s
gotten	VVN	get
in	IN	in
in	IN	in
terms	NNS	term
of	IN	of
aid	NN	aid
over	IN	over
the	DT	the
last	JJ	last
few	JJ	few
days	NNS	day
we	PP	we
'	POS	'
re	NN	re
hearing	NN	hearing
that	IN/that	that
barely	RB	barely
anything	NN	anything
especially	RB	especially
in	IN	in
terms	NNS	term
of	IN	of
food	NN	food
has	VHZ	have
made	VVN	make
it	PP	it
made	VVD	make
it	PP	it
into	IN	into
the	DT	the
strip	NN	strip
at	IN	at
all	DT	all
yeah	RB	yeah
so	RB	so
I	PP	I
know	VVP	know
that	IN/that	that
we	PP	we
'	POS	'
ve	NN	ve
definitely	RB	definitely
um	RB	um
got	VVD	get
a	DT	a
couple	NN	couple
of	IN	of
trucks	NNS	truck
in	IN	in
but	CC	but
supplies	NNS	supply
have	VHP	have
been	VBN	be
really	RB	really
far	RB	far
lower	JJR	low
than	IN	than
the	DT	the
needs	VVZ	need
uh	UH	uh
at	IN	at
the	DT	the
moment	NN	moment
UNICEF	NP	UNICEF
is	VBZ	be
bringing	VVG	bring
in	IN	in
um	JJ	um
nutrition	NN	nutrition
supplies	NNS	supply
like	VV	like
uh	UH	uh
therapeutic	JJ	therapeutic
food	NN	food
and	CC	and
an	DT	an
infant	JJ	infant
formula	NN	formula
but	CC	but
far	RB	far
more	RBR	more
needs	VVZ	need
to	TO	to
come	VV	come
in	RP	in
than	IN	than
than	IN	than
what	WP	what
'	POS	'
s	NNS	s
