M	NP	M
joins	VVZ	join
us	PP	us
in	IN	in
our	PP$	our
studio	NN	studio
in	IN	in
Doha	NP	Doha
he	PP	he
'	POS	'
s	NNS	s
the	DT	the
director	NN	director
of	IN	of
the	DT	the
gulf	NN	gulf
studies	NNS	study
Center	NP	Center
at	IN	at
Qatar	NP	Qatar
University	NP	University
maub	VV	maub
it	PP	it
'	POS	'
s	NN	S
good	JJ	good
to	TO	to
have	VH	have
you	PP	you
with	IN	with
us	PP	us
what	WP	what
do	VVP	do
you	PP	you
make	VV	make
of	IN	of
this	DT	this
moment	NN	moment
where	WRB	where
we	PP	we
are	VBP	be
in	IN	in
ceasefire	NN	ceasefire
talks	NNS	talk
this	DT	this
is	VBZ	be
seems	VVZ	seem
like	IN	like
a	DT	a
pretty	JJ	pretty
critical	JJ	critical
moment	NN	moment
um	NN	um
there	RB	there
'	POS	'
s	NNS	s
going	VVG	go
to	TO	to
be	VB	be
a	DT	a
war	NN	war
cabinet	NN	cabinet
meeting	VVG	meet
this	DT	this
evening	NN	evening
which	WDT	which
will	MD	will
ostensibly	RB	ostensibly
set	VV	set
the	DT	the
Mandate	NN	mandate
for	IN	for
the	DT	the
negotiating	VVG	negotiate
team	NN	team
that	WDT	that
is	VBZ	be
expected	VVN	expect
in	IN	in
Doha	NP	Doha
tomorrow	NN	tomorrow
um	NN	um
but	CC	but
there	EX	there
have	VHP	have
been	VBN	be
other	JJ	other
moments	NNS	moment
where	WRB	where
we	PP	we
thought	VVD	think
ah	UH	ah
there	EX	there
'	''	'
s	NN	S
movement	NN	movement
and	CC	and
then	RB	then
those	DT	those
hopes	NNS	hope
have	VHP	have
been	VBN	be
dashed	VVN	dash
correct	JJ	correct
and	CC	and
since	RB	since
Hamas	VVD	Hamas
uh	UH	uh
Rel	NN	Rel
or	CC	or
what	WP	what
basically	RB	basically
the	DT	the
news	NN	news
leaked	VVN	leak
about	IN	about
what	WP	what
Hamas	NP	Hamas
has	VHZ	have
suggested	VVN	suggest
um	JJ	um
Friday	NP	Friday
afternoon	NN	afternoon
the	DT	the
news	NN	news
came	VVD	come
from	IN	from
Israel	NP	Israel
