<video_id>veHQ9XaO5qo</video_id>	JJ	<video_id>veHQ9XaO5qo</video_id>
<video_title>Netanyahu	NN	<video_title>Netanyahu
juxtapositions	NNS	juxtaposition
Israeli	JJ	Israeli
fighters	NNS	fighter
with	IN	with
Israeli	JJ	Israeli
captives:	JJ	captives:
Bishara</video_title>	NP	Bishara</video_title>
<thumbnail_path>data/en_AJ\Netanyahu	NN	<thumbnail_path>data/en_AJ\Netanyahu
juxtapositions	NNS	juxtaposition
Israeli	JJ	Israeli
fighters	NNS	fighter
with	IN	with
Israeli	JJ	Israeli
captives	NNS	captive
Bishara.jpg</thumbnail_path>	NP	Bishara.jpg</thumbnail_path>
<publish_date>20240217</publish_date>	NN	<publish_date>20240217</publish_date>
<doc>	NN	<doc>
of	IN	of
the	DT	the
headlines	NNS	headline
from	IN	from
this	DT	this
is	VBZ	be
that	IN/that	that
Israel	NP	Israel
or	CC	or
at	IN	at
least	JJS	least
this	DT	this
prime	JJ	prime
minister	NN	minister
is	VBZ	be
not	RB	not
interested	JJ	interested
right	RB	right
now	RB	now
in	IN	in
negotiations	NNS	negotiation
I	PP	I
think	VVP	think
he	PP	he
basically	RB	basically
rejected	VVD	reject
everything	NN	everything
uh	UH	uh
that	IN/that	that
America's	NP	America's
allies	NNS	ally
friends	NNS	friend
and	CC	and
detractors	NNS	detractor
have	VHP	have
been	VBN	be
proposing	VVG	propose
um	NNS	um
in	IN	in
recent	JJ	recent
weeks	NNS	week
I	PP	I
think	VVP	think
um	NNS	um
you	PP	you
could	MD	could
say	VV	say
Sammy	NP	Sammy
that	DT	that
uh	UH	uh
finally	RB	finally
after	IN	after
four	CD	four
months	NNS	month
of	IN	of
wobbling	VVG	wobble
in	IN	in
his	PP$	his
tone	NN	tone
not	RB	not
in	IN	in
his	PP$	his
position	NN	position
because	IN	because
there's	NP	there's
nothing	NN	nothing
new	JJ	new
that's	NNS	that's
been	VBN	be
said	VVN	say
today	NN	today
but	CC	but
clearly	RB	clearly
in	IN	in
terms	NNS	term
of	IN	of
tone	NN	tone
I	PP	I
think	VVP	think
the	DT	the
the	DT	the
the	DT	the
Israeli	JJ	Israeli
Prime	NP	Prime
Minister	NP	Minister
have	VHP	have
finally	RB	finally
found	VVN	find
his	PP$	his
voice	NN	voice
and	CC	and
his	PP$	his
voice	NN	voice
of	IN	of
course	NN	course
is	VBZ	be
obnoxious	JJ	obnoxious
abrasive	NN	abrasive
and	CC	and
confident	JJ	confident
this	DT	this
was	VBD	be
not	RB	not
the	DT	the
case	NN	case
the	DT	the
past	JJ	past
few	JJ	few
months	NNS	month
now	RB	now
this	DT	this
is	VBZ	be
the	DT	the
wartime	NN	wartime
leader	NN	leader
speaking	NN	speaking
and	CC	and
he's	NNS	he's
speaking	VVG	speak
in	IN	in
terms	NNS	term
that	WDT	that
have	VHP	have
absolutely	RB	absolutely
nothing	RB	nothing
to	TO	to
do	VV	do
with	IN	with
negotiations	NNS	negotiation
he	PP	he
is	VBZ	be
talking	VVG	talk
about	IN	about
heroism	NN	heroism
he's	NNS	he's
talking	VVG	talk
about	IN	about
victory	NN	victory
about	IN	about
prevailing	VVG	prevail
and	CC	and
clearly	RB	clearly
he's	NNS	he's
talking	VVG	talk
about	IN	about
a	DT	a
decisive	JJ	decisive
defeat	NN	defeat
eliminating	VVG	eliminate
Hamas	NN	Hamas
and	CC	and
so	RB	so
on	RB	on
and	CC	and
so	RB	so
forth	RB	forth
now	RB	now
to	TO	to
convince	VV	convince
his	PP$	his
audience	NN	audience
and	CC	and
his	PP$	his
audience	NN	audience
is	VBZ	be
the	DT	the
Israeli	JJ	Israeli
public	NN	public
whose	WP$	whose
eyes	NNS	eye
today	NN	today
are	VBP	be
directed	VVN	direct
towards	IN	towards
T	NN	T
Aviv	NP	Aviv
where	WRB	where
a	DT	a
good	JJ	good
number	NN	number
of	IN	of
segment	NN	segment
of	IN	of
the	DT	the
Israeli	JJ	Israeli
public	NN	public
is	VBZ	be
is	VBZ	be
demonstrating	VVG	demonstrate
with	IN	with
the	DT	the
families	NNS	family
of	IN	of
the	DT	the
captives	NNS	captive
and	CC	and
he	PP	he
said	VVD	say
something	NN	something
very	RB	very
important	JJ	important
he	PP	he
said	VVD	say
it	PP	it
before	RB	before
but	CC	but
once	RB	once
again	RB	again
he's	NNS	he's
saying	VVG	say
it	PP	it
with	IN	with
a	DT	a
new	JJ	new
tone	NN	tone
he's	NNS	he's
saying	VVG	say
you	PP	you
are	VBP	be
attacking	VVG	attack
me	PP	me
with	IN	with
the	DT	the
uh	UH	uh
requests	NNS	request
and	CC	and
the	DT	the
demands	NNS	demand
of	IN	of
the	DT	the
families	NNS	family
of	IN	of
the	DT	the
captives	NNS	captive
of	IN	of
the	DT	the
captives	NNS	captive
requests	NNS	request
and	CC	and
demands	NNS	demand
I	PP	I
am	VBP	be
responding	VVG	respond
to	TO	to
you	PP	you
with	IN	with
the	DT	the
calls	NNS	call
and	CC	and
the	DT	the
demands	NNS	demand
of	IN	of
the	DT	the
soldiers	NNS	soldier
who	WP	who
died	VVD	die
in	IN	in
this	DT	this
war	NN	war
and	CC	and
their	PP$	their
families	NNS	family
and	CC	and
their	PP$	their
lives	NNS	life
that	WDT	that
should	MD	should
not	RB	not
be	VB	be
or	CC	or
should	MD	should
not	RB	not
have	VH	have
gone	VVN	go
for	IN	for
nothing	NN	nothing
I'm	NP	I'm
talking	VVG	talk
talking	VVG	talk
to	TO	to
you	PP	you
about	IN	about
the	DT	the
thousands	NNS	thousand
of	IN	of
soldiers	NNS	soldier
who	WP	who
were	VBD	be
injured	VVN	injure
and	CC	and
they	PP	they
couldn't	NN	couldn't
have	VHP	have
been	VBN	be
injured	VVN	injure
for	IN	for
nothing	NN	nothing
so	IN	so
he's	NNS	he's
basically	RB	basically
Jaa	NP	Jaa
positioning	NN	positioning
two	CD	two
segments	NNS	segment
of	IN	of
the	DT	the
Israeli	NP	Israeli
Society	NP	Society
those	DT	those
who	WP	who
fought	VVD	fight
and	CC	and
those	DT	those
who	WP	who
were	VBD	be
held	VVN	hold
captives	NNS	captive
he's	NNS	he's
also	RB	also
jxa	NN	jxa
positioning	VVG	position
his	PP$	his
own	JJ	own
Coalition	NP	Coalition
of	IN	of
64	CD	@card@
members	NNS	member
of	IN	of
the	DT	the
120	CD	@card@
Israeli	NP	Israeli
Parliament	NP	Parliament
who	WP	who
which	WDT	which
he's	NNS	he's
holding	VVG	hold
on	IN	on
to	TO	to
dearly	RB	dearly
in	IN	in
as	RB	as
far	RB	far
as	IN	as
concern	NN	concern
the	DT	the
American	JJ	American
position	NN	position
is	VBZ	be
not	RB	not
important	JJ	important
International	NP	International
attempts	NNS	attempt
at	IN	at
dictating	VVG	dictate
to	TO	to
Israel	NP	Israel
what	WDT	what
it	PP	it
true	VVP	true
and	CC	and
and	CC	and
how	WRB	how
it	PP	it
should	MD	should
recognize	VV	recognize
a	DT	a
Palestinian	JJ	Palestinian
state	NN	state
is	VBZ	be
not	RB	not
acceptable	JJ	acceptable
the	DT	the
Netanyahu	NP	Netanyahu
that's	NN	that's
abrasive	NN	abrasive
confidence	NN	confidence
and	CC	and
obnoxious	JJ	obnoxious
is	VBZ	be
claiming	VVG	claim
that	DT	that
America	NP	America
that	WDT	that
came	VVD	come
to	TO	to
his	PP$	his
Aid	NP	Aid
America	NP	America
that	WDT	that
allowed	VVD	allow
him	PP	him
to	TO	to
be	VB	be
a	DT	a
prime	JJ	prime
minister	NN	minister
when	WRB	when
he	PP	he
is	VBZ	be
today	NN	today
and	CC	and
to	TO	to
claim	VV	claim
to	TO	to
be	VB	be
a	DT	a
wartime	NN	wartime
leader	NN	leader
he	PP	he
America	NP	America
should	MD	should
not	RB	not
be	VB	be
listened	VVN	listen
to	TO	to
it	PP	it
Israel	NP	Israel
will	MD	will
take	VV	take
the	DT	the
money	NN	money
it	PP	it
will	MD	will
take	VV	take
the	DT	the
arms	NNS	arm
but	CC	but
it	PP	it
rejects	VVZ	reject
the	DT	the
advice	NN	advice
believe	VVP	believe
it	PP	it
or	CC	or
not	RB	not
the	DT	the
the	DT	the
the	DT	the
leader	NN	leader
of	IN	of
this	DT	this
little	JJ	little
whatever	WDT	whatever
you	PP	you
want	VVP	want
to	TO	to
call	VV	call
it	PP	it
country	NN	country
thinks	VVZ	think
in	IN	in
terms	NNS	term
of	IN	of
egality	NN	egality
with	IN	with
the	DT	the
United	NP	United
States	NP	States
he	PP	he
says	VVZ	say
I	PP	I
don't	VVD	don't
interfere	VV	interfere
in	IN	in
your	PP$	your
Internal	NP	Internal
Affairs	NPS	Affairs
don't	NP	don't
