<video_id>g6ibQnRjQlM</video_id>	JJ	<video_id>g6ibQnRjQlM</video_id>
<video_title>Netanyahu	NN	<video_title>Netanyahu
on	IN	on
potential	JJ	potential
ceasefire:	NN	ceasefire:
Cessation	NN	cessation
would	MD	would
'only	RB	'only
delay'	VV	delay'
Rafah	NP	Rafah
ground	NN	ground
invasion</video_title>	NN	invasion</video_title>
<thumbnail_path>data/en_AJ\Netanyahu	NN	<thumbnail_path>data/en_AJ\Netanyahu
on	IN	on
potential	JJ	potential
ceasefire	NN	ceasefire
Cessation	NN	cessation
would	MD	would
'only	RB	'only
delay'	VV	delay'
Rafah	NP	Rafah
ground	NN	ground
invasion.jpg</thumbnail_path>	NN	invasion.jpg</thumbnail_path>
<publish_date>20240226</publish_date>	NN	<publish_date>20240226</publish_date>
<doc>	JJ	<doc>
Israel's	NP	Israel's
war	NN	war
cabinet	NN	cabinet
is	VBZ	be
expected	VVN	expect
to	TO	to
approve	VV	approve
plans	NNS	plan
for	IN	for
a	DT	a
ground	NN	ground
invasion	NN	invasion
in	IN	in
Rafa	NP	Rafa
prime	JJ	prime
minister	NN	minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
says	VVZ	say
that	IN/that	that
the	DT	the
operation	NN	operation
will	MD	will
happen	VV	happen
and	CC	and
that	IN/that	that
a	DT	a
potential	JJ	potential
ceasefire	NN	ceasefire
in	IN	in
Gaza	NP	Gaza
would	MD	would
only	RB	only
delay	VV	delay
it	PP	it
Israel's	NP	Israel's
Army	NP	Army
presented	VVD	present
its	PP$	its
operational	JJ	operational
plan	NN	plan
to	TO	to
the	DT	the
war	NN	war
cabinet	NN	cabinet
on	IN	on
Sunday	NP	Sunday
ahead	RB	ahead
of	IN	of
the	DT	the
plan	NN	plan
defensive	JJ	defensive
at	IN	at
least	JJS	least
1.5	CD	@card@
million	CD	million
Palestinians	NPS	Palestinians
are	VBP	be
Sheltering	VVG	shelter
in	IN	in
Rafa	NP	Rafa
that's	NNS	that's
more	RBR	more
than	IN	than
half	NN	half
of	IN	of
the	DT	the
strip's	JJ	strip's
population	NN	population
let's	NNS	let's
get	VVP	get
more	JJR	more
on	IN	on
this	DT	this
by	IN	by
joining	VVG	join
H	NP	H
Salo	NP	Salo
in	IN	in
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
is	VBZ	be
standing	VVG	stand
by	IN	by
so	RB	so
Netanyahu	NP	Netanyahu
has	VHZ	have
been	VBN	be
speaking	VVG	speak
about	IN	about
this	DT	this
plan	NN	plan
when	WRB	when
do	VVP	do
you	PP	you
think	VVP	think
we're	NN	we're
going	VVG	go
to	TO	to
get	VV	get
more	JJR	more
details	NNS	detail
about	IN	about
what	WP	what
he's	NNS	he's
saying	VVG	say
well	RB	well
there	EX	there
is	VBZ	be
a	DT	a
lot	NN	lot
to	TO	to
unpack	VV	unpack
here	RB	here
so	IN	so
let's	NNS	let's
start	VVP	start
with	IN	with
the	DT	the
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
and	CC	and
what	WP	what
he's	NNS	he's
been	VBN	be
saying	VVG	say
to	TO	to
American	NP	American
Media	NP	Media
to	TO	to
begin	VV	begin
he's	NNS	he's
saying	VVG	say
that	IN/that	that
there	EX	there
are	VBP	be
now	RB	now
plans	NNS	plan
for	IN	for
not	RB	not
only	RB	only
the	DT	the
evacuation	NN	evacuation
of	IN	of
Palestinian	JJ	Palestinian
civilians	NNS	civilian
from	IN	from
Rafa	NP	Rafa
more	RBR	more
than	IN	than
a	DT	a
million	CD	million
and	CC	and
a	DT	a
half	NN	half
of	IN	of
them	PP	them
are	VBP	be
seeking	VVG	seek
ref	NN	ref
refuge	NN	refuge
in	IN	in
gaza's	NNS	gaza's
Southernmost	JJ	southernmost
city	NN	city
but	CC	but
he	PP	he
also	RB	also
says	VVZ	say
that	IN/that	that
there	EX	there
are	VBP	be
operational	JJ	operational
plans	NNS	plan
here	RB	here
it	PP	it
is	VBZ	be
not	RB	not
known	VVN	know
where	WRB	where
these	DT	these
Palestinians	NPS	Palestinians
are	VBP	be
supposed	VVN	suppose
to	TO	to
go	VV	go
one	CD	one
Israeli	JJ	Israeli
official	NN	official
speaking	VVG	speak
anonymously	RB	anonymously
to	TO	to
Israeli	JJ	Israeli
media	NNS	medium
said	VVD	say
that	IN/that	that
perhaps	RB	perhaps
it	PP	it
will	MD	will
be	VB	be
to	TO	to
the	DT	the
Kan	NP	Kan
Yunis	NP	Yunis
area	NN	area
but	CC	but
nothing	NN	nothing
is	VBZ	be
still	RB	still
confirmed	VVN	confirm
the	DT	the
Israeli	JJ	Israeli
Prime	NP	Prime
Minister	NP	Minister
said	VVD	say
that	IN/that	that
they	PP	they
want	VVP	want
to	TO	to
get	VV	get
civilians	NNS	civilian
out	RP	out
of	IN	of
Harm's	NP	Harm's
Way	NP	Way
but	CC	but
it's	NNS	it's
difficult	JJ	difficult
to	TO	to
really	RB	really
understand	VV	understand
how	WRB	how
that's	NNS	that's
going	VVG	go
to	TO	to
be	VB	be
possible	RB	possible
when	WRB	when
every	DT	every
single	JJ	single
area	NN	area
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
has	VHZ	have
has	VHZ	have
come	VVN	come
under	IN	under
Relentless	JJ	relentless
Israeli	JJ	Israeli
bombardment	NN	bombardment
including	VVG	include
graa	NN	graa
an	DT	an
area	NN	area
that	WDT	that
was	VBD	be
supposed	VVN	suppose
to	TO	to
be	VB	be
the	DT	the
last	JJ	last
safe	JJ	safe
place	NN	place
for	IN	for
Palestinians	NPS	Palestinians
in	IN	in
Gaza	NP	Gaza
so	IN	so
that	WDT	that
is	VBZ	be
the	DT	the
first	JJ	first
order	NN	order
of	IN	of
business	NN	business
the	DT	the
second	NN	second
is	VBZ	be
that	IN/that	that
if	IN	if
there	EX	there
is	VBZ	be
a	DT	a
deal	NN	deal
on	IN	on
the	DT	the
horizon	NN	horizon
the	DT	the
negotiating	VVG	negotiate
team	NN	team
that	WDT	that
was	VBD	be
sent	VVN	send
or	CC	or
going	VVG	go
to	TO	to
be	VB	be
sent	VVN	send
to	TO	to
Doha	NP	Doha
according	VVG	accord
